,strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,type
0,20050,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20050.00,1089,-15,-1.358695652173913,21,0.0,2893.95,73.94999999999982,2.6223404255319083,6650,6150,100,2944.15,25,2955.65,22980.15,CE
1,20100,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20100.00,9131,-56,-0.6095569826929357,172,51.0,2914.7,44.59999999999991,1.5539528239434135,7550,6700,175,2898.3,25,2908.45,22980.15,CE
2,20150,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20150.00,111,0,0.0,24,0.0,2850.2,21.549999999999727,0.7618475244374429,5200,5225,25,2807.15,25,2894.75,22980.15,CE
3,20200,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20200.00,1165,24,2.1034180543382996,36,0.0,2814.0,10.800000000000182,0.38527397260274626,6250,6025,50,2792.5,25,2817.65,22980.15,CE
4,20250,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20250.00,116,0,0.0,0,0.0,0.0,0.0,0.0,5675,5675,500,2661.7,500,2828.85,22980.15,CE
5,20300,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20300.00,291,10,3.5587188612099645,34,0.0,2700.15,-8.650000000000091,-0.3193295924394599,6625,6200,25,2701.2,25,2716.0,22980.15,CE
6,20350,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20350.00,93,0,0.0,0,0.0,0.0,0.0,0.0,5175,5675,600,2598.0,500,2733.55,22980.15,CE
7,20400,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20400.00,571,0,0.0,24,0.0,2604.0,64.0,2.5196850393700787,5700,5750,25,2601.85,25,2615.45,22980.15,CE
8,20450,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20450.00,121,0,0.0,0,0.0,0.0,0.0,0.0,5675,5675,500,2445.5,500,2656.35,22980.15,CE
9,20500,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20500.00,18137,-186,-1.0151176117448015,342,40.64,2518.0,20.34999999999991,0.8147658799271278,9200,7600,350,2501.4,125,2508.3,22980.15,CE
10,20550,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20550.00,247,0,0.0,0,0.0,0.0,0.0,0.0,5675,5675,500,2343.1,500,2558.1,22980.15,CE
11,20600,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20600.00,360,9,2.5641025641025643,54,41.98,2407.7,62.69999999999982,2.6737739872068156,6325,6025,50,2399.45,25,2421.7,22980.15,CE
12,20650,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20650.00,104,0,0.0,0,0.0,0.0,0.0,0.0,5675,5675,500,2117.7,500,2433.3,22980.15,CE
13,20700,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20700.00,307,26,9.252669039145907,29,0.0,2321.3,26.300000000000182,1.1459694989106832,6400,6050,50,2302.7,100,2317.3,22980.15,CE
14,20750,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20750.00,98,13,15.294117647058824,24,33.76,2257.8,-19.399999999999636,-0.8519234147198155,5600,3875,250,2206.2,350,2300.65,22980.15,CE
15,20800,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20800.00,1832,0,0.0,24,0.0,2199.6,14.75,0.6751035540197268,6350,5925,25,2204.0,25,2218.15,22980.15,CE
16,20850,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20850.00,88,0,0.0,0,0.0,0.0,0.0,0.0,5675,5675,500,2059.65,500,2252.35,22980.15,CE
17,20900,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20900.00,644,0,0.0,24,0.0,2099.35,81.04999999999995,4.01575583411782,5875,5725,50,2100.45,25,2121.95,22980.15,CE
18,20950,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20950.00,192,0,0.0,0,0.0,0.0,0.0,0.0,5200,5675,25,2040.0,1500,2138.55,22980.15,CE
19,21000,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21000.00,16400,-640,-3.755868544600939,856,32.88,2020.8,38.950000000000045,1.9653354189267627,7450,6950,100,2004.85,125,2011.85,22980.15,CE
20,21050,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21050.00,152,0,0.0,0,0.0,0.0,0.0,0.0,5175,5675,600,1904.95,500,2026.0,22980.15,CE
21,21100,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21100.00,438,0,0.0,5,40.18,1927.4,30.050000000000182,1.5837879147231761,6700,6300,25,1905.1,25,1919.1,22980.15,CE
22,21150,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21150.00,156,0,0.0,24,29.81,1859.85,30.399999999999864,1.661701604307298,5275,5325,50,1813.5,75,1896.3,22980.15,CE
23,21200,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21200.00,1313,-6,-0.45489006823351025,31,0.0,1799.8,-15.700000000000045,-0.8647755439272953,6850,6400,50,1807.9,25,1817.9,22980.15,CE
24,21250,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21250.00,86,0,0.0,24,0.0,1754.25,50.5,2.964049889948643,5250,5425,25,1712.05,25,1775.35,22980.15,CE
25,21300,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21300.00,480,12,2.5641025641025643,78,27.53,1710.6,1.6499999999998636,0.09655051347317731,6700,6600,25,1705.55,250,1720.2,22980.15,CE
26,21350,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21350.00,58,0,0.0,0,0.0,0.0,0.0,0.0,5675,5875,500,1553.6,500,1722.2,22980.15,CE
27,21400,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21400.00,1244,26,2.134646962233169,36,0.0,1615.85,6.099999999999909,0.3789408293213175,7325,6900,50,1605.25,25,1614.8,22980.15,CE
28,21450,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21450.00,219,0,0.0,27,0.0,1550.9,-10.399999999999864,-0.6661115736885841,6625,6475,25,1552.0,25,1570.55,22980.15,CE
29,21500,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21500.00,12155,-219,-1.7698399870696622,518,0.0,1511.0,6.650000000000091,0.44205138431881486,10650,8425,100,1510.0,125,1511.5,22980.15,CE
30,21550,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21550.00,189,0,0.0,24,0.0,1450.95,-21.049999999999955,-1.4300271739130404,8600,8050,50,1458.25,50,1473.35,22980.15,CE
31,21600,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21600.00,2929,-22,-0.7455099966113182,214,19.27,1413.05,25.5,1.8377716118338077,7550,8525,100,1407.45,25,1413.85,22980.15,CE
32,21650,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21650.00,434,0,0.0,24,0.0,1353.75,48.75,3.7356321839080464,6750,8000,25,1355.85,25,1367.75,22980.15,CE
33,21700,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21700.00,2819,-146,-4.924114671163575,271,0.0,1322.0,19.450000000000045,1.4932248282215688,7350,8625,25,1312.1,50,1317.75,22980.15,CE
34,21750,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21750.00,615,24,4.060913705583756,31,0.0,1215.05,-38.850000000000136,-3.0983332004147166,8950,7975,125,1260.3,25,1268.35,22980.15,CE
35,21800,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE21800.00,9165,-120,-1.2924071082390953,244,19.57,1210.0,7.9500000000000455,0.6613701593111806,10525,8650,25,1209.6,50,1216.45,22980.15,CE
