File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\8_A_M_Metro_2023.mkv,8_A_M_Metro_2023,0.89,.mkv,27511275,8 A.M. Metro,2023,"['Drama', 'Sci-Fi']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Action.Jackson.1988.mp4,Action_Jackson_1988,1.49,.mp4,94612,Action Jackson,1988,"['Action', 'Comedy', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Adipurush 2023.mkv,Adipurush 2023,1.33,.mkv,12915716,Adipurush,2023,"['Action', 'Adventure', 'Drama', 'Fantasy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Agneepath 1990.mkv,Agneepath 1990,1.59,.mkv,98999,Agneepath,1990,"['Action', 'Crime', 'Drama', 'Musical']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Anokha Andaaz 1995.mkv,Anokha Andaaz 1995,0.72,.mkv,400170,Anokha Andaaz,1995,['Romance'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Bhagwaan Dada 1986.mp4,Bhagwaan Dada 1986,0.99,.mp4,186871,Bhagwaan Dada,1986,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Bloody.Daddy.2023.mkv,Bloody_Daddy_2023,2.42,.mkv,27501039,Bloody Daddy,2023,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Chennai Express 2013.mp4,Chennai Express 2013,1.23,.mp4,2112124,Chennai Express,2013,"['Action', 'Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Chhapaak (2020).mkv,Chhapaak (2020),0.95,.mkv,9614460,Chhapaak,2020,"['Biography', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Daag_The_Fire.mp4,Daag_The_Fire,1.15,.mp4,272062,Daag: The Fire,1999,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Darlings.2022.mkv,Darlings_2022,0.71,.mkv,14152140,Darlings,2022,"['Comedy', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Dushman Duniya Ka 1996.mp4,Dushman Duniya Ka 1996,1.24,.mp4,116153,Dushman Duniya Ka,1996,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\OrganizedAdditionAfterFeb2024\1_F\Fida [2004].mp4,Fida [2004],1.03,.mp4,422236,Fida,2004,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller']",Bollywood
