File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
F:\SimplyALI\Cinema_Global_Sorted\2024_Onwards\2\Evil.Dead.Rise.2023.mkv,Evil Dead Rise 2023,1.4,.mkv,13345606,Evil Dead Rise,2023,['Horror'],Eng01
F:\SimplyALI\Cinema_Global_Sorted\2024_Onwards\2\Extraction.2.2023.mkv,Extraction 2 2023,2.83,.mkv,12263384,Extraction II,2023,"['Action', 'Thriller']",Eng01
F:\SimplyALI\Cinema_Global_Sorted\2024_Onwards\2\F9_The_Fast_Saga_2021.mkv,F9 The Fast Saga 2021,3.44,.mkv,5433138,F9: The Fast Saga,2021,"['Action', 'Crime', 'Thriller']",Eng01
F:\SimplyALI\Cinema_Global_Sorted\2024_Onwards\2\Five.Feet.Apart.2019.mkv,Five Feet Apart 2019,1.08,.mkv,6472976,Five Feet Apart,2019,"['Drama', 'Romance']",Eng01
F:\SimplyALI\Cinema_Global_Sorted\2024_Onwards\2\Girls to Buy.2021.mkv,Girls To Buy 2021,1.44,.mkv,11871074,Girls to Buy,2021,['Drama'],Eng01
F:\SimplyALI\Cinema_Global_Sorted\2024_Onwards\2\John Wick - Chapter 3 (2019).mp4,John Wick - Chapter 3 (2019),2.95,.mp4,6146586,John Wick: Chapter 3 - Parabellum,2019,"['Action', 'Crime', 'Thriller']",Eng01
F:\SimplyALI\Cinema_Global_Sorted\2024_Onwards\2\John_Wick_Chapter_4_2023.mkv,John Wick Chapter 4 2023,2.96,.mkv,10366206,John Wick: Chapter 4,2023,"['Action', 'Crime', 'Thriller']",Eng01
F:\SimplyALI\Cinema_Global_Sorted\2024_Onwards\2\Kill_Boksoon.2023.mkv,Kill Boksoon 2023,2.87,.mkv,16900880,Kill Boksoon,2023,"['Action', 'Thriller']",Eng01
F:\SimplyALI\Cinema_Global_Sorted\2024_Onwards\2\Murder_Mystery_2_2023.mkv,Murder Mystery 2 2023,3.43,.mkv,15255288,Murder Mystery 2,2023,"['Action', 'Comedy', 'Crime', 'Mystery', 'Romance']",Eng01
F:\SimplyALI\Cinema_Global_Sorted\2024_Onwards\2\Sisu.2023.mkv,Sisu 2023,1.58,.mkv,8649252,Scrapper,2023,"['Comedy', 'Drama']",Eng01
