File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\2024_MoviesHut\Feb2024\1\A Fistful Of Dollars 1964.mp4,A Fistful Of Dollars 1964,1.58,.mp4,0058461,A Fistful of Dollars,1964,"['Action', 'Drama', 'Western']",Bollywood
D:\Simply_Movies\Bolly\2024_MoviesHut\Feb2024\1\Adaptation  2002.mp4,Adaptation 2002,2.12,.mp4,0268126,Adaptation.,2002,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\2024_MoviesHut\Feb2024\1\Addicted 2014.mp4,Addicted 2014,1.95,.mp4,2205401,Addicted,2014,"['Drama', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\2024_MoviesHut\Feb2024\1\Agni Sakshi 1996.mkv,Agni Sakshi 1996,0.82,.mkv,0115484,Agni Sakshi,1996,"['Drama', 'Musical', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\2024_MoviesHut\Feb2024\1\Baaghi A Rebel For Love 1990.mkv,Baaghi A Rebel For Love 1990,1.28,.mkv,0099080,Baaghi: A Rebel for Love,1990,"['Action', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\2024_MoviesHut\Feb2024\1\Bhakshak 2024.mkv,Bhakshak 2024,3.88,.mkv,27936770,Bhakshak,2024,"['Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\2024_MoviesHut\Feb2024\1\Bol 2011.mkv,Bol 2011,1.25,.mkv,1891757,Bol,2011,['Drama'],Bollywood
D:\Simply_Movies\Bolly\2024_MoviesHut\Feb2024\1\Brave Citizen 2023.mkv,Brave Citizen 2023,1.49,.mkv,22505214,Brave Citizen,2023,"['Action', 'Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\2024_MoviesHut\Feb2024\1\Bridge Of Spies 2015.mkv,Bridge Of Spies 2015,2.66,.mkv,3682448,Bridge of Spies,2015,"['Drama', 'History', 'Thriller', 'War']",Bollywood
D:\Simply_Movies\Bolly\2024_MoviesHut\Feb2024\1\Burning Betrayal 2023.mp4,Burning Betrayal 2023,1.82,.mp4,26787296,Burning Betrayal,2023,"['Drama', 'Mystery', 'Romance', 'Thriller']",Bollywood
