File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet A\A Death in the Gunj (2017).mkv,A Death In The Gunj (2017),2.42,.mkv,5918074,A Death in the Gunj,2016,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet A\A Separation.2011.mkv,A Separation_2011,0.73,.mkv,1832382,A Separation,2011,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet A\Aa Dekhen Zara  2009.mkv,Aa Dekhen Zara 2009,0.86,.mkv,1372681,Aa Dekhen Zara,2009,"['Action', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet A\Aa.Ab.Laut.Chalen.1999.mkv,Aa_Ab_Laut_Chalen_1999,1.34,.mkv,0149568,Aa Ab Laut Chalen,1999,"['Musical', 'Romance', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet A\Aafat_e_Ishq_2021.mkv,Aafat_E_Ishq_2021,1.86,.mkv,12631660,Aafat-e-Ishq,2021,"['Comedy', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet A\Aaj_Ka_MLA_Ram_Avtar_hls_1465.mp4,Aaj_Ka_Mla_Ram_Avtar_Hls_1465,1.41,.mp4,0177496,Aaj Kaa M.L.A. Ram Avtar,1984,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet A\Aakrosh 1980.mp4,Aakrosh 1980,1.26,.mp4,0080322,Aakrosh,1980,"['Crime', 'Drama', 'Music', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet A\Aanchal 1980.mkv,Aanchal 1980,3.71,.mkv,0178185,Aanchal,1980,"['Action', 'Drama', 'Family', 'Comedy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet A\Aandhi (1975).mp4,Aandhi (1975),1.62,.mp4,0178186,Aandhi,1975,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet A\Aankhen (1993).mkv,Aankhen (1993),1.2,.mkv,0106204,Aankhen,1993,"['Action', 'Comedy', 'Crime', 'Thriller']",Bollywood
