File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\B.A.PASS.flv,B_A_Pass,0.31,.flv,21979910,The Passenger,2023,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Baadshaho (2017.mkv,Baadshaho (2017,1.34,.mkv,4906960,Baadshaho,2017,"['Action', 'Adventure', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Baaghi 2000.mkv,Baaghi 2000,1.34,.mkv,0326745,Baaghi,2000,"['Action', 'Crime', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Baaghi.A.Rebel.For.Love.2016.mkv,Baaghi_A_Rebel_For_Love_2016,1.2,.mkv,0099080,Baaghi: A Rebel for Love,1990,"['Action', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Baaghi_2_2018.mkv,Baaghi_2_2018,1.46,.mkv,6843812,Baaghi 2,2018,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Baar Baar Dekho (2016).mkv,Baar Baar Dekho (2016),2.7,.mkv,5197544,Baar Baar Dekho,2016,"['Action', 'Comedy', 'Drama', 'Romance', 'Sci-Fi']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Baarish Aur Chowmein (2018).mkv,Baarish Aur Chowmein (2018),0.88,.mkv,8932884,Baarish Aur Chowmein,2018,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Baat Ban Jaye.mp4,Baat Ban Jaye,1.35,.mp4,0270219,Baat Ban Jaye,1986,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\BaatBanGayi2015.mkv,Baatbangayi2015,0.15,.mkv,2222716,Baat Bann Gayi,2013,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Baby (2015).mkv,Baby (2015),1.21,.mkv,3848892,Baby,2015,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bachna A Haseeno 2008.mkv,Bachna A Haseeno 2008,1.44,.mkv,1182972,Bachna Ae Haseeno,2008,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bade Miyan Chote Miyan.mkv,Bade Miyan Chote Miyan,1.4,.mkv,18072316,Bade Miyan Chote Miyan,2024,"['Action', 'Comedy', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Badhaai Ho (2018).mkv,Badhaai Ho (2018),1.39,.mkv,7725596,Badhaai Ho,2018,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Badla (2019).mkv,Badla (2019),1.41,.mkv,8130968,Badla,2019,"['Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Badlapur 2015.mkv,Badlapur 2015,2.98,.mkv,3678782,Badlapur,2015,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Badman.2016.mkv,Badman_2016,0.98,.mkv,0039152,Angel and the Badman,1947,"['Drama', 'Romance', 'Western']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Badmashiyaan.mp4,Badmashiyaan,1.08,.mp4,4511416,Badmashiyaan,2015,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Badrinath Ki Dulhania (2017).mkv,Badrinath Ki Dulhania (2017),1.2,.mkv,6277440,The Bride of Badrinath,2017,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bahubali (2015).mkv,Bahubali (2015),2.8,.mkv,2631186,Baahubali: The Beginning,2015,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bahubali.2.The.Conclusion.2017.mp4,Bahubali_2_The_Conclusion_2017,2.44,.mp4,4849438,Baahubali 2: The Conclusion,2017,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Baiju Bawra (1952).mkv,Baiju Bawra (1952),0.63,.mkv,0044392,Baiju Bawra,1952,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bailwaan.2019.mkv,Bailwaan_2019,0.68,.mkv,7317482,Pailwaan,2019,"['Action', 'Drama', 'Sport']",Bollywood
