File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Carbon (2017) Short Stor.mkv,Carbon (2017) Short Stor,0.11,.mkv,8495470,2017 'Ohina Short Film Showcase: Tell Your Story,2017,['Short'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Cash (2021).mp4,Cash (2021),0.96,.mp4,18285934,COD Cash on Delivery 2021,2021,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chahat 1996.mkv,Chahat 1996,0.9,.mkv,0172234,Chaahat,1996,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chalk N Duster (2016).mkv,Chalk N Duster (2016),0.98,.mkv,4600778,Chalk N Duster,2016,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chaman Bahaar 2020.mkv,Chaman Bahaar 2020,1.23,.mkv,8747450,Chaman Bahaar,2020,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chamatkar.mkv,Chamatkar,1.45,.mkv,0126234,Chamatkar,1992,"['Comedy', 'Drama', 'Fantasy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chandni 1989.mkv,Chandni 1989,1.2,.mkv,0097045,Chandni,1989,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chandni Bar 2001.mkv,Chandni Bar 2001,1.31,.mkv,0267363,Chandni Bar,2001,"['Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Charlie Kay Chakkar Mein 2015.mkv,Charlie Kay Chakkar Mein 2015,0.84,.mkv,2190820,Charlie Kay Chakkar Mein,2015,['Thriller'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chashme Baddoor 2013.mkv,Chashme Baddoor 2013,0.88,.mkv,2229848,Chashme Baddoor,2013,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chashme Buddoor (1981).mkv,Chashme Buddoor (1981),0.99,.mkv,0082162,Chashme Buddoor,1981,"['Comedy', 'Family', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chehre_2021.mkv,Chehre_2021,1.89,.mkv,10309902,Chehre,2021,"['Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chennai.Express.2013.mkv,Chennai_Express_2013,1.28,.mkv,2112124,Chennai Express,2013,"['Action', 'Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chhailla Babu.mp4,Chhailla Babu,0.91,.mp4,0257475,Chhailla Babu,1977,"['Action', 'Crime', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chhalaang_2020.mkv,Chhalaang_2020,1.36,.mkv,8983164,Chhalaang,2020,"['Comedy', 'Drama', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chhapaak 2020.mkv,Chhapaak 2020,1.01,.mkv,9614460,Chhapaak,2020,"['Biography', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Choked Paisa Bolta Hai.mkv,Choked Paisa Bolta Hai,1.05,.mkv,27712514,Choked: Paisa Bolta Hai,2023,['Talk-Show'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chopsticks (2019).mkv,Chopsticks (2019),0.87,.mkv,10243678,Chopsticks,2019,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Choti.Si.Baat.(1975).avi,Choti_Si_Baat_(1975),1.45,.avi,0315487,Dhoti Lota Aur Chowpatty,1975,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Chudail Story (2016).mkv,Chudail Story (2016),0.84,.mkv,5914630,Chudail Story,2016,"['Horror', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\CityLights.2014.mkv,Citylights_2014,0.98,.mkv,0021749,City Lights,1931,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Cocktail 2012.mkv,Cocktail 2012,1.41,.mkv,2168910,Cocktail,2012,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Commando 2013.avi,Commando 2013,0.68,.avi,2658126,Commando,2013,"['Action', 'Adventure', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Company 2002.mkv,Company 2002,1.0,.mkv,0296574,Company,2002,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Confession of Murder.mkv,Confession Of Murder,0.78,.mkv,2468774,Confession of Murder,2012,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Countdown (2019).mkv,Countdown (2019),0.78,.mkv,10039344,Countdown,2019,"['Horror', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Court_Martial _2020.mkv,Court_Martial _2020,1.01,.mkv,24249946,The Caine Mutiny Court-Martial,2023,"['Drama', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet C\Crook.avi,Crook,0.88,.avi,1753640,Crook: It's Good to Be Bad,2010,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
