File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\D-Day 2013.mkv,D-Day 2013,1.13,.mkv,2385104,D-Day,2013,"['Action', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\D-Day.[2013].mkv,D-Day_[2013],1.07,.mkv,2385104,D-Day,2013,"['Action', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\Daas Dev (2018).mkv,Daas Dev (2018),1.27,.mkv,4979110,Daas Dev,2018,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\Daata.mkv,Daata,0.94,.mkv,0405852,Daata,1989,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\Dabangg 1 2010.mkv,Dabangg 1 2010,2.19,.mkv,1620719,Dabangg,2010,"['Action', 'Comedy', 'Crime']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\Dabangg 2 (2012).mkv,Dabangg 2 (2012),1.45,.mkv,2112131,Dabangg 2,2012,"['Action', 'Comedy', 'Crime']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\Dabangg 3 2019.mkv,Dabangg 3 2019,1.35,.mkv,7059844,Dabangg 3,2019,"['Action', 'Comedy', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\Damayanthi (2020).mkv,Damayanthi (2020),1.47,.mkv,13214716,Damayanti,2020,"['Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\Dangal (2016).mkv,Dangal (2016),4.38,.mkv,5074352,Dangal,2016,"['Action', 'Biography', 'Drama', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\Danger.Close.2019.mp4,Danger_Close_2019,1.04,.mp4,0441881,Danger Close,2019,"['Action', 'Drama', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\Dark.Waters.2019.mp4,Dark_Waters_2019,1.1,.mp4,9071322,Dark Waters,2019,"['Biography', 'Drama', 'History', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet D\Darlings (2022).mkv,Darlings (2022),1.87,.mkv,14152140,Darlings,2022,"['Comedy', 'Drama', 'Thriller']",Bollywood
