File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Eena Meena Deeka (1994).mp4,Eena Meena Deeka (1994),0.69,.mp4,0109710,Eena Meena Deeka,1994,"['Action', 'Comedy', 'Crime']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Ek Aur Zabardust Khiladi (2018).mkv,Ek Aur Zabardust Khiladi (2018),0.82,.mkv,1451763,Villu,2009,"['Action', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Ek Ghar (1991).mp4,Ek Ghar (1991),0.31,.mp4,0231520,Ek Ghar,1991,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Ek Hi Raasta.mp4,Ek Hi Raasta,1.39,.mp4,0106799,Ek Hi Raasta,1993,['Action'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Ek Ka Dum_Nenokkadine) (2014).mkv,Ek Ka Dum_Nenokkadine) (2014),0.44,.mkv,2375559,1: Nenokkadine,2014,"['Action', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Ek Ruka Hua Faisla 1986.mp4,Ek Ruka Hua Faisla 1986,0.89,.mp4,0157571,Ek Ruka Hua Faisla,1986,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Ek Villain 2014.mkv,Ek Villain 2014,0.91,.mkv,3175038,The Villain,2014,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Ek-thi-daayan.avi,Ek-Thi-Daayan,0.68,.avi,2406676,Ek Thi Daayan,2013,"['Horror', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Ek.Tha.Tiger.2012.mkv,Ek_Tha_Tiger_2012,0.78,.mkv,2016894,Ek Tha Tiger,2012,"['Action', 'Adventure', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Ekkees Toppon Ki Salaami (2014).mkv,Ekkees Toppon Ki Salaami (2014),1.11,.mkv,3847072,Ekkees Toppon Ki Salaami,2014,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Ekram (2020).mkv,Ekram (2020),1.11,.mkv,14586424,Esperansa Kram,2020,"['Short', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\English Vinglish 2012.mp4,English Vinglish 2012,1.44,.mp4,2181931,English Vinglish,2012,"['Comedy', 'Drama', 'Family']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Entertainment (2014).mp4,Entertainment (2014),1.27,.mp4,2978626,It's Entertainment,2014,"['Action', 'Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Everest (2015).mkv,Everest (2015),1.15,.mkv,2719848,Everest,2015,"['Action', 'Adventure', 'Biography', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet E\Exposed.2016.mkv,Exposed_2016,0.73,.mkv,4019560,Exposed,2016,"['Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
