File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Falak (HD).mp4,Falak (Hd),0.89,.mp4,9799984,Falaknuma Das,2019,"['Action', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Fanney Khan 2018.mkv,Fanney Khan 2018,1.05,.mkv,6384386,Fanney Khan,2018,"['Comedy', 'Drama', 'Music']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Fashion (2008).mkv,Fashion (2008),1.27,.mkv,0964516,Fashion,2008,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Fever.2016.mkv,Fever_2016,1.1,.mkv,0303816,Cabin Fever,2002,['Horror'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Filmfare Awards (2022).mkv,Filmfare Awards (2022),1.46,.mkv,21997744,67th Wolf777news Filmfare Awards 2022,2022,['Reality-TV'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Filmistaan.2014.mp4,Filmistaan_2014,0.4,.mp4,2417560,Filmistaan,2012,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Finding Fanny 2014.mkv,Finding Fanny 2014,1.46,.mkv,3142688,Finding Fanny,2014,"['Adventure', 'Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Firaaq (2009).mkv,Firaaq (2009),0.69,.mkv,1263679,Firaaq,2008,"['Drama', 'History', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Fitoor (2016).mkv,Fitoor (2016),1.46,.mkv,4399594,Fitoor,2016,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Force.2011.mkv,Force_2011,0.99,.mkv,19768024,Indian Police Force,2024,"['Action', 'Crime']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Ford_Vs_Ferrari.mkv,Ford_Vs_Ferrari,1.16,.mkv,3758542,Ferrari,2023,"['Biography', 'Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Fracture.2007.mkv,Fracture_2007,0.73,.mkv,0488120,Fracture,2007,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Frozen II (2019).mkv,Frozen Ii (2019),0.15,.mkv,4520988,Frozen II,2019,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Fryday (2018).mkv,Fryday (2018),1.41,.mkv,7526836,FryDay,2018,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Fugly (2014).mp4,Fugly (2014),1.12,.mp4,3683702,Fugly,2014,"['Comedy', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Fukrey.2013.mp4,Fukrey_2013,1.23,.mp4,26445483,Fukrey 3,2023,"['Comedy', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet F\Future To Bright Hai Ji 2012.avi,Future To Bright Hai Ji 2012,0.6,.avi,2253708,Future to Bright Hai Ji,2012,['Drama'],Bollywood
