File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gadar_Ek_Prem_Katha_2001.mkv,Gadar_Ek_Prem_Katha_2001,1.46,.mkv,0284137,Gadar: Ek Prem Katha,2001,"['Action', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gafla Movie Hindi.mp4,Gafla Movie Hindi,0.39,.mp4,30526103,"Netflix Gets SLAMMED After New Obama Movie HATES On White People | ""Leave The World Behind"" BACKLASH",2023,['Talk-Show'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gandhi 1982.mkv,Gandhi 1982,1.29,.mkv,0083987,Gandhi,1982,"['Biography', 'Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\GangaaJal.mkv,Gangaajal,0.42,.mkv,0373856,Gangaajal,2003,"['Action', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gangaa_Jamuna_Saraswathi_1988.mp4,Gangaa_Jamuna_Saraswathi_1988,1.12,.mp4,0095198,Gangaa Jamunaa Saraswathi,1988,"['Action', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gangs of New York.mp4,Gangs Of New York,0.98,.mp4,0217505,Gangs of New York,2002,"['Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gangs of Wasseypur I [2012].mkv,Gangs Of Wasseypur I [2012],1.44,.mkv,1954470,Gangs of Wasseypur,2012,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gangs of Wasseypur II 2012.mkv,Gangs Of Wasseypur Ii 2012,1.0,.mkv,1954470,Gangs of Wasseypur,2012,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gangubai_Kathiawadi_2022.mkv,Gangubai_Kathiawadi_2022,1.49,.mkv,10083340,Gangubai Kathiawadi,2022,"['Biography', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Garam_Masala_2005.mkv,Garam_Masala_2005,1.07,.mkv,0453671,Garam Masala,2005,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gargi_2022.mkv,Gargi_2022,2.1,.mkv,21261388,Gargi,2022,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Garv.2004.mp4,Garv_2004,1.09,.mp4,0459614,2004 Jammys: The Theatre at Madison Square Garden,2004,['Music'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gattu (2012).avi,Gattu (2012),0.68,.avi,1492701,Symphony in August,2009,['Animation'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gautamiputra Satakarni (2017).mkv,Gautamiputra Satakarni (2017),1.92,.mkv,5832544,Gautamiputra Satakarni,2017,"['Action', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Geetha_Govindam_2018.mkv,Geetha_Govindam_2018,0.75,.mkv,8590896,Geetha Govindam,2018,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gehraiyaan (2022).mkv,Gehraiyaan (2022),1.23,.mkv,10733228,Gehraiyaan,2022,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gehraiyaan_2022.mkv,Gehraiyaan_2022,1.66,.mkv,10733228,Gehraiyaan,2022,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gehri Chaal 1973.mp4,Gehri Chaal 1973,0.75,.mp4,0070097,Gehri Chaal,1973,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Ghar Ek Mandir 1984.mkv,Ghar Ek Mandir 1984,1.4,.mkv,0154531,Ghar Ek Mandir,1984,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Ghatak (1996).mp4,Ghatak (1996),0.64,.mp4,0116407,Ghatak: Lethal,1996,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Ghazab Tamasha (1992).mp4,Ghazab Tamasha (1992),1.37,.mp4,0395557,Ghazab Tamasha,1992,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Ghulami 1985.mp4,Ghulami 1985,1.4,.mp4,0089201,Ghulami,1985,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Go.Goa.Gone.2013.mkv,Go_Goa_Gone_2013,0.84,.mkv,2436516,Go Goa Gone,2013,"['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\God Father 2022.mkv,God Father 2022,0.68,.mkv,13130308,Godfather,2022,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gold (2018).mkv,Gold (2018),1.43,.mkv,6173990,Gold,2018,"['Drama', 'History', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Goliyon Ki Raasleela Ram Leela 2013.mkv,Goliyon Ki Raasleela Ram Leela 2013,1.69,.mkv,2215477,Goliyon Ki Raasleela Ram Leela,2013,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Golmaal 2006.mp4,Golmaal 2006,2.06,.mp4,0495034,Golmaal Fun Unlimited,2006,"['Action', 'Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Golmaal 3 2010.mp4,Golmaal 3 2010,1.94,.mp4,1562859,Golmaal 3,2010,"['Action', 'Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Golmaal Again (2017).mkv,Golmaal Again (2017),1.3,.mkv,1806913,Golmaal Again,2017,"['Action', 'Comedy', 'Fantasy', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Golmaal Fun Unlimited 2006.mkv,Golmaal Fun Unlimited 2006,1.24,.mkv,0495034,Golmaal Fun Unlimited,2006,"['Action', 'Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\GolMaal Returns 2008.mkv,Golmaal Returns 2008,2.18,.mkv,1092005,Golmaal Returns,2008,"['Comedy', 'Crime', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Goodbye_2022.Mkv,Goodbye_2022,1.09,.Mkv,0070334,The Long Goodbye,1973,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet G\Gopi 1970.mp4,Gopi 1970,0.99,.mp4,0141135,Gopi,1970,"['Action', 'Comedy', 'Drama', 'Family']",Bollywood
