File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Haan Maine Bhi Pyaar Kiya.mp4,Haan Maine Bhi Pyaar Kiya,1.42,.mp4,0308347,Haan Maine Bhi Pyar Kiya,2002,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Haasil.mp4,Haasil,0.65,.mp4,0362696,Haasil,2003,"['Crime', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Haatim Tai 1990.mkv,Haatim Tai 1990,1.08,.mkv,0242509,Haatim Tai,1990,"['Drama', 'Fantasy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\HACKED (2020).mkv,Hacked (2020),0.69,.mkv,11027850,Hacked,2020,['Thriller'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hadh_Kar_Di_Aapne.mkv,Hadh_Kar_Di_Aapne,1.46,.mkv,0244528,Hadh Kar Di Aapne,2000,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Haider (2014).mkv,Haider (2014),1.27,.mkv,3390572,Haider,2014,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Halahal_2020.mkv,Halahal_2020,1.44,.mkv,9875128,Halahal,2020,"['Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Half Fry.avi,Half Fry,1.46,.avi,14575344,Half fry,2009,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Half Girlfriend 2017.mkv,Half Girlfriend 2017,0.99,.mkv,5474042,Half Girlfriend,2017,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hamara Sansar 1978.mkv,Hamara Sansar 1978,0.63,.mkv,0254371,Hamaara Sansaar,1978,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hamari Adhuri Kahani 2015.mkv,Hamari Adhuri Kahani 2015,1.47,.mkv,3483612,Hamari Adhuri Kahani,2015,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Happy Phirr Bhag Jayegi (2018).mkv,Happy Phirr Bhag Jayegi (2018),1.32,.mkv,7881542,Happy Phirr Bhag Jayegi,2018,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hare Rama Hare Krishna (1971).mkv,Hare Rama Hare Krishna (1971),0.68,.mkv,0067183,Haré Rama Haré Krishna,1971,"['Drama', 'Musical']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Haseen Dilruba 2021.mkv,Haseen Dilruba 2021,0.82,.mkv,11027830,Haseen Dillruba,2021,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Haseena (2018).mkv,Haseena (2018),0.97,.mkv,7335176,Haseena,2018,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Haseena Parkar.2017.mkv,Haseena Parkar_2017,1.03,.mkv,6512784,Haseena,2017,"['Biography', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hate Story ( 2012 ).mkv,Hate Story ( 2012 ),1.08,.mkv,2309987,Hate Story,2012,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hate Story 2 [2014].mkv,Hate Story 2 [2014],0.93,.mkv,3619772,Hate Story 2,2014,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hate Story 3 (2015).mkv,Hate Story 3 (2015),0.95,.mkv,4865436,Hate Story 3,2015,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hate Story 4 (2018).mkv,Hate Story 4 (2018),0.69,.mkv,5325684,Hate Story IV,2018,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Haunt (2019).mkv,Haunt (2019),0.84,.mkv,6535880,Haunt,2019,"['Horror', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Haunted.2011.mkv,Haunted_2011,0.01,.mkv,1695843,Haunted Mansion,2023,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Horror', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hawa.mkv,Hawa,1.84,.mkv,0369516,Hawa,2003,"['Drama', 'Horror', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hazaaro.Khwaishein.2005.mkv,Hazaaro_Khwaishein_2005,1.31,.mkv,0411469,Hazaaron Khwaishein Aisi,2003,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Helmet.2021.mkv,Helmet_2021,0.81,.mkv,11460818,Helmet,2021,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hera Pheri (2000).mkv,Hera Pheri (2000),0.87,.mkv,0242519,Hera Pheri,2000,"['Action', 'Comedy', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet H\Hera Pheri.mp4,Hera Pheri,1.24,.mp4,0242519,Hera Pheri,2000,"['Action', 'Comedy', 'Crime', 'Drama']",Bollywood
