File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Dhoom 2 2006.mp4,Dhoom 2 2006,1.45,.mp4,0441048,Dhoom 2,2006,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Golden Slumber 2018.mkv,Golden Slumber 2018,0.83,.mkv,6485776,Golden Slumber,2018,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\I Am Kalam (2010).avi,I Am Kalam (2010),0.96,.avi,1805263,I Am Kalam,2010,"['Comedy', 'Drama', 'Family']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\I Am Number Four 2011 Hindi.mkv,I Am Number Four 2011 Hindi,0.54,.mkv,1464540,I Am Number Four,2011,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Identity Card Ek Lifeline.mp4,Identity Card Ek Lifeline,0.78,.mp4,2220828,Identity Card,2014,"['Comedy', 'Drama', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\iiFA Rocks (2022).mkv,Iifa Rocks (2022),0.98,.mkv,20871288,Life of a Rockstar: Kid Rock,2022,"['Documentary', 'Short']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Ijaazat.mkv,Ijaazat,0.4,.mkv,0091256,Permission,1987,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Indias Most Wanted (2019).mkv,Indias Most Wanted (2019),1.17,.mkv,8484942,India's Most Wanted,2019,"['Action', 'Adventure', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Indu Sarkar (2017).mkv,Indu Sarkar (2017),1.36,.mkv,6620324,Indu Sarkar,2017,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Inkaar.mp4,Inkaar,0.41,.mp4,2094854,Inkaar,2013,"['Drama', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Insan Jag Utha.mp4,Insan Jag Utha,0.55,.mp4,0087492,Jaag Utha Insan,1984,"['Drama', 'Family']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Insaniyat.avi,Insaniyat,0.73,.avi,0110140,Insaniyat,1994,"['Action', 'Crime', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Irada 2017.mkv,Irada 2017,1.45,.mkv,6467738,Irada,2017,"['Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Ishkq In Paris.avi,Ishkq In Paris,0.68,.avi,1986040,Ishkq in Paris,2013,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Ishqedariyan.mkv,Ishqedariyan,0.34,.mkv,4610308,Ishqedarriyaan,2015,['Romance'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Ishqeria.2018.mkv,Ishqeria_2018,1.43,.mkv,2802062,Ishqeria,2018,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\iSmart_Shankar_2019.mkv,Ismart_Shankar_2019,1.24,.mkv,9558468,iSmart Shankar,2019,"['Action', 'Crime', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Issaq (2013).mkv,Issaq (2013),0.68,.mkv,2215163,Issaq,2013,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Itni Si Baat (1981).mp4,Itni Si Baat (1981),1.25,.mp4,0371747,Itni Si Baat,1981,"['Comedy', 'Family']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet I\Ittefaq (2017).mkv,Ittefaq (2017),2.32,.mkv,6692354,Ittefaq,2017,"['Crime', 'Mystery', 'Thriller']",Bollywood
