File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\K.G.F Chapter 1 - 2018.mkv,K_G_F Chapter 1 - 2018,1.34,.mkv,7838252,K.G.F: Chapter 1,2018,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\K3G.mkv,K3G,0.54,.mkv,0248126,Kabhi Khushi Kabhie Gham...,2001,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kaabil.2017.mkv,Kaabil_2017,3.0,.mkv,5460276,Kaabil,2017,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kaagaz Ke Fools_ 2015.mkv,Kaagaz Ke Fools_ 2015,0.29,.mkv,2962230,Kaagaz Ke Fools,2015,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kaala 20188.mkv,Kaala 20188,1.33,.mkv,8576200,JVG at Emma Gaala 2018 (Finnish Grammys),2018,['Talk-Show'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kaala Patthar 1979.avi,Kaala Patthar 1979,1.24,.avi,0079386,Kaala Patthar,1979,"['Action', 'Drama', 'History', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\KAALI KHUHI (2020).mkv,Kaali Khuhi (2020),1.37,.mkv,10235600,Kaali Khuhi,2020,"['Drama', 'Horror', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kaamyaab (2020).mkv,Kaamyaab (2020),1.17,.mkv,7881550,Har Kisse Ke Hisse: Kaamyaab,2018,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kaanchi.mkv,Kaanchi,0.39,.mkv,3038772,Kaanchi,2014,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kaante 2002.mp4,Kaante 2002,1.28,.mp4,0294662,Kaante,2002,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kaash.mp4,Kaash,1.79,.mp4,0156691,Kaash,1987,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kaashmora (2017).mp4,Kaashmora (2017),1.61,.mp4,5980232,Kaashmora,2016,"['Action', 'Comedy', 'Fantasy', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kabhi Haan Kabhi Na.mkv,Kabhi Haan Kabhi Na,0.42,.mkv,0110222,Kabhi Haan Kabhi Naa,1994,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kabhi_Na_Kabhi_1998.mkv,Kabhi_Na_Kabhi_1998,1.4,.mkv,0248126,Kabhi Khushi Kabhie Gham...,2001,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kabir Singh 2019.mkv,Kabir Singh 2019,1.37,.mkv,8983202,Kabir Singh,2019,"['Action', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kadakh 2020.mkv,Kadakh 2020,0.89,.mkv,12115998,To Catch the Kaidash,2020,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kahaani (2012).mp4,Kahaani (2012),0.98,.mp4,1821480,Kahaani,2012,"['Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kahaani 2 (2016).mkv,Kahaani 2 (2016),1.1,.mkv,5477608,Kahaani 2,2016,"['Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kai Po Che [2013].mkv,Kai Po Che [2013],0.38,.mkv,2213054,Kai Po Che,2013,"['Drama', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kajarya (2015)b.mkv,Kajarya (2015)B,0.93,.mkv,3261022,Kajarya,2013,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kalicharan.1976.mp4,Kalicharan_1976,1.49,.mp4,0214832,Kalicharan,1976,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kamasutra 3D (2014).mkv,Kamasutra 3D (2014),0.89,.mkv,2527238,Kamasutra 3D,2013,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kandukondain_Kandukondain_2000.avi,Kandukondain_Kandukondain_2000,1.37,.avi,0242572,Kandukondain Kandukondain,2000,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kanpuriye_2019.mkv,Kanpuriye_2019,0.51,.mkv,9766310,Kanpuriye,2019,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kapoor.and.Sons.2016.mp4,Kapoor_And_Sons_2016,2.02,.mp4,4900716,Kapoor & Sons,2016,"['Comedy', 'Drama', 'Family', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Karachi se Lahore.mkv,Karachi Se Lahore,0.39,.mkv,4590482,Karachi Se Lahore,2015,"['Adventure', 'Comedy', 'Family', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Karar_The_Deal_2014.mkv,Karar_The_Deal_2014,1.22,.mkv,3565354,Karar: The Deal,2014,['Thriller'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Karma_1986.mp4,Karma_1986,1.06,.mp4,2488744,The Karman Line,2014,"['Short', 'Drama', 'Family', 'Fantasy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Karz 1980.mkv,Karz 1980,1.18,.mkv,0214841,Karz,1980,"['Action', 'Musical', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kasam Paida Karne Wale Ki 1984.mkv,Kasam Paida Karne Wale Ki 1984,1.3,.mkv,0362798,Kasam Paida Karne Wale Ki,1984,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Kasganj _2019.mkv,Kasganj _2019,1.25,.mkv,10044896,Kasganj,2019,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet K\Katha.(1983).mkv,Katha_(1983),1.21,.mkv,0085776,Katha,1983,"['Comedy', 'Drama']",Bollywood
