File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Laal Kabootar (2019).mkv,Laal Kabootar (2019),0.83,.mkv,9373234,Laal Kabootar,2019,"['Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Laal Rang (2016).mkv,Laal Rang (2016),1.21,.mkv,5600714,Laal Rang,2016,"['Comedy', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lagaan.mkv,Lagaan,0.68,.mkv,0169102,Lagaan: Once Upon a Time in India,2001,"['Drama', 'Musical', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lage Raho Munna Bhai 2006.mkv,Lage Raho Munna Bhai 2006,1.37,.mkv,0456144,Lage Raho Munna Bhai,2006,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lahore 2010.avi,Lahore 2010,0.87,.avi,1285245,Lahore,2010,"['Action', 'Drama', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lajja.2001.avi,Lajja_2001,0.67,.avi,0293342,Lajja,2001,"['Action', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lakhon_Ki_Baat_1984.mkv,Lakhon_Ki_Baat_1984,0.34,.mkv,0157917,Lakhon Ki Baat,1984,"['Comedy', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lal Patthar 1971.mp4,Lal Patthar 1971,1.32,.mp4,0237395,Lal Patthar,1971,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lamhaa.avi,Lamhaa,0.68,.avi,1309561,Lamhaa: The Untold Story of Kashmir,2010,"['Action', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lamhe 1991.mkv,Lamhe 1991,1.44,.mkv,0102258,Lamhe,1991,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lanka (With English Subtitles).mp4,Lanka (With English Subtitles),0.83,.mp4,1034439,English Language (with English Subtitles),2007,"['Short', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lara Croft.Tomb.Raider.The.Cradle.Of.Life.2003.mkv,Lara Croft_Tomb_Raider_The_Cradle_Of_Life_2003,0.98,.mkv,0325703,Lara Croft: Tomb Raider - The Cradle of Life,2003,"['Action', 'Adventure', 'Fantasy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Laxmii (2020).mkv,Laxmii (2020),1.37,.mkv,10350922,Laxmii,2020,"['Action', 'Comedy', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Life In A Metro.mp4,Life In A Metro,0.34,.mp4,0800956,Life in a Metro,2007,"['Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Life Ki Toh Lag Gayi.avi,Life Ki Toh Lag Gayi,0.68,.avi,2327389,Life Ki Toh Lag Gayi,2012,"['Action', 'Comedy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Life Partner 2009.mkv,Life Partner 2009,1.15,.mkv,1229366,Life Partner,2009,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Life.of.Pi.2012.mp4,Life_Of_Pi_2012,1.0,.mp4,12300660,2019: A Year in the Life of a Year,2020,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lion 2016.mkv,Lion 2016,3.25,.mkv,3741834,Lion,2016,"['Biography', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Lion Shiva (2018).mkv,Lion Shiva (2018),0.74,.mkv,7994070,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,2018,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet L\Listen-amaya2013.avi,Listen-Amaya2013,0.68,.avi,2224313,Listen... Amaya,2013,['Drama'],Bollywood
