File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\M.A.D - Mad About Dance .mp4,M_A_D - Mad About Dance,1.47,.mp4,3814100,M.A.D: Mad About Dance,2014,"['Drama', 'Music']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\M.S. Dhoni The Untold Story (2016).mkv,M_S_ Dhoni The Untold Story (2016),1.4,.mkv,4169250,M.S. Dhoni: The Untold Story,2016,"['Biography', 'Drama', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Maachis 1996.mkv,Maachis 1996,1.18,.mkv,0116950,Maachis,1996,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Madaari (2016).mkv,Madaari (2016),1.0,.mkv,5713232,Madaari,2016,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Made.in.china2019.mkv,Made_In_China2019,1.24,.mkv,7353808,Sing! China,2016,"['Music', 'Reality-TV']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Madhumati_1978.mp4,Madhumati_1978,0.82,.mp4,0050665,Madhumati,1958,"['Fantasy', 'Musical', 'Mystery', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Madly_2016.m4v,Madly_2016,1.36,.m4v,0103129,Truly Madly Deeply,1990,"['Comedy', 'Drama', 'Fantasy', 'Music', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Madness_In_The_Desert_2004.mkv,Madness_In_The_Desert_2004,1.14,.mkv,3278006,Madness in the Desert: Paris to Dakar Rally,2013,"['Documentary', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Madras Cafe (2013).mkv,Madras Cafe (2013),0.68,.mkv,2855648,Madras Cafe,2013,"['Action', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Maine Pyar Kiya 1989.mkv,Maine Pyar Kiya 1989,2.29,.mkv,0100095,When Love Calls,1989,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Majili (2019).mkv,Majili (2019),1.39,.mkv,8737614,Majili,2019,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Majnu.2016.mkv,Majnu_2016,1.03,.mkv,13131232,Mission Majnu,2023,"['Action', 'Drama', 'History', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Major Saab 1998.mkv,Major Saab 1998,1.62,.mkv,0172761,Major Saab,1998,"['Action', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Malang (2020).mkv,Malang (2020),1.35,.mkv,9877170,Malang,2020,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Malayankunju_2022.mkv,Malayankunju_2022,2.81,.mkv,13640946,Malayankunju,2022,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet M\Man Mandir 1971.mp4,Man Mandir 1971,1.68,.mp4,0157964,Man Mandir,1971,"['Drama', 'Family']",Bollywood
