File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\N.H 10 (2015).mkv,N_H 10 (2015),0.91,.mkv,3742284,NH 10,2015,"['Action', 'Crime', 'Drama', 'Horror', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Nagin 1976.mp4,Nagin 1976,0.71,.mp4,0074949,Nagin,1976,"['Fantasy', 'Thriller', 'Action', 'Musical']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Nagina_1986.mkv,Nagina_1986,0.72,.mkv,0091601,Nagina,1986,"['Fantasy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Nagin_1976.mkv,Nagin_1976,1.18,.mkv,3104236,Nagi-Asu: A Lull in the Sea,2013,"['Animation', 'Drama', 'Fantasy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Namak Haraam (1973).mkv,Namak Haraam (1973),1.12,.mkv,0070434,Namak Haraam,1973,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Namastey London.mp4,Namastey London,1.26,.mp4,0795434,Namastey London,2007,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Naram Garam 1981.avi,Naram Garam 1981,1.75,.avi,0082796,Naram Garam,1981,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Naughty @ 40.mp4,Naughty @ 40,0.6,.mp4,1363125,Naughty @ 40,2011,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Nauker (1979).avi,Nauker (1979),1.21,.avi,0079614,Nauker,1979,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\NAYA DAUR(1957).mp4,Naya Daur(1957),0.79,.mp4,0050758,Naya Daur,1957,"['Action', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Naya Kadam.mkv,Naya Kadam,1.14,.mkv,0187344,Naya Kadam,1984,"['Drama', 'Family', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Naya Zamana.mp4,Naya Zamana,0.94,.mp4,0067478,Naya Zamana,1971,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\NeelKamal 1968.mp4,Neelkamal 1968,0.56,.mp4,0148523,Neel Kamal,1968,"['Drama', 'Fantasy', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Neerja 2016.mkv,Neerja 2016,1.0,.mkv,5286444,Neerja,2016,"['Biography', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Nehle Pe Dehla (2018).mkv,Nehle Pe Dehla (2018),1.16,.mkv,5583070,Nehle Pe Dehla,1999,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Nehle Pe Dehla 1976.mp4,Nehle Pe Dehla 1976,1.46,.mp4,0074955,Nehle Pe Dehlaa,1976,"['Action', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Net.2021.mkv,Net_2021,0.62,.mkv,13784818,Big Brother Netherlands 2021,2021,['Reality-TV'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\New Raatchasan [2018].mkv,New Raatchasan [2018],1.45,.mkv,7060344,Raatchasan,2018,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Nil Battey Sannata (2016).mkv,Nil Battey Sannata (2016),0.89,.mkv,5005684,Nil Battey Sannata,2015,"['Drama', 'Family']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Nirahua Rickshawala 2.mp4,Nirahua Rickshawala 2,1.94,.mp4,29083961,Nirahua Rikshawala 2,2015,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Nirdosh.mkv,Nirdosh,1.37,.mkv,7723022,Nirdosh,2018,"['Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet N\Nishant (1975).mp4,Nishant (1975),0.32,.mp4,0073458,Nishant,1975,"['Crime', 'Drama']",Bollywood
