File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet O\Official Secrets 2019.mkv,Official Secrets 2019,0.78,.mkv,5431890,Official Secrets,2019,"['Biography', 'Crime', 'Drama', 'Thriller', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet O\Oh Darling Yeh Hai India 1995.mp4,Oh Darling Yeh Hai India 1995,1.2,.mp4,0114031,Oh Darling Yeh Hai India,1995,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet O\Om Jai Jagadish (2002).mp4,Om Jai Jagadish (2002),1.79,.mp4,0327071,Om Jai Jagadish,2002,"['Drama', 'Musical', 'Romance', 'Sci-Fi']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet O\Om.Shanti.Om.2007.mp4,Om_Shanti_Om_2007,2.48,.mp4,0078801,Ashanti,1979,"['Action', 'Adventure', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet O\Omkara 2006.mkv,Omkara 2006,1.25,.mkv,0488414,Omkara,2006,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet O\Once Upon A Time In Mumbaai 2010.mkv,Once Upon A Time In Mumbaai 2010,2.77,.mkv,1395054,Once Upon a Time in Mumbaai,2010,"['Action', 'Crime', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet O\Once.Upon.A.Time.....In.Hollywood.2019.mkv,Once_Upon_A_Time_____In_Hollywood_2019,1.39,.mkv,7131622,Once Upon a Time in Hollywood,2019,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet O\One 2017 [Bengali].mkv,One 2017 [Bengali],2.05,.mkv,6847440,Flames: Bengali,2017,"['Short', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet O\One By Two (2014).mp4,One By Two (2014),0.67,.mp4,2951576,One by Two,2014,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet O\One Day Justice Delivered 2019.mkv,One Day Justice Delivered 2019,0.98,.mkv,8130558,One Day: Justice Delivered,2019,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet O\Open Water 3 Cage Dive (2017).mkv,Open Water 3 Cage Dive (2017),0.86,.mkv,4126568,Open Water 3: Cage Dive,2017,"['Adventure', 'Drama', 'Horror', 'Thriller']",Bollywood
