File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\P Se PM Tak (2015).mkv,P Se Pm Tak (2015),0.87,.mkv,3255586,P Se PM Tak,2015,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Paan.Singh.Tomar.(2012).mkv,Paan_Singh_Tomar_(2012),1.19,.mkv,1620933,Paan Singh Tomar,2012,"['Action', 'Biography', 'Crime', 'Sport', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Pacific Rim Uprising (2018).mkv,Pacific Rim Uprising (2018),1.18,.mkv,2557478,Pacific Rim: Uprising,2018,"['Action', 'Adventure', 'Sci-Fi']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Padmaavat_2019.mp4,Padmaavat_2019,1.42,.mp4,5935704,Padmaavat,2018,"['Drama', 'History', 'Romance', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Padman (2018).mkv,Padman (2018),1.33,.mkv,7218518,Pad Man,2018,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Padmavyuha_2022.mkv,Padmavyuha_2022,1.31,.mkv,1228997,Padmavyuham,1984,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Padosan (1968).mkv,Padosan (1968),1.45,.mkv,0063404,Padosan,1968,"['Comedy', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Pagla Ghoda 2017.mkv,Pagla Ghoda 2017,1.42,.mkv,6918248,Pagla Ghoda,2017,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Paglalpanti.mkv,Paglalpanti,1.22,.mkv,9495690,Pagalpanti,2019,"['Action', 'Comedy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Panipat (2019).mkv,Panipat (2019),1.34,.mkv,8176040,Panipat,2019,"['Action', 'Drama', 'History', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Pankh.2010.mkv,Pankh_2010,0.89,.mkv,0363413,Agni Pankh,2004,"['Action', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Parasite (2019).mkv,Parasite (2019),0.48,.mkv,6751668,Parasite,2019,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Parched (2016).mkv,Parched (2016),0.97,.mkv,5745852,Parched,2016,"['Short', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Pari (2018).mkv,Pari (2018),1.41,.mkv,7329858,Pari,2018,"['Fantasy', 'Horror', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Parinda (1989).mkv,Parinda (1989),1.11,.mkv,0102636,Parinda,1989,"['Action', 'Crime', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Parineeta.2005.mp4,Parineeta_2005,1.29,.mp4,0437407,Parineeta,2005,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Parmanu The Story Of Pokhran 2018.mkv,Parmanu The Story Of Pokhran 2018,1.04,.mkv,6826438,Parmanu: The Story of Pokhran,2018,"['Action', 'Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Pasand Apni Apni.mp4,Pasand Apni Apni,1.41,.mp4,0158071,Pasand Apni Apni,1983,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Pataal Bhairavi 1985.mp4,Pataal Bhairavi 1985,1.79,.mp4,0154998,Pataal Bhairavi,1985,"['Drama', 'Fantasy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet P\Pathar Ke Insan_Jackie.mp4,Pathar Ke Insan_Jackie,1.45,.mp4,0187395,Pathar Ke Insan,1990,"['Action', 'Drama', 'Thriller']",Bollywood
