File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
F:\SimplyALI\\Cinema_Global_Sorted\~$Denzel Washington Movies list.xlsx,~$Denzel Washington Movies List,0.0,.xlsx,7539298,The Next 27 Denzel Washington Movies,2015,['Comedy'],Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\10 Things I Hate About You.avi,10 Things I Hate About You,0.68,.avi,0147800,10 Things I Hate About You,1999,"['Comedy', 'Drama', 'Romance']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\10 Years.avi,10 Years,0.68,.avi,1715873,10 Years,2011,"['Comedy', 'Drama', 'Romance']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\10000 BC.avi,10000 Bc,0.69,.avi,0443649,"10,000 BC",2008,"['Action', 'Adventure', 'Drama', 'Fantasy', 'History']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\11-11-11.mp4,11-11-11,0.54,.mp4,0240772,Ocean's Eleven,2001,"['Crime', 'Thriller']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\12 Strong.mkv,12 Strong,1.23,.mkv,1413492,12 Strong,2018,"['Action', 'Drama', 'History', 'War']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\12 Years a Slave.mp4,12 Years A Slave,0.85,.mp4,2024544,12 Years a Slave,2013,"['Biography', 'Drama', 'History']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\13 Eerie 2013.mp4,13 Eerie 2013,0.68,.mp4,2082152,13 Eerie,2013,['Horror'],Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\13 Going on 30.m4v,13 Going On 30,0.72,.m4v,0337563,13 Going on 30,2004,"['Comedy', 'Fantasy', 'Romance']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\1408.mkv,1408,0.6,.mkv,0450385,1408,2007,"['Fantasy', 'Horror', 'Mystery']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\16 Blocks.mkv,16 Blocks,0.76,.mkv,0450232,16 Blocks,2006,"['Action', 'Drama', 'Thriller']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\18 Goodfellas.mp4,18 Goodfellas,0.68,.mp4,0099685,Goodfellas,1990,"['Biography', 'Crime', 'Drama']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\2 22.mkv,2 22,2.29,.mkv,1131724,2:22,2017,"['Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\21 And Over.mp4,21 And Over,0.3,.mp4,1711425,21 & Over,2013,['Comedy'],Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\21 And Over.mp4,21 And Over,0.3,.mp4,1711425,21 & Over,2013,['Comedy'],Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\21 And Over.srt,21 And Over,0.0,.srt,1711425,21 & Over,2013,['Comedy'],Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\21 And Over.srt,21 And Over,0.0,.srt,1711425,21 & Over,2013,['Comedy'],Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\21 Bridges.mkv,21 Bridges,1.9,.mkv,8688634,21 Bridges,2019,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\21.avi,21,0.68,.avi,0478087,21,2008,"['Crime', 'Drama', 'Thriller']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\24 Hours to Live.mkv,24 Hours To Live,3.24,.mkv,5442456,24 Hours to Live,2017,"['Action', 'Sci-Fi', 'Thriller']",Eng01
F:\SimplyALI\\Cinema_Global_Sorted\0_Alpha\24 Hours to Live.mkv,24 Hours To Live,3.24,.mkv,5442456,24 Hours to Live,2017,"['Action', 'Sci-Fi', 'Thriller']",Eng01
