File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\L_Alpha\Last Three Days.mkv,Last Three Days,0.97,.mkv,6794504,Last Three Days,2020,"['Action', 'Crime', 'Mystery', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\L_Alpha\Lawless_2012.mkv,Lawless 2012,1.02,.mkv,1212450,Lawless,2012,"['Biography', 'Crime', 'Drama']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\L_Alpha\P2.mp4,P2,0.77,.mp4,0804516,P2,2007,"['Crime', 'Horror', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\L_Alpha\Pacific.Rim.2013.mp4,Pacific Rim 2013,1.65,.mp4,1663662,Pacific Rim,2013,"['Action', 'Adventure', 'Sci-Fi']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\L_Alpha\Paddanandi Premalo Mari 2015.flv,Paddanandi Premalo Mari 2015,0.47,.flv,14563970,Paddanandi Premalo Mari,2015,['Drama'],Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\L_Alpha\Passengers 09.avi,Passengers 09,0.69,.avi,21979910,The Passenger,2023,"['Drama', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\L_Alpha\Pathfinder.avi,Pathfinder,0.68,.avi,0446013,Pathfinder,2007,"['Action', 'Adventure', 'Drama', 'War']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\L_Alpha\Pay the Ghost.mp4,Pay The Ghost,0.81,.mp4,3733778,Pay the Ghost,2015,"['Horror', 'Mystery']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\L_Alpha\Paycheck.avi,Paycheck,0.69,.avi,0338337,Paycheck,2003,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\L_Alpha\People.Like.Us.2012.mp4,People Like Us 2012,0.73,.mp4,1716777,People Like Us,2012,"['Comedy', 'Drama']",Eng02
