File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\2.0 (2018).mkv,2_0 (2018),1.42,.mkv,9646546,Dimension 20,2018,"['Adventure', 'Comedy', 'Fantasy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\A Gentleman.2017.mkv,A Gentleman_2017,3.0,.mkv,5177120,The Ministry of Ungentlemanly Warfare,2024,"['Drama', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\A Patient Man 2019.mp4,A Patient Man 2019,0.81,.mp4,26246748,"Austin Film Festival 2019 Interview: ""A Patient Man""",2019,['Documentary'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Ala Vaikunthapurramuloo 2020.mkv,Ala Vaikunthapurramuloo 2020,1.41,.mkv,9537292,Ala Vaikunthapurramuloo,2020,"['Action', 'Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\An.Interview.with.God.2018..mkv,An_Interview_With_God_2018_,0.78,.mkv,14921986,Interview with the Vampire,2022,"['Drama', 'Fantasy', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Arctic.2018.mkv,Arctic_2018,0.93,.mkv,6820256,Arctic,2018,"['Adventure', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Backstabbing.for.Beginners.2018.mkv,Backstabbing_For_Beginners_2018,0.98,.mkv,5153288,Backstabbing for Beginners,2018,"['Drama', 'History', 'Mystery', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Blindspotting.2018.mkv,Blindspotting_2018,0.83,.mkv,7242142,Blindspotting,2018,"['Comedy', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Brothers.2009.mp4,Brothers_2009,0.68,.mp4,17632862,The Brothers Sun,2024,"['Action', 'Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Bundal Baaz (1976).mp4,Bundal Baaz (1976),1.5,.mp4,0231226,Bundal Baaz,1976,"['Comedy', 'Fantasy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Crazy.Rich.Asians.2018.mkv,Crazy_Rich_Asians_2018,1.16,.mkv,3104988,Crazy Rich Asians,2018,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Dance Bar (2019).mkv,Dance Bar (2019),1.41,.mkv,11412166,Dance Bar,2019,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Double.Date.2017.mkv,Double_Date_2017,0.74,.mkv,6136778,Double Date,2017,"['Comedy', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Double.Impact.1991.mkv,Double_Impact_1991,1.08,.mkv,0101764,Double Impact,1991,"['Action', 'Crime']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\FIR_tamil movie.mp4,Fir_Tamil Movie,1.16,.mp4,27588229,Tamia - The First Battle Gen movie,2024,"['Short', 'Sci-Fi']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Hansel.&.Gretel.Witch.Hunters.2013.mp4,Hansel_&_Gretel_Witch_Hunters_2013,0.91,.mp4,1428538,Hansel & Gretel: Witch Hunters,2013,"['Action', 'Fantasy', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Inside.Job.2010.mp4,Inside_Job_2010,0.79,.mp4,10231312,Inside Job,2021,"['Animation', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Irumbu Thirai (2019).mkv,Irumbu Thirai (2019),1.26,.mkv,7179784,Irumbu Thirai,2018,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Jewel Thief 1967.mp4,Jewel Thief 1967,0.67,.mp4,0061842,Jewel Thief,1967,"['Crime', 'Drama', 'Musical', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Johnny.English.Strikes.Again.2018.mkv,Johnny_English_Strikes_Again_2018,0.88,.mkv,6921996,Johnny English Strikes Again,2018,"['Action', 'Adventure', 'Comedy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Jonathan.2018.mkv,Jonathan_2018,0.78,.mkv,0118363,Jonathan Creek,1997,"['Comedy', 'Crime', 'Drama', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Josh.2000.mkv,Josh_2000,1.25,.mkv,0118747,Blues Brothers 2000,1998,"['Action', 'Comedy', 'Crime', 'Music', 'Musical']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Knock at The Cabin.mkv,Knock At The Cabin,1.6,.mkv,15679400,Knock at the Cabin,2023,"['Horror', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\MAI.mp4,Mai,0.5,.mp4,12940504,My Name,2021,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Manikarnika The Queen of Jhansi (2019).mkv,Manikarnika The Queen Of Jhansi (2019),1.27,.mkv,6903440,Manikarnika: The Queen of Jhansi,2019,"['Action', 'Biography', 'Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Mera Damad 1995.mp4,Mera Damad 1995,0.66,.mp4,0446158,Mera Damad,1995,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Mere.Yaar.Ki.Shaadi.2002.mkv,Mere_Yaar_Ki_Shaadi_2002,1.28,.mkv,0322653,Mere Yaar Ki Shaadi Hai,2002,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Mirchi Music Awards 2013.mp4,Mirchi Music Awards 2013,0.13,.mp4,3042846,2013 MTV Video Music Awards,2013,['Music'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Mr. Romeo.mp4,Mr_ Romeo,0.38,.mp4,0117509,Romeo + Juliet,1996,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Mukti.mp4,Mukti,1.69,.mp4,30274400,Mukti Ghar,2024,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Murder.On.The.Orient.Express.2017.mkv,Murder_On_The_Orient_Express_2017,1.05,.mkv,3402236,Murder on the Orient Express,2017,"['Crime', 'Drama', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\My Wife Is a Gangster 3.mp4,My Wife Is A Gangster 3,0.8,.mp4,0439654,My Wife Is a Gangster 3,2006,"['Action', 'Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\My_Next_Guest_With_David_Letterman.mkv,My_Next_Guest_With_David_Letterman,0.49,.mkv,0106053,Late Show with David Letterman,1993,"['Comedy', 'Music', 'Talk-Show']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\No_Strings_Attached_2011.mp4,No_Strings_Attached_2011,0.73,.mp4,1411238,No Strings Attached,2011,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Papillon.2018.mkv,Papillon_2018,1.05,.mkv,5093026,Papillon,2017,"['Adventure', 'Biography', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Partner 2007.mkv,Partner 2007,1.24,.mkv,0807758,Partner,2007,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Prem Nagar.mp4,Prem Nagar,0.77,.mp4,0072026,Prem Nagar,1974,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Pukar 1983.mp4,Pukar 1983,0.95,.mp4,0086156,Pukar,1983,"['Action', 'Drama', 'Musical']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Puzzle 2018.mkv,Puzzle 2018,1.11,.mkv,6933454,Puzzle,2018,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Red_The_Dark_Side.mkv,Red_The_Dark_Side,1.33,.mkv,9159144,Dark Side of the Ring,2019,"['Documentary', 'Drama', 'History', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Romeo Akbar Walter 2019.mkv,Romeo Akbar Walter 2019,1.11,.mkv,8550208,Romeo Akbar Walter,2019,"['Action', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\Silver_Linings_Playbook_2012.mkv,Silver_Linings_Playbook_2012,0.84,.mkv,1045658,Silver Linings Playbook,2012,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\The Devil_s Double (2011).mkv,The Devil_S Double (2011),1.08,.mkv,1270262,The Devil's Double,2011,"['Biography', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\The.Fate.Of.The.Furious.2017.mkv,The_Fate_Of_The_Furious_2017,1.27,.mkv,4630562,The Fate of the Furious,2017,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Feb2024\The.Hidden.Soldier.2018.mkv,The_Hidden_Soldier_2018,0.78,.mkv,5759434,In Harm's Way,2017,"['History', 'Romance', 'War']",Bollywood
