File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\100% Love.avi,100% Love,1.33,.avi,1869226,100% Love,2011,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\14 Phere.mkv,14 Phere,0.6,.mkv,12887178,14 Phere,2021,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\1920 Evil Returns.mkv,1920 Evil Returns,1.45,.mkv,2222550,1920: Evil Returns,2012,"['Drama', 'Horror', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\1920 Horrors Of The Heart.mkv,1920 Horrors Of The Heart,2.3,.mkv,25403492,1920: Horrors of the Heart,2023,"['Drama', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\1921.mkv,1921,1.02,.mkv,6958030,1921,2018,"['Horror', 'Mystery', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\2 States 2014.mkv,2 States 2014,1.2,.mkv,2372678,2 States,2014,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\7 Hours To Go 2016.mkv,7 Hours To Go 2016,1.33,.mkv,4365060,7 Hours to Go,2016,"['Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\A Gentleman.mkv,A Gentleman,3.0,.mkv,8230448,A Gentleman in Moscow,2024,"['Drama', 'History', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Aaraattu.mkv,Aaraattu,1.37,.mkv,13468976,Aaraattu,2022,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Aashiqui 2 2013.mkv,Aashiqui 2 2013,0.98,.mkv,2203308,Aashiqui 2,2013,"['Drama', 'Music', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Action Hero Biju 2016.mkv,Action Hero Biju 2016,0.78,.mkv,5320514,Action Hero Biju,2016,"['Action', 'Comedy', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Action Jackson 1988.mp4,Action Jackson 1988,1.49,.mp4,0094612,Action Jackson,1988,"['Action', 'Comedy', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Adventures Of Ali-Baba And The Forty Thieves.mkv,Adventures Of Ali-Baba And The Forty Thieves,1.16,.mkv,0079749,Adventures of Ali-Baba and the Forty Thieves,1980,"['Action', 'Adventure', 'Family', 'Fantasy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Ae Dil Hai Mushkil 2016.mkv,Ae Dil Hai Mushkil 2016,1.31,.mkv,4559006,Ae Dil Hai Mushkil,2016,"['Drama', 'Music', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Agent Sai Srinivasa Athreya 2019.mkv,Agent Sai Srinivasa Athreya 2019,1.23,.mkv,10214826,Agent Sai Srinivasa Athreya,2019,"['Comedy', 'Crime', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Agneepath 2012.mkv,Agneepath 2012,1.32,.mkv,1849718,Agneepath,2012,"['Action', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Ajay Sunny Deol 1996.mp4,Ajay Sunny Deol 1996,2.0,.mp4,18908290,AEW Rampage Preview - AEW Tag Titles On The Line! Anna Jay Vs. The Bunny! Matt Hardy Threatens Orange Cassidy! Will Fuego Del Sol Lose His Car?!,2021,['Talk-Show'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Ajeeb Dastaans 2021.mkv,Ajeeb Dastaans 2021,0.72,.mkv,14091818,Ajeeb Daastaans,2021,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Akele Hum Akele Tum 1995.mkv,Akele Hum Akele Tum 1995,1.45,.mkv,0112313,Akele Hum Akele Tum,1995,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Akira 2016.mkv,Akira 2016,1.2,.mkv,5465370,Akira,2016,"['Action', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Albert Pinto Ko Gussa Kyoon Aata Hai 1980.mp4,Albert Pinto Ko Gussa Kyoon Aata Hai 1980,0.93,.mp4,4355838,Albert Pinto Ko Gussa Kyun Aata Hai?,2019,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Aligarh 2016.mkv,Aligarh 2016,0.97,.mkv,2709768,The Secret Life of Pets,2016,"['Animation', 'Adventure', 'Comedy', 'Family']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Amar 2017.mkv,Amar 2017,0.78,.mkv,5479616,Amar,2017,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Amar Deep 1979.mkv,Amar Deep 1979,0.68,.mkv,0078761,Amar Deep,1979,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Amavas 2019.mkv,Amavas 2019,0.97,.mkv,8396186,Amavas,2019,"['Horror', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\An Interview With God 2018 .mkv,An Interview With God 2018,0.78,.mkv,5779372,An Interview with God,2018,"['Drama', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Anand 1971.mp4,Anand 1971,1.9,.mp4,0066763,Anand,1971,"['Drama', 'Musical']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Anarkali 2015.mkv,Anarkali 2015,1.0,.mkv,4947084,Anarkali,2015,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Anarkali 2015.mkv,Anarkali 2015,1.0,.mkv,4947084,Anarkali,2015,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Anarkali 2015.mp4,Anarkali 2015,2.32,.mp4,4947084,Anarkali,2015,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Anarkali 2015.mp4,Anarkali 2015,2.32,.mp4,4947084,Anarkali,2015,"['Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Anhey Ghorhey Da Daan 2012.mkv,Anhey Ghorhey Da Daan 2012,0.68,.mkv,2085746,Alms for a Blind Horse,2011,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Anjaana Anjaani 2010.mkv,Anjaana Anjaani 2010,1.05,.mkv,1499201,Anjaana Anjaani,2010,"['Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Anjaane The Unknown.mp4,Anjaane The Unknown,1.28,.mp4,0874854,Anjaane: The Unknown,2005,['Horror'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Annihilation 2018.mkv,Annihilation 2018,1.93,.mkv,2798920,Annihilation,2018,"['Adventure', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Anubhav 1971.mp4,Anubhav 1971,1.48,.mp4,0156290,Anubhav,1971,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Anukoni Athidhi 2021.mkv,Anukoni Athidhi 2021,1.16,.mkv,9793334,Anukoni Athidhi,2019,"['Drama', 'Mystery', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\FinalCut\Apharan 2022.mkv,Apharan 2022,1.54,.mkv,16341212,Aharen-san wa Hakarenai,2022,"['Animation', 'Comedy']",Bollywood
