,FileName,FilePath
0,A Death in the Gunj (2017).mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\A Death in the Gunj (2017).mkv
1,A Separation.2011.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\A Separation.2011.mkv
2,Aa Dekhen Zara  2009.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aa Dekhen Zara  2009.mkv
3,Aa.Ab.Laut.Chalen.1999.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aa.Ab.Laut.Chalen.1999.mkv
4,Aafat_e_Ishq_2021.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aafat_e_Ishq_2021.mkv
5,Aaj_Ka_MLA_Ram_Avtar_hls_1465.mp4,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aaj_Ka_MLA_Ram_Avtar_hls_1465.mp4
6,Aakrosh 1980.mp4,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aakrosh 1980.mp4
7,Aanchal 1980.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aanchal 1980.mkv
8,Aandhi (1975).mp4,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aandhi (1975).mp4
9,Aankhen (1993).mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aankhen (1993).mkv
10,Aankhen (2002).mp4,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aankhen (2002).mp4
11,Aap Ke Saath (1986).mp4,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aap Ke Saath (1986).mp4
12,Aaraattu_2022.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aaraattu_2022.mkv
13,Aarop.mp4,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aarop.mp4
14,Aas Paas (1981).mp4,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aas Paas (1981).mp4
15,Aasha (1980).mp4,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aasha (1980).mp4
16,Aashiqui 2.2013.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Aashiqui 2.2013.mkv
17,ABCD (Any Body Can Dance) 2013.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\ABCD (Any Body Can Dance) 2013.mkv
18,Accident On Hill Road.mp4,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Accident On Hill Road.mp4
19,Achanak (1973).mp4,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Achanak (1973).mp4
20,Action Jackson(2014).mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Action Jackson(2014).mkv
21,Action Replayy 2010.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Action Replayy 2010.mkv
22,Adventures of Aladdin 1978.mp4,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Adventures of Aladdin 1978.mp4
23,Ae.Dil.Hai.Mushkil.2016.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Ae.Dil.Hai.Mushkil.2016.mkv
24,Afsos (2020) S01 E01-04.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Afsos (2020) S01 E01-04.mkv
25,Agneepath (1990).mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Agneepath (1990).mkv
26,Agneepath.2012.mkv,D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Alphabet A\Agneepath.2012.mkv
