File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\1920_Horrors_of_the_Heart_2023.mkv,1920_Horrors_Of_The_Heart_2023,2.3,.mkv,25403492,1920: Horrors of the Heart,2023,"['Drama', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Adipurush (2023).mkv,Adipurush (2023),1.49,.mkv,12915716,Adipurush,2023,"['Action', 'Adventure', 'Drama', 'Fantasy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Akelli 2023.mkv,Akelli 2023,2.31,.mkv,22892546,Akelli,2023,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Alibaba_Aur_40_Chor_1980.mkv,Alibaba_Aur_40_Chor_1980,1.16,.mkv,0079749,Adventures of Ali-Baba and the Forty Thieves,1980,"['Action', 'Adventure', 'Family', 'Fantasy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Bhrashtachar 1989.mkv,Bhrashtachar 1989,0.95,.mkv,0096922,Bhrashtachar,1989,"['Action', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Catch Me If You Can (2002) HD.mkv,Catch Me If You Can (2002) Hd,0.45,.mkv,0264464,Catch Me If You Can,2002,"['Biography', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Chak_De_India_2007.mkv,Chak_De_India_2007,0.01,.mkv,0871510,Chak De! India,2007,"['Drama', 'Family', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Choon.mkv,Choon,1.8,.mkv,6381764,Mae-choon,2016,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Deep.Water.2022.mkv,Deep_Water_2022,1.23,.mkv,2180339,Deep Water,2022,"['Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Ek Hi Raasta (1993).mkv,Ek Hi Raasta (1993),1.84,.mkv,0106799,Ek Hi Raasta,1993,['Action'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Finding.Neverland.2004.mkv,Finding_Neverland_2004,0.68,.mkv,0308644,Finding Neverland,2004,"['Biography', 'Drama', 'Family']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Fuh Se Fantasy (2023) S02E14.mkv,Fuh Se Fantasy (2023) S02E14,0.49,.mkv,10162384,Fuh se Fantasy,2019,['Romance'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Ghoomer 2023.mkv,Ghoomer 2023,2.23,.mkv,20913276,Ghoomer,2023,"['Drama', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Gran_Turismo_2023.mkv,Gran_Turismo_2023,1.38,.mkv,4495098,Gran Turismo,2023,"['Action', 'Adventure', 'Drama', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Haddi.2023.mkv,Haddi_2023,1.63,.mkv,22188452,Haddi,2023,"['Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Hands.of.Stone.2016.mkv,Hands_Of_Stone_2016,0.93,.mkv,1781827,Hands of Stone,2016,"['Biography', 'Drama', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Heart_of_Stone_2023.mkv,Heart_Of_Stone_2023,2.82,.mkv,13603966,Heart of Stone,2023,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Hum.Dil.De.Chuke.Sanam.1999.mkv,Hum_Dil_De_Chuke_Sanam_1999,1.2,.mkv,0150992,Hum Dil De Chuke Sanam,1999,"['Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Inglourious Basterds (2009).mkv,Inglourious Basterds (2009),1.24,.mkv,0361748,Inglourious Basterds,2009,"['Adventure', 'Drama', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Jaadugar-1989.mkv,Jaadugar-1989,1.32,.mkv,0097609,Jaadugar,1989,"['Comedy', 'Fantasy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Jaan (1996).mkv,Jaan (1996),1.73,.mkv,0151090,Jaan,1996,"['Action', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Jaane.Jaan.2023.mkv,Jaane_Jaan_2023,3.1,.mkv,15748830,Jaane Jaan,2023,"['Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Jailer.2023.mkv,Jailer_2023,2.72,.mkv,11663228,Jailer,2023,"['Action', 'Comedy', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Jawan_2023.mkv,Jawan_2023,2.75,.mkv,15354916,Jawan,2023,"['Action', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Jigsaw 2017.mkv,Jigsaw 2017,0.95,.mkv,3348730,Jigsaw,2017,"['Horror', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Khufiya (2023).mkv,Khufiya (2023),1.33,.mkv,15433600,Khufiya,2023,"['Action', 'Biography', 'Crime', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\King of Kotha (2023) South.mkv,King Of Kotha (2023) South,3.36,.mkv,15134398,King of Kotha,2023,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Krishna_Cottage_2004.mkv,Krishna_Cottage_2004,0.83,.mkv,0408976,Krishna Cottage,2004,"['Horror', 'Mystery', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Kushi 2023.mkv,Kushi 2023,3.07,.mkv,15380630,Kushi,2023,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Love_All_2023.mkv,Love_All_2023,2.26,.mkv,0314331,Love Actually,2003,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\M.U.A. 2022.mkv,M_U_A_ 2022,1.13,.mkv,14502344,They/Them,2022,"['Horror', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Mahaanata  1997.mkv,Mahaanata 1997,1.38,.mkv,0251194,Mahaanta: The Film,1997,"['Action', 'Crime', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Majnu_Chacha_2023.mkv,Majnu_Chacha_2023,0.53,.mkv,29427398,Majnu Chacha,2023,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Meg_2_2023.Mkv,Meg_2_2023,2.27,.Mkv,30841634,Cardi B ft. Megan Thee Stallion Bongos - 2023 VMAs,2023,['Music'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Miral.2022.mkv,Miral_2022,1.0,.mkv,2544766,The Admiral,2015,"['Action', 'Biography', 'Drama', 'History', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Mission_Impossible_Dead_Reckoning_Part_One_2023.mkv,Mission_Impossible_Dead_Reckoning_Part_One_2023,0.88,.mkv,9603212,Mission: Impossible - Dead Reckoning Part One,2023,"['Action', 'Adventure', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Paap 2003.mkv,Paap 2003,2.78,.mkv,0399942,Paap,2003,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Poikkal_Kuthirai_2022.mkv,Poikkal_Kuthirai_2022,2.4,.mkv,15056872,Poikkal Kuthirai,2022,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Public Enemies 2009.mkv,Public Enemies 2009,0.98,.mkv,1152836,Public Enemies,2009,"['Action', 'Biography', 'Crime', 'Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Pushpa__The_Rise_Part_01_2021.mkv,Pushpa__The_Rise_Part_01_2021,3.27,.mkv,9389998,Pushpa: The Rise - Part 1,2021,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Ram-Tere-Kitne-Naam-1985.mkv,Ram-Tere-Kitne-Naam-1985,1.15,.mkv,0358068,Ram Tere Kitne Nam,1985,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Rocky 1981.mkv,Rocky 1981,1.37,.mkv,0215132,Rocky,1981,"['Action', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Rocky_Aur_Rani_Kii_Prem_Kahaani_2023.mkv,Rocky_Aur_Rani_Kii_Prem_Kahaani_2023,2.9,.mkv,14993250,Rocky Aur Rani Kii Prem Kahaani,2023,"['Comedy', 'Drama', 'Family', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Rog_2005.mkv,Rog_2005,1.92,.mkv,2064785,Gala de presentación de la programación 2004/2005: Contamos todos,2004,['Music'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Schindler's.List.1993.mkv,Schindler'S_List_1993,0.81,.mkv,0108052,Schindler's List,1993,"['Biography', 'Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Split.2016.mkv,Split_2016,1.0,.mkv,4972582,Split,2016,"['Horror', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Tere Naam 2003.mkv,Tere Naam 2003,1.45,.mkv,0374271,In Your Name,2003,"['Action', 'Drama', 'Romance']",Bollywood
