Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Dhoom 3,2013,"Action, Crime, Drama, Thriller",Vijay Krishna Acharya,Nothing from IMDB,"Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra, Jackie Shroff, Tabrett Bethell, Andrew Bicknell, Siddharth Nigam, Charles Rasmussen, Gavin Marshall","The favourite Indian action franchise is back. This time Jai Dixit (Abhishek Bachchan) and Ali (Uday Chopra) return to match their wits with the enigmatic clown thief, Sahir (Aamir Khan), who has the city of Chicago in his thrall. In this battle of revenge and dignity, the lines blur and the conventional definition of good and bad don't apply. Watch a spectacle that will thrill you and move you.",['172'],"India, United States","Hindi, English",,5.4,1833673
Dhruva,2016,"Action, Crime, Thriller",Surender Reddy,Nothing from IMDB,"Ram Charan, Arvind Swami, Rakul Preet Singh, Navdeep, Krishna Murali Posani, Sayaji Shinde, Abhinaya, Nassar, Farah Karimaee, Ali Reza","Dhruva is an upcoming Action Thriller film directed by Surender Reddy and produced by Allu Aravind under his banner Geetha Arts. It features Ram Charan, Rakul Preet Singh and Aravind Swamy. It is an official remake of the Tamil film Thani Oruvan (2015). The film will feature music by Hiphop Tamizha, who composed for the Tamil original. and cinematography is handled by P. S. Vinod. The film was launched on 18 February 2016 and principal photography commenced on 22 February 2016. The film, initially set for release on 7 October, is scheduled for a worldwide release on 2 December 2016.",['165'],India,Telugu,,7.7,6027478
Dhuruvangal Pathinaaru,2016,"Crime, Drama, Mystery, Thriller",Karthick Naren,Karthick Naren,"Rahman, Prakash Raghavan, Sharathkumar, Santhosh Krishna, Praveen, Bala Hasan, Vinod Varma, Ashwin Kumar, Kunal Kaushik, Anjana Jayaprakash","Deepak is an retired police officer. He meets an young man who is interested in joining IPS. The young guy asks about the case of a mystry killer in which deepak lost his leg and his career. Thus he explains about the unsolved mystry case. But in the end the case is solved by the young man, and deepak meets his ultimate end.",['105'],India,Tamil,,8.2,6380520
Dil Diya Dard Liya,1966,"Drama, Musical, Romance","Abdul Rashid Kardar, Dilip Kumar",Nothing from IMDB,"Dilip Kumar, Waheeda Rehman, Pran Sikand, Rehman Khan, Shyama, Sajjan, Rani, Johnny Walker, S. Nazir, D.K. Sapru","A kind-hearted, widowed landlord, Thakur, lives a wealthy lifestyle with his son, Ramesh; daughter, Roopa; and an adopted child, Shankar. Ramesh hates Shankar and often abuses him. Years pass by, Thakur has passed away, and all three children have grown up. While Ramesh visits a stunningly attractive Courtesan, Tara, drinks alcohol, and continues to abuse and mercilessly beat Shankar, who bears this in silence as he and Roopa are in love with each other. When Ramesh finds out that Roopa wants to wed Shankar, he has him severely beaten and thrown off a cliff. He then arranges Roopa's marriage with another wealthy man, Satish, while he continues to romance Tara and even signs over his entire estate and home to her name. Then a few years later, Shankar returns - this time as the wealthy Raja of Belapur - and he all set to compromise with Ramesh and propose to Roopa. He finds out that nothing has changed, Ramesh, though rendered penniless by Tara, still hates him; and Satish is wooing Roopa, is engaged to her and a marriage date has been fixed. Shankar's love is now replaced by vengeance and hate, and all he can think of is destroying the lives of Ramesh, Roopa, Satish and his sister, Mala, and he has several plans which he intends to put to use one by one.",['169'],India,Hindi,,6.2,60310
Dil Hai Tumhara,2002,"Drama, Romance",Kundan Shah,Nothing from IMDB,"Rekha, Preity G Zinta, Arjun Rampal, Mahima Chaudhry, Jimmy Shergill, Alok Nath, Dilip Joshi, Vivek Shauq, Anjan Srivastav, Govind Namdeo",Some twenty years ago Sarita promised to raise her husband's love child (Shalu) together with their own daughter (Nimmi). The girls grow up as the best of friends but Sarita has never been able to forgive Shalu her background. It doesn't make it better when she sees Shalu getting close to the man Nimmi is also in love with.,['210'],India,Hindi,,5.5,328998
Dil Juunglee,2018,"Comedy, Romance",Aleya Sen,Nothing from IMDB,"Taapsee Pannu, Saqib Saleem, Nidhi Singh, Srishti Shrivastava, Ayesha Kaduskar, Abhilash Thapliyal, Santosh Barmola, Krishan Tandon, Tina Harris, Deepak Arora",,['124'],India,Hindi,,3.7,6071752
Kalavani,2010,Comedy,A. Sarkunam,A. Sarkunam,"Vimal, Oviya, Thirumurugan, Ilavarasu, Saranya Ponvannan, 'Ganja' Karuppu, Soori, Sujatha Sivakumar, Thavasi","Vimalraj (the grubby Meenakshi Sundaram from Pasanga) is the ill-behaved son of the gullible Saranya and her husband Ilavarasu. Vimalraj's financial needs are met by his susceptible mother, whom he either hoodwinks or intimidates to fulfill his frequent needs to gamble or hang out with his friends. He pushes the boat out and spends his time whiling away, aided by his friends. In the course of the time, he also spots a girl and falls in love with her - much to the despair of her brother who nurses a rivalry against him. What happens next forms the climax.",['144'],India,Tamil,,7.1,1815775
Dil Maange More!!!,2004,"Musical, Romance",Anant Mahadevan,Nothing from IMDB,"Shahid Kapoor, Ayesha Takia, Tulip Joshi, Soha Ali Khan, Gulshan Grover, Zarina Wahab, Kanwaljeet Singh, A.K. Hangal, Hiten Paintal, Smita Jaykar","Nikhil is a simple young man . He loves his hometown Samarpur , football matches , and the college his grandfather passed down to him as a legacy . Therefore when his girlfriend Neha tells him that if the wants to marry her he should leave Samarpur , Nikhil is dumbfounded . Neha secures admission in one of the prestigious air hostess training institutes in Mumbai . Nikhil travels all the way from Samarpur to Mumbai to bring Neha back , but Neha refuses to go back as she wants to build her career . Nikhil stays in Mumbai , hoping that one day Neha will understand his love for her and return with him . During his stay , two more girls come in his life - Sara , who works in the same music store with him ; and Shagun , Nikhil's hot-tempered neighbour . Will Nikhil be able to find his true love among these three girls?",['123'],India,Hindi,,5.2,328729
Dil Ne Phir Yaad Kiya,2001,"Drama, Musical, Romance, Thriller",Rajat Rawail,Rajat Rawail,"Govinda, Tabu, Faraaz Khan, Pooja Batra, Vinay Anand, Sadashiv Amrapurkar, Kiran Kumar, Dinesh Hingoo, Ali Khan, Guddi Maruti","Rahul Khanna (Vinay Anand) and Sonia Chopra (Pooja Batra) are in love, they seek the blessings of their elders, Mahendra Pratap Khanna (Kiran Kumar), Mr. Chopra (Sadashiv Amrapurkar) and Mrs. Chopra (Kunika), and get married. During their honeymoon, Sonia, who is very ambitious, tells Rahul that he should start his own business, away from his father, and stand on his own feet. Rahul does so, and starts a modelling agency. His immediate rival is Sanjeev Verma (Faraaz Khan), who is very successful. In order to compete with him, Rahul must sign up leading model, Roshni Batra. In order to do so, he meets with Roshni. Roshni, who has lost her lover, Prem (Govinda), accepts Rahul as Prem who has been returned to her, and agrees to work with his agency. Then Roshni starts behaving like Rahul is really Prem, and she will not let anyone come between her and her lost love.",,India,Hindi,,3.4,273535
Dil Vil Pyaar Vyaar,2014,Family,Manjeet Maan,Dheeraj Rattan,"Raj Singh Jhinjar, Neeru Bajwa, Omkar Bhakri, Juhi Chawla, Jassie Gill, Gurdas Maan, Khushdeed Maan, Rammnik, Shruti Sodhi, Rajiv Thakur",,['145'],India,Punjabi,,6.7,3723864
