Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
A Death in the Gunj,2016,"Drama, Thriller",Konkona Sen Sharma,Nothing from IMDB,"Kalki Koechlin, Vikrant Massey, Gulshan Devaiah, Ranvir Shorey, Tanuja Samarth, Om Puri, Tillotama Shome, Jim Sarbh, Aparna Sen, Arya Sharma","A Death in the Gunj is a coming of age story that centres around Shutu, our protagonist, and his conflicted ideas of masculinity. He finds himself navigating the blurred lines of what is accepted in society and questions his own space within the world. The everyday callousness of the adults around him contributes to his intense feelings of isolation despite being surrounded by his family. The emotional violence that we as a society inflict upon others unwittingly is what cumulatively leads to a kind of destruction that is irrevocable.",['110'],India,"English, Hindi, Bangla",,7.4,5918074
A Separation,2011,Drama,Asghar Farhadi,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini, Sarina Farhadi, Merila Zare'i, Ali-Asghar Shahbazi, Babak Karimi, Kimia Hosseini, Shirin Yazdanbakhsh","Nader (Payman Maadi) and Simin (Leila Hatami) argue about living abroad. Simin prefers to live abroad to provide better opportunities for their only daughter, Termeh. However, Nader refuses to go because he thinks he must stay in Iran and take care of his father (Ali-Asghar Shahbazi), who suffers from Alzheimers. However, Simin is determined to get a divorce and leave the country with her daughter.",['123'],"Iran, France, Australia",Persian,,8.3,1832382
Aa Dekhen Zara,2009,"Action, Sci-Fi, Thriller",Jehangir Surti,Nothing from IMDB,"Neil Nitin Mukesh, Mukesh Agrohari, Bipasha Basu, Biswajeet Chatterjee, Sophiya Chaudhary, Rahul Dev, Deepak Dhariwal, Rajan Korgaonkar, Shyam Lal, Srivas Naidu","Mumbai-based struggling wildlife photographer, Ray Acharya, is informed that his maternal grandfather has passed away, and left some mementos for him. He picks them up, finds out they include an old camera which has the uncanny ability to photograph the future. He uses it to amass wealth at the lotteries and races; and woos struggling singer, Simi Chatterjee, but finds that he has to face enemies who want the camera by hook or by crook. The first one is a ruthless assassin simply known as Captain; the other is Special Officer Puri. And even if Ray manages to survive either of these two - who pursue him all the way to Bangkok - he will still have to face yet another enemy - death!",['117'],India,Hindi,,5.2,1372681
Aa Ab Laut Chalen,1999,"Musical, Romance, Drama",Rishi Kapoor,Nothing from IMDB,"Rajesh Khanna, Akshaye Khanna, Aishwarya Rai Bachchan, Suman Ranganath, Navin Nischol, Kader Khan, Paresh Rawal, Satish Kaushik, Jaspal Bhatti, Vivek Vaswani","Rohan is a jobless graduate living in the Delhi-based Khanna family with his widowed mother and grandfather. His father Balraj was killed in an accident many years ago. Rohan leaves Delhi for USA at the request of his friend to improve his life. Upon arrival in New York he finds shelter with Iqbal and Sardar. Rohan becomes a taxi-driver. One of his rides is a young woman named Pooja who has no one to call her own. He brings her to his home, and Pooja falls in love with Rohan but Rohan wants to make money and hence wants to marry a richer girl like Loveleen a spoiled rich girl, whom Rohan decides marry. When his friends oppose his decision, Rohan leaves their home, decides to live with Pooja - and a life full of uncertainties.",['177'],India,"Hindi, English",,5.3,149568
Aafat-e-Ishq,2021,"Comedy, Drama, Thriller",Indrajit Nattoji,Nothing from IMDB,"Neha Sharma, Ila Arun, Namit Das, Deepak Dobriyal, Amit Sial, Neha Bahuguna, Anil Charanjeett, Garima Jain, Vikram Kochhar","As Lallo turns 30, she wants to find true love - the kind that exists in fables and fairytales and her favourite novel Kagaz ki Kashti. While she does have friends like Suhaani who lives downstairs and Aatmaram, the friendly ghost of a singing sensation who has been her companion for 10 years, Lallo now wants to go out to the outside world and find her suitor. She manages to convince her employer Bahuji to let her leave the house for some time, hoping to find her match in a fast-food joint - after all it happened to the girl in her favourite novel. But she is disappointed when she finds no one. Bahuji passes away unexpectedly, leaving the house in Lallo's name. Bahuji's relatives are furious and go to the police to complain about it, alleging that Lallo inheriting the house is fishy. As the police investigation begins, Lallo tries to find true love in every man she meets. But strange things start happening. Whoever she starts liking, dies in the most bizarre way. Trying hard to be like the rest and fit in, Lallo gets herself a makeover which draws the attention of multiple men. But one by one, they all die in mysterious accidents. An old novel she found in the attic convinces Lallo that she is a 'Lal Pari', someone who is cursed that her suitors die as soon as they fall in love with her. As part of the police investigation, plain-clothed cop Vikram comes to live in Lallo's house as a paying guest. Vikram finds Lallo innocent of all the deaths as the evidences turn out to be circumstantial and not connected to Lallo. In the process, Vikram gradually and secretly falls in love with Lallo. Will Lallo find her fairytale true love or is she cursed to roam the earth alone? Will Vikram be able to solve the case and declare his love for Lallo?",['114'],India,Hindi,,4.4,12631660
Aaj Kaa M.L.A. Ram Avtar,1984,"Action, Drama",Dasari Narayana Rao,Nothing from IMDB,"Rajesh Khanna, Shabana Azmi, Shatrughan Sinha, Deven Verma, Madan Puri, A.K. Hangal, Satyendra Kapoor, Madhukar, Om Shivpuri, Jagdeep","Ram Avtar, a barber in a small village, comes from a poor family, widowed, but has his wife's sister, Sushma, looking after him and his kids. Ram Avtar cuts, shaves, and grooms all males in his village, including Minister Digvijay Singh. When Digvijay's political party is in need of someone to stand in the forthcoming election, Digvijay recommends Ram Avtar as his choice. Ram Avtar accepts this challenge, and then begins the race of getting votes. To his surprise, he wins, and goes on to become a Member of the Legislative Assembly. Sushma watches from the sidelines as to how the changes affect this simple-minded and straight-forward barber.",['157'],India,Hindi,,5.8,177496
Aakrosh,1980,"Crime, Drama, Music, Mystery, Thriller",Govind Nihalani,Nothing from IMDB,"Om Puri, Naseeruddin Shah, Smita Patil, Amrish Puri, Mahesh Elkunchwar, Bhagyasri Kotnis, Arvind Deshpande, Mohan Agashe, Vinay Apte, Vihang Nayak","After working with his mentor and Public Prosecutor Dushane for many years, Advocate Bhaskar Kulkarni is assigned a legal aid case of Bhiku Lahanya, who is accused of brutally killing his wife, Nag, for disobeying him and refusing to have sex with other men. Bhiku remains silent when asked to plead guilty or otherwise. Bhaskar's efforts to get him to subsequently confide in him, prove in vain. Even when Bhaskar goes to talk to Bhiku's dad and sister, he is shunned. When he persists his window panes are broken, then one night he is attacked and knifed. He gets Police protection through the courts and persists with his questions - only to run into nothing but a wall of silence. Then he is contacted by a Social Worker who tells him what really happened. Before Bhaskar could do anything, the Social Worker goes missing, & Bhiku's dad passes away. When Bhiku is permitted to attend his funeral - this is where Bhiku will break his silence - a silence that will see him face another charge of cold-blooded murder!!",['144'],India,Hindi,,7.9,80322
Aanchal,1980,"Action, Drama, Family, Comedy",Anil Ganguly,Nothing from IMDB,"Rajesh Khanna, Rakhee Gulzar, Rekha, Prem Chopra, Amol Palekar, Jankidas, Leela Mishra, Ranjana Sachdev, Birbal, Sarita Devi","This movie revolves around the lives of two brothers, Kishan (Amol Palekar) and Shambhu (Rajesh Khanna). Kishan is married to Shanti (Raakhee), but both are unable to have children. When Tulsi (Rekha) and her blind mother come to live in the same village, Shambhu falls in love with her. Tulsi is the cousin of Jaggan (Prem Chopra) who does not like Tulsi and Shambhu together and plots to separate them. Jaggan creates false rumors about Shanti and Shambhu having an affair, and as a result Kishan decides to marry again - to Tulsi -at the suggestion of Jaggan, and divorces Shanti. Will this controversy ever be resolved? Will Shambhu and Tulsi marry?",['138'],India,Hindi,,6.5,178185
Aandhi,1975,"Drama, Romance",Gulzar,Nothing from IMDB,"Suchitra Sen, Sanjeev Kumar, Om Shivpuri, Manmohan, A.K. Hangal, Kamaldeep, C.S. Dubey, Ranvir Raj, Baldev Mehta, Madhup Sharma","Hotel manager J.K. (Sanjeev Kumar) works there. One day, he bravely steps in to save Aarti, the drunken daughter of a politician (Suchitra Sen). Aarti and J.K. have a small ceremony to celebrate their marriage after falling in love. The married pair decides to separate after a few years because of several issues. Aarti and J.K. eventually cross paths again when she has achieved political success. Both of them sense a connection despite their distance, but Aarti is reluctant to speak up for fear of having her reputation ruined and endangering her profession. However, when the opposing party conducts a rally to disparage and humiliate Aarti Devi, When she gets there, she informs the populace and voters of her decision to leave her husband and family in order to serve this nation's citizens. The public respects her and is deeply moved by her voice and selflessness. J.K. arrives there as well and offers her support; she is overjoyed and moves on. She is elected and goes on to have a fulfilling life.",['133'],India,Hindi,,7.9,178186
Aankhen,1993,"Action, Comedy, Crime, Thriller",David Dhawan,Anees Bazmee,"Govinda, Chunky Pandey, Raj Babbar, Kader Khan, Sadashiv Amrapurkar, Ritu Shivpuri, Raageshwari, Shilpa Shirodkar, Bindu Desai, Harish Patel","Two wealthy buffoons, Munnu and Bunnu, get involved in a conspiracy to replace a Chief Minister with a lookalke by some corrupt government officials. Meanwhile, Munnu's identical cousin, arrives for a visit from the rural parts, and is mistaken for the real Munnu. The city-wise Munnu visits his cousin to find a safe place to hide out, and is mistaken by the local townspeople for his cousin.",['170'],India,Hindi,,6.8,106204
