Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Asoka,2001,"Action, Biography, Drama, History, Romance, War",Santosh Sivan,"Saket Chaudhary, Santosh Sivan, Abbas Tyrewala","Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt, Rahul Dev, Ajith Kumar, Gerson Da Cunha, Subhashini Ali, Umesh Mehra, Sooraj Balaji","Prince Ashoke (Shahrukh Khan), heir to the Magadha Kingdom, bowing to his mother's (Shilpa Mehta) demand forsakes his princely status and goes to live in the wild for awhile. There he meets and falls in love with Kaurwaki (Kareena Kapoor). He identifies himself as Pawan, not wanting to disclose his identity yet. Ashoke has to return to Magadha, but when he returns to find and wed Kaurwaki, he is told by Bheema (Rahul Dev) that Kaurwaki and her brother Arya have been killed. Devastated Ashoke returns home. On the way home he is attacked and Devi (Hrishitaa Bhatt), of the Buddhist faith rescues him and tends to him till he gets well. As a result, Devi's marriage to her groom is cancelled. Ashoke weds her and brings her to Magadha, only to be told by his father that since Devi is not of the same race as he, she cannot be welcomed. Ashoke leaves with Devi and lives in Ujjaini. Soon Devi gets pregnant, and this arouses jealously and hatred amongst Ashoke's step-brothers. As a result they plot to kill Devi, however, their plans are foiled by Ashoke's mother, who is killed. Ashoke swears to avenge his mother's death by killing his step-brothers one by one, except for one, who has led to Kalinga. Ashoke asks the ruler of Kalings to turn over his step-brother to him, and they refuse. Ashoke swears to raze Kalinga to the ground. Ashoke is unstoppable. Even his close friend, Virat (Danny Denzongpa), too, is unable to stop Ashoke. Ashoke proceeds to war, little knowing that the queen of Kalinga is none other than Kaurwaki, who is still alive.",['180'],India,Hindi,,6.4,249371
Zombie Attack - 911 Call On Hold,2014,Short,Jonathan Kudabeck,Jonathan Kudabeck,"Alexander Dafnis, Tommy Granville Jr.",,,United States,English,,,8730714
Awara Paagal Deewana,2002,"Action, Comedy, Crime, Drama, Thriller",Vikram Bhatt,Nothing from IMDB,"Akshay Kumar, Suniel Shetty, Aftab Shivdasani, Paresh Rawal, Preeti Jhangiani, Amrita Arora, Supriya Pilgaonkar, Aarti Chhabria, Johny Lever, Rahul Dev","Vikrant and Gulab Khatri are brothers-in-law who hate each other, and it is only through Vikrant's dad, who is also a mafia underworld don, that an uneasy peace is maintained. But when he passes away, a vengeful Vikrant frames Gulab in the murder of a politician, forcing Gulab to flee to the United States. Once there, Gulab hopes to re-build his life, but this thought is in vain as his neighbors, the Acharyas, find out about him and the reward offered for his arrest - and create a mini-hell for him - forcing him to show his true colors to them - colors that may well lead to the demise of the entire family.",['158'],India,Hindi,,6.2,319020
Awarapan,2007,"Action, Crime, Drama, Romance, Thriller",Mohit Suri,Shagufta Rafique,"Emraan Hashmi, Mrinalini Sharma, Ashish Vidyarthi, Ashutosh Rana, Salil Acharya, J. Brandon Hill, Rehan Khan, Purab Kohli, Atul Parchure, Umair Patel","Brought up by a gangster named Bharat Malik, Shivam Pandit lives a faithless and reckless lifestyle, doing the bidding of his mentor - which also includes being a hit-man. Bharat does not get along with his brother, Raj, and nephew, Munna, who also resent the fact that Bharat trusts Shivam more than he even trusts his son, Ronnie. Shivam's life does change when he meets and falls in love with a devout Muslim woman, Aaliyah. Shivam wants to wed Aaliyah, but her father opposes this due to Shivam's criminal background, and the fact that he has been in prison twice. When Shivam insists on getting married regardless of the consequences, Aaliyah's dad aims a gun at him, but Shivam ducks and the bullet hits Aaliyah, killing her instantly. Shivam returns to his aimless lifestyle, this time in Hong Kong, still continuing to work for Bharat. When Bharat asks him to spy on his Pakistani mistress, Reema, Shivam does so, and finds out that she has a lover named Bilal. Shivam agrees to it but finally has a change of heart when he sees parallel between Reema and the caged birds Aaliyah used to sell to people for the purpose for freeing them from the cage. This leads to a face off between Shivam and Bharat leading to the movie's climax.",['126'],India,Hindi,,7.4,1020937
Ayee Milan Ki Bela,1964,"Drama, Romance",Mohan Kumar,Nothing from IMDB,"Rajendra Kumar Tuli, Saira Banu, Dharmendra, Nasir Hussain, Shashikala Jawalkar, Sulochana Latkar, Sunder, Madan Puri, Mumtaz Begum, Madhu Apte","Shyam works for Mr. Choudhry, and lives in a small village in India with his mother. Ranjeet, Shyam's childhood friend, returns from overseas, and all are overjoyed to see him back. Ranjeet and Shyam have a lot in common: Both are handsome, dedicated, pleasant and polite; Both share the same date of birth; and both also love the same woman, Barkha. It is the last similarity that causes friction between the two, so much so that Shyam is accused of impregnanting another woman, Roopa, and charged with stealing money.",['146'],India,Hindi,,6.5,233147
Azhar,2016,"Biography, Drama, Sport",Anthony D'Souza,Nothing from IMDB,"Emraan Hashmi, Nargis Fakhri, Prachi Desai, Lara Dutta, Kunaal Roy Kapur, Gautam Gulati, Sammy Jonas Heaney, Shweta Kawatra, Mohit Chhabra, Anikie Maguire",,['130'],India,"Hindi, Urdu",,5.7,4906984
The Passenger,2023,"Drama, Thriller",Carter Smith,Jack Stanley,"Merah Benoit, Johnny Berchtold, Betsy Borrego, Angie Dillard, Rob Eubanks, Kyle Gallner, Brooks Anne Hayes, Matthew Laureano, Lupe Leon, Pete Marinovich",,['94'],United States,English,,6.4,21979910
Baadshaho,2017,"Action, Adventure, Thriller",Milan Luthria,Rajat Arora,"Ajay Devgn, Ileana D'Cruz, Emraan Hashmi, Esha Gupta, Vidyut Jammwal, Sanjay Mishra, Denzil Smith, Sunny Leone, Lankesh Bhardwaj, Priyanshu Chatterjee","Baadshaho is inspired by real-life events during the Emergency and revolves around stolen gold, a thief (Ajay Devgn), an army officer (Vidyut Jammwal), a character inspired by Maharani Gayatri Devi. Maharani Gitanjali Devi (Ileana D'Cruz) from one of the Rajasthan's Princely States has already lost her privy purse. The story revolves around a group of thugs who decide to loot the gold confiscated from Rani Gitanjali, and being transported to Delhi by road.",['136'],India,"Hindi, Rajasthani",,4.9,4906960
Baaghi,2000,"Action, Crime, Drama, Romance",Rajesh Ram Singh,Nothing from IMDB,"Sanjay Dutt, Manisha Koirala, Aditya Pancholi, Inder Kumar, Tina Sen, Mohan Joshi, Gulshan Grover, Shivaji Satam, Sanjay Narvekar, Mahesh Anand","Vikram and Raja are colleagues and works for the underworld don, Manmohan. Raja loves Cabernet dancer, Rani and hope to marry her soon; but Manmohan set his eyes on her and wants to have her at any cost. When Rani refuses he forcefully abducts her which made her commit suicide. Enraged at this Vikram and Raja murder Manmohan by shooting him thus Vikram take over as the leader of the organization. Years later Raja meets and befriend the son of a college professor, Surya after Surya save the life of Raja on multiple occasions. Surya fall in love with the sister of Vikram, Kiran; however their marriage are not acceptable by Vikram but the couple remain determine this pits Vikram to take steps to get rid of Surya. Raja also prepare to save his friend Surya from the contended wrath of Vikram.",['156'],India,Hindi,,4.4,326745
Baaghi: A Rebel for Love,1990,"Action, Drama, Romance",Deepak S. Shivdasani,Nothing from IMDB,"Salman Khan, Nagma, Shakti Kapoor, Kiran Kumar, Mohnish Behl, Asha Sachdev, Beena Banerjee, Raju Shrestha, Pradeep Singh Rawat, Salim Khan Ding-Dong","Saajan is a college youth, enjoying his life, meets with Kajal the girl of his dreams at a brothel. Kajal is an innocent victim of Dhanraj, who runs this brothel. Saajan eventually falls in love with Kajal, but this love affair is not acceptable to the society, which includes his parents Mr. and Mrs. Sood. Saajan's dad Col. Sood wants his son to join the Indian army. On the other side, this relationship of love is also not acceptable to Dhanraj, since he doesn't want any of his brothel girls to go into normal respectable society. Trapped between both, Saajan, along with his friends, rescues his love from the brothel. But the question remains: Will Saajan's parents accept him along with Kajal or Will Dhanraj's evilness overcome the couple's love?",['157'],India,Hindi,,5.9,99080
Baaghi 2,2018,"Action, Crime, Drama, Mystery, Thriller",Ahmed Khan,Nothing from IMDB,"Disha Patani, Manoj Bajpayee, Tiger Shroff, Jacqueline Fernandez, Lakshmi Manchu, Randeep Hooda, Vipin Sharma, Shifuji Shaurya Bharadwaj, Prateik Patil Babbar, Darshan Kumaar",Ronnie is serving in the Indian army.He gets a call from his former lover Neha as she is clueless about her missing daughter.Upon reaching Goa Ronnie sees that Neha is very disturbed by the event and cops are not taking the missing case seriously. Ronnie then starts his own investigation and finds that there is no truth in Neha's story as such thing never happened. But Neha is adamant that her daughter has been kidnapped.,['137'],India,Hindi,,4.8,6843812
Baar Baar Dekho,2016,"Action, Comedy, Drama, Romance, Sci-Fi",Nitya Mehra,Nothing from IMDB,"Sidharth Malhotra, Katrina Kaif, Sayani Gupta, Kirti Adarkar, Sagar Arya, Taha Shah Badussha, Faisal Batliwala, Amit Bhagwanani, Andrey Boldyrkov, Norman Bowman","'Baar Baar Dekho' is a love-story, which unfolds through flash-backs and flash-forwards. Recently actor Sidharth Malhotra has revealed that, the movie has a unique and has a very unusual storyline. The film is neither science fiction nor does it revolve around time travel. The styling is currently underway. Film has started in 2015 September for which Katrina and Sidharth had shot in London.",['141'],India,"Hindi, English",,5.4,5197544
Baarish Aur Chowmein,2018,Drama,Tigmanshu Dhulia,Kausar Munir,"Amit Sadh, Taapsee Pannu, Tariq Naved Siddiqui, Vidyut Jammwal, Amrish Patange","The story revolves around Siraj who is unable to rent a house in Mumbai as not many are willing to accommodate a Muslim. So, he hides his true identity and finds a home, where he falls in love with the landlord's daughter, Neelu. Will Siraj be honest and disclose his secret to Neelu?",['48'],India,Hindi,,6.1,8932884
Baat Ban Jaye,1986,Comedy,Bharat Rangachary,Nothing from IMDB,"Zeenat Aman, Amol Palekar, Utpal Dutt, Mithun Chakraborty, Raj Babbar, Sanjeev Kumar, Nisha Singh, Jalal Agha, Adi Irani, Aruna Irani","Mr. Singh lives a wealthy lifestyle in a mansion named 'Ashiana' on 10th Road, Juhu, Bombay, with his only relative, a niece by the name of Nisha, who is unmarried and runs the family's business that faces strong opposition from Khanna Group of Industries. Singh would like to see her get married but she hates wealthy men. So her uncle finds a poor man, Ajay Srivastav, but subsequently finds out that Ajay is already married and also has 3 daughters; then he decides to get Nisha married to a TV repairman, Yeshwant Bhosle, who ends up being a multi-millionaire after his invention is marketed; then he wants her to get married to Viju Guide, a Hyderabad-based Tourist Guide, who finds buried treasure and also ends up a multi-millionaire; then he wants her to get married to a motor mechanic, Prakash, who, in turn, ends up being the only son of wealthy builder, Jayant Amar Nath, and ends up getting married to his sweetheart and neighbor, Rosy. Finally Nisha meets her ideal match in Rukhtapur-based Suraj Singh, a wedding singer/dancer, and gets married to him - not realizing that Suraj is not who he claims to be and she is merely a pawn in a charade that has been created especially to pull wool over her eyes.",['148'],India,Hindi,,6.4,270219
