Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Bombay Talkies,2013,Drama,"Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap",Nothing from IMDB,"Rani Mukerji, Randeep Hooda, Saqib Saleem, Nawazuddin Siddiqui, Sadashiv Amrapurkar, Naman Jain, Ranvir Shorey, Amitabh Bachchan, Katrina Kaif, Farhan Akhtar",,['127'],India,"Hindi, English",,6.6,2797242
Boom,2003,"Crime, Thriller",Kaizad Gustad,Kaizad Gustad,"Amitabh Bachchan, Jackie Shroff, Gulshan Grover, Padma Lakshmi, Madhu Sapre, Katrina Kaif, Jaaved Jaaferi, Zeenat Aman, Seema Biswas, Bo Derek","The fashion world meets the underworld. Anu, Sheila, and Rina three top models become the target of underworld after a fashion show goes wrong which had a diamond smuggling deal going on. Bade Miyan, Medium Miya and ChoteMiyan want to hunt the models for their diamonds.",['100'],India,"English, Hindi, Marathi",,2.3,330082
Ayushmann Khurrana and Mithun Chakraborty,2015,"Comedy, Talk-Show",Dharampal Thakur,Nothing from IMDB,"Kapil Sharma, Sumona Chakravarti, Sunil Grover, Ali Asgar, Upasana Singh, Kiku Sharda, Chandan Prabhakar, Navjot Singh Sidhu, Ayushmann Khurrana, Mithun Chakraborty",,,India,Hindi,,6.3,6322524
Brahmastra Part One: Shiva,2022,"Action, Adventure, Fantasy",Ayan Mukerji,Nothing from IMDB,"Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Nagarjuna Akkineni, Shah Rukh Khan, Dimple Kapadia, Mouni Roy, Krrish Saini, Saurav Gurjar, Gurfateh Pirzada",In ancient India people of Brahmansh community would take care of their spiritual weapon Brahmastra but as years passed by with changing times people started to forget about it. In present day Shiva a DJ has strange connection with fire which never harms him he meets Isha and both fall in love. A Delhi based scientist Mohan Bhargav from Brahmansh community possess a piece of Brahmastra and gets attacked by two evil forces Zor and Raftaar but he manages to overcome them with powers of Vanarastra but the evil queen Junoon manages to control him and tortures to ask about Brahmastra. But Bhargav being protector of it gives his life which is seen by Shiva in hallucinations after he comes in contact with fire he also notices that next target could be an artist Anish Shetty. Shiva and Isha go to save Anish at Varanasi where he tells him the events he saw but Junoon has already reached there to kill him but Anish manages to escape with Shiva and Isha with power of Nandiastra and asks them to take him to Guruji's Ashram in Himachal. On the way Anish finds who actually is Shiva and gives his piece of Brahmastra to Isha and asks her to reach it safely to Guruji as Junoon is following them who is unaware of Guruji's Ashram. Anish loses his life while fighting with Junoon and her men while after lot of hurdles Shiva and Isha reach Guruji's Ashram where Guruji reveals who actually Shiva is and his connection with fire. And that Brahmastra has three pieces of which one is missing and if Junoon joins them all together the universe will be destroyed.,['167'],India,"Hindi, English",,5.6,6277462
Long Live Brij Mohan,2017,"Comedy, Crime, Drama",Nikhil Nagesh Bhat,Nothing from IMDB,"Arjun Mathur, Nidhi Singh, Sheetal Thakur, Manav Vij, Aanchal Chauhan, Sunny Hinduja, Vijayant Kohli, Yogendra Tikku, Lokesh Mittal, Jitendra Gupta","Brij Mohan (36), a hosiery shop owner in a busy Delhi market, desperately wants to change his life. He is fed up of his ball-crusher wife and mounting debts. In order to escape his wretched life, he changes his appearance and adopts a new identity as Amar Sethi, but ends up committing a botched up murder. He runs off with his young girlfriend, hopeful of making a new beginning. Instead, as luck would have it, he finds himself trapped in a web of his own Karma.",['105'],India,Hindi,,6.5,6514010
Brothers,2015,"Action, Drama, Sport",Karan Malhotra,Nothing from IMDB,"Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez, Meghan Jadhav, Shefali Shah, Kiran Kumar, Ashutosh Rana, Kulbhushan Kharbanda, Ashok Lokhande","The story of two estranged brothers comes to play in the rink. David Fernandes quits his job as a Physics teacher to become a full-time fighter. He is willing to do whatever it takes to save his ill daughter. Monty Fernandes creates a storm on the internet with just one video. Finally getting the chance to prove himself to the world, he trains vigorously. Two brothers, two fighters, and one ultimate fight.",['156'],"India, United States","Hindi, English",,6.4,3802576
Buddha in a Traffic Jam,2016,"Crime, Thriller",Vivek Agnihotri,Nothing from IMDB,"Anupam Kher, Anchal Dwivedi, Mahie Gill, Pallavi Joshi, Arunoday Singh, Gopal Singh, Indal Singh, Vivek Vaswani","Vikram Pandit (Arunoday Singh) a student of the Indian Institute of Business becomes the blue-eyed boy of Professor Jamshed Batki (Anupam Kher). Under Batki's influence Vikram starts public discoursing and publishing articles under his own name that are authored by Batki himself. The articles, which deal with the plight of the poor in India, are posted on his Blog as well as Facebook. The story mirrors the agony of the deprived in India. The problem is primeval but the remedy must be contemporary. Vikram offers a modern day solution that can bypass all red tape and political hurdles. Promoting and facilitating an idea where trust deficit can be minimized... How a radical business model can effectively replace stagnant policies... How a collective will and might of monetary resources can fast track results. Gradually as under-layers of the story surface and veils are lifted from the faces of people around him, Vikram realizes what he is up against; he must find a way out of the cesspool he has got himself into, where his own life is at stake now... and everyone around him a suspect",['114'],India,"Hindi, English",,7.2,1890363
Bulbbul,2020,"Drama, Horror, Mystery",Anvita Dutt,Anvita Dutt,"Triptii Dimri, Avinash Tiwary, Rahul Bose, Parambrata Chattopadhyay, Paoli Dam, Ruchi Mahajan, Varun Buddhadev, Veera Kapur Ee, Sameer Deshpande, Subhasis Chakraborty",,['94'],India,Hindi,,6.5,12393526
Bulbule,2021,Thriller,Manpreet Dhami,Nothing from IMDB,"Jasmeet Singh Bhatia, Sachin K. Jaryal","Two friends, Harmeet and Irfan, from two different minority communities in India, meet after a gap of 5 years. What begins as a conversation amongst two friends catching up on old times, soon becomes an intricate and profound conversation about all the fault lines of modern Indian society as they examine all the things in our society designed to divide. From politics, religion, justice, discrimination and beyond, Bulbule offers a poignant snapshot of modern India through the lens of a conversaition between two friends.",['95'],India,Hindi,,8.6,14332510
Bunty Aur Babli,2005,"Comedy, Crime, Drama, Romance",Shaad Ali,Nothing from IMDB,"Abhishek Bachchan, Rani Mukerji, Amitabh Bachchan, Kiran Juneja, Lilliput, Pratima Kazmi, Prem Chopra, Puneet Issar, Raj Babbar, Rajesh Vivek","Rakesh (Abhishek Bachchan) is a man of schemes, ideas, invention and restlessness. Small town girl, Vimmi (Rani Mukerji) doesn't want to become just another marriageable girl. Somewhere along their individual journeys they meet and in a moment of mistaken truth, the legend of Bunty &Babli are born. We follow the duo caper after caper, hiding from an upset policeman, Dashrath Singh (Amitabh Bachchan).Rakesh (Abhishek Bachchan) is a man of schemes, ideas, invention and restlessness. Small town girl, Vimmi (Rani Mukerji) doesn't want to become just another marriageable girl. Somewhere along their individual journeys they meet and in a moment of mistaken truth, the legend of Bunty &Babli are born. We follow the duo caper after caper, hiding froman upset policeman, Dashrath Singh (Amitabh Bachchan).",['170'],India,"Hindi, English",,6.2,448206
Byomkesh Phire Elo,2014,Thriller,Anjan Dutt,Nothing from IMDB,"Abir Chatterjee, Saswata Chatterjee, Ushasie Chakraborty, Kaushik Sen, Ankita Chakraborty, Locket Chatterjee, Sampurna Lahiri, Anjana Basu, Rahul Banerjee, Chandan Sen","Benimadhab is a retired businessman who made a fortune as an army contractor, but his personal life is rife with setbacks. He has taken in his son, who doesn't earn a living, his daughter whose husband is unemployed, and his two nephews who work menial jobs. He and his servant Meghraj lead a mundane existence. Meanwhile, the renowned detective Byomkesh lives a happy life with his wife Satyabati, their newborn child, and their dear friend Ajit. Byomkesh receives a call from the police requesting his assistance in a case where Benimadhab and Meghraj have been found dead. Byomkesh delves deeply into the murky depths of the characters in that family, each of whom harbors secrets. He investigates two murders and uncovers intriguing results that reveal that nothing is as it seems.",['107'],India,Bangla,,7.3,4282396
2017 'Ohina Short Film Showcase: Tell Your Story,2017,Short,Gerard Elmore,Gerard Elmore,Nothing from IMDB,,,United States,English,,,8495470
COD Cash on Delivery 2021,2021,Drama,Robert Megha,Robert Megha,"Devendra Bhagat, Preeti Choudhury, Amar Dixit, Omi Kashyap, Omi Kashyap, Vikrant Khaire, Vaibhav Kumbhar, Sanjiv Landage, Amrish Majumdar, Arjun Marwal",,,"United States, India",Hindi,,9.7,18285934
Chaahat,1996,"Drama, Romance",Mahesh Bhatt,Nothing from IMDB,"Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher, Ramya Krishnan, Avtar Gill, Mushtaq Khan, Tiku Talsania, Pankaj Berry, Anant Jog","Street-wise musician Roop Singh Rathod must take his father Shambunath to Mumbai in order to seek medical treatment for a throat ailment. In Mumbai, Roop takes up a job as a singer in wealthy businessman Ajay Narang's hotel. Roop's life takes a new turn when Ajay's only sister Reshma fascinates him. Roop is already in love with a doctor back home, Pooja. When Reshma realizes this, she informs Ajay, who will go to any lengths for his sister's happiness--even kill Roop.",['151'],India,Hindi,,5.5,172234
Chalk N Duster,2016,Drama,Jayant Gilatar,Nothing from IMDB,"Richa Chadha, Shabana Azmi, Arya Babbar, Gavie Chahal, Juhi Chawla, Karan Singh Chhabra, Deepali, Divya Dutta, Adi Irani, Rishi Kapoor","CHALK N DUSTER is an emotional journey of two teachers Vidya ( Shabana Azmi) & Jyoti ( Juhi Chawla) , serving at a Mumbai - based High School. Their passion and love for teaching, bonds them in a special relationship with their students. Their gratification is good grades, moral values they strive to impart to students.However, in an evil turn of events, a wicked lady, Kamini Gupta ( Divya Dutta) gets appointed as the School Principal, who earlier worked in the capacity of a Supervisor. She is extremely cunning by nature and monopolizes on every opportunity she can find her hands on. In a bid to make profits for the school, she decides to fire experienced teachers to replace them with fresher teachers. The saved funds of which she can boastfully present to the school trustees, at the cost of quality education. Vidya suffers a sudden heart attack due to her dismissal from school. The school management threatens the staff to cut ties with Vidya. At such a time, Jyoti stands up for her friend and colleague, Vidya. Together they fight to earn their respect and credibility as teachers and unite against prejudices set by the management.",['130'],India,Hindi,,6.5,4600778
