Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Kaho Naa... Pyaar Hai,2000,"Action, Musical, Romance, Thriller",Rakesh Roshan,Nothing from IMDB,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Behl, Ashish Vidyarthi, Satish Shah, Farida Jalal, Tanaaz Currim Irani, Payal Malhotra","A poor singer, Rohit, and the daughter of a very rich man, Sonia, fall in love. While on a cruise ship, they get separated from the rest of their party and end up on a deserted island. They live happily here for a few days until they are rescued. Sonia's friends help Rohit to make a name for himself so that they can get married. But before he reaches this goal, he meets an untimely death. Sonia's father sends her to live with her cousins in New Zealand to get over her heartbreak. In New Zealand she meets Raj Chopra who looks exactly like Rohit.",['172'],India,"Hindi, English",,6.9,234000
Dhaai Akshar Prem Ke,2000,"Drama, Romance",Raj Kanwar,Nothing from IMDB,"Abhishek Bachchan, Aishwarya Rai Bachchan, Amrish Puri, Anupam Kher, Shakti Kapoor, Sushma Seth, Harish Patel, Dalip Tahil, Neena Kulkarni, Tanvi Azmi","Karan Khanna is an orphan and a captain in the Rajputana Armed Forces. He's madly in love with beautiful model Nisha, with whom he plans to tie the knot during his next leave. On the way to Nisha and their life together he bumps into Sahiba Grewal (Aishwarya Rai) who is an eye-witness to a murder and a girl on the run. Paranoid and panic-stricken, she finds an unexpected savior in Karan who rescues her from a group of criminals and stops her from taking her life. Slowly, Sahiba confides in Karan about her painful past and not-so-pretty future. Sahiba is the daughter of the stern and stony-faced patriach, industrialist Yagvendra Grewal who wants to see her settle down with the very suitable son of his friend, Rai Bahadur. Unwilling to get tied down too soon with a stranger, Sahiba lies to her family telling them she got married while studying in the city and is now terrified of returning to Palanpur without a husband. Karan chivalrously offers to make the trip home with her and tell her father that she was forced to lie to him to avoid an early marriage. Along the way, Sahiba falls in love with Karan but he is still starry-eyed about his model. They arrive in Palanpur and Karan soon endears himself to Sahiba's extended family that includes her father, his three younger brothers, their wives and Biji, Sahiba's doting grandmother. Only Yagvendra refuses to accept his son-in-law, who he is convinced is after Sahiba's crores. Karan, who's never had a family of his own, is easily drawn into the warmth surrounding him and life is fine till one of Sahiba's aunts mistakenly assumes that Sahiba's expecting and spreads the word around. Suddenly, even Sahiba's grim father is grinning and life's a bed of roses again for Sahiba, who begs Karan not to leave her ever. Karan on his part finds himself falling in love with his enchanting wife-who-isn't and scared of a future he hasn't planned for, slinks off into the night to meet Nisha. But Nisha is already married and convinces him that Sahiba is his true love and he should return to Palanpur. He does to find that Yagvendra Singh and his family now want to have nothing more to do with him. Sahiba's father wants her to start a new life with Rai Bahadur's son but at the engagement ceremony, Sahiba recognizes him as the murderer she had fled from in the city. She tries to warn her father about his friend and her fiancé but Yagvendra is deaf to all her pleas. However, his younger brother Raunak sides with Karan and tries to prevent the marriage from taking place. But Sahiba believing all is lost, consumes poison before her Romeo can reach her.",['167'],India,"Hindi, English",,3.5,255112
Dhamaal,2007,"Action, Adventure, Comedy",Indra Kumar,Nothing from IMDB,"Sanjay Dutt, Riteish Deshmukh, Arshad Warsi, Jaaved Jaaferi, Aashish Chaudhary, Govardhan Asrani, Sanjay Mishra, Vijay Raaz, Tiku Talsania, Vijay Patkar","Four slackers and con-men namely: Boman Contractor, who lives a wealthy lifestyle with his eccentric dad, Nari, who loves his antique car more than his son, and asks his son to leave when he damages the car; hot-headed Aditya and dim-witted Manav, orphaned brothers; and Deshbandhu Roy, a trickster who wears a magnetized belt; share a room with a lenient landlady, who eventually gives up on them and kicks them out. After a number of con tricks, the group are arrested by the Police, but released in the countryside. At this point they witness a car plummet down a cliff, with it's sole occupant, Bose, an underworld don, who, before dying, tells them that he has hidden 10 Crore Rupees in cash in the St. Sebastian's Garden, Goa, and if they find it, it is their's to keep. The group race toward Goa in Contractor's stolen car, little knowing that their plans will soon be foiled, albeit hilariously, by Police Inspector Kabir Nayak, who is angered at this Department for not appreciating his honesty, and is instead penalizing him by transferring him to Yavatmal; a bus hijacker-cum-bandit named Baabubhai, who holds Deshbandhu hostage, and Nari Contractor, who wants the money to repair his now completely damaged car. All want an equal part of the bounty, and each and everyone of them will do anything, even break-up their friendship, rules, laws, and regulations in order to try and keep the cash for themselves, and eventually end up in a race, using a wide assortment of vehicles, and even an airplane, with the winner(s) keeping the entire amount for themselves.",['136'],India,"Rajasthani, Hindi",,7.5,845448
Dhamaka,2021,"Action, Crime, Drama, Thriller","Ram Madhvani, Heavenveer Singh Hayer",Nothing from IMDB,"Kartik Aaryan, Mrunal Thakur, Amruta Subhash, Soham Majumdar, Vikas Kumar, Vishwajeet Pradhan, Aeklavya Tomer, Aishwarya Chaudhary, Mahender Singh Bisht, Kumar Vasu Dilip",Arjun Pathak once a prime time news anchor for TRTV go demoted from his position due to unacceptable reasons and now works as an RJ for the same channel for current affairs.Arjun while of air gets a call from Raghubir Matha stating that he will blow the sea link but he takes it as a joke and asks him to go ahead and next moment the sea link is blown killing innocent lives.Arjun does not report about Raghubir to the cops but keeps a demand in front of his boss Ankita Malaskar that he will have to be given his prime time seat back if she wants to air the prime news on her channel.Ankita whose more concerned about her channel ratings strikes deal but Arjun will have to show the news what she wants.Arjun covers the news where Raghubir demands that the Chief Minister should come to his studio and say sorry to him during his live telecast or else there will be more destruction. But Ankita's only priority is to check her TRP ratings where Raghubir causes more destruction where Arjun looses his wife Saumya as well as causes trouble for himself.,['103'],India,Hindi,,7.0,13510660
Rainbow,2015,"Comedy, Drama",Nagesh Kukunoor,Nagesh Kukunoor,"Hetal Gada, Krrish Chhabria, Vipin Sharma, Gulfam Khan, Idhant Singh, Swastik Ram Chavan, Narendar Singh Rajpurohit, Vincent Daniel, Harmeet Arora, Sanjana Singh","Rainbow is an uplifting, enchanting, magical fable set in Rajasthan that reinforces the belief that life is beautiful. The story revolves around the wonderful relationship between a 10-year old girl Pari and Chotu, her 8-year old brother who live in a picturesque village nestled among the sand dunes. Having lost their parents to an accident at a very early age, they live with their uncle and aunt. Chotu is blind but he is anything but sad. Happy, precocious and a smart ass, he is the life of the village.Pari is his eyes, his guide and his best friend. And Chotu is the center of Pari's universe. As children sometimes do, not truly understanding the consequences, Pari has promised Chotu that he will be able to see by the time he turns 9 and as always, Chotu believes her unconditionally. On their weekly trip to the neighboring village to see a movie, Pari sees a poster with Sharukh Khan (SRK) appealing to people to donate their eyes. Pari is convinced that her reel life hero can help her fulfill her promise to her brother. In all her innocence she writes a letter to SRK pleading Chotu's case and to hurry since Chotu's 9th birth is just two months away. She doesn't hear back but this doesn't deter her and she writes a letter to SRK every day. One day fate intervenes - Pari hears that SRK is shooting in a location about 300 kms from her village. This is all the motivation she needs. She is confident that if she can meet SRK in person, she is sure that she can convince him to make Chotu see again. In the dead of the night, holding Chotu's hand, she runs away from home and embarks on a great adventure to meet SRK. What unfolds is a magical journey that only the innocence of childhood allows you to experience in the special world of children who have the ability to see magic in every little corner of this complicated world. They meet a host of colorful characters who sometimes help and sometimes thwart their plan but always push them in right path towards their destination! Will they make it? Will Chotu ever see again? Will fortune favor the bold? Step out and make this wondrous journey with Chotu and Pari and believe once again that if one wishes with atrue heart anything is possible.",['106'],India,"Hindi, Rajasthani, English",,7.8,4088588
Dharam Sankat Mein,2015,Comedy,Fuwad Khan,"Sanjay Sharma, Alpesh Dixit, Vijay Desai, Vedish Jhaveri","Naseeruddin Shah, Paresh Rawal, Annu Kapoor, Gagan Gupta, Gautam Singh Rajput, Tripti Agarwal, Auritra Ghosh, Gippy Grewal, Alka Badola Kaushal, Hazel Keech",Mr Dharam at the age of 55 figures out that he was adopted by a Hindu family after his Muslim father left him.He then tries to Meet his father who is in Critical Condition but the Imam says him to Become a Muslim for that. What Follows Next Are a bunch of comical events,['129'],India,Hindi,,6.3,4354740
Dharavi Bank,2022,"Crime, Drama, Thriller",Nothing from IMDB,"Sarthak Dasgupta, Sarthak Dasgupta, Sarthak Dasgupta","Suniel Shetty, Vivek Oberoi, Sonali Kulkarni, Luke Kenny, Santosh Juvekar, Akshay Poptani, Samiksha Bhatnagar, Vamsi Krishna, Sandhya Shetty, Anand Sharma","It follows the journey of Thalaivan (Suniel Shetty), a gangster from Dharavi, one of Asia's largest slums located in Mumbai, who owns a business worth more than 30,000 crores. He has a firm grip on the area and the people who live there because of his wealth and power. Thalaivan's popularity and influence also pose a threat to the government, especially Chief Minister Janvi Surve (Sonali Kulkarni), who along with Joint Commissioner of Police Jayant Gavaskar (Vivek Anand Oberoi), devises a plan to overthrow him. As a result, a war begins, and the plot revolves around who will eliminate whom in this conflict.",['40'],India,Hindi,,7.7,23333666
Religion,2007,"Drama, History",Bhavna Talwar,Nothing from IMDB,"Pankaj Kapur, Supriya Pathak, Pankaj Tripathi, Dayashankar Pandey, Hrishitaa Bhatt, Anany Tripathi, Suruchi Aulakh, Amar Jha, Brajesh Jha, Suhas Joshi","The movie is about a Hindu priest Pandit Chaturvedi (Pankaj Kapur) who is one of the most highly respected priests in the entire city of Varanasi. A man who lives for his religion, soaked in years of ancient traditions, values and morals. He is a strict, yet lovable man. As any real priest would, Chaturvedi believes he is a disciple of God on this earth to spread God's message and love as he goes about his rigidly ritualistic world of pooja's and teachings. One day his daughter brings home an infant (Krish Parekh) and the mother of the infant has disappeared and cannot be found nowhere. Pandit Chaturvedi is hesitant to have the child around the house at first, and when it's confirmed that the child has been abandoned, he then makes the decision that the child will be raised in the local orphanage. However the Pandit's wife Parvati (Supriya Pathak Kapur) has by now developed a soft spot for the young child and requests her husband if they can keep and raise the child if as their own. Hesitant at first, the priest reluctantly agrees as his wife lies to him that the baby is the son of a Brahmin. Slowly, the child wins over everyone hearts in the house including Pandit Chaturvedi who finds a son, a disciple and a best friend in the child. The story takes a turn when the baby's mother returns to claim him back, and much to the shock of Pandit Chaturvedi, the lady is a Muslim. The child who they'd fondly named Karthik is in fact Mustafa. Pandit Chaturvedi is in a state of shock and utter despair as he feels he has done the biggest sin of his life and feel as if he has betrayed his religion and more-so God. In a state of recluse and regret, Pandit Chaturvedi decides to take a series of different vows and ""vraths"" to clear his conscience. However whilst his mind is telling him he has done a grave sin, his heart sorely misses his little son, and the words ""babuji"" echo in every corridor of the house. In a series of events, riots break out in the city of Varanasi, Mustafa's mum begs and pleads the Pandit and his family to take back the little boy as he is much safer with them. However the doors of the house are closed for the little boy. What follows next can only be only described as a journey as Pandit Chaturvedi defies what he has believed his entire life if ""religion"" and listens to his inner conscience in the rousing finale.",['105'],India,Hindi,,8.0,1047459
Dhokha,2022,"Crime, Drama, Thriller",Kookie Gulati,Nothing from IMDB,"Madhavan, Khushali Kumar, Aparshakti Khurana, Darshan Kumaar, Vasuki, Santosh Patil, Sharad Jadhav, Ajoy Chakraborty, Aaloak Kapoor, Vikram Sahu","When a housewife with a personality disorder is taken hostage by a terrorist on the loose and a husband accused of cheating on his wife, have their own versions of reality, how do we know what the truth is? Dhoka Round D corner is a tale of lies and harsh truths.",['122'],India,Hindi,,6.2,10644708
Dhoom 3,2013,"Action, Crime, Drama, Thriller",Vijay Krishna Acharya,Nothing from IMDB,"Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra, Jackie Shroff, Tabrett Bethell, Andrew Bicknell, Siddharth Nigam, Charles Rasmussen, Gavin Marshall","The favourite Indian action franchise is back. This time Jai Dixit (Abhishek Bachchan) and Ali (Uday Chopra) return to match their wits with the enigmatic clown thief, Sahir (Aamir Khan), who has the city of Chicago in his thrall. In this battle of revenge and dignity, the lines blur and the conventional definition of good and bad don't apply. Watch a spectacle that will thrill you and move you.",['172'],"India, United States","Hindi, English",,5.4,1833673
