Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Ferrari,2023,"Biography, Drama, History",Michael Mann,Nothing from IMDB,"Adam Driver, Shailene Woodley, Giuseppe Festinese, Alessandro Cremona, Derek Hill, Leonardo Caimi, Penélope Cruz, Gabriel Leone, Michele Savoia, Jacopo Bruno","Set during the summer of 1957. Ex-racecar driver, Ferrari, is in crisis. Bankruptcy stalks the company he and his wife, Laura, built from nothing ten years earlier. Their tempestuous marriage struggles with the mourning for one son and the acknowledgement of another. He decides to counter his losses by rolling the dice on one race - 1,000 miles across Italy, the iconic Mille Miglia.",['130'],"United States, United Kingdom, Italy, China",English,,6.6,3758542
Fracture,2007,"Crime, Drama, Thriller",Gregory Hoblit,Nothing from IMDB,"Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike, Embeth Davidtz, Billy Burke, Cliff Curtis, Fiona Shaw, Bob Gunton, Josh Stamberg","Wealthy, brilliant, and meticulous Ted Crawford, a structural engineer in Los Angeles, shoots his wife Jennifer and entraps her lover, Lieutenant Robert ""Rob"" Nunally. He signs a confession. At the arraignment, he asserts his rights to represent himself and asks the court to move immediately to trial. The prosecutor is Willy Beachum, a hotshot who's soon to join a fancy civil-law firm, told by everyone it's an open and shut case. Crawford sees Beachum's weakness, the hairline fracture of his character: Willy's a winner. The engineer sets in motion a clockwork crime with all of the objects moving in ways he predicts.",['113'],"Germany, United States",English,,7.2,488120
Frozen II,2019,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical","Chris Buck, Jennifer Lee",Nothing from IMDB,"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Sterling K. Brown, Evan Rachel Wood, Alfred Molina, Martha Plimpton, Jason Ritter, Rachel Matthews","Having harnessed her ever-growing power after lifting the dreadful curse of eternal winter in Frozen (2013), Queen Elsa, the grand conjurer of snow and ice, and her sister, Princess Anna, now enjoy a happy life in the peaceful kingdom of Arendelle. However, a melodious, insistent voice only Elsa can hear keeps her awake, inviting the Snow Queen to a fabled mystical forest. As a result, unable to block the thrilling call of the secret siren, Elsa follows the voice into the perpetually misty realm in the woods to find answers. But, more and more, an inexplicable imbalance hurts her kingdom and the neighboring tribe of Northuldra. Is Queen Elsa's legendary magic enough to restore peace and stability?",['103'],"Japan, United States","English, Russian",,6.8,4520988
FryDay,2018,"Comedy, Drama",Abhishek Dogra,Nothing from IMDB,"Govinda, Digangana Suryavanshi, Varun Sharma, Sanjay Mishra, Rajesh Sharma, Prabhleen Sandhu, Anil, Pratik Asnani, Habib Azmi, Ashmita Kaur Bakshi","Rajiv, a struggling water purifier salesman, after a long chase, is able to bag a client Gagan Kapoor and fix him for an appointment on a Friday. However, he finds himself caught up in a tricky situation when he arrives at Kapoor's house and catches Kapoor cheating on his wife Bela with another woman Bindu.",['114'],India,Hindi,,5.3,7526836
Fugly,2014,"Comedy, Drama, Thriller",Kabir Sadanand,Nothing from IMDB,"Jimmy Shergill, Mohit Marwah, Kiara Advani, Vijender Singh, Arfi Lamba, Anshuman Jha, Kunika Sadanand, Sana Saeed, Rajveer Ahuja, Mansha Bahl","It is a story of 4 friends - Dev, Gaurav, Aditya & Devi. The cast is young & fresh. They are at the cusp of their lives - The college has just about finished, but career path is yet to be set. These are the last few days of true freedom that we have all gone through, and still cherish. These friends are conscientious, they will have fun but would never cross the boundaries - They all have dreams and expectations from life, but as they say - man proposes, god disposes. Their fun filled and care free life comes to an abrupt halt, when they are faced with an extremely corrupt and seemingly fearless Police Officer. This puts a series of events in motion which will test their friendship and characters - their life becomes 'Fugly'.",['129'],India,Hindi,,4.7,3683702
Fukrey 3,2023,"Comedy, Crime, Drama, Thriller",Mrighdeep Lamba,Vipul Vig,"Pulkit Samrat, Varun Sharma, Manjot Singh, Richa Chadha, Pankaj Tripathi, Sani Ahmed, Richa Ambar, Manu Rishi Chadha, Amit Dhawan, Shubham Dongare","Fukrey's Choocha,Hunny and Lali this time with Panditji are running a departmental store given by government but hardly have customers.They survive on small expenses by giving tips to others while Bholi is contesting the upcoming elections and wants help of Fukrey's.During opening of a public toilet people start praising for Choocha leaving Bholi aside.Bholi faces brunt from criminal Dhingra for speaking against water mafia as he is financing her party.Hunny realizes that if Bholi comes in power she will ruin Delhi and decide to contest Choocha against her and need money.Bholi's bodyguards Eddie and Bobby plan to ditch her and take Fukrey's to South Africa where their uncle Sinda has a diamond mine. Sinda is finding it difficult to locate the diamonds and Choocha with Deejachu can help him.After spending couple of days there Hunny realizes that the mine is empty and it was all planned by Bholi to keep them away from elections.The Fukrey's plan to elope to India to contest the elections but now carry a boon with them.",['147'],India,Hindi,,5.6,26445483
Future to Bright Hai Ji,2012,Drama,Sanjay Amar,Nothing from IMDB,"Aamir Bashir, Sonal Sehgal, Govardhan Asrani, Brijendra Kala, Satish Kaushik, Rajesh Khera, Neelima Azim, Vipin Sharma, Manini Mishra, Anant Jog",,['180'],India,Hindi,,6.2,2253708
Gadar: Ek Prem Katha,2001,"Action, Drama, Romance",Anil Sharma,Shaktimaan Talwar,"Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey, Vivek Shauq, Utkarsh Sharma, Suresh Oberoi, Madhumalti Kapoor, Tony Mirrcandani, Mushtaq Khan","Amongst the communal riots that erupt in the city, Tara shelters a wayward Sakina from a crazed mob and a bond that blossoms into love is created. The two eventually get married and have a son. The happy family, now living in Amritsar, gets the shock of their lives when Sakina learns that her father (Amrish Puri), whom she previously believed died in the riots back in Amritsar, is still alive after seeing his picture in a tattered, old newspaper. Upon contacting him, Sakina's father, now the mayor of Lahore in Pakistan, arranges for his daughter to arrive in Lahore to see him. Sakina leaves for Lahore minus Tara and her son, and upon reaching the city, learns of her father's plans for her - plans that include forcing Sakina to forget about her family and start life anew in Pakistan. Then begins an extraordinary journey which will lead Tara to cross the border into Pakistan to find his love Sakina.",['170'],India,"Hindi, Punjabi",,7.3,284137
Gafla,2006,Drama,Sameer Hanchate,Nothing from IMDB,"Somesh Agarwal, Anshul Chobey, Nishikant Dixit, Vikram Gokhale, Brijendra Kala, Aditya Lakhia, Shruti Panwar, Purva Parag, Vinod Sharawat, Shakti Singh","'Gafla' begins as a story about an ordinary young man, Subodh, in ordinary circumstances. Subodh starts out as like any middle-class guy, with limited opportunities to survive and get ahead. 'gafla' follows Subodh's journey into the stock markets and beyond through the eyes of different people in his personal and professional life.",['127'],India,Hindi,,7.4,0896934
Gandhi,1982,"Biography, Drama, History",Richard Attenborough,John Briley,"Ben Kingsley, Rohini Hattangadi, Roshan Seth, Candice Bergen, Edward Fox, John Gielgud, Trevor Howard, John Mills, Martin Sheen, Ian Charleson","In 1893, Mohandas K. Gandhi is thrown off a South African train for being an Indian and traveling in a first class compartment. Gandhi realizes that the laws are biased against Indians and decides to start a non-violent protest campaign for the rights of all Indians in South Africa. After numerous arrests and the unwanted attention of the world, the government finally relents by recognizing rights for Indians, though not for the native blacks of South Africa. After this victory, Gandhi is invited back to India, where he is now considered something of a national hero. He is urged to take up the fight for India's independence from the British Empire. Gandhi agrees, and mounts a non-violent non-cooperation campaign of unprecedented scale, coordinating millions of Indians nationwide. There are some setbacks, such as violence against the protesters and Gandhi's occasional imprisonment. Nevertheless, the campaign generates great attention, and Britain faces intense public pressure. Too weak from World War II to continue enforcing its will in India, Britain finally grants India's independence. Indians celebrate this victory, but their troubles are far from over. Religious tensions between Hindus and Muslims erupt into nation-wide violence. Gandhi declares a hunger strike, saying he will not eat until the fighting stops. The fighting does stop eventually, but the country is divided. It is decided that the northwest area of India, and eastern part of India (current day Bangladesh), both places where Muslims are in the majority, will become a new country called Pakistan (West and East Pakistan respectively). It is hoped that by encouraging the Muslims to live in a separate country, violence will abate. Gandhi is opposed to the idea, and is even willing to allow Muhammad Ali Jinnah to become the first prime minister of India, but the Partition of India is carried out nevertheless. Gandhi spends his last days trying to bring about peace between both nations. He thereby angers many dissidents on both sides, one of whom finally gets close enough to assassinate him.",['191'],"United Kingdom, India, United States, South Africa","English, Hindi",,8.0,83987
Gangaajal,2003,"Action, Crime, Drama",Prakash Jha,Prakash Jha,"Ajay Devgn, Gracy Singh, Mohan Joshi, Yashpal Sharma, Akhilendra Mishra, Mukesh Tiwari, Ayub Khan, Chetan Pandit, Anup Soni, Mohan Agashe","An SP Amit Kumar who is given charge of Tezpur police station in Bihar. The area is full of corruption, inefficiency, bribery, nepotism, favoritism and crime with help from the local police. Gradually Amit realizes that the local politician Sadhu Yadav is the one who benefits the most out of it. Amit arrests Sunder Yadav, Sadhu's son. While Sunder is released soon, some police officers, get frustrated with the system, and pour acid into the eyes of two of Yadav's men, blinding them. A hue and cry is raised by the media, crime almost comes to a standstill, and the police are regarded with respect. SP Amit Kumar must now put an end to this kind of situation.",['157'],India,Hindi,,7.8,373856
Gangaa Jamunaa Saraswathi,1988,"Action, Drama, Romance",Manmohan Desai,Nothing from IMDB,"Amitabh Bachchan, Mithun Chakraborty, Jaya Prada, Meenakshi Sheshadri, Nirupa Roy, Amrish Puri, Mahesh Anand, Harbans Darshan M. Arora, Bharat Bhushan, Jack Gaud","Gangaa Jamunaa and Saraswathi the most pious rivers, create a unique holy merger, popularly known as ""Sangam"". Likewise the characters of our story Gangaa Jamunaa and Saraswathi desire to meet and merge in love of each other. Gangaa Jamunaa begin to love each other and pledge to become one, Saraswati silently loves Gangaa, and dedicates her life to him. However there are many, who would like to separate the happy lovers. There is Hansraj, who does it, and with the result Jamuna separates from Gangaa. Jamuna reaches Shanker's home, Shanker who already loved her becomes extremely happy finding Jamuna in his home. In the meantime Saraswati was about to come closer to Ganga. When Hansraj, who had earlier swindled the property of Ganga's father by illegal means wanted to get rid of the rightful owner Ganga, he got Ganga shot. Ganga was badly wounded and there was no hope of his survival.",['187'],India,Hindi,,4.7,95198
Gangs of New York,2002,"Crime, Drama",Martin Scorsese,Nothing from IMDB,"Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent, John C. Reilly, Henry Thomas, Liam Neeson, Brendan Gleeson, Gary Lewis, Stephen Graham","In the god-forsaken district of early-1860s Lower Manhattan known as the Five Points, the vicious Nativist, Bill ""The Butcher"" Cutting, is the supreme overlord of an area riddled with crime, prostitution, theft and murder, as the American Civil War still rages on. Sixteen whole years after the brutal murder of his father from Bill's blood-stained hands, an orphaned Irish-American, Amsterdam Vallon, returns to this melting pot of corruption to avenge his untimely death; however, a lot has changed since then. Who can remember the once-innocent boy and now a young man bent on revenge, who works his way up to the hierarchy of Five Points? Will Amsterdam ever taste the dangerous but sweet fruit of retribution?",['167'],"Italy, United States","English, Irish, Chinese, Latin",,7.5,217505
Gangs of Wasseypur,2012,"Action, Comedy, Crime, Drama, Thriller",Anurag Kashyap,Nothing from IMDB,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha, Reema Sen, Piyush Mishra, Huma Qureshi, Jaideep Ahlawat, Vineet Kumar Singh, Pankaj Tripathi","Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.",['321'],"India, France",Hindi,,8.2,1954470
Gangs of Wasseypur,2012,"Action, Comedy, Crime, Drama, Thriller",Anurag Kashyap,Nothing from IMDB,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha, Reema Sen, Piyush Mishra, Huma Qureshi, Jaideep Ahlawat, Vineet Kumar Singh, Pankaj Tripathi","Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.",['321'],"India, France",Hindi,,8.2,1954470
