Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Jayantabhai Ki Luv Story,2013,"Action, Comedy, Romance",Vinnil Markan,Kiran Kotrial,"Vivek Oberoi, Neha Sharma, Rahul Singh, Nikhil Ratnaparkhi, Shishir Sharma, Him Dayal Singh, Vishwanath Chatterjee, Jiten Mukhi, Falguni Rajani, Nilofer Raza",,['130'],India,Hindi,,5.3,2622130
Jayeshbhai Jordaar,2022,"Comedy, Drama",Divyang Thakkar,Nothing from IMDB,"Pratik Nanda, Ranveer Singh, Shalini Pandey, Boman Irani, Ratna Pathak Shah, Puneet Issar, Jia Vaidya, Deeksha Joshi, Jayesh Barbhaya, Sameer Boxer","A non-confrontational Jayesh (Ranveer Singh) decides to defy his patriarchal family and flee with his pregnant wife Mudra (Shalini Pandey) to save their unborn daughter from feticide. A screwball, hilarious chase begins as Jayesh's father (Boman Irani) assembles all his might to nab them. Will this unlikely hero manage to create a safe and equal haven for his daughter?",['121'],India,Hindi,,6.0,10393870
Jeeva,2014,"Drama, Sport",Suseenthiran,Nothing from IMDB,"Vishnu Vishal, Sri Divya, Soori, Lakshman Narayan, Sanyathara, Charlie, Madhusudhan Rao, Marimuthu, T. Siva, Jeeva Ravi",,['127'],India,Tamil,,7.6,4047112
Jeevan Mrityu,1970,"Drama, Romance, Thriller",Satyen Bose,Biswanath Roy,"Dharmendra, Rakhee Gulzar, Ajit Khan, Kanhaiyalal Chaturvedi, Ramesh Deo, Bipin Gupta, Paidi Jairaj, Krishan Dhawan, Master Bunty, Rajendranath Malhotra","Ashok Tandon (Dharmendra) is a bank manager. He is in love with Deepa (Raakhee) and they are to be married soon. However, Ashok is arrested for theft from the bank. He asks Deepa to look after his mother (Leela Chitnis), which she agrees to. He is sentenced to prison for several years. After his release he finds out that his mother has passed away; Deepa is married and has re-located; and he was framed by his colleagues at the bank. Devastated but still honest, he is befriended by Raja Ranbir Singh, who gives him a job as well a new identity. Ashok now becomes Bikram Singh and he must seek out Deepa as well as his shrewd and calculating colleagues at the bank to exact vengeance.",['140'],India,Hindi,,7.3,156641
Jersey Girl,2004,"Comedy, Drama, Romance",Kevin Smith,Kevin Smith,"Betty Aberlin, Matt McFarland, Sarah Stafford, Paulie Litt, Christian Fan, Victor Chavez, William Mace, Raquel Castro, Ben Affleck, Jennifer Schwalbach Smith","Oliver Trinke has always tried to put his Highlands, New Jersey past behind him, but it's been difficult for the past six years. He was a successful New York City music publicist, but after his wife Gertrude died immediately after delivering their daughter Gertie, unprepared Ollie became persona non grata in the entertainment-publicity industry through a single incident largely putting his desire for professional success over his responsibilities as a father, and he returned to Highlands and he and Gertie moved in with his own father Bart until he could get back on his feet. That meant working side-by-side with Bart in the Borough of Highlands works crew, a job he still has. He also still has the desire to get back to a New York City life and a high-powered job as an entertainment publicist, despite learning to be a responsible, loving father to Gertie, who has only known Highlands life and likes everything about it, including her daddy and Bart, her ""Pop."" As Ollie tries to realize his dream, he might get a clearer picture of his priorities with help from Maya, a video store clerk/graduate student that he and Gertie befriend.",['102'],United States,English,,6.2,300051
The Skies Have Bowed,1968,"Comedy, Romance",Lekh Tandon,Nothing from IMDB,"Rajendra Kumar Tuli, Saira Banu, Rajendranath Malhotra, Prem Chopra, Parveen Choudhary, David Abraham, Gajanan Jagirdar, Randhir, Madhumati, Durga Khote","Sanjay lives a poor lifestyle in Darjeeling and makes a living as a Tourist Guide. He meets with Calcutta-based Priya Khanna, and both fall in love. When she receives word that her dad has been arrested, she returns home, and with a lot of problems does manage to secure her dad's release. She then finds out that Sanjay is also in Calcutta, both meet and plan to get married. Her dad finds out and cautions her against meeting him as this person's real identity is Tarun Kumar Saxena - the very man who had him imprisoned. Priya disbelieves her father and goes to meet Sanjay - and this is when she will find out that her dad not only told her the truth, but Tarun is already married to a woman named Rita.",['160'],India,Hindi,,6.8,290685
Jhumroo,1961,"Comedy, Drama, Musical",Shankar Mukherjee,Nothing from IMDB,"Kishore Kumar, Madhubala, Chanchal, Anoop Kumar, Lalita Pawar, M. Kumar, Sajjan, Anoop Sharma, Bhagwan Sinha, S.K. Singh","Anjana lives a wealthy lifestyle with her dad, Dwarka Nath, in a hilly region in India. When she returns home after several years, she finds that her dad has become more strict and a disciplinarian, and even has his erring employees and villagers flogged. Then she meets with local villager, Jhumroo, and both fall in love with each other. Jhumroo takes her home to introduce her to his mom, Kamla, who approves of her instantly. When Dwarka comes to know about this, he is enraged, and quickly announces her marriage with his Manager, Ramesh. Jhumroo is heart-broken and goes to meet with Anjana, who does tell him that she loves him, but must obey her father. What Jhumroo and Anjana do not know is that she is not Dwarka's daughter, but is the daughter of Kamla, and abducted at a very young age. The question remains what impact will this have on their lives when they find that they are brother and sister, and who actually did abduct Anjana?",['171'],India,Hindi,,6.8,130803
Jhund,2022,"Biography, Drama, Sport",Nagraj Manjule,Nothing from IMDB,"Amitabh Bachchan, Ankush Gedam, Babu Kshatriya, Jerico Robert, Rajiya Kazi, Kartik Uikey, Sayli Patil, Allen Patrick, Jaspreet Singh Randhawa, Saurabh Abhaynkar","A retired sports-teacher and sports -enthusiast Vijay (60 yrs) from Nagpur, often comes across a bunch of teenage goons from nearby slums who hang around wasting their time in playing cards, fighting, smoking, robbing passersby. Vijay takes initiatives and introduces football to these slum-dwellers to channelize their energy positively. He wants to transform this set of goons into disciplined football players. its no mean task. Though there are many hurdles in transforming such undisciplined homeless bunch into a disciplined organized team, he perseveres. He believes that these homeless kids possess extraordinary skills and have potential. He believes they need to feel the validation and trust to become trustworthy themselves. He sacrifices a lot and continues the struggle against all odds. Vijay's vision to transform these homeless children's wretched life becomes a reality as he takes them at another level by entering into the world's biggest football tournament - the ""homeless Soccer''. The twists and turns, and turbulent times make the impossible possible.",['176'],India,Hindi,,7.4,8983228
Jigsaw,2017,"Horror, Mystery, Thriller","Michael Spierig, Peter Spierig","Josh Stolberg, Pete Goldfinger","Matt Passmore, Tobin Bell, Callum Keith Rennie, Hannah Emily Anderson, Clé Bennett, Laura Vandervoort, Paul Braunstein, Mandela Van Peebles, Brittany Allen, Josiah Black","It has been over a decade since Jigsaw died. However, after a new series of murders occurs, police find themselves chasing after the original Jigsaw Killer - John Kramer. Could John Kramer still be alive or is another killer out there with a different motive?",['92'],"United States, Canada",English,,5.7,3348730
Jism,2003,"Drama, Romance, Thriller",Amit Saxena,Nothing from IMDB,"Bipasha Basu, John Abraham, Gulshan Grover, Vinay Pathak, Ranvir Shorey, Anahita Oberoi, Harsh Vashisht, Bobby Bedi, Sheeba Chaddha, Niveda Mehndi","Kabir Lal is an alcoholic lawyer whose life is looking as if going down the drain. One morning he sees a stunningly attractive woman on a beach and is instantly enamored by her. By chance he sees her again in a restaurant and offers to buy her a drink. In the process he learns that her name is Sonia and she is married. Unable to resist, he asks her whether she would show him her home. It marks the beginning of a passionate affair, during which Kabir is told that Sonia's husband neglects her. But Sonia cannot leave him because she cannot support herself without her husband's money. Sonia suggests murder and Kabir, blind with lust, agrees. They manage to kill Sonia's husband and make it look like an accident, but then Kabir gets to see Sonia's other side: she no longer is the passionate lover as before, but is a cool-headed mean woman now who won't let go of her wealth at any cost.",['136'],India,Hindi,,5.3,348843
