Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Khuda Haafiz,2020,"Action, Crime, Drama, Thriller",Faruk Kabir,Faruk Kabir,"Vidyut Jammwal, Shivaleeka Oberoi, Annu Kapoor, Aahana Kumra, Shiv Panditt, Vipin Sharma, Shahnawaz Pradhan, Gargi Patel, Suparna Marwah, Mohit Chauhan",Samir and Nargis get married but soon recession takes place globally.Sameer's IT business shuts and Nargis also looses her job they apply for a job in Noman where both get selected while Nargis has to reach first.Before Sameer could leave he gets call from Nargis that she isn't at safe place and needs help. Sameer takes the help of cops and flies to Noman where he is helped by a Pakistani Taxi driver Usman.Sameer manages to find Nargis but before he could take her he is attacked by goons where he creates havoc and gets imprisonment.,['133'],India,Hindi,,7.1,7363104
Khwaabb,2014,"Drama, Romance, Sport",Zaid Ali Khan,Nothing from IMDB,"Simer Motiani, Navdip Singh, Bajrangbali Singh, Rishi Miglani, Apexa Verma, Jeetendra Gupta, Dhirendra Gupta, Vibhav Bhisht, Abbas Ali Khan, Manoj Bakshi","Khwaab is a story about the birth of a dream, of ambition and the fierce passion to achieve that dream amidst unceasing tribulations. This intense personal journey is set in the larger, bureaucratic world of Indian sports. It illustrates why a country with a population of 1.2 billion people cannot produce medal-winning athletes. How sheer, raw talent gets wasted or destroyed by corrupt politicians and power hungry bureaucrats. Khwaab is the story of one such athlete and her struggle to succeed in the cut-throat, debauched and mired world of Indian sports.",['90'],India,Hindi,,5.6,2429930
Ki & Ka,2016,"Comedy, Romance",R. Balki,Nothing from IMDB,"Amitabh Bachchan, Kareena Kapoor, Arjun Kapoor, Jaya Bachchan, Neeta Mohindra, Rajit Kapoor, Swaroop Sampat, Gulnaaz Khan, Abhiroy Singh, Sunayanaa Paradkar","The movie follows the trails of young married ""rich"" couple, their struggles to manage work-life balance, ego battles and then the happy ending. Arjun Kapoor is a rich son and so is Kareena Kapoor who is a very successful marketing executive well supported her boss- as shown in the movie. The two meet in a typical Bollywood style and after several outings in Rail museum and restaurants, decide to get married albeit without much fanfare through a registered marriage. The story then follows the swap of roles of husband managing the household while supporting a spouse's career. While Kareena succeeds in her career and is overshadowed by Arjun's out of turn popularity whilst endorsing several brands, giving talk shows etc leading to differences between the two and thus an ego tussle. The tussle is resolved with the matter convinced by two super ladies- Swaroop Sampath and Jaya Bachan and the movie ends on a happy note. Star guest Amitabh Bachan adds glitter to the script too. Arjun is passionate about trains and is off to National Rail Museum with Kareena for datings. He also has an exclusive toy rail set-up in his room and kitchen. His passion for trains is even picturised even in one of the songs. The other passion for him is cooking-both for his family and later develops that as a profession. Cooking is shown extensively whilst endorsing several cooking based brands aligned to Kareena's marketing ventures.",['126'],India,"Hindi, Tamil, Telugu",,5.7,4744086
Kick,2014,"Action, Comedy, Crime, Thriller",Sajid Nadiadwala,Nothing from IMDB,"Saurabh Dhingra, Salman Khan, Jacqueline Fernandez, Nawazuddin Siddiqui, Randeep Hooda, Mithun Chakraborty, Archana Puran Singh, Sumona Chakravarti, Gautam Singh Rajput, Sanjay Mishra","On a train journey in Warsaw, psychiatrist Shaina meets Himanshu, who is a police officer from India to discuss their prospective marriage. Both are reluctant to enter into an arranged union but become friends and strike a deep conversation where Shaina reveals her previous relationship with the eccentric Devi, a man who lived only for his 'Kick' aka an adrenaline rush . Despite his idiosyncrasies they embark on a whirlwind romance, until one day he breaks up with her for a new 'Kick' and walks away never to return. Himanshu in turn regales her with his glorious escapades as an officer but mentions that he has finally met his match, an intelligent thief. What they are both unaware of is that their stories have one thing in common, Devi. He returns to their lives under the pretext of having lost his memory. Behind it all, is a deeper mystery and an uncompromising mission for which Devi is ready to lose his life.",['146'],India,Hindi,,6.0,2372222
Kill Chain,2019,"Action, Thriller",Ken Sanzel,Ken Sanzel,"Nicolas Cage, Anabelle Acosta, Enrico Colantoni, Ryan Kwanten, Angie Cepeda, Eddie Martinez, Jhon Bedoya, Alimi Ballard, Pedro Calvo, Yusuf Tangarife","A hotel room shootout between two assassins kicks off a long night of bodies falling like dominoes, as we follow a chain of crooked cops, gangsters, hitmen, a femme Fatale and an ex-mercenary through a confluence of murder, betrayal, revenge and redemption.",['91'],United States,English,,5.0,8535180
Kill Dil,2014,"Action, Comedy, Drama, Romance, Thriller",Shaad Ali,"Nitesh Tiwari, Shreyas Jain, Nikhil Mehrotra","Ranveer Singh, Ali Zafar, Parineeti Chopra, Govinda, Alok Nath, Jass Bhatia, Maanvi Gagroo, Rocky Verma, Sukhwinder Singh, Murad Ali","Once upon a time in North India, two killers - Dev (Ranveer Singh) and Tutu (Ali Zafar), roamed free. Abandoned when young and vulnerable, Bhaiyaji (Govinda) gave them shelter and... nurtured them to kill. All is normal in their lives until destiny throws free-spirited Disha (Parineeti Chopra) into the mix. What follows is a game of defiance, deception and love.",['127'],India,Hindi,,4.4,3380264
Kismet Love Paisa Dilli,2012,"Adventure, Comedy, Crime, Romance, Thriller",Sanjay M. Khanduri,Nothing from IMDB,"Vivek Oberoi, Mallika Sherawat, Neha Dhupia, Anshuman Jha, Vishal C. Bhardwaj, Tahir Raj Bhasin, Vishwanath Chatterjee, Bunty Chopra, Aseem Hattangady, Rajat Kaul","Film is set in one winter night in Delhi where a middle class, Delhi university guy falls in love with a girl anchoring a fashion show. In process of wooing her someone plants a sting operation tape in his pocket. This sting operation has a minister talking of buying and selling MLAs and media heads from his Swiss bank accounts. Unknown to this he is chased by corrupt cops and good guys to get that tape back. Soon he gets to know of tape with him and it's high relevance. How this university student who always talked against corruption like any layman, now gets bribed himself by the big offer thrown by Minster's man constitutes the edge of the seat climax of story.",['129'],India,Hindi,,4.5,2402131
Kissise Na Kehna,1983,"Comedy, Romance",Hrishikesh Mukherjee,Nothing from IMDB,"Farooq Shaikh, Deepti Naval, Utpal Dutt, Saeed Jaffrey, S.N. Banerjee, Deven Verma, Lalita Kumari, Asha Sharma, Ketki Dave, Nellu Arora","Kailashnath is a widower, and father of an only son, Ramesh. He feels that his son has come of age, and must get married. He goes to see a number of young ladies for him, but is disappointed with them, as he feels they are too modern, speak English, and listen to foreign music. He feels that Ramesh will be better off marrying a non-English speaking lady, preferably from a small village. But the predicament of Ramesh is that he is already in love with Ramola, a very well qualified, English speaking Doctor, and he knows fully well that she will not be approved by his dad. So Ramesh, Ramola and Lalaji concoct a plot, making Ramola masquerade as a naive, non-English speaking village belle, with hilarious and unpredictable results.",['140'],India,Hindi,,7.3,244590
Koyelaanchal,2014,"Action, Drama",Asshu Trikha,Nothing from IMDB,"Kannan Arunachalam, Biswanath Basu, Vinod Khanna, Roopali Krishnarao, Surjeet Singh Rajput, Suniel Shetty, Lata S. Singh, Ravi Singh, Chitragupta Sinha, Asshu Trikha","Koyelaanchal (coal belt of India) brings to light the explosive story of the people who have kept our precious fuel station at ransom for centuries. Koyelaanchal unveils itself through Saryu Bhan Singh (Vinod Khanna),an ex-owner turned Mafioso of the region, who through his sheer brutality & blatant defiance of law of the land, forces the people & the authorities to acknowledge him as their 'maalik'. Any protest, any voice of dissent against him is dealt with spine chilling violence of epic proportions.",['145'],India,Hindi,,5.4,3640942
Kranti,2023,"Action, Drama",V. Harikrishna,V. Harikrishna,"Darshan Thoogudeep, Rachita Ram, V. Ravichandran, Sumalatha, Keerthi Bhanu, Pd Satish Chandra, Mukhyamantri Chandru, Dharma Chowdaiah, Ashwin Hassan, Samyuktha Hornadu",,['163'],India,Kannada,,5.5,15373868
Krishnarjuna Yudham,2018,"Action, Comedy",Merlapaka Gandhi,Nothing from IMDB,"Nani, Anupama Parameswaran, Rukshar Dhillon, Brahmaji, Devadarshini Chetan, Nagineedu, Prabhas Sreenu, Sambhola Hari, Vidyullekha Raman, Pooja Ramachandran",,['156'],India,Telugu,,5.8,7770192
Krrish,2006,"Action, Adventure, Sci-Fi",Rakesh Roshan,Nothing from IMDB,"Hrithik Roshan, Priyanka Chopra Jonas, Rekha, Naseeruddin Shah, Sharat Saxena, Manini Mishra, Puneet Issar, Hemant Pandey, Akash Khurana, Archana Puran Singh","Singapore-based Dr. Siddhant Arya recruits a superhumanly powerful Indian-born man named Rohit Mehra, who was given special powers by a blue-skinned alien named Jadoo, to build a computer that can forecast the future, which results in an accident that kills Rohit. When this news reaches Rohit's mother, Sonia, in India, she passes this on to Rohit's wife, Nisha, who has just given birth to a son named Krishna. However, Nisha, unable to handle this devastating news, passes away, leaving Krishna to be brought up by Sonia. When Krishna is enrolled in school, she notices that he has the same intellectual and physical powers that his father possessed, so in order to shield him from any harm, she moves to a secluded and remote area in a mountainous region of the country, where he grows up. Years later, Krishna has matured, has acquired the same special powers that his father had, and is also able to communicate with animals. He meets with a camper named Priya and is attracted to her. When she returns home to Singapore, she phones him to visit her so that she can introduce him to her mother so that they can get married. A thrilled Krishna travels to Singapore, despite Sonia's pleas; meets with Priya; and is all set to meet her mother, get married, and return home. What Krishna does not know is that Priya has lured him there so that she can exploit his superhuman powers on her TV network, Star Plus--and not only maintain her job but also get a promotion. It looks like the naïve and overly trusting Krishna may now be propelled straight into the hands of Dr. Arya, who is still alive and on the verge of creating a supercomputer that can forecast the future--and is quite capable of doing anything in his power to achieve this nefarious goal and project himself as the one and only God of the universe.",['185'],India,"Hindi, English, Cantonese, Tamil",,6.4,432637
