Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Shootout at Wadala,2013,"Action, Biography, Crime",Sanjay Gupta,Nothing from IMDB,"Anil Kapoor, John Abraham, Manoj Bajpayee, Tusshar Kapoor, Kangana Ranaut, Sonu Sood, Ronit Roy, Mahesh Manjrekar, Raju Mavani, Arif Zakaria","Manohar Arjun Surve, better known as Manya Surve, is a bright college student in love with Vidya. He lives with his mother and stepbrother Bhargav Surve, a local goon. Manya is arrested by Inspector Ambolkar for being on the spot when his brother killed a goon; he's humiliated, taken from college, and put in jail where Bhargav gets killed by Potya while Manya is saved by Sheikh Munir. Manya and Sheikh Munir escape from jail and reach Bombay, where they meet Zubair, who asks them to join his gang, but his brother Dilawar disapproves of him. Manya then decides to form his own gang with Munir and Vira, later joined by Gyancho and Jamal. Manya and his gang members become top criminals on Inspector Afaque Baaghran's Wanted List. Inspector Baaghran must find a way to stop the menace.",['155'],India,Hindi,,6.0,2301155
Shootout at Wadala,2013,"Action, Biography, Crime",Sanjay Gupta,Nothing from IMDB,"Anil Kapoor, John Abraham, Manoj Bajpayee, Tusshar Kapoor, Kangana Ranaut, Sonu Sood, Ronit Roy, Mahesh Manjrekar, Raju Mavani, Arif Zakaria","Manohar Arjun Surve, better known as Manya Surve, is a bright college student in love with Vidya. He lives with his mother and stepbrother Bhargav Surve, a local goon. Manya is arrested by Inspector Ambolkar for being on the spot when his brother killed a goon; he's humiliated, taken from college, and put in jail where Bhargav gets killed by Potya while Manya is saved by Sheikh Munir. Manya and Sheikh Munir escape from jail and reach Bombay, where they meet Zubair, who asks them to join his gang, but his brother Dilawar disapproves of him. Manya then decides to form his own gang with Munir and Vira, later joined by Gyancho and Jamal. Manya and his gang members become top criminals on Inspector Afaque Baaghran's Wanted List. Inspector Baaghran must find a way to stop the menace.",['155'],India,Hindi,,6.0,2301155
Shor Se Shuruaat,2016,Drama,"Amira Bhargava, Rahul V. Chittella, Satish Raj Kasireddi, Pratik Kothari, Arunima Sharma, Supriya Sharma, Annie Zaidi",Nothing from IMDB,"Rasika Dugal, Saurabh Goyal, Suyash Joshi, Atul Kulkarni, Omkar Kulkarni, Baia Marbaniang, Vijay Maurya, Siddharth Menon, Asimah Mirza, Sanjay Mishra",,['125'],India,Hindi,,6.6,6346954
Shubh Mangal Savdhan,2017,"Comedy, Romance",R.S. Prasanna,Nothing from IMDB,"Ayushmann Khurrana, Bhumi Pednekar, Seema Pahwa, Anshul Chauhan, Brijendra Kala, Jimmy Shergill, Anmol Bajaj, Deepak Arora, Viccky Baidyanath, Flora Bose",,['119'],India,Hindi,,6.9,6971752
Shuddh Desi Romance,2013,"Comedy, Drama, Romance",Maneesh Sharma,Nothing from IMDB,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor, Rishi Kapoor, Ramakant Dayma, Alex Gabriel, Mahesh Ginnilaal, Imtiaz Ahmad, Bhuvan Arora, Ankush Bali","'Shuddh Desi Romance' is the journey of three restless young people who junk the society's syllabus for finding love and decide to follow their hearts. Raghu (Sushant Singh Rajput), a tourist guide in Jaipur, wants love in his life, and that's it. The rest he's going to figure out along the way. Gayatri (Parineeti Chopra), a part-time instructor in an English-speaking institute, has been around the block a few times and knows the scene, warts and all. Tara (Vaani Kapoor), who's dying to get out there and fly, knows what's right for her, but a little experimenting never hurt anybody, did it? When their lives crisscross, their beliefs get challenged, and their loves, tested. We all want it all...the love, the attraction, the relationship, the commitment. But when we get it, it may not be in the way we recognize.",['141'],India,"Rajasthani, Hindi",,5.8,2988272
Sikandar,2009,"Crime, Drama, Mystery, Thriller","Piyush Jha, Arjun Gaikwad",Nothing from IMDB,"Parzaan Dastur, Ayesha Kapur, Sanjay Suri, Madhavan, Nassar Abdulla, Akash Aditya, Irfan Choudhary, Mushtaq Kak, Gulzar Khan, Nazir Khan","14-year-old Sikandar Raza has been living with his uncle and aunt in Kashmir, ever since his parents were killed by militants 10 years ago. The young boy, who dreams of a better life for his family by realizing his football talent, is a bit of a loner at school and an easy target for the school bullies. One day on his way home from a school football match, Sikandar finds a pistol lying on the path. Despite being warned against it by his new friend Nasreen, Sikandar picks up the pistol believing it to be the answer to his problems. When playing with the pistol alone in the woods, Sikandar meets a young man who teaches him how to be a great shot, but the young man is not who he seems and Sikandar innocently becomes caught up in political warfare. Although the quiet Nasreen acts as Sikandar's conscience, Sikandar gets further embroiled in situations beyond his control, and innocent people get killed. As the story unfolds we see that Sikandar is an innocent victim in a game being played out between the militants, the army, the peace-bartering Politians and religious heads of the little Kashmiri town.",['110'],India,"Hindi, Urdu",,6.4,1278447
Silsila,1981,"Drama, Family, Romance",Yash Chopra,Nothing from IMDB,"Amitabh Bachchan, Rekha, Jaya Bachchan, Shashi Kapoor, Sanjeev Kumar, Sudha Chopra, Sushma Seth, Ravi Dubey, Sharmila Roy Chowdhry, Jagdish Raj","Amit (Amitabh Bachchan) decides to bury his past life along with his love for Chandni (Rekha) when he meets Shobha (Jaya Bachchan). Shobha's life has come to a standstill after her fiancé and Amit's brother Shekhar (Shashi Kapoor) dies in a crash. When fate brings Amit and Chandni face to face again, both are married to different people - but neither can ignore their feelings for each other.",['182'],India,Hindi,,7.2,83081
Singam 3,2017,"Action, Crime, Thriller","Hari, P.H. Kumanan",Hari,"Suriya, Anushka Shetty, Shruti Haasan, Thakur Anoop Singh, Imman Annachi, Sarath Babu, Chaams, Nitu Chandra, Janaki Ganesh, Olamilekan Akanbi Jason","Following the prequel, Duraisingam is transferred to Mangalore to investigate the death of the commissioner. In that process he gets involved with Australian toxic waste dealing mafia. Also Duraisingam discovers that Australian mafia is involved in this. The rest of the story is how Duraisingam catches the culprit though he face many work pressures and political pressures",['155'],India,"Tamil, Telugu",,6.0,5323640
Singh Is King,2008,"Action, Comedy, Crime, Drama, Romance",Anees Bazmee,Nothing from IMDB,"Akshay Kumar, Katrina Kaif, Om Puri, Kirron Kher, Ranvir Shorey, Jaaved Jaaferi, Neha Dhupia, Yashpal Sharma, Manoj Pahwa, Kamal Chopra","Happy Singh lives in a small village in Punjab. He is always compassionate and helpful, but often ends up causing more damage, so much so that the Village Panchayat unites to reprimand him. When the community gets news that one of their residents, Lakhanpal Singh, is an underworld don in Australia, they decide to delegate someone to counsel him. The villagers choose Happy so they can get rid of him. Happy's ticket and other costs are paid for, and the Panchayat even asks a reluctant Rangeela to accompany him. Due to a mix-up, both end up in Egypt, leading to romance in Happy's life when he meets Sonia, a criminologist who would prefer to have criminals killed than reform them. Both friends find their way to Australia, where they locate Lakhanpal, who humiliates them and asks them to leave. Both befriend a boutique owner and live in her house. When rival goons attack Lakhanpal, Happy rescues him and gets him hospitalized. Lakhanpal recovers, but is paralyzed. His goons comically misunderstand that he wants Happy to be Don, and he undergoes a transformation and moves in to live a wealthy lifestyle in Lakhanpal's mansion. When the boutique owner's daughter returns home with her fiancé Punit, Happy plans a charade to make her believe that the mansion belongs to him. Happy's life soon turns upside-down to be none other than Sonia herself. Being aware of Sonia's dislike for criminals, he has no option but to plan a lavish wedding for her, while rival gangsters and even some of Lakhanpal's goons plan to get rid of him.",['135'],"Australia, India","Hindi, Punjabi",,5.7,1146325
Only You,1999,"Romance, Drama",Ahathian,Nothing from IMDB,"Sanjay Kapoor, Priya Gill, Sushmita Sen, Mohnish Behl, Salman Khan, Jackie Shroff, Tej Sapru, Johny Lever, Kader Khan, Shagufta Ali","Sirf Tum revolves around Deepak, an ordinary young man with a big heart, and Aarthi, an attractive, middle class girl. While in Dehli, Deepak finds a lost handbag belonging to Aarthi. Returning it to her, Deepak begins writing her on a regular basis. Eventually, the two fall in love. While exchanging letters, the two meet each other at random times but both have no idea who the other is. The necessary plot twist comes in the way of Neha, Deepak's boss, who falls in love with him and tries to woo him. The rest of the movie concentrates on whether Deepak rejects the advances of Neha and meets Aarthi.",['150'],India,Hindi,,6.2,244794
