Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Phamous,2018,"Comedy, Crime, Drama, Romance",Karan Butani,H. Banerjee,"Jimmy Shergill, Shriya Saran, Kay Kay Menon, Pankaj Tripathi, Jackie Shroff, Mahie Gill, Brijendra Kala, Achyut Potdar, Deepraj Rana, Jameel Khan","Set in the wild wild east, the story of Phamous invites you on an odyssey that hits your heart and face at the same time. Find love, power and wisdom amidst guns and dhakkad's. In a clash of ambition, love and hope, this story shows the rise of the unique duo of Kadak Singh and Ram Vijay Tripathi against the patriarch Shambhu all tied up in a saga by an innocent boy. Politics and Power come against Love and Revenge exposing the hollow darkness of human nature. How the most powerful people fall for the clumsiest human emotions and are willing to tear down the world around them, making it very difficult for loyalty, love and hope to exist. Will it survive? Starring Kay Kay, Pankaj Tripathi, Jackie Shroff and Jimmy Sheirgill along with Shriya Saran, the characters welcome you to the land of bandook for the war, is on.",['115'],India,Hindi,,3.9,8338746
Phata Poster Nikla Hero,2013,"Action, Comedy, Crime, Drama",Rajkumar Santoshi,Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Padmini Kolhapure, Mukesh Tiwari, Darshan Jariwala, Saurabh Shukla, Zakir Hussain, Sanjay Mishra, Shiva Natrajan, Rana Jung Bahadur","After Vishwas Rao (Shahid Kapoor) is raised by his Mother (Padmini Kolhapure), who apparently dreams of him becoming a Police Inspector. However, he has different plans in mind. Vishwas wants to become a film star. In Mumbai, after helping out a social-worker, Kajal (Ileana D'Cruz), whilst dressed as an Police Inspector for a photo shoot, she mistakes him as an Inspector, and he eventually plays along. Suddenly her mother arrives in Mumbai. How will Vishwas get rid of his troubles?",['146'],India,Hindi,,4.9,2615584
Phir Bhi Dil Hai Hindustani,2000,"Comedy, Drama, Musical, Romance",Aziz Mirza,Nothing from IMDB,"Shah Rukh Khan, Juhi Chawla, Johny Lever, Paresh Rawal, Haidar Ali, Smita Jaykar, Neena Kulkarni, Bharti Achrekar, Mona Ambegaonkar, Suresh Bhagwat","Rival news-reporters, Ajay Bakshi (Shahrukh Khan), and Ria Bannerjee (Juhi Chawla) engage in a comic war to be the first to interview notorius M.K. Sharma (Bharat Kapoor), in which Ria succeeds. Then the two are thrust in a battle for their lives as they must decide whether to save an innocent terrorist (Paresh Rawal) from being hanged, or sacrifice their very lives themselves.",['160'],India,Hindi,,6.1,222270
Pihu,2018,"Short, Romance",Sachin Gupta,Sachin Gupta,"Dau Dayal Bansal, Sanaya Irani, Sumeet Kant Kaul, Ravi Khanna, Shruti Verma",,,India,Hindi,,7.9,8499798
Piku,2015,"Comedy, Drama",Shoojit Sircar,Juhi Chaturvedi,"Deepika Padukone, Amitabh Bachchan, Irrfan Khan, Moushumi Chatterjee, Raghubir Yadav, Jisshu Sengupta, Balendar Singh, Swaroopa Ghosh, Sajal Bhattacharya, Rupsa Banerjee",,['123'],India,Hindi,,7.6,3767372
Licorice Pizza,2021,"Comedy, Drama, Romance",Paul Thomas Anderson,Paul Thomas Anderson,"Will Angarola, Griff Giacchino, James Kelley, Cooper Hoffman, Alana Haim, Dexter Demme, River Cornwell, Harrison Bray, Sasha Spielberg, Karissa Reynafarje","""Licorice Pizza"" is the story of Alana Kane and Gary Valentine growing up, running around, and falling in love in the San Fernando Valley in 1973. Written and directed by Paul Thomas Anderson, the film tracks the treacherous navigation of first love.",['133'],"United States, Canada","English, Japanese, Spanish",,7.1,11271038
AVN Awards 2014,2014,"Adult, News",Gary Miller,Nothing from IMDB,"Asa Akira, Anikka Albrite, Zaina Ali, August Ames, Jessie Andrews, Joanna Angel, Brandy Aniston, Nicole Aniston, Andy Appleton, Brad Armstrong","Erotic filmmaking superstars Chanel Preston and Samantha Saint host the 31st annual adult movie awards from The Joint at the Hard Rock Hotel and Casino in Las Vegas, honoring the best work over the past year in the adult film business. Who will win big awards like Best Feature and Best Actress, as well as more tongue-in-cheek prizes such as Best All-Girl Group Scene, Best Big Butt Series and Best Foot/Leg Fetish Release? Tune in to find out!",['82'],United States,English,,5.3,3705604
Pocket Maar,1974,"Action, Drama, Romance",Ramesh Lakhanpal,Nothing from IMDB,"Dharmendra, Saira Banu, Prem Chopra, Mehmood, Nasir Hussain, Shobha Khote, Azra, Asit Kumar Sen, Praveen Paul, Keshav Rana","After the passing away of son and daughter-in-law, prominent businessman, Rai, undertakes to look after his grand-daughter, Asha, with a lot of love and affection. When she grows old enough to be a ravishing beauty, he is anxious to get her married to the right man before he passes away. He finds out that Asha has a boyfriend by the name of Madan Malhotra, and although he has never met him, he disapproves of him, but finally gives in to Asha's wishes. When Madan returns from abroad, Rai is pleasantly surprised at Asha's choice and welcomes Madan with open arms. Shortly thereafter on his birthday, Rai formally announces their engagement. When Rai does not know is that Madan is not who he claims to be but is, in fact, a thief and pick-pocket by the name of Shankar, who has been hired by Asha to impersonate the real Madan. Watch what happens when the real Madan returns and attempts to assert his love for Asha.",,India,Hindi,,6.6,358029
Pokiri,2006,"Action, Crime, Thriller",Puri Jagannadh,Nothing from IMDB,"Mahesh Babu, Ileana D'Cruz, Prakash Raj, Nassar, Ashish Vidyarthi, Sayaji Shinde, Brahmanandam, Ajay, Sudha, Bharat Kumar","Pandu is a killer for hire, and will accept any contract provided the amount is right. The Police want him for questioning, while the underworld needs him to silence their opponents. No one really knows this assassin's background. It is only Pandu who knows his real identity and he has no intention of sharing it with anyone.",['164'],India,Telugu,,8.0,816258
Prem Nagar,1974,"Drama, Musical, Romance",K.S. Prakash Rao,Nothing from IMDB,"Rajesh Khanna, Hema Malini, Prem Chopra, Govardhan Asrani, Nana Palsikar, Ramesh Deo, Agha, David Abraham, Nasir Hussain, Manmohan","Karan Singh, the younger scion of a wealthy zamindar (heriditary land owners) who lives in feudal splendour. His older brother 'lords' it over the hundreds of serfs who contribute to the wealth of their family. Karan lives an alcoholic, hedonistic life with wine, women and song for companions. The airline stewardess, Savithri makes a profound influence on the dissolute young man during a flight. Later her rescues her from a fate 'worse than death' and Savithri finds herself in the employ of the estate and living in the haveli (palace) of Karan's family. Association between Karan and Savithri blossoms into love. Caught in the web of palace intrigues, Savithri is implicated in the theft of a precious necklace. While greed for the inherited property and petty jealousy weave their web of malice the love of this amorous couple has to pass the litmus test of suspicion. Reduced to rags and a hovel, Savithri, her parents and siblings eke out a miserable life while maintaining their high moral and ethical standards. Is Karan and Savithri's love strong enough to survive the turbulence of high society expectations, greed, poverty and intrigue?",['200'],India,Hindi,,6.1,72026
