Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
3:33 a.m.,2015,"Comedy, Horror",Daniel Falicki,Nothing from IMDB,"Matthew J. Dennis, Scott Baisden, Chris Kotcher, Sheri Beth Dusek, Jason Roth, Mary McGuire-Howing, Liz Nolan, Charley Vanportfliet, James Mason, Marly Green","After two years in prison, John Spinelli is a free man. But as he grapples with his mad mix of macabre neighbors, John realizes something evil governs his new neighborhood. Can he convince authorities he is innocent? Or will he wish he was back behind bars?",['139'],United States,English,,3.3,4546704
3 Idiots,2009,"Comedy, Drama",Rajkumar Hirani,Nothing from IMDB,"Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor, Boman Irani, Omi Vaidya, Mona Singh, Jaaved Jaaferi, Parikshit Sahni, Olivier Lafont","Rancho is an engineering student. His two friends. Farhan and Raju, Rancho sees the world in a different way. Rancho goes somewhere one day. And his friends find him. When Rancho is found, he has become one of a great scientist in the world.",['170'],India,"Hindi, English",,8.4,1187043
36 Ghante,1974,"Action, Crime, Drama, Thriller",Raj Tilak,Akhtar-Ul-Iman,"Raaj Kumar, Mala Sinha, Sunil Dutt, Vijay Arora, Danny Denzongpa, Parveen Babi, Ranjeet Bedi, Alankar Joshi, Ramesh Deo, Madan Puri","Three jailed convicts Himmat, his brother Ajit, and Dilawar Khan break out of prison and take over the household of Editor Ashok Rai. Held hostage against their will are Ashok Rai, his wife Deepa Rai, son, Rajoo and gorgeous sister Naina. The convicts will continue to hold the family hostage until their associate, Kamini contacts them in person. The police investigation into their escape is being coordinated by Inspector R.D. Wadekar, who have absolutely no clue of the whereabouts of the convicts.",['129'],India,Hindi,,6.7,71307
3G: A Killer Connection,2013,"Horror, Mystery, Sci-Fi, Thriller","Shiirshak S. Anand, Shantanu Ray Chhibber",Nothing from IMDB,"Neil Nitin Mukesh, Sonal Chauhan, Mrinalini Sharma, Asheesh Kapur, Prithviraj Choudhary, Kaajal Vashisht, Sailesh Singh, Vishaarad Sharan, Konrad Thorpe, Kayaan C. Contractor",While on holiday in Fiji Sam looses his phone in an excitement to meet his girlfriend Sheena.Sam purchases a new phone with 3G connection where he starts getting calls from unknown number receiving which shows video of a female being killed and her haunted face.Sam starts to loose his mind and also attacks Sheena when she finds about the unknown caller and the video they both try to solve the mystery which leads to unexpected twists.,['125'],India,"English, Hindi",,3.6,2404519
404: Error Not Found,2011,"Drama, Mystery, Thriller",Prawaal Raman,Nothing from IMDB,"Rajvvir Aroraa, Imaaduddin Shah, Nishikant Kamat, Ruchir Raj, Ritika Silas, Tisca Chopra, Sara Arjun, Aditya Banerjee, Mukesh S. Bhatt, Amod Burande","Abhimanyu enrolls himself in a medical institute and gets a room in the hostel. He finds that ragging is rampant, initiated by Chris and other seniors, on vulnerable freshers so much so that three years ago a student, Gaurav P. Gupte, killed himself. When he himself becomes a victim, he speaks out and complains, only to have his room trashed. He then requests that he be moved to Room 404 - the very room that was occupied by Gaurav. The authorities initially refuse as the room has been under lock and key since the suicide and no one dared to occupy it. But Abhimanyu insists and assures them that this will remove the myth associated with it, and he is accordingly permitted to do so. Shortly thereafter, he will start to hallucinate about not only seeing but also speaking with Gaurav. When he shares these with his friend, Neha; and Professor Aniruddh and his wife, Dr. Meera, they express disbelief and are convinced that he is suffering from a mental disorder. Despite of this opposition, he continues to believe that Gaurav's spirit is still occupying the room and sets about to prove it to the faculty.",['121'],India,"Hindi, English",,7.3,1883121
50 Lakh,2007,"Comedy, Thriller",Chandra Sekhar Yeleti,Nothing from IMDB,"Pawan Malhotra, Mohit Chadda, Veerendra Chauhan, Janardhan Chowdary, Harshavardhan, Ashok Kumar, Likhita, Sivaji Raja, Lalith Sharma, Shashank","Irfan Khan Iliyazi, the son of a railway coolie, was born in Bombay, who started his career as a pick-pocket. At the age of 17, he killed his opponent and scattered his body parts on nearby railway tracks. He then went on to become an gangster as well as started dealing in drugs, narcotics, and acquiring multiple identities/passports from Mumbai, Indore, and Sultanate of Oman. On August 10 the Mumbai Police had him cornered at the airport while attempting to flee to Dubai, but Irfan escapes and re-locates to Hyderabad, Andhra Pradesh. Once there, he plans his escape by disguising himself and arranging the hijacking of an Indian Airlines plane to Kathmandu, Nepal, and thence making his way to Dubai. The Indian Police announce they will reward anyone who apprehends this fugitive dead or alive. Everything goes according to plan - until Irfan gets on the plane. This is where he will end up getting abducted by four naive and inexperienced youth - who want to better their individual lives - by holding him hostage and claim the reward anonymously. Watch what happens when the police are mobilized to counter this abduction.",,India,Hindi,,6.6,1111869
706,2019,Thriller,Shravan Tiwari,Shravan Tiwari,"Mohan Agashe, Raayo S. Bakhirta, Divya Dutta, Narendra Joshi, Nirali Joshi, Greeva Kansara, Atul Kulkarni, Atul Lakhia, Kamini Patel, Rajiv Pathak",Mumbai based top surgeon Dr Anil Asthana is missing since last 11 days his much younger wife Dr Suman decides to take charge of the hospital in his absence.Suman meets a young patient Neeraj suffering from rare disorder and finds from him that Dr Asthana has passed away after his car met with an accident somewhere in Lonavala.DCP Shekawat investigating the case travels with his team and finds truth in the story.Shekawat sends Neeraj's video to a spiritual person Dinkar in Benaras who tells him that Neeraj is possessed an that he cant revel more details on phone and that that he will have to come to Benaras for the same.,['120'],India,Hindi,,5.3,9390026
Gamble,1951,"Crime, Drama, Musical, Romance",Guru Dutt,Nothing from IMDB,"Dev Anand, Geeta Bali, Kalpana Kartik, Roopa Verman, K.N. Singh, Johnny Walker, Krishan Dhawan, Rashid Khan, Habib, Srinath","Madan comes from a poor family background. Unable to find employment, he takes to gambling in a big way. He makes a lot of money, and decides to open a gambling den, where he makes even more money. He meets with sophisticated and cultured Dr. Rajani, and both are attracted to each other. But Rajani's dad does not approve of Madan nor of his background, and would prefer that Rajani marry Inspector Ramesh. Rejected, Madan meets with vivacious and outgoing Meena, and romances her. Then Inspector Ramesh arrests Madan and imprisons him for the murder of Meena, who was killed with a revolver with Madan's fingerprints on it.",['143'],India,Hindi,,6.9,43307
Drishyam 2,2021,"Crime, Drama, Thriller",Jeethu Joseph,Jeethu Joseph,"Mohanlal, Meena, Ansiba, Esther Anil, Siddique, Asha Sharath, Saikumar, Murali Gopy, Ganesh Kumar, Anjali Nair","Six years after the terrible event that almost destroyed his family, Georgekutty is the proud owner of a movie theater and aspiring to write and produce his own hit film. Yet his wife Rani is ill at ease. She worries about Georgekutty, who's taken out a loan and started drinking. She worries about her daughters; Anju suffers epileptic fits and cowers in fear at the sound of a passing police siren, and young Anu's growing independence takes her away from her mother's watchful eyes. Even more worrying, the neighbors have started to gossip and the police have remained relentless in unearthing George's darkest secret. When someone from the past returns to the village, can Georgekutty save his family a second time?",['152'],India,Malayalam,,8.4,12361178
Teen Devian,1965,"Musical, Romance",Amarjeet,Nothing from IMDB,"Dev Anand, Nanda Karnataki, Simi Garewal, I.S. Johar, Harindranath Chattopadhyay, Ruby Mayer, Rashid Khan, Jankidas, Dhanna, Funny Tincher","Devdutt Anand works in a company selling musical instruments, and is always late for work, infuriating his boss, I.S. Johar. Things change for the better when Johar finds out that Devdutt has a talent for writing poems, and he gets Devdutt to write and even gets them published for him. This gets Devdutt into the limelight and increases sales for Johar's business. While traveling home by BEST bus, he meets with Nanda, who has come to live in his neighborhood, and both are attracted to each other. One night Devdutt comes to the assistance to Bollywood movie actress Kalpana when her car breaks down, she finds out he is a poet and arranges a meeting with him, again both are attracted to each other. Devdutt is asked to deliver a piano to the palatial house of a wealthy woman named Simi alias Radha Rani. She too is impressed by Devutt's poems and invites him over to her house for a party, and again both are attracted to each other. Knowing fully well that he cannot marry three women in his country, a tortured and uncertain Devdutt must now make up his mind as who he wants as his life-partner.",['121'],India,Hindi,,7.3,274944
