Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Aashiqui 2,2013,"Drama, Music, Musical, Romance",Mohit Suri,Shagufta Rafique,"Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa, Salil Acharya, Mukesh Agrohari, Parthaa Akerkar, Chitrak Bandyopadhyay, Ashish Bhatt, Ananya Chadha, Gagan Gupta","Rahul is a singer, who loses his career due to his drinking habits. He meets Arohi in a bar in Goa, where she works to earn a living. Impressed by her singing, he promises her to take her to Mumbai and make her a star, where they fall in love with each other. Aashiqui 2 is a musical love story of these lovers who goes through love and hate, fame and failure in their lives. However will they stay together accepting their success, or will they breakup due to their ego?",['132'],India,Hindi,,7.1,2203308
Aaraattu,2022,"Action, Drama",B. Unnikrishnan,Udaykrishnan,"Mohanlal, Nedumudi Venu, Vijayaraghavan, Siddique, Saikumar, Ganesh Kumar, Johny Antony, Indrans, Kochu Preman, Nandhu",,['167'],India,Malayalam,,3.8,13468976
A Gentleman in Moscow,2024,"Drama, History, Thriller",Nothing from IMDB,Amor Towles,"Mary Elizabeth Winstead, Ewan McGregor, Beau Gadsdon, Leah Harvey, Johnny Harris, Anastasia Hille, Paul Ready, Björn Hlynur Haraldsson, John Heffernan, Alexa Goodall","Count Alexander Rostov. When, in 1922, he is deemed an unrepentant aristocrat by a Bolshevik tribunal, the count is sentenced to house arrest in the Metropol, a grand hotel across the street from the Kremlin. Rostov, an indomitable man of erudition and wit, has never worked a day in his life, and must now live in an attic room while some of the most tumultuous decades in Russian history are unfolding outside the hotel's doors. Unexpectedly, his reduced circumstances provide him a doorway into a much larger world of emotional discovery.",,United Kingdom,English,,,8230448
7 Hours to Go,2016,"Crime, Thriller",Saurabh Varma,Saurabh Varma,"Shiv Panditt, Vipin Sharma, Natasa Stankovic, Sandeepa Dhar, Varun Badola, Ananya Raj, Aakkash Dabhade, Himanshu Malik, Kettan Singh, Navin Prabhakar","Arjun (Shiv Pandit) come to Mumbai to visit his fiancee Maya. He reaches the City court to meet her and is taken aback when he is not able to find her anywhere. He begins to search for Maya and in an unexpected turn witnesses an unlikely murder. Frantic and exasperated, he is left with no choice but take passerby's as hostages before he is framed as the killer. The cops try to tackle the situation and within no time realize that Arjun is no ordinary hostage-taker and it seems next to impossible to apprehend him. Now, with nothing to lose, Arjun lays down his terms: ""I have 7 hostages! And I am giving the Police 7 hours to find out the killer...! I need progress every 60 minutes or one hostage dies every hour!!"" The clock ticks and the investigation begins.",['115'],India,Hindi,,5.6,4365060
2 States,2014,"Comedy, Drama, Romance",Abhishek Varman,Nothing from IMDB,"Arjun Kapoor, Alia Bhatt, Amrita Singh, Revathi, Ronit Roy, Shivkumar Subramaniam, Sharang Natarajan, Backagaindancer, Swarna Bharat, Sanjay M Bhatia","A story about a romantic journey of a culturally opposite couple - Krish Malhotra and Ananya Swaminathan. They meet at the IIM-Ahmedabad College and during the program they fall in love. Complications arise after the program comes to an end and they decide to get married. Krish and Ananya belong to two different states of India. Krish, a North Indian Punjabi boy from Delhi, and Ananya, a Tamilian Brahmin from Chennai. They take a conscious decision; they won't get married until their parents agree. Everything goes downhill when the parents meet. There is a cultural clash and the parents oppose the wedding. To convert their love story into a love marriage, the couple faces a tough battle in front of them. For it is easy to fight and rebel, but much harder to convince. Will Krish and Ananya's love for each other sustain the battles? Will they manage to convince their parents and make it to their wedding?",['149'],India,Hindi,,6.9,2372678
1921,2018,"Horror, Mystery, Romance",Vikram Bhatt,Nothing from IMDB,"Zareen Khan, Karan Kundrra, Vikram Bhatt, Angela Krislinzki, Nidhi Chitrakar, Aradhya Taing, Neil Broome, Rachel Shaw, David Turner, Wayne McAulay","In 1927 a huge crowd waits for concert of Aayush who has delayed the performance when the organizer tell his friend Nafisa to check on she finds that Aayush has silt his wrist backstage.The story goes back few years later in 1921 when Aayush was a piano player and caught eyes of rich a millionaire MR Wadia who tells him to learn music in York.As Aayush cant afford it Mr Wadia asks him to take care of his Mansion in York and in return he would take care of the expenses,things are going well until few months.But suddenly the mansion gets haunted by a spirit and Aayush believes that its because of a mistake he committed, he comes across Rose who can communicate with spirits.Rose decides to help Aayush and tells that the spirit wants revenge as it was hurt in the past and asks Aayush if he shares any past.Aayush at first denies but later tells Rose that sometime back Wadia's niece visited the house and treated him rudely and wanted him to take at a unknown place in a intoxicated state.In order to save himself Aayush hit a with log of wood and she passed away and its probably her spirit which is haunting him.",['144'],India,"Hindi, English, Urdu",,4.2,6958030
1920: Horrors of the Heart,2023,"Drama, Horror",Krishna Bhatt,Nothing from IMDB,"Rupam Bag, Amit Behl, Barkha Bisht, Rahul Dev, Raakeshh Dubey, Avtar Gill, Avika Gor, Ketaki Kulkarni, Danish Pandor, Randheer Rai","When Meghna a young girl decides to break the news of her love with Arjun to her father Dheeraj on her twenty-first birthday, her worst nightmare comes alive when she discovers Dheeraj has killed himself. Meghna finds out that it is her mother Radhika who had not only abandoned them when she was a child but is also responsible for her father's suicide. Unable to bear her mother's betrayal, Meghna resolves to seek revenge and comes to live with Radhika and her current family to destroy them with a sinister plot of using her father's spirit to bring havoc to Radhika and her family.",['122'],India,Hindi,,2.6,25403492
1920: Evil Returns,2012,"Drama, Horror, Romance",Bhushan Patel,Nothing from IMDB,"Aftab Shivdasani, Tia Bajpai, Sharad Kelkar, Vidya Malvade, Vicky Ahuja, Tarakesh Chauhan, Kaur Jaspreet, Irma Jämhammar, Geeta Khanna, Falguni Rajani","This story revolves around a famous poet who meets a woman who is in trouble. In order to treat her, he takes her to Shimla in a big hospital, but soon that woman gets possessed by devil and goes out of control. Now the question remains that what is the relation that poet shares with her which compelled him to go to any extent to save her, why she was possessed by devil and who is the devil.",['124'],India,Hindi,,4.9,2222550
14 Phere,2021,"Comedy, Romance",Devanshu Singh,Manoj Kalwani,"Vikrant Massey, Kriti Kharbanda, Gauahar Khan, Vineet Kumar, Jameel Khan, Govind Pandey, Manoj Bakshi, Yamini Das, Ankita Dubey, Priyanshu Singh","Sanjay is a Rajput from Jahanabad which is known for honour killings. He is in love with Aditi, a Jat from Jaipur whose father and elder brother will kill to keep their honour. Both are very close to their families, yet they want to get married. In order to live together, they plan to con their families by arranging a set of fake parents and reliable allies so that Sanjay can show Aditi as a Rajput girl and Aditi can show Sanjay as a Jat boy to get married before eloping to the US. Will they manage to make it?",['111'],India,Hindi,,6.3,12887178
100% Love,2011,"Comedy, Drama, Romance",Sukumar,Nothing from IMDB,"Naga Chaitanya Akkineni, Tamannaah Bhatia, Tara Alisha, K.R. Vijaya, Vijayakumar, V.K. Naresh, Dharmavarapu Subramanyam, Chitram Seenu, M.S. Narayana, Nandu Vijay Krishna",100% Love Balu is a brilliant student and always tops his class. Maha Lakshmi comes from a village and stays in Balu's house to do her graduation in the same college. Balu has the typical ego possessed by state rankers and he is obsessed by it. His studies get disturbed with the entry to Maha Lakshmi as she starts dominating him over a period of time. This leads to differences and ego clashes between Balu and Maha Lakshmi. There is also a subplot of two separated grand parents. The rest of the story is all about how Balu and Mahalakshmi realize that they are made for each other.,['141'],India,Telugu,,7.0,1869226
