Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Ujda Chaman,2019,Comedy,Abhishek Pathak,Nothing from IMDB,"Sunny Singh, Maanvi Gagroo, Karishma Sharma, Gagan Arora, Atul Kumar, Grusha Kapoor, Rajendra Chawla, Suparna Marwah, Aishwarya Sakhuja, Sharib Hashmi","Ujda Chaman is about a 30 -year-old bachelor Chaman Kohli, a Hindi lecturer with Premature Balding and in quest of a beautiful wife. After facing several rejections as a prospective groom because of his baldness, Chaman hits rock bottom when an astrologer gives him a deadline to find himself a wife or remain a celibate forever. This leads Chaman on a Funny and emotional roller coaster ride of self-discovery and acceptance.",['120'],India,Hindi,,6.9,11046300
Two Countries,2015,"Comedy, Drama",Shafi,Nothing from IMDB,"Dileep, Mamta Mohandas, Aju Varghese, Suraj Venjaramoodu, Raffi, Vinaya Prasad, Ashokan, Mukesh, Makrand Deshpande, Lenaa",Ullas (Dileep) has a deep desire to earn money and to migrate to foreign countries.So he marries Laya (Mamta Mohandas) a Canada Settled Mallu Girl but failed to know that she was an alcoholic addict.The incidents faced by Ullas and Laya forms the rest of the story.,['154'],India,Malayalam,,6.8,4961334
TVF Pitchers,2015,"Comedy, Drama",Nothing from IMDB,"Arunabh Kumar, Arunabh Kumar, Arunabh Kumar","Naveen Kasturia, Arunabh Kumar, Abhay Mahajan, Gopal Datt, Pranav Bhasin, Jasmeet Singh Bhatia, Jitendra Kumar, Shreya Singh, Ronjini Chakraborty, Vidushi Kaul","Four friends Naveen Bansal (Naveen), Jitendra Maheshwari (Jitu), Yogendra Kumar (Yogi) and Saurabh Mandal (Mandal), decide to enter the start-up world by launching their own start-up. Things are kicked off by Naveen who, angry at not being given his due at work, resigns in a drunk state. At the same time, he receives news of his B-Plan reaching the final round of the NASSCOM start-up conclave. This begins a series of situations in which the four friends rediscover what they really want in life and the challenges they face in getting their start-up idea off the ground.It's story is inspired from HBO TV series ""Silicon Valley"" but the plot is well designed in accordance with Indian audience who are not well aware of the Idea of Startup.",['40'],India,"Hindi, English",,9.1,4742876
Tum Se Achcha Kaun Hai,2002,"Drama, Musical, Romance",Deepak Anand,Nothing from IMDB,"Nakul Kapoor, Aarti Chhabria, Kim Sharma, Dalip Tahil, Raghubir Yadav, Navni Parihar, Viju Khote, Rati Agnihotri, Ali Asgar, Adi Irani","Working as a Guide and bus driver in Jaisalmer, Arjun had always dreamed of being a famous singer. When he meets beautiful tourist, Naina Dixit, he impresser her with his singing, she encourages him to come to Bombay and try his luck there, and leaves her address with him. Shortly thereafter, Arjun bids farewell to his brother, his Bhabi, and nephew and sets forth to Bombay. Upon arrival he does meet with Naina's friend, Monto, who takes him to several places to try his luck, but no one even bothers to even listen to him, leave alone hear him sing. He lives with Naina, her sisters, Anu and Tuktuk, and their college professor mom, who empathize with him. Then Naina hits upon an idea to have a open song and dance show in a public park. The show does take place, and a wealthy young woman, Bobby Gujral, does notice Arjun and invites him to sing for a firm run by her dad's partner, Sunil Mahadevan. When Sunil refuses to get involved, Bobby talks to her dad and opens her very own recording company featuring Arjun as the main artist. Soon Arjun becomes famous overnight, but has not forgotten Naina and her family. This does not auger well with Bobby, who is very possessive and wants Arjun all to himself - and she makes up her mind that she will never permit anyone to come close to Arjun - for she has a gun, and knows how to use it.",['150'],India,Hindi,,4.8,318956
Tum Bin...: Love Will Find a Way,2001,"Drama, Romance","Anubhav Sinha, Anupam Sinha",Nothing from IMDB,"Priyanshu Chatterjee, Himanshu Malik, Sandali Sinha, Raqesh Bapat, Vikram Gokhale, Amrita Prakash, Dina Pathak, Manoj Pahwa, Rajesh Khera, Rajendra Gupta","Shekar and Amar meet at a party where Amar asks Shekar that he should come and work with him in Canada same night Amar accidentally gets killed after he is hit by Shekar 's car,Inspector Dmello swears that he won't close the case until he catches the killer,Shekar goes to Amar 's house in Canada and confesses his father about Amar 's death but finds that his father has lost all his body senses after Amar 's death he meets Pia ,Amar's fiance whose also in depression and trying to save Amar's company Shah Industries,Shekar and Pia start working with each other and Shekar falls in love with Pia they both bring Shah Industries back on track and meet Abhi for future business same time Abhi falls in love with Pia,Pia also starts liking Shekar but decides to choose Abhi, Inspector Dmello comes from India to arrest Shekar,Shekar tells Pia that Amar died after he hit his car while confessing all this on phone to Pia a speeding car knocks Shekar following which he is admitted in hospital,Amar's father who has now gained senses tells Pia that Shekar had confessed about Amar 's death to him on very first day but he couldn't tell anyone he asks Pia to marry Shekar as they both love each other Pia goes to meet Shekar in hospital where he gets back to his senses after being hit by the car Abhi is now left alone,Inspector Dmello closes the file of Amar 's murder case and returns to India saying that Pia and Shah family need Amar the most.",['158'],India,Hindi,,7.5,290326
Triangle,2009,"Fantasy, Mystery, Sci-Fi, Thriller",Christopher Smith,Christopher Smith,"Melissa George, Joshua McIvor, Jack Taylor, Michael Dorman, Henry Nixon, Rachael Carpani, Emma Lung, Liam Hemsworth, Bryan Probets","When Jess sets sail on a yacht with a group of friends, she cannot shake the feeling that there is something wrong. Her suspicions are realized when the yacht hits a storm and the group is forced to board a passing ocean liner to get to safety, a ship Jess is convinced she's been on before. The ship appears deserted, the clock on board has stopped, but they are not alone... Someone is intent on hunting them down, one by one. And Jess unknowingly holds the key to end the terror.",['99'],"United Kingdom, Australia",English,,6.9,1187064
Total Dhamaal,2019,"Action, Adventure, Comedy",Indra Kumar,Nothing from IMDB,"Ajay Devgn, Anil Kapoor, Madhuri Dixit, Riteish Deshmukh, Arshad Warsi, Jaaved Jaaferi, Sanjay Mishra, Boman Irani, Esha Gupta, Pitobash","Total Dhamaal is the third instalment in the Dhamaal franchise. A hidden booty of 50 crore leads to a mad chase amongst a bunch of greedy and eccentric characters. In them, are a bickering couple on the verge of a divorce, greedy siblings, local goons, a police commissioner and the mastermind of the loot. Will they finally discover the hidden treasure?",['130'],India,Hindi,,4.2,7639372
Top Gun,1986,"Action, Drama",Tony Scott,Nothing from IMDB,"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards, Tom Skerritt, Michael Ironside, John Stockwell, Barry Tubb, Rick Rossovich, Tim Robbins","US Navy Lieutenant Pete Mitchell, call sign Maverick--an impetuous, daredevil pilot ace--is accepted into Top Gun, Miramar's elite Fighter School. But there, the impulsive young pilot will have to compete with the best of the best, including Iceman, a brilliant and highly competitive fellow student. Now, Mitchell must give his all; however, his father's mysterious and untimely demise still haunts him. Can Maverick prove his worth to Charlie, the flying school's no-nonsense astrophysics instructor? Will he be able to suppress his wild nature to win the prestigious Top Gun Trophy?",['109'],United States,English,,6.9,92099
Toh Baat Pakki!,2010,"Comedy, Drama",Kedar Shinde,Nothing from IMDB,"Tabu, Sharman Joshi, Yuvika Chaudhary, Vatsal Sheth, Ayub Khan, Somesh Agarwal, Vishal Malhotra, Suhasini Mulay, Sharat Saxena, Himani Shivpuri","After being asked to leave by his Palanpur-based landlady Mrs. Rai, Civil Engineering student, Rahul Saxena, finds a room with Rajeshwari Saxena, who treats him like a family member. He is subsequently introduced to her sister, Nisha, both are attracted to each other, and plans are made to get them married. Rahul will soon find out that he will soon not only be asked to leave, but also instructed to assist in the marriage of Nisha with Yuvraaj Saxena.",['122'],India,"Hindi, English",,5.2,1605778
To Steal from a Thief,2016,"Adventure, Crime, Drama, Thriller",Daniel Calparsoro,Jorge Guerricaechevarría,"Luis Tosar, Rodrigo de la Serna, Raúl Arévalo, Jose Coronado, Patricia Vico, Joaquín Furriel, Luciano Cáceres, Marian Álvarez, Luis Callejo, Miquel Fernández","A group of thieves led by a man called El Uruguayo stalk a bank in Valencia to steal as many safety boxes as possible and later flee through a dug tunnel that communicates the building with an abandoned subway station. However, the press officer of the Prime Minister discovers what the thieves are actually after: they want to get their hands on box 314, property of Gonzalo Soriano, a former member of the government who slipped into a coma after a severe accident, left documents with compromising information. The gang's plans start to go awry when the tunnel is flooded by heavy rain, leaving them with no escape, plus to discover that the box really doesn't contains documents, but an external hard drive full of data about important names in all levels of the Spanish politic. At the same time, a fixer of the government receives the mission to assume the control of the negotiations, looking for recover at any cost the box 314 and the information before the robbers flee with it.",['96'],"Spain, Argentina, France",Spanish,,6.2,3655414
