Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Brahmastra Part One: Shiva,2022,"Action, Adventure, Fantasy",Ayan Mukerji,Nothing from IMDB,"Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Nagarjuna Akkineni, Shah Rukh Khan, Dimple Kapadia, Mouni Roy, Krrish Saini, Saurav Gurjar, Gurfateh Pirzada",In ancient India people of Brahmansh community would take care of their spiritual weapon Brahmastra but as years passed by with changing times people started to forget about it. In present day Shiva a DJ has strange connection with fire which never harms him he meets Isha and both fall in love. A Delhi based scientist Mohan Bhargav from Brahmansh community possess a piece of Brahmastra and gets attacked by two evil forces Zor and Raftaar but he manages to overcome them with powers of Vanarastra but the evil queen Junoon manages to control him and tortures to ask about Brahmastra. But Bhargav being protector of it gives his life which is seen by Shiva in hallucinations after he comes in contact with fire he also notices that next target could be an artist Anish Shetty. Shiva and Isha go to save Anish at Varanasi where he tells him the events he saw but Junoon has already reached there to kill him but Anish manages to escape with Shiva and Isha with power of Nandiastra and asks them to take him to Guruji's Ashram in Himachal. On the way Anish finds who actually is Shiva and gives his piece of Brahmastra to Isha and asks her to reach it safely to Guruji as Junoon is following them who is unaware of Guruji's Ashram. Anish loses his life while fighting with Junoon and her men while after lot of hurdles Shiva and Isha reach Guruji's Ashram where Guruji reveals who actually Shiva is and his connection with fire. And that Brahmastra has three pieces of which one is missing and if Junoon joins them all together the universe will be destroyed.,['167'],India,"Hindi, English",,5.6,6277462
The Boxer,1997,"Drama, Romance, Sport",Jim Sheridan,"Jim Sheridan, Terry George","Daniel Day-Lewis, Daragh Donnelly, Frank Coughlan, Sean Kearns, Lorraine Pilkington, Niall Shanahan, John Wall, Maria McDermottroe, Carol Moore, Kate Perry","Nineteen-year-old Danny Flynn is imprisoned for his involvement with the I.R.A. in Belfast. He leaves behind his family and his sixteen-year-old girlfriend, Maggie Hamill. Fourteen years later, Danny is released from prison and returns to his old working class neighborhood to resume his life as a boxer, fighting and opening a boxing club training aspiring boxers. Maggie has since married Danny's best friend, who is also imprisoned for his I.R.A. activities. Although he has not denounced the I.R.A. or denigrated his I.R.A. colleagues, Danny has decided to live a life free of political violence. His boxing club is nonsectarian, open to both Catholics and Protestants. This move irks some of his old I.R.A. colleagues since they feel working with the Protestants will not resolve their David versus Goliath struggle. Danny's old I.R.A. colleagues, especially their unofficial leader Harry, resort to traditional tactics of violence to stop Danny. Maggie's father, Joe, also an I.R.A. activist, does not condone the violence against Danny as he is working through peaceful means to free I.R.A. prisoners (including Maggie's husband), but also does not want Maggie to resume her past relationship with Danny, a man who he sees as having no future. Amidst this turmoil, Danny and Maggie dream of a life together, also taking into account Maggie's wedded status and the feelings of her teen-aged son, Liam. [Originally by: Huggo]",['113'],"Ireland, United States",English,,7.0,118760
Boo,2023,"Horror, Thriller",A.L. Vijay,Nothing from IMDB,"Rakul Preet Singh, Vishwak Sen, Nivetha Pethuraj, Manjima Mohan, Megha Akash, Reba Monica John, Vidyullekha Raman, Prudhvi Raj, Aayira",,['200'],India,"Telugu, Tamil",,5.3,27843055
Bogan,2017,"Action, Fantasy, Thriller",Lakshman,Nothing from IMDB,"Jayam Ravi, Arvind Swami, Hansika Motwani, Nassar, Ponvannan, Aadukalam Naren, Nagendra Prasad, Varun Kamal, Akshara Gowda, Mozammel Hoshen Chowdhury","Bogan is about a police officer vikram played by Jayam ravi on his way to find a culprit on a bank theft case, happens to chase Adhithya, played by Arvind swami. Soon after vikram arrests Adhithya by a brilliant plan, the film takes its next level, with a terrific intervel block. Film is racy post interval and ends up as an above average thriller with fantastic performnace from Arvind swami and Jayam Ravi. Film has an adapted theme from some hollywood films, still makes a mark with racy script but has flaws with forceful afdition of songs and commercial must haves of tamil cinema.",['160'],India,Tamil,,6.4,6340112
Bloody Daddy,2023,"Action, Crime, Drama, Thriller",Ali Abbas Zafar,Nothing from IMDB,"Shahid Kapoor, Amy Aela, Diana Penty, Ronit Roy, Sanjay Kapoor, Vivan Bhatena, Rajeev Khandelwal, Sartaaj Kakkar, Suparna Moitra, Mario Silva","Post the pandemic restrictions are lifting on where a big drug deal is about to happen which is spoiled by two masked men Sumair and Jaggi.The news becomes prime time in the city and police comes in action.Sumair has separated from his wife and currently spending time with his son Atharva in a hotel.Further its reveled that Sumair and Jaggi both are NCB officers also dealing wit drugs mafia,Sumair gets a call from his wife stating that Atharva is missing next moment he gets another call from Sikander Chowdhary a drug baron who has kidnapped Atharva and wants his drug consignment back in return of him.Sumair finds that the bag carrying the drugs is missing from the place he stored and is left helpless to save his son.On the other end his colleague Samir and Aditi follow him as they are confident he is dealing with drug mafia.Sikander and his brothers are waiting for Sumair to return as his partner Hamid who owns the consignment is sitting on his head at his hotel.As the bag carrying drugs is missing Sumair manages to fake another bag to Siaknder in return of Atharva.But even before he could be united with him Hamid realizes that the consignment is fake leading to chaos in Sikander's hotel.",['121'],India,Hindi,,6.6,27501039
Blood Diamond,2006,"Adventure, Drama, Thriller",Edward Zwick,Nothing from IMDB,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers, Arnold Vosloo, Antony Coleman, Benu Mabhena, Anointing Lukola, David Harewood, Basil Wallace","A story following Archer, a man tortured by his roots. With a strong survival instinct, he has made himself a key player in the business of conflict diamonds. Political unrest is rampant in Sierra Leone as people fight tooth for tooth. Upon meeting Solomon, and the beautiful Maddy, Archer's life changes forever as he is given a chance to make peace with the war around him.",['143'],"United States, Germany, United Kingdom","English, Mende, Afrikaans",,8.0,450259
Blindspotting,2018,"Comedy, Crime, Drama",Carlos López Estrada,"Rafael Casal, Daveed Diggs","Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones, Ethan Embry, Tisha Campbell, Utkarsh Ambudkar, Kevin Carroll, Nyambi Nyambi, Jon Chaffin","Collin (Daveed Diggs) must make it through his final three days of probation for a chance at a new beginning. He and his troublemaking childhood best friend Miles (Rafael Casal) work as movers and are forced to watch their old neighborhood become a trendy spot in the rapidly-gentrifying Bay Area. When a life-altering event causes Collin to miss his mandatory curfew, the two men struggle to maintain their friendship as the changing social landscape exposes their differences. Explores the intersection of race and class set against the backdrop of Oakland.",['95'],United States,English,,7.4,7242142
Blackmail,2018,"Comedy, Thriller",Abhinay Deo,Nothing from IMDB,"Irrfan Khan, Urmila Matondkar, Kirti Kulhari, Alfredo Tavares, Omi Vaidya, Anuja Sathe, Divya Dutta, Arunoday Singh, Gajraj Rao, Abhijeet Chavan",Dev Kaushal is a full time working man with an unexcited life on the requests of his friend Anand.He decides to surprise his wife Reena in order to make it exciting.But when he reaches home to surprise her he is shocked to see his wife with her boyfriend Ranjeet.Dev then decides to blackmail him and extort money from or else he will tell about his secret affair to his wife Dolly.,['138'],India,Hindi,,7.1,6972140
Black Swan,2010,"Drama, Thriller",Darren Aronofsky,Nothing from IMDB,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey, Winona Ryder, Benjamin Millepied, Ksenia Solo, Kristina Anapau, Janet Montgomery, Sebastian Stan","Nina (Portman) is a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her obsessive former ballerina mother Erica (Hershey) who exerts a suffocating control over her. When artistic director Thomas Leroy (Cassel) decides to replace prima ballerina Beth MacIntyre (Ryder) for the opening production of their new season, Swan Lake, Nina is his first choice. But Nina has competition: a new dancer, Lily (Kunis), who impresses Leroy as well. Swan Lake requires a dancer who can play both the White Swan with innocence and grace, and the Black Swan, who represents guile and sensuality. Nina fits the White Swan role perfectly but Lily is the personification of the Black Swan. As the two young dancers expand their rivalry into a twisted friendship, Nina begins to get more in touch with her dark side - a recklessness that threatens to destroy her.",['108'],United States,"English, French, Italian",,8.0,947798
Bruno the Black - One Day a Hunter Blew His Horn,1970,Documentary,Lutz Eisholz,Lutz Eisholz,"Bruno S., Roland Neumann, Lotte Pause, Elisabeth Sauer, Rolf Sauer, Anja Schwerk",,['81'],West Germany,German,,7.4,65497
