Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Tiger Zinda Hai,2017,"Action, Adventure, Thriller",Ali Abbas Zafar,Nothing from IMDB,"Salman Khan, Katrina Kaif, Paresh Rawal, Karan Deol, Anupriya Goenka, Kumud Mishra, Angad Bedi, Mukesh Khanna, Anant Vidhaat, Sartaaj Kakkar","The action drama Tiger Zinda Hai is a sequel to the blockbuster Ek Tha Tiger. When a group of Indian and Pakistani nurses are held hostage in Iraq by the militant Abu Usman, Indian Intelligence (RAW) tracks down the reclusive agent Tiger 8 years after he fled with former Pakistani Intelligence (ISI) agent Zoya. Joining the forces for humanity, Tiger and Zoya set out on a rescue mission.",['161'],India,"Hindi, English",,5.9,5956100
The Tiger,2015,"Action, Adventure, Drama",Park Hoon-jung,Park Hoon-jung,"Hitanshu Barik, Kim Hong-pa, Park In-Soo, Jung Ji-so, Jeong Man-sik, Ra Mi-ran, Choi Min-sik, Lee Na-ra, Kim Sang-ho, Jeong Seok-won",,['139'],South Korea,"Korean, Japanese",,7.2,5066556
SURVIVAL ISLAND - Diversity 3 - Part 11,2019,"Action, Adventure, Comedy",Lewis Brindley,Nothing from IMDB,"Lewis Brindley, Simon Lane, Paul Sykes",,['17'],Nothing from IMDB,Nothing from IMDB,,,10327582
This Means War,2012,"Action, Comedy, Romance",McG,Nothing from IMDB,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger, Chelsea Handler, John Paul Ruttan, Abigail Spencer, Angela Bassett, Rosemary Harris, George Touliatos","CIA agents and best friends Tuck and FDR have been benched because someone is after them. Tuck is divorced and not close to his son; FDR is a ladies' man. Tuck places his profile on a dating site; Lauren sees it and goes out with him. She later bumps into FDR; he hits on her and she goes out with him. She's intrigued by both of them. When they learn that they're both dating her, they agree to let her choose, but they can't help using their skills to keep tabs on her--and each other--and sabotage each other's dates with her.",['103'],United States,"English, German, Japanese, Serbian",,6.3,1596350
Thiruchitrambalam,2022,"Comedy, Drama, Musical, Romance",Mithran Jawahar,Mithran Jawahar,"Dhanush, Nithya Menen, Bharathiraja, Prakash Raj, Raashi Khanna, Priya Bhavani Shankar, Munishkanth, V.J. Pappu, Sriranjani, Stunt Silva","It follows the life of a delivery driver named Jr Pazham, who lives with his strict father Neelakandan, who is a police man, and a grandfather Sr Pazham. His mother and sister died in an accident. As he navigates through his life, he ends up falling for two women, Anusha and Ranjani. Firstly, he befriends them although he didn't have the courage to propose it. How his best friend, Shobana, who loves him truly since childhood helps him through his life by sacrificing her dreams and her happiness for him by hiding her unconditional true love on him and her endless pain of not being able to express it to him inside her heart with a beautiful smile on her face forms the crux of the story.",['131'],India,Tamil,,7.9,11772746
Theri,2016,"Action, Crime, Thriller",Atlee,Nothing from IMDB,"Joseph Vijay, Samantha Ruth Prabhu, Amy Jackson, Baby Nainika, J. Mahendran, Motta Rajendran, Swaminathan, Prabhu, Radhika Sarathkumar, Boxer Dheena","When an honest cop, Vijay Kumar's family is ruthlessly slaughtered by a politician and his aides, he decides to change his identity and commits his life to bring his daughter up in a serene atmosphere. But some freak events end up compromising his identity and what he does to save his daughter and avenge the death of his family unfurls as Theri.",['157'],India,Tamil,,7.3,5440700
The Zoya Factor,2019,"Comedy, Drama, Romance, Sport","Abhishek Sharma, Mehmet Tutkun",Nothing from IMDB,"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor, Aasokaa, Shoaib Ahmed, Aakash Ahuja, Udit Arora, Ayra Bansal, Angad Bedi, Alistar Bennis",,['134'],India,Hindi,,4.4,8304386
The Worst Person in the World,2021,"Comedy, Drama, Romance",Joachim Trier,"Eskil Vogt, Joachim Trier","Renate Reinsve, Anders Danielsen Lie, Herbert Nordrum, Hans Olav Brenner, Helene Bjørneby, Vidar Sandem, Maria Grazia Di Meo, Lasse Gretland, Karen Røise Kielland, Marianne Krogh","A modern dramedy about the quest for love and meaning in contemporary Oslo. It chronicles four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",['128'],"Norway, France, Sweden, Denmark",Norwegian,,7.7,10370710
The Way Back,2020,"Drama, Sport",Gavin O'Connor,Brad Ingelsby,"Ben Affleck, Al Madrigal, Janina Gavankar, Michaela Watkins, Brandon Wilson, Will Ropp, Fernando Luis Vega, Charles Lott Jr., Melvin Gregg, Ben Irving","Back in high school, Jack Cunningham had everything going for him. A basketball phenom, he could have punched his ticket to college or even the pros, but, instead, he chose to walk away from the game, forfeiting his future. Jack's glory days are long gone...but, as it turns out, not forgotten. Years later, he gets the chance to take back his life when he is asked to coach the struggling basketball team at his alma mater. Jack reluctantly accepts, surprising no one more than himself, and as the boys start to come together as a team and win, he may get his last shot at redemption.",['108'],"United States, Canada",English,,6.7,8544498
The Train,1970,"Action, Crime, Mystery, Romance, Thriller",Ravikant Nagaich,Nothing from IMDB,"Rajesh Khanna, Nanda Karnataki, Helen, Rajendranath Malhotra, Madan Puri, Sunder, Randhir, Iftekhar, Chaman Puri, M.B. Shetty","Hardworking, capable, honest and dedicated CBI inspector Shyam Kumar is assigned the case of bringing to justice the criminals behind the use of fake cheques to purchase commodities. The major draw-back in this case is that the perpetrators try the best possible ways to eliminate all evidences of this crime. As Shyam get down to the bottom he will find that this case gets more difficult as some people are not who they claim they are.",['138'],India,Hindi,,6.2,246286
