Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Johnny English Strikes Again,2018,"Action, Adventure, Comedy",David Kerr,William Davies,"Kevin Eldon, Emma Thompson, Adam James, Rowan Atkinson, Noah Spiers, Kendra Mei, Alfie Kennedy, Jasmine Brightmore, George Turner, Rua Robertson","A cyber-attack reveals the identity of all active undercover agents in Britain, leaving Johnny English (Rowan Atkinson) as the Secret Service's last hope. Called out of retirement, English dives head first into action with the mission to find the mastermind hacker. As a man with few skills and analogue methods, Johnny English must overcome the challenges of modern technology to make this mission a success.",['89'],"United Kingdom, France, United States, China","English, Russian, French, German",,6.2,6921996
Jodi No. 1,2001,"Comedy, Crime, Romance",David Dhawan,Nothing from IMDB,"Sanjay Dutt, Govinda, Twinkle Khanna, Monica Bedi, Anupam Kher, Ashish Vidyarthi, Mukesh Rishi, Sayaji Shinde, Shakti Kapoor, Hans Raj Hans","Rai Bahadur lives a wealthy lifestyle in Panjim, Goa, along with three brothers, Raman, Kamal, and Ashok along with their respective wives and children. He also has a sister, Shanno, and a daughter, Rinki, who is of marriageable age. Since his business is not doing too well, he asks his US-based friend, Ranjit, for assistance. In response, Ranjit sends his son, Vikramjit, to assist Rai. Vikramjit arrives at the Rai household along with his Secretary and close friend, Veeru, and soon both get involved in assisting the Rai business get back on it's feet. What Rai does not know is that Vikramjit & Veeru are not who they claim to be, but are actually Jai and Veeru, wanted by the Bombay Police and are on India's Most Wanted Criminals. Watch what happens when their photos are telecast on National TV, and the impact this has on the entire Rai clan.",['180'],India,Hindi,,5.8,278522
Jo Jeeta Wohi Sikandar,1992,"Comedy, Drama, Romance, Sport",Mansoor Khan,Nothing from IMDB,"Aamir Khan, Ayesha Jhulka, Deepak Tijori, Pooja Bedi, Kulbhushan Kharbanda, Mamik Singh, Kiran Javeri, Ahmed Khan, Ravindra Kapoor, Deb Mukherjee","The biggest sporting event for the school town of Nainital is the annual cycling race. Schools and colleges here range from those like Rajput and Xavier's for the spoilt rich kids to local ones like Model for the poorer kids. For the past two years the cycling race has been won by the arrogant Shekhar Malhotra (Deepak Tijori) of Rajput College. Sanju (Aamir Khan) and Ratan (Mamik) are bothers who attend Model and run a small local cafe. Their father (Kulbhushan Kharbanda) is obsessed by the desire to see Ratan become the cycling champion. Ratan on his part is the ideal son and elder brother to Sanju, good in everything he does and has been the runner-up to Shekhar in the cycling race. Sunju on the other hand is a prankster, not taking life seriously at all enjoying life with his friends among whom is Anjali (Ayesha Jhulka) who loves him silently. Sanju however turns his attention on the new girl on the block, Devika (Pooja Bedi) and convinces her he is rich. He uses the money his father has asked him to deposit in the bank to buy a costly necklace for Devika instead. When his father finds out, he chucks Sanju out of the house. At the annual college dance competition when Devika finds out that Sanju is from Model and poor, she dumps him turning her attention to Shekhar. All through Anjali is a silent pillar of support for Sanju. Shekhar and his friends injure Ratan, almost killing him to keep him out of the race. It is at this point that Sanju realizes he has to get serious and responsible in life and he enters the cycle race to do what a man must do...",['174'],India,"Hindi, English",,8.1,104561
Jo and the Boy,2015,Drama,Rojin Thomas,Rojin Thomas,"Manju Warrier, Sanoop Santhosh, Lalu Alex, Kiran Aravindakshan, Kalaranjini, Sudheer Karamana, Pearle Maaney, Sanjay Pal, Sunil Sukhada",,['156'],India,Malayalam,,4.4,5297182
Jism 2,2012,"Drama, Romance, Thriller",Pooja Bhatt,Nothing from IMDB,"Randeep Hooda, Arunoday Singh, Arif Zakaria, Sunny Leone, Junayeed Bin Fakhrul, Sumit Nijhawan, Imran Zahid",,['130'],India,"Hindi, English, Punjabi",,3.1,2226666
Jigariyaa,2014,Drama,Raj Purohit,Nothing from IMDB,"Harshvardhan Deo, Cherry Mardia, Deepak Chaddha, Sorabh Chauhan, Sneha Deori, Ahtesham Hussain, Shailendra Kumar, Vineeta Malik, Navni Parihar, K.K. Raina",,['142'],India,Hindi,,4.9,4010306
Jayeshbhai Jordaar,2022,"Comedy, Drama",Divyang Thakkar,Nothing from IMDB,"Pratik Nanda, Ranveer Singh, Shalini Pandey, Boman Irani, Ratna Pathak Shah, Puneet Issar, Jia Vaidya, Deeksha Joshi, Jayesh Barbhaya, Sameer Boxer","A non-confrontational Jayesh (Ranveer Singh) decides to defy his patriarchal family and flee with his pregnant wife Mudra (Shalini Pandey) to save their unborn daughter from feticide. A screwball, hilarious chase begins as Jayesh's father (Boman Irani) assembles all his might to nab them. Will this unlikely hero manage to create a safe and equal haven for his daughter?",['121'],India,Hindi,,6.0,10393870
Jayantabhai Ki Luv Story,2013,"Action, Comedy, Romance",Vinnil Markan,Kiran Kotrial,"Vivek Oberoi, Neha Sharma, Rahul Singh, Nikhil Ratnaparkhi, Shishir Sharma, Him Dayal Singh, Vishwanath Chatterjee, Jiten Mukhi, Falguni Rajani, Nilofer Raza",,['130'],India,Hindi,,5.3,2622130
Jawani Diwani,1972,"Musical, Family, Romance, Action, Drama",Narendra Bedi,Nothing from IMDB,"Randhir Kapoor, Jaya Bachchan, Balraj Sahni, Nirupa Roy, Iftekhar, A.K. Hangal, Narendranath Malhotra, Kanwarjeet Paintal, Satyendra Kapoor, Jagdish Raj","The exuberance of youth influences two college going lovers to edify their headstrong parents. They sing the following Panchamda songs to achieve this goal: ""Jaane Jaan doodta fir ruha"" ""Saamne yeh koun aaya"" ""Yeh Jawani hai Diwani"" ""Agar saaz chedaa taraane bunenge"" ""Oye tauba mujhe toone badnaam kur diya""",,India,Hindi,,6.4,155775
Jawan,2023,"Action, Thriller",Atlee,Nothing from IMDB,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone, Sanjay Dutt, Priyamani, Sanya Malhotra, Girija Oak, Lehar Khan, Sanjeeta Bhattacharya","Driven by a desire to rectify societal wrongs, Vikram embarks on a mission to obliterate Kalee and presents the government with a set of demands, setting the stage for an electrifying and high-stakes showdown. The film delivers a strong social message about issues like the corrupt political system, challenges faced by farmers, and flaws in the healthcare system. It emphasizes the power of the index finger during elections as a means for citizens to actively participate in shaping the destiny of their country.",['169'],India,Hindi,,7.0,15354916
