Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Jaanam Samjha Karo,1999,"Drama, Romance",Andaleeb Sultanpuri,Nothing from IMDB,"Salman Khan, Urmila Matondkar, Jaspal Bhatti, Shammi Kapoor, Bindu Desai, Navneet Nishan, Kannu Gill, Sadashiv Amrapurkar, Monica Bedi, Laxmikant Berde","Talented singer and dancer, Chandni's life is dominated by three aunts, and a soft-spoken maternal grandmother. She meets with a womanizer named Rahul, and falls in love with him. Rahul treats her just like any of his other girlfriends, and decides to have an affair with her. Rahul unexpectedly meets with his dadaji, who wants him to get married to Chandni. In order to fool him, Rahul asks Chandni to pretend to be his wife, which she does. After Dadaji leaves, will Rahul and Chandni go their separate ways, and will Rahul return to the waiting arms of his many girlfriends?",['153'],India,Hindi,,4.8,226847
Jaan-E-Mann: Lets Fall in Love Again,2006,"Comedy, Drama, Musical, Romance",Shirish Kunder,Nothing from IMDB,"Salman Khan, Akshay Kumar, Preity G Zinta, Anupam Kher, Aman Verma, Jawed Sheikh, Soni Razdan, Nawab Shah, Steven Baker, Matt Brandstein",Suhaan receives divorce notice from his wife Piya as he as failed to pay the alimony.Agasthya enters their doorstep searching for Piya he was in love with her during college days but couldn't express it. Suhaan tries to get Agasthya and Piya closer that he doesn't have to pay her alimony and monitors their every move.He rents a apartment opposite her house and uses telescopes and binoculars to monitor her.Suhaan notices that Piya has a baby girl.Piya was pregnant when she left him as she didn't want her and baby to ruin his film career.Suhaan realizes his mistake but its to late as Piya and Agasthya are set to get engaged.,['165'],India,"Hindi, English",,6.1,456481
Iyobinte Pusthakam,2014,"Action, Adventure, Drama, Romance, Thriller",Amal Neerad,Nothing from IMDB,"Fahadh Faasil, Jayasurya, Lal, Isha Sharvani, Jinu Joseph, Padmapriya, Vinayakan, Chemban Vinod Jose, T.G. Ravi, Sreejith Ravi","The life of a native takes an upturn when a British Businessman Harrison takes him under his wing and christens him Iyob. With all the loyalty shown to his master, Iyob eventually ends up inheriting the tea estates in Munnar after Harrison's demise. With his sons, Ivan, Dmitri & Aloshy, growing up & old age setting in; Iyob is all set to be overthrown by his own children. The story is about how Iyob copes with his decision and their subsequent consequences overlapped with a slick narration by a communist leader.",['158'],India,"Malayalam, Tamil, English",,7.7,4186118
Ishqeria,2018,"Comedy, Romance",Prerna Wadhawan,Nothing from IMDB,"Manish Anand, Raj Babbar, Richa Chadha, Juby Devasia, Lata Gandi, Gurbani, Bikramjeet Kanerwal, Mustaq Khan, Ehsaas Madan, Neil Nitin Mukesh","When Kuhoo, a small town girl from an all girls school joins a hip co-ed university, a true behenji, who thinks herself as the queen of fashion, sees Raghav for the first time, she knows she's going to marry him and have his kids!. The problem? He doesn't seem to even see her!. Her gang of girlfriends plot to make Raghav fall madly in love with Kuhoo. What ensues is hilarious attempts at wooing, getting a behenji to turn mod and a love story that will make you relive your college days.",['118'],India,Hindi,,4.0,2802062
Ishq,1997,"Action, Comedy, Drama, Musical, Romance",Indra Kumar,Nothing from IMDB,"Aamir Khan, Ajay Devgn, Juhi Chawla, Kajol, Dalip Tahil, Sadashiv Amrapurkar, Johny Lever, Mohan Joshi, Deven Verma, Tiku Talsania","Harbans Rai and Ranjit Rai are two wealthy businessmen who absolutely *loathe* poverty and poor people . As fate would have it , Harbans Rai's daughter Madhu falls for a poor mechanic Raja while Ranjit Rai's son Ajay romances a poor girl Kajal . When Harbans and Ranjit come to know of it they try various ways to separate the lovers .",['161'],India,Hindi,,6.8,133024
Indubala Bhaater Hotel,2023,Drama,Nothing from IMDB,Kallol Lahiri,"Subhasree Ganguly, Rahul Banerjee, Suhotra Mukhopadhyay, Pratik Dutta, Angana Roy, Debdutta Raha, Sneha Chatterjee, Debapratim Dasgupta, Tirthankar Chakraborty, Mithu Chakrabarty",,,India,Bangla,,8.2,26542712
Independence Day,1996,"Action, Adventure, Sci-Fi",Roland Emmerich,"Dean Devlin, Roland Emmerich","Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell, Judd Hirsch, Robert Loggia, Randy Quaid, Margaret Colin, James Rebhorn, Harvey Fierstein","On July 2nd, communications systems worldwide are sent into chaos by a strange atmospheric interference. It is soon learned by the military that a number of enormous objects are on a collision course with Earth. At first thought to be meteors, they are later revealed to be gigantic spacecraft, piloted by a mysterious alien species. After attempts to communicate with the aliens go nowhere, David Levinson, an ex-scientist turned cable technician, discovers that the aliens are going to attack major points around the globe in less than a day. On July 3rd, the aliens all but obliterate New York, Los Angeles and Washington, as well as Paris, London, Houston and Moscow. The survivors set out in convoys towards Area 51, a strange government testing ground where it is rumored the military has a captured alien spacecraft of their own. The survivors devise a plan to fight back against the enslaving aliens, and July 4th becomes the day humanity will fight for its freedom. July 4th is their Independence Day...",['145'],United States,English,,7.0,116629
Immaan Dharam,1977,"Action, Drama",Desh Mukherjee,Nothing from IMDB,"Shashi Kapoor, Sanjeev Kumar, Amitabh Bachchan, Rekha, Aparna Sen, Helen, Prem Chopra, Om Shivpuri, Shreeram Lagoo, Utpal Dutt","This is a story about two guys who act as mock witnesses and always hang around court to give evidence as per the requirement of the case every time. They have never believed in God but eventually they have to accept the power of God. Ahmed and Mohan Kumar Saxena are petty thieves, and con-men. They career is spent as false witnesses near the Bombay courts, where they get paid a set sum of rupees for false depositions. This changes when they meet and are influenced by Kabir Das, and decide to go straight. They find that it's virtually impossible to earn a living as honest citizens. Then Kabir Das is arrested and imprisoned by a murder he claims he did not commit, and the duo promise to help him, and find out who the real killer is, but they themselves end up getting in trouble.",['156'],India,Hindi,,5.4,76177
Ilaaka,1989,"Action, Drama",Aziz Sejawal,Javed Siddiqui,"Mithun Chakraborty, Sanjay Dutt, Madhuri Dixit, Amrish Puri, Amrita Singh, Dalip Tahil, A.K. Hangal, Goga Kapoor, Dharmendra, Rakhee Gulzar","Ilaaka - has a small little world of its own. A world of dreams and desires love and longings, hatred and hardships. This is Raja who stands at the cross roads of truth and traditions.. In this small world we have Suraj and Neha, the two crusaders against the might of evil. And we have the evil incarnated too! Nagar as vicious as a viper and as blood thirsty as a wolf. Here we have good old Masterji who is ready to sacrifice himself for his tiny world. And we have cunning Swami also, who is ready to destroy everything. Ilaaka has love and laughter, blood and tears. It is as delicate as a petal and as hard as steel. Ilaaka, a painting which has all the seven colours of rainbow.",['161'],India,Hindi,,4.6,97563
19th IIFA Awards,2018,Reality-TV,Deepak Gattani,Pradeep Chaturvedi,"Riteish Deshmukh, Karan Johar, Kunaal Roy Kapur, Irrfan Khan",,,India,Hindi,,3.7,10127430
