Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Doli Saja Ke Rakhna,1998,"Drama, Romance",Priyadarshan,Nothing from IMDB,"Akshaye Khanna, Jyotika, Anupam Kher, Moushumi Chatterjee, Aruna Irani, Paresh Rawal, Tej Sapru, Mohnish Behl, Ninad Kamat, Amrish Puri","Inderjit Bansal comes from a wealthy family. His father and mother, Chandrika, would like him to get married and settle down. But Inderjit wants to continue post-graduation studies and become an MBA. His parents permit him to and he gets admitted in college. There he meets with an attractive young student named Pallavi Sinh and falls head over heels in love with her. He confides about this matter with friends and together they assist him to woo her further. This leads to chaos and confrontation with Pallavi's brother, Inspector Prithvi, who arrests them, holds them in a lock-up, and beats them; then her second brother, Vikram, a tough hockey player, who also roughs them up; and when they go to get their wounds treated they meet Pallavi's third brother, Dr. Suraj, who surgically injures them even more. They plan to avenge this humiliation, and do succeed, but Pallavi asks them to stop. The Sinh's are horrified to learn that Pallavi actually loves the ruffian Inderjit and forbid her to see or speak with him, thus prompting the two lovers to elope, pursued in anger by the police force and the Sinh brothers. They land in a fisherman's wharf, and meet Jojo Pinto, who is the father of one of Inderjit's friends' he agrees to confront their tormentors, and also get them legally married. But at the very last moment, the two are overwhelmed and much to the shock of their friends, agree to return home and get married to the person their families' have chosen for them. But will their respective families' accept them back? And will they ever be happy by this decision?",['170'],India,Hindi,,6.3,207415
Dobaaraa,2022,"Drama, Fantasy, Mystery, Thriller",Anurag Kashyap,Nothing from IMDB,"Taapsee Pannu, Pavail Gulati, Nassar, Saswata Chatterjee, Rahul Bhat, Sukant Goel, Vidushi Mehra, Himanshi Choudhary, Nidhi Singh, Madhurima Roy","In the 1990s, during a wild thunderstorm night, 12-year-old Anay dies in a road accident shortly after he sees his next-door neighbor committing a crime. Twenty-five years later, in a strange turn of events, on an identical stormy night, Antara finds herself in front of a TV set through which she attempts to save Anay's life but her good deed causes a disturbing chain of unexpected consequences.",['132'],India,Hindi,,4.8,14042066
Do Ankhen Barah Haath,1957,"Comedy, Crime, Drama, Thriller",Shantaram Rajaram Vankudre,G.D. Madgulkar,"Shantaram Rajaram Vankudre, Sandhya, Ulhas, B.M. Vyas, Paul Sharma, S.K. Singh, Gajendra, G. Ingawale, Chandarkar, Tyagraj","Compassionate Jailer Adinath refuses to document an attack on him by an inmate, Kishan, and instead permits him to see his children. He is then granted permission through the IG as well as the Jail Superintendent to rehabilitate six hardened convicts - all serving life sentences for single and multiple homicides. Amongst them are Veeru Choudhry - for killing his wife; Tamana Bildar for killing a relative; Goshai Kesavgiri for killing two young children; Jalia Nai for cutting the throat of a Sahukar; bandit Shankar Passi who had killed a Zamindar, as well as Kishan himself. He takes them to an isolated house on a plot of barren land, and this is where he expects them to cultivate it, grow crops and make a living. Challenges commence from day one when the Cook, ironically named Bahadur, quits in fear, and Adinath is compelled to cook for everyone. He permits Kishan to see his two children, Govinda and Gopal, as well as his aged, near-blind mother, and even permits the children to live with them. It is this decision that will give rise to a rebellion amongst the other five convicts - who also want their respective families to also move in.",['143'],India,"Hindi, English",,8.4,50322
Disturbing the Peace,2020,"Action, Thriller",York Alec Shackleton,Chuck Hustmyre,"Guy Pearce, Devon Sawa, Kelly Greyson, Michael Sirow, Luke Martin Collins, Jacob Grodnik, John Lewis, Terence J. Rotolo, Barbie Blank, Branscombe Richmond",,['91'],United States,English,,3.4,5717194
Dilwale,1994,"Action, Drama, Romance",Harry Baweja,Karan Razdan,"Ajay Devgn, Suniel Shetty, Raveena Tandon, Gulshan Grover, Paresh Rawal, Reema Lagoo, Navneet Nishan, Saeed Jaffrey, Anang Desai, Avtar Gill","The Police Commissioner, Advocate Sinha and Police Inspector Vikram Singh arrive at the Central Mental Hospital to speak with an inmate, Arun Saxena. They hope to get Vikram to befriend Arun so that they could unravel the mystery as to why Arun ended up romancing wealthy Sapna, then getting involved with Jyoti, and subsequently killing her. Arun is arrested, confesses to the the homicide and is sentenced to be hanged. This news unsettles Arun to such an extend that he becomes mentally unstable and is institutionalized. Vikram hopes to befriend Arun, get him cured and medically discharged, and ensure that he is hanged.",['172'],India,Hindi,,5.6,337611
Dil Tera Diwana,1962,"Comedy, Romance",B. Ramakrishnaiah Panthulu,Inder Raj Anand,"Shammi Kapoor, Mala Sinha, Mehmood, Shobha Khote, Pran Sikand, Om Prakash, Ulhas, Mohan Choti, Mumtaz Begum, Kammo","Wayward, brash, and disobedient Mohan (Shammi Kapoor) is sent by his angry dad Diwan Badriprasad (Ulhas) to a retired army captain Dayaram (Om Prakash) to learn some discipline and respect. But Mohan asks his friend Anokhe (Mehmood) to switch places with him, and Anokhe agrees to do so. Mohan meets with Meena (Mala Sinha), who lives with her blind dad (Manmohan Krishan). Anokhe is welcomed as Mohan by Captain Dayaram and his daughter Malti (Shubha Khote) in their household. Eventually both Malti and Anokhe fall in love. Things start to get even more muddled when Captain Dayaram finds out that Anokhe is married to another woman, and that Anokhe drives a rickshaw. The police are notified and they are asked to arrest Mohan - they arrest 3 Mohans. Who is the real Mohan?",['150'],India,Hindi,,6.2,250339
Dil Diya Dard Liya,1966,"Drama, Musical, Romance","Abdul Rashid Kardar, Dilip Kumar",Nothing from IMDB,"Dilip Kumar, Waheeda Rehman, Pran Sikand, Rehman Khan, Shyama, Sajjan, Rani, Johnny Walker, S. Nazir, D.K. Sapru","A kind-hearted, widowed landlord, Thakur, lives a wealthy lifestyle with his son, Ramesh; daughter, Roopa; and an adopted child, Shankar. Ramesh hates Shankar and often abuses him. Years pass by, Thakur has passed away, and all three children have grown up. While Ramesh visits a stunningly attractive Courtesan, Tara, drinks alcohol, and continues to abuse and mercilessly beat Shankar, who bears this in silence as he and Roopa are in love with each other. When Ramesh finds out that Roopa wants to wed Shankar, he has him severely beaten and thrown off a cliff. He then arranges Roopa's marriage with another wealthy man, Satish, while he continues to romance Tara and even signs over his entire estate and home to her name. Then a few years later, Shankar returns - this time as the wealthy Raja of Belapur - and he all set to compromise with Ramesh and propose to Roopa. He finds out that nothing has changed, Ramesh, though rendered penniless by Tara, still hates him; and Satish is wooing Roopa, is engaged to her and a marriage date has been fixed. Shankar's love is now replaced by vengeance and hate, and all he can think of is destroying the lives of Ramesh, Roopa, Satish and his sister, Mala, and he has several plans which he intends to put to use one by one.",['169'],India,Hindi,,6.2,60310
Dil Aashna Hai (...The Heart Knows),1992,"Drama, Romance",Hema Malini,Nothing from IMDB,"Jeetendra, Mithun Chakraborty, Dimple Kapadia, Amrita Singh, Sonu Walia, Kabir Bedi, Divya Bharti, Shah Rukh Khan, Nassar Abdulla, Pankaj Udhas","Laila, brought up in a brothel, is a cabaret dancer in Digvijay Singh's five star hotel. On day her dying mother informs her that Laila is her adopted child. Laila is aided by Karan in her search for the mother. Her search leads her to Razia, who divulges that eighteen years ago, there were three naughty little girls in her college Barkha, Salma and Raj. They were in love with their boyfriends and one of them delivered a baby girl. Each of the three looked after the baby as if it were her own. The baby was later handed over to Razia. Now all three girls are leading their own lives and have a god standing in society. But Laila is determined to bring them together to seek answers from them and find acceptance at the hands of her real mother.",['164'],India,Hindi,,5.0,101732
Dhoti Lota Aur Chowpatty,1975,Comedy,Mohan Choti,Nothing from IMDB,"Ranjeet Bedi, Laxmi Chhaya, Mohan Choti, Bindu Desai, Jeevan Dhar, Dharmendra, Dulari, Helen, Nasir Hussain, Jagdeep","An assortment of characters living near Juhu, Chowpatty, meet, share comic, romantic, and fight scenes. This movie is remebered for the reverse casting as main heros such as Dharam and Sanjeev have wee bit roles, whereas the wee bit character roles usally played by Mohan Choti, and Farida Jalal, are the main characters. This movie is also remembered for it's songs: ""Dhoti lota aur chowpatty yeh apne pyar ke saathi, eense apna rishta nahta, bakhi sarhi duniya maati..""; ""Chal gai chal gai ishk ki goli chal gai...""; ""Soh bar ki tobah phir bhi dil ne kar diya pyar, pyar, pyar, jo hoga dekha jayega jab ho hi gaya pyar pyar..""; ""Thumak thumak chale chaal hath me kajal ki jori, gora badan, patli kamar...O gori tera roop bada mastana.."".",['139'],India,Hindi,,4.8,315487
Dhoom,2004,"Action, Crime, Drama, Thriller",Sanjay Gadhvi,Nothing from IMDB,"Abhishek Bachchan, John Abraham, Uday Chopra, Esha Deol, Rimi Sen, Manoj Joshi, Sanjay M. Singh, Amir Farid, Mehul Bhojak, Rohit Chopra","The tale begins in Mumbai where a gang of robbers is sweeping through the city. Officer Jai Dixit (Abhishek Bachchan) is brought in on the case and he is on the trail of the robbers - a gang led by Kabir (John Abraham). Jai ropes in the services of Ali (Uday Chopra), a carefree garage mechanic and a prodigious biker. With fast bikes, big action, DHOOM reinvents the classic cops and robbers tale.",['129'],India,"Hindi, English",,6.6,422091
