Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Lethal Seduction,2015,Thriller,Nancy Leopardi,"Roger Stigliano, Michael Waite","Caleb Ruminer, Amanda Detmer, Dina Meyer, Brian Thomas Smith, Tessa Harnetiaux, Sam Lerner, Dominic Burgess, Alexandra Begg, Rick Overton, Robert Maschio","High-school senior Mark has never minded his overprotective widowed mother Tanya and is a good son to her as he prepares to go off to Princeton in the fall. One day, he goes to a hardware store where he meets attractive middle-aged widow Carissa, who convinces him to come fix the shower at her house. She seduces him and they have sex. When he comes under the spell of this rapacious, manipulative woman, he lands between two strong, unreasonable women--one of whom is insane. After learning that Carissa's ex-husband was found dead at her house, Tanya visits Carissa to make amends but Carissa rejects her and threatens to convince Mark to do whatever she wants, including cutting Tanya out of his life.",['80'],United States,English,,5.1,4113114
Fair Play,2023,"Drama, Mystery, Thriller",Chloe Domont,Chloe Domont,"Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer, Sebastian De Souza, Sia Alipour, Yacine Ramoul, Brandon Bassir, Jamie Wilkes, Freddy Sawyer","Hot off the heels of their new engagement, thriving New York couple Emily and Luke can't get enough of each other. When a coveted promotion at a cutthroat financial firm arises, supportive exchanges between the lovers begin to sour into something more sinister. As the power dynamics irrevocably shift in their relationship, Luke and Emily must face the true price of success and the unnerving limits of ambition.",['113'],United States,English,,6.4,16304446
Mann Pasand,2023,Comedy,Nishant Nayak,Zakir Khan,Zakir Khan,"In his hilarious new special, Zakir recounts stories of his childhood friendships with boys, adult relationships with girls, and the clashes that ensue between them on one fateful Goa trip. As he explains, there are times when you have to choose between the right thing to do and the fun thing to do. In Mannpasand, Zakir firmly chooses fun.",['94'],India,Hindi,,7.7,30151562
You're Not Alone,2023,Thriller,Chris Stokes,Nothing from IMDB,"Michael Jai White, Precious Way, Robinne Lee, Vincent Rivera, Earanequa Carter, Amber Chaney, Will De Arenas, Vanessa Deleon, Mike Hill, Billie King",,['85'],United States,English,,4.7,19357456
Who Is Erin Carter?,2023,"Action, Adventure, Crime, Thriller",Nothing from IMDB,"Jack Lothian, Jack Lothian, Jack Lothian","Evin Ahmad, Sean Teale, Denise Gough, Indica Watson, Charlotte Vega, Susannah Fielding, Douglas Henshall, Leila Faith Lopez, Pep Ambròs, Finnian Burke","Erin Carter, a British teacher in Spain, finds herself caught up in a supermarket robbery. When one of the robbers claims to recognize her, her life threatens to unravel. In Palomino, a town of secrets, she must fight to clear her name and protect her family.",['338'],"United Kingdom, United States","English, Spanish",,6.5,18075020
War,2019,"Action, Adventure, Thriller",Siddharth Anand,Nothing from IMDB,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana, Anupriya Goenka, Yash Raaj Singh, Mashhoor Amrohi, Sanjeev Vatsa, Dipannita Sharma, Soni Razdan","An elite shadow unit of R&AW led by agent Kabir (Hrithik Roshan) focusses on maximum risk missions. Khalid (Tiger Shroff), a soldier with a murky past, struggles to get into Kabir's team and finally manages to convince him of his dedication and loyalty. Now, when Kabir mysteriously goes rogue, Khalid is assigned the task of hunting down his mentor. Can he track him? A deadly war begins.",['151'],India,"Hindi, Tamil, Telugu",,6.5,7430722
Wall Street: Money Never Sleeps,2010,Drama,Oliver Stone,Nothing from IMDB,"Richard Stratton, Harry Kerrigan, Michael Douglas, Carey Mulligan, Shia LaBeouf, Sunil Hirani, Maria Bartiromo, Austin Pendleton, Thomas Belesis, Frank Langella","As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two-tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor.",['133'],United States,English,,6.2,1027718
Tiger 3,2023,"Action, Adventure, Thriller",Maneesh Sharma,Nothing from IMDB,"Salman Khan, Katrina Kaif, Emraan Hashmi, Simran, Kumud Mishra, Ranvir Shorey, Chandrachoor Rai, Vishal Jethwa, Shahid Latief, Danish Bhatt","Tiger and his team face yet another threat that will leave endanger the country. The team must overcome many obstacles along their path to stop Aatish and his planning to shake the world. Along with deception, love, and patriotism, Tiger must embrace and conquer all the challenges and surprises that come his way to save his country",['155'],India,"Hindi, English, Vietnamese",,5.8,18411490
Tiger 3,2023,"Action, Adventure, Thriller",Maneesh Sharma,Nothing from IMDB,"Salman Khan, Katrina Kaif, Emraan Hashmi, Simran, Kumud Mishra, Ranvir Shorey, Chandrachoor Rai, Vishal Jethwa, Shahid Latief, Danish Bhatt","Tiger and his team face yet another threat that will leave endanger the country. The team must overcome many obstacles along their path to stop Aatish and his planning to shake the world. Along with deception, love, and patriotism, Tiger must embrace and conquer all the challenges and surprises that come his way to save his country",['155'],India,"Hindi, English, Vietnamese",,5.8,18411490
Tiger 3,2023,"Action, Adventure, Thriller",Maneesh Sharma,Nothing from IMDB,"Salman Khan, Katrina Kaif, Emraan Hashmi, Simran, Kumud Mishra, Ranvir Shorey, Chandrachoor Rai, Vishal Jethwa, Shahid Latief, Danish Bhatt","Tiger and his team face yet another threat that will leave endanger the country. The team must overcome many obstacles along their path to stop Aatish and his planning to shake the world. Along with deception, love, and patriotism, Tiger must embrace and conquer all the challenges and surprises that come his way to save his country",['155'],India,"Hindi, English, Vietnamese",,5.8,18411490
