Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Kapoor & Sons,2016,"Comedy, Drama, Family, Romance",Shakun Batra,Nothing from IMDB,"Rishi Kapoor, Rajat Kapoor, Ratna Pathak Shah, Fawad Khan, Sidharth Malhotra, Alia Bhatt, Anuradha Chandan, Vikram Kapadia, Anahita Oberoi, Aakriti Dobhal",Amrajeet Kapoor lives joyfully at the age of 90 his wish is to get a family photograph and mentioning Kapoor and Sons and frame it in the hall of his house. He suddenly suffer an heart attack and is rushed to hospital by his son Harsh and his wife Sunita his grandsons Rahul whose writer in London and Arjun who works in New Jersey soon rush home.The Kapoor's aren't happy with each other as they seem to be and have a estranged relationship and frequent arguments in between this Rahul and Arjun meet Tia on separate occasions and develop a friendship. While Sr Kapoor is in hospital the family plan his birthday party which is on his day of discharge where at the party Rahul and Arjun meet Tia where Rahul clears the air that they don't have any relationship apart from business. But soon party goes hey wire when Anu arrives whom Sunita believes Harsh is having an affair while Amarjeet as an argument with his Sr friends during a bridge game. Amarjeet is waiting for his younger son to return to complete the family pic but but is worried seeing his family's estranged relationship.,['132'],India,Hindi,,7.7,4900716
Kanpuriye,2019,Drama,Ashish Aryan,Ashish Aryan,"Aparshakti Khurana, Divyendu Sharma, Vijay Raaz, Rajshri Deshpande, Harshita Gaur, Harsh Mayar, Bhupesh Pandya, Vani Sood, Chittaranjan Tripathy, Ali Abbas",,['103'],India,Hindi,,6.1,9766310
Kalicharan,1976,"Action, Adventure, Crime, Drama, Thriller",Subhash Ghai,Nothing from IMDB,"Shatrughan Sinha, Reena Roy, Ajit Khan, Premnath Malhotra, Danny Denzongpa, Helen, Madan Puri, David Abraham, Krishan Dhawan, Leela Mishra",,['143'],India,Hindi,,6.7,214832
Kaho Naa... Pyaar Hai,2000,"Action, Musical, Romance, Thriller",Rakesh Roshan,Nothing from IMDB,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Behl, Ashish Vidyarthi, Satish Shah, Farida Jalal, Tanaaz Currim Irani, Payal Malhotra","A poor singer, Rohit, and the daughter of a very rich man, Sonia, fall in love. While on a cruise ship, they get separated from the rest of their party and end up on a deserted island. They live happily here for a few days until they are rescued. Sonia's friends help Rohit to make a name for himself so that they can get married. But before he reaches this goal, he meets an untimely death. Sonia's father sends her to live with her cousins in New Zealand to get over her heartbreak. In New Zealand she meets Raj Chopra who looks exactly like Rohit.",['172'],India,"Hindi, English",,6.9,234000
Kadamban,2017,"Action, Adventure, Drama",N. Ragavan,Nothing from IMDB,"Arya, Catherine Tresa, Deepraj Rana, Y.G. Mahendran, Madhuvanti Arun, Dhilip Subbarayan, Rajasimman",,['142'],India,"Tamil, Hindi",,5.4,6722870
Kabhi Na Kabhi,1998,"Action, Drama, Romance",Priyadarshan,Nothing from IMDB,"Jackie Shroff, Anil Kapoor, Pooja Bhatt, Paresh Rawal, Tinnu Anand, Alok Nath, Rohini Hattangadi, Sukumari, Vinodini, Darshan Bagga","Kachra Seth uses garbage collection to successfully erases trace of his drugs trafficking business. One of his peasant task involves the hiring of young men to help sustain his trade - one such young man is Jaggu - who would commit any unlawful errant for a hefty sum. Jaggu is in love with Tina but is unable to express his feelings to her. Jaggu seeks monetary assistance from Kachra Seth when his mother is hospitalized but is instead assigned with a task but is unable to complete same when he is arrested by the police with the assistance of a librarian, is subsequently convicted and sentenced to prison. Replacing him is another young man who goes by the name of Rajeshwar alias Raja. Raja manages to rescue Tina from one of Kachra Seth's henchman, Chabiley which attracts Raja and Tina together. Meanwhile Jaggu is released from prison, finds that his mom is dead while his sister is missing, believed to have committed suicide. Anger then submerged him into scheming a fool-proof plan in killing the librarian, which is carried out successfully. A chain of events leads Jaggu, Raja and Tina as acquaintances - while Jaggu is unaware of the fact that the librarian is Raja's dad, Raja is unaware that Jaggu is the killer of his dad and swears to hunt down and mercilessly put an end to his dad's killer which leads the three to the cross-road of life.",['157'],India,Hindi,,4.2,116737
Kabeela,1976,"Action, Adventure, Crime, Drama",Bolu Khosla,Nothing from IMDB,"Feroz Khan, Rekha, Kamini Kaushal, Imtiaz Khan, Premnath Malhotra, Bindu Desai, Surendra, Habib, Dumasia, Nawab","Shobha lives a poor lifestyle along with her widower dad, Murari, in a village. One day a gypsy, Mangal, comes to her rescue when she is being chased by a bull, both continue to meet and fall in love with each other. Shortly thereafter she is abducted and taken to a man named Dildaar. Before she gets molested, she is rescued by Mangal, returns home to find that her father has passed away. When she refuses to marry Lalaji, he spreads rumors about her, and the villagers subsequently disown and blacklist her. She decides to go and live with Mangal, who is the son of Sardar Babbar, at the gypsy camp, but Mangal refuses to have to do anything with her. Subsequently Mangal returns to Shobha, apologizes, and both patch-up. Then Shobha's life is shattered when she comes across evidence that it was actually Mangal who abducted her, while Mangal himself faces many challenges and may even be killed for betraying his people.",,India,Hindi,,5.8,367918
Kaagaz Ke Fools,2015,Comedy,Anil Chaudhary,Anil Chaudhary,"Vinay Pathak, Mugdha Godse, Raima Sen, Amit Behl, Nishikant Dixit, Ravi Mahashabde, Rajendra Sethi, Saurabh Shukla, Rajeev Vashishth",,['109'],India,Hindi,,3.8,2962230
Kaabil,2017,"Action, Crime, Drama, Romance, Thriller",Sanjay Gupta,Nothing from IMDB,"Hrithik Roshan, Yami Gautam, Ronit Roy, Rohit Roy, Narendra Jha, Girish Kulkarni, Sahidur Rahaman, Suresh Menon, Asif Ali Baig, Shaji Chaudhary","This is the story of a man who lived, laughed and loved just like everyone in this world. Until one day, a terrible tragedy struck. Driven by the fire of vengeance, nothing will stop him. Not even the fact that he has been blind since birth.",['139'],India,Hindi,,7.1,5460276
G I F Chapter 1,2022,"Short, Action, Sci-Fi",Winsanda Kularathne,Winsanda Kularathne,"Yasiru Anupama, Javith Insandu, Omindu Kaveesha, Winsanda Kularathne, Bosilu Laknal, Maleesha Mihiran, Minidu Nimayantha, Nipul Sanhida, Dinel Senkith, Janiru Senuth",,['12'],Sri Lanka,English,,9.0,25728596
