Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Zero,2018,"Action, Comedy, Drama, Romance",Aanand L. Rai,Himanshu Sharma,"Shah Rukh Khan, Anushka Sharma, Katrina Kaif, Mohd. Zeeshan Ayyub, Abhay Deol, Madhavan, Florentina Kleiner, N. Barry Carver, Spencer Allport, Alan Applegate","The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence and indulgence, Bauua was never failed by Meerut or its people. But when he meets two women (Katrina Kaif, Anushka Sharma), his experiences with these women take him on a journey to complete his 'incompleteness' and broaden his horizons to find a purpose he never knew he had.",['164'],India,Hindi,,5.2,6527426
Zahreelay,1990,"Action, Drama",Jyotin Goel,Nothing from IMDB,"Jeetendra, Bhanupriya, Sanjay Dutt, Vinita Goel, Chunky Pandey, Juhi Chawla, Kiran Kumar, Sudhir, Sharat Saxena, Shafi Inamdar","After being critically wounded and losing his left arm, Captain Jaswant Kumar is discharged from the Indian army and goes to live with Journalist A.V. Razdan in Shanti Nagar, Bombay. Ironically, Shanti Nagar is far from peaceful as it is ruled by extortionists like Peter Gonsalves and Jaichand Khurana who work for underworld don, Taneja. Jaswant and a local taxi-driver, Raju Varma, decide to put up a fight and attempt to drive the goons away - with considerable success much to the chagrin of Taneja, who hires a killer named Raaka to do away with them. Instead they end up befriending Raaka and join forces against Taneja himself. But Jaswant and Raju will soon find out that Raaka never befriends anyone and always disposes off his enemies when they end up getting arrested for smuggling and are sentenced to two years in prison - leaving Taneja and his men to carry on with their nefarious activities.",['163'],India,Hindi,,4.5,172622
Yeh Lamhe Judaai Ke,2004,"Drama, Mystery, Romance, Thriller","Pavan Kaul, Birendra Nath Tiwari",Nothing from IMDB,"Shah Rukh Khan, Raveena Tandon, Navneet Nishan, Avtar Gill, Mohnish Behl, Deven Bhojani, Birbal, Brahmachari, Rashami Desai, Bhushan Kumar Dhar","Dushyant and Jaya are childhood friends. In spite of his family's poverty, Dushyant has one great ambition in life: to become a successful singer. Jaya encourages him all she can and helps him to realize his dreams. But when Dushyant finally obtains the recognition he has craved for, his career becomes all-important to him. Will the relationship shatters under the strain of his newfound celebrity status?",['188'],India,Hindi,,3.1,385351
Yeh Kaisa Insaf?,1980,Drama,Dasari Narayana Rao,Nothing from IMDB,"Vinod Mehra, Shabana Azmi, Sarika Thakur, Raj Kiran, Madan Puri, Shashikala Jawalkar, Madhu Malini, Govardhan Asrani, Sulabha Deshpande, Bhagwan Palav","Hoping to impress his National Bank co-worker Sudha, Shankar recounts his story, right from his birth, as the lowly son of a servant in a once-wealthy Nagpur-based family consisting of Madhu, her brother, Sunder, and her widowed mother, who struggle to make ends meet. Then she meets Ram Nath, both are attracted to each other and Ram proposes. Madhu conditionally accepts, and moves in with him to live with his parents, and sister, Sharda. They continue to struggle so much so that Madhu aborts her child, while Sharda gets married to wealthy Velaytiram. Things continue regressing financially and Madhu's family moves in to live with the Naths. Both Sharda and Madhu become pregnant at the same time and give birth to a boy and girl respectively. After Madhu's mom becomes seriously ill; Ram is unable to repay a loan he had taken to pay for Sharda's marriage; while funds are needed to continue the education of both Sunder and Shankar, misunderstandings crop up, and Ram gives an ultimatum to Madhu - abandon her family and re-locate with him and his parents to Bombay or else he will take their daughter and leave Madhu behind.",['140'],India,Hindi,,4.5,262918
Yashoda,2022,"Action, Crime, Sci-Fi, Thriller","Harish Narayan, K. Hari Shankar","K. Hari Shankar, Harish Narayan, Pulagam Chinnarayana, Challa Bhagyalakshmi, GJ Deshmukh","Samantha Ruth Prabhu, Unni Mukundan, Varalaxmi Sarathkumar, Rao Ramesh, Murli Sharma, Sampath Raj, Shatru, Preethi Asrani, Divya Sripada, Kalpika Ganesh","In a highly regimented facility housing surrogate mothers woman named Yashoda discovers that things are not as they seem. Yashoda An innocent woman, agrees to be a surrogate mother due to her circumstances. She then finds herself trapped in a world of uncertainties.",['135'],India,Telugu,,6.6,15710136
Yaad Rakhegi Duniya,1992,"Drama, Romance",Deepak Anand,Anees Bazmee,"Aditya Pancholi, Rukhsar Rehman, Tinnu Anand, Vikas Anand, Arun Bakshi, Vikram Gokhale, Vandana Lalwani, Anjana Mumtaz, Yunus Parvez, Dina Pathak","Naina, a beautiful and precocious young woman suffering from a terminal illness, lives in the natural grandeur of Ooty, a hill-station in India. She is aware of her illness and wants to live the rest of her remaining days in happiness. She meets a young man named Vicky Anand and both fall in love. Vicky comes to know about Naina's illness and discusses this with her doctor father, who confirms it, saying that there is no cure. In spite of this, Vicky wants to marry her. When Vicky's mother visits her son, he tells her about his love for Naina and she is delighted. She rushes over to meet Naina for the first time and is pleased with Vicky's choice. Then unknowingly she blurts out a truth so devastating, that it will change Naina's final remaining days forever.",['153'],India,Hindi,,6.9,374342
Wrath of Man,2021,"Action, Crime, Thriller",Guy Ritchie,Nothing from IMDB,"Jason Statham, Holt McCallany, Rocci Boy Williams, Josh Hartnett, Jeffrey Donovan, Scott Eastwood, Andy Garcia, Deobia Oparei, Laz Alonso, Raúl Castillo","Mysterious and wild-eyed, a new security guard for a cash truck surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",['119'],"United Kingdom, United States","English, Spanish, Arabic",,7.1,11083552
Woh Main Nahin,1974,"Mystery, Thriller",Mohan Segal,Nothing from IMDB,"Navin Nischol, Rekha, Padmini Kapila, Asha Sachdev, Nazneen, Sofia, Rakesh Pandey, Manher Desai, Meena Rai, Narendranath Malhotra","The story is symbolic ,as to how marriages are being misused in India since 1938,whence even the independence of India stands threatened and that is why the movie was released in 1974.The 1947 ""Tryst with Destiny"",stands reverted due to men doing second marriages on the sly and previously in 1757 too the country's independence was taken away by attacking its economy,its women and its religion.Rekha plays an heiress and Navin Nischol ,the forest conservator with the tribals.The movie is of the suspense genre where Nahin Nischal is accused by various women of marrying them and leaving them in the lurch and Navin asserting his innocence.Wbat actually happened is revealed in the end.A good suspense thriller.",['142'],India,Hindi,,7.4,368444
Woh Lamhe ...,2006,"Biography, Drama, Romance",Mohit Suri,Nothing from IMDB,"Kangana Ranaut, Shiney Ahuja, Shaad Randhawa, Purab Kohli, Masumeh Makhija, Anita Wahi, Candida Fernandes, Ram Prakash, Preeti Koppikar, Sunil Bob","Woh Lamhe tells the story of Sana Azim (Kangana Ranaut), a Bollywood superstar who is dominated by her boyfriend Nikhil (Shaad Randhawa), who makes all her career decisions for her. To the world she is a successful and independent woman, but she's actually lonely and lost, a mere puppet in Nikhil's hands. Aditya Garewal (Shiney Ahuja) is an aspiring director keen on casting Sana for his debut film, but only on his own terms; he is willing to go to any lengths to get her to agree to the film, even if that means preying on her slight insecurities and her turbulent relationship with Nikhil. Nikhil is successful in casting her in her film, which turns out to be a super hit. But somewhere along the way he realizes that he just can't pull away from Sana; he has actually fallen in love with her in spite of his friend Sam (Purab Kohli) reminding him that Sana is just their ladder to success. As the film progresses Aditya realizes that Sana is not just insecure and lonely; she's also mentally unbalanced, suffering from acute schizophrenia. She's haunted by the imaginary Rani who leads her to believe that everyone is out to kill her. Sana's mother and Nikhil get her admitted to the hospital and resort to shock treatment to speed up her recovery so she can return to all her assignments. What follows is Aditya's unshakable belief that he can heal Sana; he even gives up his burgeoning career to take her away from the industry and free Sana from all of her mental demons. But she's unable to break free of her illness, and one day she walks out of Aditya's life, no longer wanting to be the cause of pain and turbulence in his life. Three years later they meet in a hospital after Sana's suicide attempt.",['156'],India,Hindi,,6.5,833561
Woh Kaun Thi?,1964,"Drama, Mystery, Romance, Thriller",Raj Khosla,Nothing from IMDB,"Sadhana Shivdasani, Manoj Kumar, Parveen Choudhary, K.N. Singh, Raj Mehra, Dhumal, Mohan Choti, Ratnamala, Helen, Prem Chopra",Dr Anand is depressed after sudden death of his lover Seema.On a stormy night he meets a woman in white clad and asks him for lift.After the woman sits in his car strange things start to happen she gets down at her destination and suddenly disappears in graveyard.On the same night he is called to dilapidated mansion where he sees the same girl as his patient who as passed away .He takes help of cops and finds that everything has been changed when cops arrive and the girl is no where. The cops tell him that such thing has happened many a times at this mansion with many other doctors.Next day he sees that same girl as died in train accident.Anand's marriage is arranged by is mother to Sandhya.On the wedding night Anand is shocked to see that Sandhya is the same mysterious girl he encountered in stormy night.,['140'],India,Hindi,,7.5,232960
