Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Kenau,2014,"Action, Adventure, Drama, History",Maarten Treurniet,Nothing from IMDB,"Monic Hendrickx, Lisa Smit, Sallie Harmsen, Peter Van den Begin, Jaap Spijkers, Sophie van Winden, Barry Atsma, Anne-Marie Jung, Antoin Cox, Matthijs van de Sande Bakhuyzen","While she fights a heroic battle against the Spanish besieger with her female army, Kenau, driven by hate and sorrow of the execution of her youngest daughter, is threatened to also lose her eldest daughter, because her fear and pain are covered by her stubborn closeness.",['113'],"Netherlands, Hungary, Belgium","Dutch, French, Spanish",,6.5,2512170
Kedarnath,2018,"Drama, Romance",Abhishek Kapoor,Nothing from IMDB,"Sushant Singh Rajput, Sara Ali Khan, Nitish Bharadwaj, Alka Amin, Sonali Sachdev, Pooja Gaur, Nishant Dahiya, Arun Bali, Shahab Ali, Sunita Rajwar","In holy town of Kedarnnath a Muslim boy Mansoor drops pilgrims to their destinations as porter while Mandakini a high caste Brahmin girl is engaged to marry a boy of same caste.faith brings the two together but their relationship is opposed due to different caste.Mandakini attempts suicide on the day of her marriage.But is saved by family, Mansoor promises her that he will take her out of the valley once she recovers.Mandakini's husband plans to kill Mansoor and drive his community out from the valley.But floods strike the region with heavy rains leaving everyone's life in danger.",['116'],India,Hindi,,6.7,7027278
Kaun Pravin Tambe?,2022,"Biography, Drama, Sport",Jayprad Desai,Nothing from IMDB,"Shreyas Talpade, Gaurav Kamble, Arif Zakaria, Asif Ali, Shekhar Betkar, Parambrata Chattopadhyay, Ankur Dabas, Ranjit Deval, Chhaya Kadam, Vishwas Kapoor","The extraordinary journey of cricketer Pravin Tambe, a right-armed leg spinner, who made his biggest cricket league debut at the age of 41, not having played any international or even first class cricket before that. A modern-day fable of an underdog who fought against his destiny and triumphed over it.",['134'],India,Hindi,,8.3,18568902
Katha,1983,"Comedy, Drama",Sai Paranjpye,Nothing from IMDB,"Naseeruddin Shah, Farooq Shaikh, Deepti Naval, Hemu Adhikari, Jalal Agha, Valerie Agha, Tinnu Anand, Sudha Chopra, Girish Deshmukh, Suhasini Deshpande","The film is loosely based on the classical Indian folktale of the hare and the tortoise, providing a modern interpretation of the same. Even though the good (tortoise) may win in the end, is it worth the wait? It is based on S.G. Sathye's Marathi play Sasa Aani Kasav (Hare and Tortoise). The tortoise - Rajaram P. Joshi (Naseeruddin Shah) - is a middle-class clerk living in a chawl (middle-class apartment complex) in Bombay. He is secretly in love with his neighbor, Sandhya Sabnis (Deepti Naval), but is unable to disclose his love for her, mainly due to his timidity. Rajaram is a very good natured and hardworking man. Most of his neighbors and colleagues take advantage of his goodness. One day Rajaram's fast-talking friend Vasudev alias Bashu (Farooq Shaikh) - the hare - comes for a visit and makes himself at home. Bashu generally impresses people by his false success stories and his over-the-top attitude. Bashu starts wooing Sandhya, and she falls in love with him. He then joins Rajaram's company, Footprint Shoes, by impressing the owner, Mr. Dhindhoria, with false stories about his work experience and love of golf. He also starts flirting with Dhindhoria's beautiful wife Anuradha (Mallika Sarabhai) and daughter Jojo (Winnie Paranjape) at the same time. In the chawl, the Sabnis family decides to get Sandhya married to Bashu, much to the shock of Rajaram. But on the day of the engagement, Bashu disappears after being caught red-handed, romancing Anuradha, by Jojo. The engagement is called off. Rajaram then offers to marry the devastated Sandhya, but she tells him that she has been very intimate with Bashu and is perhaps pregnant. Rajaram shows his greatness by accepting her in spite of all this and expressing his long hidden love towards her.",['141'],India,Hindi,,7.7,85776
Maa inti aayana katha,1982,Drama,Phanindhra,Nothing from IMDB,"Chandramohan, Ramaprabha, Sulakshana",,['120'],India,Telugu,,,8751714
Kasganj,2019,Drama,Anurag Goswami,Nothing from IMDB,"Shashi Bhushan, Hetal Gada, Kundan Kumar, Sargun Luthra, Vivek Madaan, Vaquar Shaikh, Jeetu Shastri","A brooding, alcoholic police officer with a painful past is sent, against his will, to a government guest house high up in the icy cold, mountains of Himachal Pradesh to investigate the death of a 17 year old girl. The case, reported as a wolf attack, turns out to be a murder. The girl was shot in the head before being eaten by the wolves. All 5 inhabitants of the resoprt are suspects, with each one having an alibi. To the horror of Daljeet, the police officer, this also happens to be a dry resort without any access to alcohol for miles all around. As the the layers of the story start to unravel, the officer has to fight his own frail health and withdrawal from alcohol addiction to find the murderer before it is too late. The only sliver of hope is the one single witness- the murdered girl herself.",,India,Hindi,,5.2,10044896
Karz,1980,"Action, Musical, Romance, Thriller",Subhash Ghai,Nothing from IMDB,"Rishi Kapoor, Tina Ambani, Simi Garewal, Raj Kiran, Premnath Malhotra, Pran Sikand, Durga Khote, Abha Dhulia, Jalal Agha, Pinchoo Kapoor","Sir Juda plans to take over the vast estate of Ranimaa, but finds out that the beneficiary is her son, Ravi Verma. He asks Ravi's girlfriend to marry him, and then have him killed accidentally, which she does. This devastates Ranimaa, and leaves the estate open for Sir Juda to take over. Years later, Monty Oberoi, who is a popular singer, surfaces into this story. He has visions of a murder taking place, and is unable to comprehend the meaning of these visions. His travesl take him to Ranimaa's estate, and it is then that he realizes the reason and motive of his birth.",['159'],India,Hindi,,7.4,214841
Karma,1986,"Action, Adventure, Drama, Thriller",Subhash Ghai,Nothing from IMDB,"Dilip Kumar, Nutan, Naseeruddin Shah, Jackie Shroff, Anil Kapoor, Anupam Kher, Sridevi, Poonam Dhillon, Kaikala Satyanarayana, Tom Alter","The BSO is a British oriented group who wants to take control of India. When senior police inspector Vishwa Pratap Singh arrests there leader Dr. Michael Dang the authorities blast the jail Dang is logged in killing huge numbers of inmates including two of Vishwa's sons and his daughter-in-law; with Dang escaping in the process. Vishwa who now calls himself Dada Thakur is determine to put an end to Dang and his PSO gang which prompts him to recruit three prisoners who are soon to be hang namely Baiju Thakur, Johnny and former terrorist Khairuddin Kisti. Soon Dada Thakur will come to realize that these prisoners are least interested in his mission as they planned their own agenda.",['193'],India,Hindi,,7.2,91328
Karm Yuddh,2022,Drama,Nothing from IMDB,"Ravi Adhikari, Rehan Khan, Rehan Khan","Satish Kaushik, Ashutosh Rana, Paoli Dam, Pranay Pachauri, Ankit Bisht, Madhurima Roy, Anjana Sukhani, Akash Dhar, Chandan Roy Sanyal, Satyajit Sharma","As a factory of the Roy Group Of Industries catches fire with 40 people losing their lives, three ambitious entities (The Late Yash Roy's Elder Son Bhisham Roy, younger Daughter in Law - Indrani Roy, and his illegitimate son Guru Shahtri ) within the family begin their journey to grasp the dynasty's reins. Parallelly, college-going Samar Shastri (Guru's younger son) and Abhimanyu Roy(Indran's stepson) are aware of opposing connections to the Roy family but never let that come in between their friendship. Karm Yuddh is the story of one title which has many takers. A tale of power-hungry people, family feuds, and revenge. At the end, who will win the throne and at what cost - Only time will tell.""",['35'],India,Hindi,,8.2,22373148
Karar: The Deal,2014,Thriller,Sabir,Nothing from IMDB,"Mahek Chahal, Tarun Arora, Shashi Wadia, Jyoti Rana",,['115'],India,Hindi,,4.3,3565354
