Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Flames: Bengali,2017,"Short, Drama",Anirban Guha,Anirban Guha,"Darshana Banik, Arjun Chakrabarty, Arindam Ghosh, Amit Saha, Anamik Saha",,['28'],India,Bangla,,,6847440
Once Upon a Time in Mumbaai,2010,"Action, Crime, Drama, Romance",Milan Luthria,Nothing from IMDB,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai, Randeep Hooda, Naved Aslam, Sanjeev Wilson, Allauddin Khan, Rajeev Yadav, Sushil Pandey","In March 1993, after his Ambassador car is being fished out of water, Assistant Commissioner of Police Agnel Wilson narrates to the Commissioner how he commenced his investigation against underworld gangster Sultan Mirza. He details how Sultan survived floods in Madras shortly after Independence; his arrival in Bombay; and his employment which earned him a mere 25 Paisa daily. Agnel's attempts to rein in Sultan fail, but he keeps tabs on him and his romance with Bollywood actress Rehana, as well as his new recruit Shoaib, the son of Sub-Inspector Khan. Agnel will find his investigation slipping out of his hands after Sultan temporarily delegates complete responsibility to Shoaib.",['134'],India,Hindi,,7.4,1395054
Once Upon a Time in Hollywood,2019,"Comedy, Drama",Quentin Tarantino,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch, Margaret Qualley, Timothy Olyphant, Julia Butters, Austin Butler, Dakota Fanning, Bruce Dern","Quentin Tarantino's Once Upon a Time... in Hollywood visits 1969 Los Angeles, where everything is changing, as TV star Rick Dalton (Leonardo DiCaprio) and his longtime stunt double Cliff Booth (Brad Pitt) make their way around an industry they hardly recognize anymore. The ninth film from the writer-director features a large ensemble cast and multiple storylines in a tribute to the final moments of Hollywood's golden age.",['161'],"United States, United Kingdom, China","English, Italian, Spanish, German",,7.6,7131622
Omkara,2006,"Action, Crime, Drama, Thriller",Vishal Bhardwaj,Nothing from IMDB,"Ajay Devgn, Kareena Kapoor, Saif Ali Khan, Konkona Sen Sharma, Vivek Oberoi, Bipasha Basu, Naseeruddin Shah, Deepak Dobriyal, Pankaj Tripathi, Kamal Tiwari","Advocate Raghunath Mishra has arranged the marriage of his daughter, Dolly, with Rajan, knowing fully well that Dolly loves Omkara Shukla. Before the marriage could take place, the groom's party is attacked, they flee, and Dolly is reportedly abducted. Raghunath is able to trace Dolly to Omkara, a criminal and hit-man, a verbal confrontation ensues until Politician Bhaisaab telephonically intervenes, and a crestfallen Raghunath faces the reality that Dolly was not abducted but is here with Omkara by her own free will. He warns Omkara, and departs. Shortly thereafter, Bhaisaab is shot at and wounded, announces that Omkara should stand in the next election, and as a result, Omkara appoints one of his lieutenants', Keshav Upadhyay in his place as the 'Bahubali"". Omkara realizes that he may have blundered in having Keshav succeed him, as Keshav is unable to control his temper when under the influence of alcohol, which puts him in the bad books of Omkara. Then Omkara suspects that Keshav is having an affair with Dolly, as both had been fellow-collegians. With Omkara's marriage with Dolly getting close, he asks his other lieutenant, Ishwar Tyagi, to obtain proof of Keshav's affair with Dolly or face the consequences, as Omkara remembers Raghunath's warning that when a daughter is not true to her father, she will never be true to anyone. Watch what happens when Ishwar produces proof shortly after the marriage, and the impact this has on Dolly, Omkara, Keshav, Ishwar, and Ishwar's wife, Indu.",['155'],India,Hindi,,8.0,488414
Om Jai Jagadish,2002,"Drama, Musical, Romance, Sci-Fi",Anupam Kher,Nothing from IMDB,"Waheeda Rehman, Anil Kapoor, Fardeen Khan, Abhishek Bachchan, Mahima Chaudhry, Urmila Matondkar, Tara Sharma, Parmeet Sethi, Annu Kapoor, Rakesh Bedi","Widowed Mrs. Saraswati Batra (Waheeda Rehman) has brought up three sons with a lot of care and love. Her eldest son Om (Anil Kapoor) is very honest and diligent; her two other sons Jai (Fardeen Khan), and Jagdish (Abhishek Bachchan) also live in the same house. Om looks after the family, and also looks after the business and the estate. Jai's interest is fast cars, and to the much disappointment of his family, decides to re-locate the United States of America, and gets married to a rich and snobish girl, Neetu (Urmilla Matondkar). Her mother (Lilette Dubey) strongly disapproves of Jai, and vehemently, though in vain, opposes the marriage. To make matters worse, Jai gets a job in the U.S. in a vehicle junkyard, much to the horror of his wife and his family. Jai must use this junkyard so that he can make the fastest car in the world. Jagdish is the spoiled brat of the family. He gets into trouble with the law, when he starts hacking computer data. This brings shame on the entire family, and causes a loss of goodwill and profits, and results in the takeover of the estate by Shekhar Malhota, a close friend of the family. Now all the three brothers, their respective wives, and Mrs. Batra herself will have to come together to try and salvage what they can of their family business and estate. That is if they find time to do so from their very own personal problems and commitments.",['172'],India,Hindi,,5.5,327071
Oh Darling Yeh Hai India,1995,Comedy,Ketan Mehta,Nothing from IMDB,"Shah Rukh Khan, Deepa Sahi, Jaaved Jaaferi, Anupam Kher, Amrish Puri, Tom Alter, Tinnu Anand, Sadashiv Amrapurkar, Tiku Talsania, Kader Khan","Don Quixote is a gangster based in Mumbai, India. His dream is to take control of India, and sell it at an well-attended and much publicised auction. In order to fulfill this dream, he recruits five men - all resembling the President of India, and asks them to undergo vigorous training in order to take over as the President. That done, he selects one of them, Nathuram, eliminates the other four, and arranges the kidnapping of the President, with success. He than implants Nathuram as the President - and the stage is set for the biggest auction in Earth's history - when India will be auctioned to the highest bidder.",['160'],India,Hindi,,4.0,114031
Official Secrets,2019,"Biography, Crime, Drama, Thriller, War",Gavin Hood,Nothing from IMDB,"Keira Knightley, Matt Smith, Matthew Goode, Rhys Ifans, Adam Bakri, Ralph Fiennes, Conleth Hill, Indira Varma, Jeremy Northam, John Heffernan","A morality tale for the 21st century, Official Secrets tells the true story of British Intelligence whistle-blower Katharine Gun who, during the immediate run-up to the 2003 Iraq invasion, leaked a top secret NSA memo exposing a joint US-UK illegal spying operation against members of the UN Security Council. The memo proposed blackmailing smaller, undecided member states into voting for war. At great personal and professional risk, journalist Martin Bright published the leaked document in The Observer newspaper in London, and the story made headlines around the world. Members of the Security Council were outraged and any chance of a UN resolution in favour of war collapsed. But within days, Bush declared he no longer needed UN backing and invaded anyway. As Iraq descended into chaos, Katharine was arrested and charged with breaching the Official Secrets Act. Martin faced potential charges too. Their legal battles exposed the highest levels of government in both London and Washington with having manipulated intelligence in order to sell an illegal war.",['112'],"United Kingdom, United States","English, Mandarin",,7.3,5431890
Serie Noire,1979,"Crime, Drama",Alain Corneau,Nothing from IMDB,"Patrick Dewaere, Myriam Boyer, Marie Trintignant, Bernard Blier, Jeanne Herviale, Andreas Katsulas, Charlie Farnel, Samuel Mek, Jack Jourdain, Fernand Coquet","Franck Poupart is a slightly neurotic door-to-door salesman in a sinister part of Paris' suburbs. He meets Mona, a teenager, who's been made a prostitute by her own aunt. Franck would like to change his life and also save Mona from her aunt. Murder is the only solution he finds to achieve his goal... A very gloomy movie, exuding dispair and uneasiness, with pathetic characters.",['116'],France,French,,7.3,79980
Young Sheldon,2017,Comedy,Nothing from IMDB,"Chuck Lorre, Chuck Lorre, Chuck Lorre","Iain Armitage, Zoe Perry, Lance Barber, Montana Jordan, Raegan Revord, Jim Parsons, Annie Potts, Wallace Shawn, Wyatt McClure, Matt Hobby","It's 1989, and 9-year-old Sheldon Cooper has skipped four grades to start high school along with his less-intellectual older brother. As he struggles to be understood by his family, classmates, and neighbors, his mother arms him with the best tool she has: reminding bullies that his dad is the football coach and his brother is on the team. His twin sister doesn't share his exceptional mind, but she is brilliant at reading people and has a much clearer vision of what life has in store for the young genius. Jim Parsons, who plays the adult version of Sheldon on The Big Bang Theory (2007), narrates.",['30'],United States,English,,7.6,6226232
Noah,2014,"Action, Adventure, Drama",Darren Aronofsky,"Darren Aronofsky, Ari Handel","Russell Crowe, Jennifer Connelly, Ray Winstone, Anthony Hopkins, Emma Watson, Logan Lerman, Douglas Booth, Nick Nolte, Mark Margolis, Kevin Durand","""In the beginning, there was nothing."" So starts this version of the story centered on Noah (Russell Crowe), the man entrusted by God to save the innocent animals of Earth as the rising floodwaters cleansed the planet of mankind's evil. As the telling continues, we learn how Adam and Eve's sins have passed down through generations through their sons Cain and Abel, and how the descendants of their righteous sibling Seth were entrusted with defending creation. One day, while foraging in the country, a descendant of Seth, Noah, sees his father slain by a descendant of Cain. In the process, Noah's birthright is stolen from him. Decades later, as a father of three, Noah experiences a vision foretelling the great flood that will wash over the Earth, destroying every living thing that stands on the soil. That vision leads Noah to seek out his grandfather, Methuselah (Sir Anthony Hopkins), in order to understand his mission. When a second vision reveals that Noah is to construct a massive ark designed to shelter every living animal during the great flood, Noah, his wife Naameh (Jennifer Connelly), their three sons Shem (Douglas Booth), Ham (Logan Lerman), and Japheth (Leo McHugh Carroll), and their adoptive sister Ila (Emma Watson) immediately begin construction on the vessel with the help of the Watchers, a race of angels created as beings of light, but encrusted in stone and mud and forsaken by God for their attempts to help man. Meanwhile, word of Noah's work soon reaches Tubal-cain (Ray Winstone), who gathers an army on a mission to overtake the ark, and survive the coming storm by any cost.",['138'],United States,English,,5.8,1959490
