Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Tezaab,1988,"Action, Crime, Drama, Romance",N. Chandra,Nothing from IMDB,"Anil Kapoor, Madhuri Dixit, Anupam Kher, Chunky Pandey, Kiran Kumar, Suresh Oberoi, Mahavir Shah, Annu Kapoor, Suparna Anand, Mandakini","From a very early age Mahesh Deshmukh has dreams of serving his country; his encouragement and dreams multiplies when his parents are killed by a gang of robbers who plan to loot the bank they are employed in. He then joins the Indian armed forces whereby he excel in the services he honestly provide to his country. During his college days he gets to meet his fellow collegian, Mohini who wholeheartedly love him and after placing a bet with his friends over her he then began to love her whereby he manages to convince her of his love. Mohini's father Shyamlal is an alcoholic and wants her to dance and take up prostitution as her profession so that she can be able to provide money for his daily share of alcohol. This does not anger well with Mahesh who decides to put a stop to this only to find himself at loggerheads with Shyamlal who takes the help of a gangster, Lotiya Pathan to frame Mahesh, gets him arrested, charged and outcast by law from the city of Bombay for a period of a year. This then transform the simple-minded lad who has dreams for his country into the city's most dreaded gangster, Munna whose only motive in life is revenge.",['173'],India,Hindi,,6.9,96252
Teri Baaton Mein Aisa Uljha Jiya,2024,"Comedy, Drama, Romance, Sci-Fi","Amit Joshi, Aradhana Sah",Nothing from IMDB,"Shahid Kapoor, Kriti Sanon, Dharmendra, Dimple Kapadia, Rakesh Bedi, Anubha Fatehpuria, Rajesh Kumar, Ashish Verma, Grusha Kapoor, Raashul Tandon",Aryan Agnihotri a robotics' engineer whose family wants him to get married but he shies away from the same and goes to USA to work with his aunt Urmila who runs a robotic company. In Urmila's absence her manager Sifra is given responsibility to look after Aryan. They both get close to each other during the short period and develop feelings.Upon Urmila's return Arya learns that Sifra is robot and it was Urmila's experiment to get them close.,['141'],India,Hindi,,8.3,27459160
Shaadi Mein Zaroor Aana,2017,"Drama, Romance",Ratnaa Sinha,Kamal Pandey,"Rajkummar Rao, Kriti Kharbanda, K.K. Raina, Alka Amin, Vipin Sharma, Govind Namdeo, Navni Parihar, Nayani Dixit, Manoj Pahwa, Neha Agarwal","Satyendra aka Sattu (Rajkummar Rao) and Aarti (Kriti Kharbanda) meet for a proposed arranged marriage and fall in love in the process. On the night of their marriage, an unexpected turn of events turns their world upside down. Set in the backdrop of India's civil services, Shaadi Mein Zaroor Aana explores the challenges that Satyendra and Aarti face as a middle-class couple in India.",['137'],India,Hindi,,7.5,7469726
Pehla Pehla Pyar,1994,"Comedy, Drama, Romance",Manmohan Singh,Nothing from IMDB,"Rishi Kapoor, Tabu, Anupam Kher, Gulshan Grover, Radha Seth, Kader Khan, Amrish Puri, Tiku Talsania, Asha Sharma, Mahima","Sapna runs away from her aristocratic home, fed-up of the hatred and family politics. She meets with Raj, who she is attracted to. Raj, at first wants to get rid of her, then eventually falls in love with her. Then the two of them have to be on the run as her family find out where she is after they put up a reward for her whereabouts.",,India,Hindi,,4.6,317985
Original Sin,2001,"Drama, Mystery, Romance, Thriller",Michael Cristofer,Nothing from IMDB,"Antonio Banderas, Angelina Jolie, Thomas Jane, Jack Thompson, Gregory Itzin, Allison Mackie, Joan Pringle, Cordelia Richards, James Haven, Pedro Armendáriz Jr.","When a man selects a mail order bride, he is surprised to see the beauty who appears before him. She alleges that she sent false photos to him to assure that he would love her for what she is and not for her beauty. However, what she is is a con artist, prostitute, and actress, who teams with a fellow actor to steal money from men. What she does not expect is that she falls in love with her new husband and ultimately must decide between him and her sadistic former lover. Contains explicit sex including sadistic acts as Thomas Jane cuts Jolie's back with a knife as part of their lovemaking.",['116'],"United States, Mexico, France, United Kingdom","English, German, Japanese, Latin, Spanish, French",,6.0,218922
Locke,2013,Drama,Steven Knight,Steven Knight,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott, Ben Daniels, Tom Holland, Bill Milner, Danny Webb, Alice Lowe, Silas Carson","Leaving the construction site on the eve of a major project, construction manager Ivan Locke receives news that sends him driving the two hours from Birmingham to London, but even further from the life he once knew. Making the decision that he has to make, he then calls his wife, his sons, his co-workers and boss telling them the secret that he is bearing and trying to keep his job and family intact. But even more importantly, he will have to face himself and the choices he has made.",['85'],"United Kingdom, United States",English,,7.1,2692904
Joker,2019,"Crime, Drama, Thriller",Todd Phillips,Nothing from IMDB,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais","A socially inept clown for hire - Arthur Fleck aspires to be a stand up comedian among his small job working dressed as a clown holding a sign for advertising. He takes care of his mother, Penny Fleck, and as he learns more about his mental illness, he learns more about his past. Dealing with all the negativity and bullying from society, he heads downwards on a spiral, in turn showing how his alter ego, ""Joker,"" came to be.",['122'],"United States, Canada, Australia","English, German",,8.4,7286456
Janasheen,2003,"Action, Drama, Romance",Feroz Khan,Nothing from IMDB,"Feroz Khan, Fardeen Khan, Celina Jaitly, Pinky Harwani, Mangal Dhillon, Kashmira Shah, Archana Puran Singh, Yash Tonk, Harsh Chhaya, Shiva Rindani","Lucky Kapoor (Fardeen Khan) lives in Australia and has no interest in taking over his father's business in India. Saba Karim Khan (Feroz Khan) has a great interest in the property, but Mr. Kapoor has no interest in selling the business to Khan. So Khan has Mr. Kapoor killed, making it look like an accident. Jessica Periera (Jaitley), a childhood sweetheart of Lucky, has proof that Mr. Kapoor's death was an accident--but she keeps it to herself. When Karim Khan meets with Lucky to renegotiate, he finds that Lucky is willing to sell--but he also discovers that Lucky bears a striking resemblance to Karim Khan's own dead son. Although Karim Khan will do anything to make Lucky heir to his own wealth and properties, Lucky is not willing to do so.",['162'],India,"Hindi, English",,3.1,366630
Gaddaar,1973,Crime,Harmesh Malhotra,Nothing from IMDB,"Vinod Khanna, Yogeeta Bali, Pran Sikand, Madan Puri, Anwar Hussain, Manmohan, Iftekhar, Rammohan Sharma, Ranjeet Bedi, Satyendra Kapoor","Rajasaheb closes a property deal for 40 Lakhs and keeps the cash in his safety vault with high security system.B.K is planning the robbery with his associates Sampat,Proffesor,Kanhaiya,Mohan,John and Babu since many months.They attempt it successfully but at the last moment security rings the bell alerting the cops.B.K gets injured in the mishap with cops and asks Kanhaiya to run with the loot while he and others bluff the cops.Next day everyone waits for Kanhaiya to return with the loot but there is no sign of him upon reaching his house they find he has escaped and comes across a small time thief Raja who promises to help them in finding Kanhaiya.After long search Raja traces Kanhaiya in a snowy Himalyan region where he runs a hotel with daughter Reshma and son Tito.The gang hijacks the hotel and force Kanhiya to revel about the loot but after finding the loot life wont be same for everyone.",,India,Hindi,,8.0,237257
Elaan,2005,"Action, Thriller",Vikram Bhatt,Nothing from IMDB,"Arjun Rampal, Ameesha Patel, John Abraham, Lara Dutta, Rahul Khanna, Mithun Chakraborty, Chunky Pandey, Govardhan Asrani, Milind Gunaji, Ritu Shivpuri","Mumbai-based businessman Kantilal Shah is killed by underworld Don Baba Sikander after he fails to pay him the extortion money. H Karan his adopted son had advised him not to bow, and now his daughter Anjali blames him for his death. Karan announces that he will find Baba Sikander wherever he is and bring him back to the country. Karan finds Baba's hideout in Italy, and with former cop Arjun and Baba's former aide Abhimanyu he travels to the country to find them. They are followed by journalist Priya, who turned the cold shoulder towards Karan after his father's death and is tracking his every move. In Italy Abhimanyu has different plans; he decides to elope with his girlfriend Sonia but is held off by Baba's best friend Salim, who has a score to settle with Abhimanyu. Karan and Arjun arrive in time to save Abhimanyu and Sonia.Abhimanyu realizes his mistake, and in time they become good friends and are waiting for a tip of Baba's hideout.",['159'],India,Hindi,,4.6,416712
