Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Virasat,1997,"Action, Drama, Musical, Romance",Priyadarshan,Nothing from IMDB,"Anil Kapoor, Tabu, Pooja Batra, Milind Gunaji, Govind Namdeo, Amrish Puri, Satyendra Kapoor, Dilip Dhawan, Tiku Talsania, Neeraj Vora","After completing his studies in London, England, Shakti Thakur returns home to India in a small town where his family resides. Accompanying him is his leggy girlfriend, Anita, who he is in love with and wants to marry, much to the disapproval of his family. After a few days, Shakti starts to feel that nothing much has changed in this part of India and longs to return, as he is unable to bear the animosity between the townspeople, in general, and in particular between his Zamindar dad, Raja Thakur, and rival Zamindar Birju, none other than Raja's crippled brother. When Anita leaves the town to meet her parents elsewhere in India, Shakti too wants to follow her, but his plans change suddenly when his father passes away, and the region is ravaged by unprecedented natural calamities. Following the funeral he decides to stay on to look after the family estate and business temporarily, and that is when he meets local town belle, Gehna, who has given her heart to him years ago, hopes to marry him, with approval from his very own family. Anita returns to find that nothing is the same anymore, and that her role may be reduced to that of a mistress, she must now make a choice to either return back home, or fight and win back Shakti's love.",['165'],India,Hindi,,7.4,120456
Velaiyilla Pattathari 2,2017,"Action, Comedy",Soundarya Rajinikanth Vishagan,Nothing from IMDB,"Dhanush, Kajol, Amala Paul, Vivek, Hrishikesh, Samuthirakani, Saranya Ponvannan, Meera Krishnan, Saravana Subbiah, Mobile Murugan","When a jobless graduate flounders around trying to find work, he loses respect from his wife, family and friends. But when he gets involved with a powerful woman in the corporate world, his life turns around and he becomes a powerful man himself.",['128'],India,"Tamil, Telugu",,5.4,7019812
Violent Night,2022,"Action, Comedy, Thriller",Tommy Wirkola,"Pat Casey, Josh Miller","David Harbour, John Leguizamo, Beverly D'Angelo, Alex Hassell, Alexis Louder, Edi Patterson, Cam Gigandet, Leah Brady, André Eriksen, Brendan Fletcher","When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn't prepared for a surprise combatant: Santa Claus is on the grounds, and he's about to show why this Nick is no saint.",['112'],"United States, Canada, Japan",English,,6.7,12003946
Vikram,2022,"Action, Crime, Thriller",Lokesh Kanagaraj,Nothing from IMDB,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain, Suriya, Kalidas Jayaram, Chemban Vinod Jose, Santhana Bharathi, Kumaravel, Vasanthi","Karnan an alcoholic enjoys a freak life but he gets brutally killed by a gang of masked men.Amar a black squad commando and is team is given the case.Amar sees that two other person were killed brutally in similar passion by the masked gang and they were government officials but is surprised why Karnan was killed as he was not connected to any government agencies.Amar's inquiry leads him to find that Karnan became an alcoholic,drug addict and womanizer after death of his son but also had another side of cold shoulder towards his grandson whose suffering from heart ailment and he lived for him.While investigating the case Amar comes across Santhanam a drug lord who has huge contacts and operates without fear on the other hand the mask gang continues to eliminate government officials.Amar finds who could be their next target and along with his team goes to save him whose under protection of Sandhanam.But the mask gang over powers them, Amar manages to chase their leader leading to an unknown identity called Vikram.",['175'],India,Tamil,,8.3,9179430
Vikram Vedha,2017,"Action, Crime, Drama, Thriller","Gayatri, Pushkar, Gowtham Selvaraj",Nothing from IMDB,"Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir, Varalaxmi Sarathkumar, Prem Kumar, Hareesh Peradi, Achyuth Kumar, Vivek Prasanna, Rajkumar","A badass cop Vikram leads a special task force formed to eliminate a kickass Vedha's gang running amok on the streets of Chennai, making a mockery of Law and Order. An encounter planned by a Vikram's friend Simon, kills Vedha's trusted aides and brings him out of hiding. Vedha lays his clutch on Vikram and engages in a disturbing mind game of sorts which results in a quest to reveal the truth behind that fateful encounter..",['147'],India,Tamil,,8.2,6148156
Vicky Donor,2012,"Comedy, Romance",Shoojit Sircar,Nothing from IMDB,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor, Dolly Ahluwalia, John Abraham, Backagaindancer, Tarun Bali, Siddharth Bhardwaj, Krishna Singh Bisht, Jayanta Das","Dr. Baldev Chaddha (Anu Kapoor), a well qualified fertility expert, runs a fertility clinic and a sperm bank in Dariyaganj, New Delhi, that guarantees a high quality and specialized sperm for the purpose. Unfortunately he has more failed cases to his credit than successes. A healthy, high performing donor is the need of the hour. Vicky Arora (Ayushmann Khurrana), a young, good-looking, Punjabi boy from Lajpat Nagar, is the only son and of no financial support to Dolly, a widow, who runs a small beauty parlor from home. As luck would have it, a small brawl in the colony brings Dr Chaddha and Vicky, face to face, where Chaddha, concludes that Vicky could be THAT donor he has been looking for. From here on, Chaddha's days and nights are spent in convincing Vicky to become a donor till he finally gives in. Vicky finds his love interest in Ashima Roy (Yami Gautam), a pretty Bengali girl, who works in a Bank. But soon there hunky dory world comes crashing down because of Vicky's past as a donor. With a brief emotional roller coaster ride, Vicky Donor is a light-hearted take on the subject of sperm donation.",['126'],India,Hindi,,7.8,2317337
Vettah,2016,"Crime, Mystery, Thriller",Rajesh Pillai,Arunlal Ramachandran,"Kunchacko Boban, Manju Warrier, Indrajith Sukumaran, Sandhya, Baby Akshara, Aparna, Joy Badlani, Rony David, Irshad, Suraj Philip Jacob",,['112'],India,Malayalam,,6.8,5324456
Vellimoonga,2014,"Comedy, Romance",Jibu Jacob,Joji Thomas,"Biju Menon, Nikki Galrani, Aju Varghese, Asif Ali, Chempil Asokan, Shivaji Guruvayoor, Anu Joseph, Sasi Kalinga, K.P.A.C. Lalitha, Lenaa",,['129'],India,Malayalam,,7.5,4110972
Vaastav: The Reality,1999,"Action, Crime, Drama, Thriller",Mahesh Manjrekar,Nothing from IMDB,"Sanjay Dutt, Namrata Shirodkar, Reema Lagoo, Shivaji Satam, Sanjay Narvekar, Deepak Tijori, Mohnish Behl, Paresh Rawal, Ekta Sohini, Mohan Joshi","SPOILER: Raghunath Namdev Shivalkar (Sanjay Dutt) and his best friend Dedh Footiya (Sanjay Narvekar) struggle to find work in Mumbai. They decide to run a pav bhaji stall.But fate steps in when Raghu accidentally kills a customer who turns out to be the brother of a notorious gangster, Fracture Pandya and end up in the Mumbai underworld. Vitthal Kaanya (Ashish Vidyarthi), a rival gang lord, offers Raghunath and Dedh Footiya protection and later hires them both as hitmen. Raghunath becomes a respected hit man, with Dedh Footiya as his accomplice. With Raghunath in his gang Vitthal Kaanya hits a peak in the Mumbai underworld. He is protected by a politician who uses Raghunath for his needs. While BabbanRao (Home Minister) relies on Raghunath, there are some others who despise Raghunath, and are just waiting in the sidelines to see when Raghunath makes an error. Raghunath does so, and hence becomes an embarrassment for BabbanRao. Soon Raghunath is on the run, both from the police, and BabbanRao's men. Raghunath knows now that he must protect his wife, parents, and family, as they too are in danger. Then Raghunath comes to know that the police have been ordered to kill him in an ""encounter"", and Raghunath now realizes that there is no escape from this harsh reality. Unable to save himself from police, Raghu comes back to his home and asks his mother to shot him down for a graceful end of life. His mother does the same and his wife doesn't stop her from doing this.",['145'],India,Hindi,,8.0,220832
Ungli,2014,"Crime, Drama, Thriller",Renzil D'Silva,Nothing from IMDB,"Sanjay Dutt, Emraan Hashmi, Kangana Ranaut, Randeep Hooda, Neha Dhupia, Angad Bedi, Kader Khan, Arunoday Singh, Reema Lagoo, Raza Murad","Four friends: Kalim (Angad Bedi), Gautam (Neil Bhoopalam), Maya (Kangana Ranaut), and Abhay (Randeep Hooda), form a gang called the ""Ungli"" gang which fights against corruption prevailing in society. Their job is to target corrupt people and punish them in a unique manner. Due to increased popularity and their high-profile targets they are sought by Mumbai police department. Their case is the responsibility of ACP Ashok Kale (Sanjay Dutt) and inspector Nikhil Abhyankar (Emraan Hashmi). Nikhil disguises himself as a college student and joins the ungli gang with hidden motive of arresting them. But soon, his heart changes after learning the story of why the ""Ungli"" gang was formed. Meanwhile, Kale is compelled to seek help from the gang when Nikhil helps him expose the gang's greatest target, B.R. Dayal (Mahesh Manjrekar) and his son Anshuman. Kale instigates a sting operation against the Mumbai police and is successful in preventing his transfer. Kale thanks the ""Ungli"" gang and he assures them that the city won't need an ""Ungli"" gang as long as the administrations are running properly in accordance to public demands.",['114'],India,Hindi,,5.8,2392447
