Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Dil Se..,1998,"Drama, Romance",Mani Ratnam,Nothing from IMDB,"Shah Rukh Khan, Manisha Koirala, Preity G Zinta, Raghubir Yadav, Sabyasachi Chakrabarty, Piyush Mishra, Krishnakant, Aditya Srivastav, Ken Philip, Sanjay Mishra","Amar Varma, a producer for Indian news radio, meets an enigmatic woman at a railroad station and then again at a hill station. He falls in love with her, but the woman, who calls herself Meghna, rejects and leaves him although she seems to be interested. Later, Varma agrees to marry his family's choice, Preeti. But suddenly Meghna is back, and what is the secret that she holds?",['144'],India,Hindi,,7.5,164538
Cheeni,2020,Drama,Mainak Bhaumik,Nothing from IMDB,"Madhumita Sarcar, Aparajita Adhya, Abhiroop Bakshi, Pinky Banerjee, Meghna Bose, Chandrani Das, Saurav Das, Gora Dhar, Chandreyee Ghosh, Rajarshi Ghosh",,['123'],India,Bangla,,6.4,13575922
Cheeni 2,2023,"Comedy, Drama",Mainak Bhaumik,Nothing from IMDB,"Aparajita Adhya, Anirban Chakrabarti, Lily Chakravarty, Aishani De, Soumya Mukherjee, Madhumita Sarcar",,['125'],India,Bangla,,6.4,27191961
Burning Betrayal,2023,"Drama, Mystery, Romance, Thriller",Diego Freitas,Nothing from IMDB,"Giovanna Lancellotti, Leandro Lima, Camilla de Lucas, Bruno Montaleone, Micael, Louise D'Tuani, Drayson Menezzes, Thadeu Matos, Reynaldo Machado, Adriana Fonseca",,['98'],Brazil,Portuguese,,4.1,26787296
Bridge of Spies,2015,"Drama, History, Thriller, War",Steven Spielberg,"Matt Charman, Ethan Coen, Joel Coen","Mark Rylance, Domenick Lombardozzi, Victor Verhaeghe, Mark Fichera, Brian Hutchison, Tom Hanks, Joshua Harto, Henny Russell, Rebekah Brockman, Alan Alda","In 1957, lawyer James B. Donovan is recruited from his prestigious law firm to defend accused Soviet spy Rudolf Abel. It's an unenviable task in many respects. Donovan hasn't practiced criminal law since he was a prosecutor at the Nuremburg trials after World War II. Also, the strong anti-Communist mood at the time makes him a target from who think Abel should just be executed. Abel is convicted but Donovan convinces the judge to sentence him to prison, rather than execute him, as they may at some point in the future want to swap him for an American spy the Soviets might have in custody. Just such a scenario comes into play when in 1960 U-2 spy pilot Francis Gary Powers is shot down over Soviet territory and taken prisoner. Donovan is again recruited to act as the intermediary and negotiate swapping Able for the American requiring him to travel to East Berlin crossing the newly built Berlin Wall.",['142'],"United States, India, Germany","English, German, Russian",,7.6,3682448
Brave Citizen,2023,"Action, Comedy, Drama",Park Jin-Pyo,Ji Na Yeo,"Shin Hye-sun, Lee Tae Gyun, Cha Woo-min, Lee Chan-Hyeong, Cha Cheong-hwa, Park Hyuk-kwon, Park Jeong-Woo, Lee Joon-young",,['112'],Korea,Korean,,6.7,22505214
Bol,2011,Drama,Shoaib Mansoor,Shoaib Mansoor,"Humaima Malik, Manzar Sehbai, Shafqat Cheema, Iman Ali, Atif Aslam, Irfan Khoosat, Zaib Rehman, Amr Kashmiri, Mahira Khan, Mahnoor Khan","Zainub Khan has been found guilty by Pakistan's Courts and is to be hanged. Her last wish is to tell her story before the media, and after approval, she relates how her family was compelled to leave Delhi during 1948 and re-locate to Lahore. This is where her father, Hakim Sayed Hashmutallah Khan, married Suraiya, and hoping to sire a son, instead ended up with 7 daughters. The 8th child turned out to be a hermaphrodite and Hashmutullah wanted it dead but Suraiya insisted that she will not let anyone know so as not to shame her husband. They named the child Saifullah, and hired a tutor to teach him at home. After a failed marriage, Zainub returns home, notices that the tutor was molesting her brother and asks him to leave. With dwindling income from his father, unable to attend school, his mother giving birth to still-born babies, his siblings uneducated, Saifullah is then himself compelled to seek employment. It is here he will be sexually molested and subsequently killed by his father, who bribes the police by embezzling Rs.2 Lakhs from the Masjid where he presides as a Khajanchi. In order to return the money to the Masjid, he starts to tutor children of prostitutes with the help of Saqa Kanjar. When their neighbor's son, Mustafa, proposes marriage for his daughter, Ayesha, he refuses, as they are Shiah, and plans to marry her to a much older male. Things will change rapidly when Saqa will make a proposition that will change everyone's lives forever.",['151'],Pakistan,Urdu,,8.2,1891757
Bhakshak,2024,"Crime, Drama",Pulkit,Nothing from IMDB,"Bhumi Pednekar, Sanjay Mishra, Aditya Srivastav, Sai Tamhankar, Surya Sharma, Chittaranjan Tripathy, Durgesh Kumar, Satyakam Anand, Tanisha Mehta, Vibha Chibber",,['134'],India,Hindi,,7.4,27936770
Baaghi: A Rebel for Love,1990,"Action, Drama, Romance",Deepak S. Shivdasani,Nothing from IMDB,"Salman Khan, Nagma, Shakti Kapoor, Kiran Kumar, Mohnish Behl, Asha Sachdev, Beena Banerjee, Raju Shrestha, Pradeep Singh Rawat, Salim Khan Ding-Dong","Saajan is a college youth, enjoying his life, meets with Kajal the girl of his dreams at a brothel. Kajal is an innocent victim of Dhanraj, who runs this brothel. Saajan eventually falls in love with Kajal, but this love affair is not acceptable to the society, which includes his parents Mr. and Mrs. Sood. Saajan's dad Col. Sood wants his son to join the Indian army. On the other side, this relationship of love is also not acceptable to Dhanraj, since he doesn't want any of his brothel girls to go into normal respectable society. Trapped between both, Saajan, along with his friends, rescues his love from the brothel. But the question remains: Will Saajan's parents accept him along with Kajal or Will Dhanraj's evilness overcome the couple's love?",['157'],India,Hindi,,5.9,99080
Agni Sakshi,1996,"Drama, Musical, Romance, Thriller",Partho Ghosh,Nothing from IMDB,"Jackie Shroff, Nana Patekar, Manisha Koirala, Divya Dutta, Ravi Behl, Alok Nath, Ashalata Wabgaonkar, Subbiraj, Avtar Gill, Achyut Potdar","Multi-millionaire bachelor Suraj Kapoor desire to marry Shivangi, shortly after the marriage takes place and they get settled. While on honeymoon the couple are approach by a young man named Vishwanath who claims Shivangi is his wife, Madhu. While Suraj disbelieves this Shivangi refuses to recognize this man and asks him to leave to which he does. The same night Vishwanath telephone Suraj inviting him over to his apartment and shows him a video-cassette recording of his marriage to Shivangi. Suraj refuses to believe and decides to leave the city with his wife but the couple manages to meet with Vishwanath on several other occasions where his attitude became aggressive forcing the couple to involve the police for protection.",['142'],India,Hindi,,6.2,115484
Addicted,2014,"Drama, Romance, Thriller",Bille Woodruff,Nothing from IMDB,"Boris Kodjoe, Brandon Gonzales, Cameron Mills, Daniel O'Callaghan, Emayatzy Corinealdi, Garrett Hines, Hunter Burke, John Newberg, Kat Graham, Landon Runion","Desire and the dangers of indiscretion. Successful businesswoman Zoe Reynard (Sharon Leal) appears to have attained it all - the dream husband she loves (Boris Kodjoe), two wonderful children and a flourishing career. As perfect as everything appears from the outside, Zoe is still drawn to temptations she cannot escape or resist. As she pursues a secretive life, Zoe finds herself risking it all when she heads down a perilous path she may not survive.",['106'],United States,"English, Spanish",,5.0,2205401
