Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
The Legend of Bhagat Singh,2002,"Action, Biography, Drama, History",Rajkumar Santoshi,Nothing from IMDB,"Ajay Devgn, Sushant Singh, D. Santosh, Akhilendra Mishra, Raj Babbar, Farida Jalal, Amrita Rao, Mukesh Tiwari, Surendra Rajan, Saurabh Dubey","Bhagat Singh was born in British India during the year 1908. As a child he witnessed numerous atrocities committed on fellow Indians by their British rulers, who came to trade under the guise of the East India Company, but ended up controlling most of the nation, and permitting tyrants such as General Dyer to massacre thousands of innocent men, women and children in Jallianwala Baug. As a child he was impressed by Mohandas K. Gandhi, especially his call to launch the non-cooperation movement, which led to thousands of people burning British-made clothing, giving up schools, and college studies, and government jobs - only to be let down by Gandhi himself when he called off the movement. Undaunted, Bhagat decided to be a revolutionary, starting with getting into petty fights, then as a grown-up joining the Hindustan Republic Association. When Lala Lajpat Rai was beaten to death by the police, Bhagat, along with Shivram Rajguru, Sukhdev, and others daringly carried out the assassination of a police officer named Saunders, which eventually led to Bhagat's arrest, where he was lodged in a cell, tortured and beaten mercilessly. His father, Kishan, paid Rs.60,000/- and bailed him out, so that he could get him to run a diary-farm and get married to a girl from Manavali. But being a revolutionary was in Bhagat's blood, and when the British proposed the Trade Disputes and Public Safety Bills, he would initiate the bombing in the Indian Parliament Building, along with Batukeshwar Dutt, be arrested, and tried in an open court. This is where Bhagat launched his much-publicized revolution, and became popular with the masses, especially the younger generation, laborers, and farmers, so much so that his popularity rivaled that of Gandhi himself. Even in prison, Bhagat made headline news when he and other prisoners undertook a 63 day fast unto death to improve the conditions of Indian freedom-fighter prisoners. Then the British re-opened the Saunders' murder case, which led to death sentences being imposed on Bhagat, Shivram, and Sukhdev. The entire nation rose up in protest, including the Congress party - with the ball being in Gandhi's court - for he was due to sign the Irwing Pact, and Indians hoped that he would use this as a bargaining chip to save the lives of the heroic trio. Will Gandhi rise up to the occasion and save the trio - so that they could pave the way for a modern and independent India, not just a country ruled by the British with a dominant status - an India free of communal hatred, injustice, corruption, and fundamentalism, or will Gandhi end up disappointing Bhagat all over again?",['155'],India,Hindi,,8.1,319736
The Infiltrator,2016,"Biography, Crime, Drama, Thriller",Brad Furman,Nothing from IMDB,"Bryan Cranston, Leanne Best, Daniel Mays, Tom Vaughan-Lawlor, Niall Hayes, Lara Decaro, Juliet Aubrey, Olympia Dukakis, Amy Ryan, John Leguizamo","During the 1980s, U.S. Customs Service special agent Robert Mazur uses his undercover alias ""Bob Musella"" to become a pivotal player for drug lords cleaning their dirty cash. Later, he infiltrates the world's largest cartel, and helps expose the money-laundering organization of drug lord Pablo Escobar and take down the Bank of Credit and Commerce International, which had secretly taken illegal ownership of First American Bank shares in Washington, D.C. He survives the deception and has a long and productive career.",['127'],"United Kingdom, United States","English, Spanish",,7.0,1355631
The Hitman's Bodyguard,2017,"Action, Comedy, Crime, Thriller",Patrick Hughes,Tom O'Connor,"Elodie Yung, Ryan Reynolds, Tsuwayuki Saotome, Roy Hill, Richard E. Grant, Gary Oldman, Rod Hallett, Yuri Kolokolnikov, Nadia Konakchieva, Valentin Stojanov","With his reputation in tatters after the painfully unsuccessful delivery of a distinguished Japanese client, the former triple-A protection agent, Michael Bryce, is now reduced to a mere second-class bodyguard for hire, two years after the disgraceful incident. Under those circumstances, Bryce would do anything to prove his worth, and, before long, he accepts an offer from Interpol to escort the international assassin, Darius Kincaid, from Manchester to the Hague. The task seems simple: Bryce needs to transport him from point A to point B; nevertheless, the trip to the Netherlands is long and hazardous, and Kincaid--as the only one with the guts and enough hard evidence to testify against a tyrannical Belarusian dictator--is an obvious target. Undoubtedly, it's a tough job, as the mismatched duo will have to put aside their grudges, and race against the clock in a non-stop concerto for bullets. Can the hitman's bodyguard carry through the most important mission in his career?",['118'],"United States, Hong Kong, Bulgaria, Netherlands, Canada, United Kingdom, France","English, Russian, French, Japanese, Italian, Dutch, Spanish",,6.9,1959563
In Harm's Way,2017,"History, Romance, War",Bille August,Nothing from IMDB,"Liu Yifei, Emile Hirsch, Shaoqun Yu, Cary Woodworth, Yikuan Yan, Fangcong Li, Tsukagoshi Hirotaka, Vincent Riotta, Vivian Wu, Fang Xie","In the 1940s, the Japanese attack on Pearl Harbor destroyed Americans' morale. The president of the United States, Franklin D. Roosevelt, decided to risk it all to bomb Tokyo, raising the public's hopes. B25 aircraft, led by U.S lieutenant colonel Jimmy Doolittle, departed from USS Hornet aircraft carrier ahead of schedule in violently stormy seas. After completing their mission, the pilot and crew had to bail out over the coast near Zhejiang, China due to fuel shortage from taking flack to their right wing. A young pilot, Jack Turner, was saved by a young local widow named Ying, who risked her life as she hid the injured American pilot in her house and helped him escape. Despite not being able to communicate verbally, they fell for each other. She gave her life for him during the escape. He rescued her daughter and brought her safely back to the USA.",['97'],China,"Chinese, English",,6.2,5759434
The Gray Man,2022,"Action, Thriller","Joe Russo, Anthony Russo",Nothing from IMDB,"Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton, Jessica Henwick, Dhanush, Alfre Woodard, Regé-Jean Page, Wagner Moura, Julia Butters","Six, a highly-skilled assassin in the deep-cover Sierra program of the CIA, is the agency's best merchant of death. However, a mission goes bad and now Six is on the run from the CIA with sociopathic former agent Lloyd Hansen hot on his trail. Aided by agent Dani Miranda and handler Donald Fitzroy, Six must be his most ruthless to avoid Hansen, who will stop at nothing to bring him down.",['122'],"United States, Czechia, United Kingdom, Canada, Thailand, Denmark, France, Cambodia, Vietnam",English,,6.5,1649418
The Frozen Ground,2013,"Biography, Crime, Drama, Mystery, Thriller",Scott Walker,Scott Walker,"Nicolas Cage, Vanessa Hudgens, John Cusack, Dean Norris, Gia Mantegna, Robert Forgit, Brad William Henke, Michael McGrady, Katherine LaNasa, Ryan O'Nan","Alaska Trooper Jack Halcombe believes Robert Hansen is a serial killer who abducts young girls, tortures and sexually assaults them, then kills them. However, he doesn't have enough evidence to get a search warrant for Hansen's premises. he knows that one victim, Cindy Paulsen, somehow survived, so he decides to seek her help, but he finds that she's now a junkie with trust issues. Holcombe has to earn her trust; meanwhile, Hansen is still hunting and killing girls.",['105'],United States,"English, French",,6.4,2005374
The Fate of the Furious,2017,"Action, Crime, Thriller",F. Gary Gray,Nothing from IMDB,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson, Ludacris, Charlize Theron, Kurt Russell, Nathalie Emmanuel, Luke Evans","Now that Dominic Toretto (Vin Diesel) and Letty Ortiz (Michelle Rodriguez) are on their honeymoon, and Brian (Paul Walker) and Mia (Jordana Brewster) have retired from the game, and the rest of the crew has been exonerated, the globetrotting team has found a semblance of a normal life. But when a mysterious woman seduces Dom into the world of crime he can't seem to escape, and a betrayal of those closest to him, they will face trials that will test them as never before. From the shores of Cuba and the streets of New York City to the icy plains off the arctic Barents Sea, the elite force will crisscross the globe to stop an anarchist from unleashing chaos on the world's stage, and to bring home the man who made them a family.",['136'],"China, Japan, United States","English, Russian, Spanish",,6.6,4630562
The Family Man,2019,"Action, Comedy, Drama",Nothing from IMDB,"Krishna D.K., Krishna D.K., Krishna D.K.","Manoj Bajpayee, Sharib Hashmi, Priyamani, Ashlesha Thakur, Vedant Sinha, Shahab Ali, Shreya Dhanwanthary, Sharad Kelkar, Dalip Tahil, Darshan Kumaar","'The Family Man' is an edgy action-drama series which tells the story of a middle-class man who works for a special cell of the National Investigation Agency. While he tries to protect the nation from terrorists, he also must protect his family from the impact of his secretive, high-pressure, and low-paying job.",['45'],India,"Arabic, English, Tamil, Hindi",,8.7,9544034
The Fabelmans,2022,Drama,Steven Spielberg,"Steven Spielberg, Tony Kushner","Michelle Williams, Paul Dano, Seth Rogen, Gabriel LaBelle, Mateo Zoryan, Keeley Karsten, Alina Brace, Julia Butters, Birdie Borria, Judd Hirsch","Loosely based on Spielberg's childhood growing up in post-World War II era Arizona, from age seven to eighteen, a young man named Sammy Fabelman discovers a shattering family secret, and explores how the power of movies help us see the truth about each other and ourselves.",['151'],"United States, India",English,,7.5,14208870
The Equalizer 3,2023,"Action, Crime, Thriller",Antoine Fuqua,Nothing from IMDB,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman, Gaia Scodellaro, Remo Girone, Andrea Scarduzio, Andrea Dodero, Daniele Perrone, Zakaria Hamza","Since giving up his life as a government assassin, Robert McCall (Denzel Washington) has struggled to reconcile the horrific things he's done in the past and finds a strange solace in serving justice on behalf of the oppressed. Finding himself surprisingly at home in Southern Italy, he discovers his new friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",['109'],"United States, Italy","English, Italian",,6.8,17024450
