Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Ki & Ka,2016,"Comedy, Romance",R. Balki,Nothing from IMDB,"Amitabh Bachchan, Kareena Kapoor, Arjun Kapoor, Jaya Bachchan, Neeta Mohindra, Rajit Kapoor, Swaroop Sampat, Gulnaaz Khan, Abhiroy Singh, Sunayanaa Paradkar","The movie follows the trails of young married ""rich"" couple, their struggles to manage work-life balance, ego battles and then the happy ending. Arjun Kapoor is a rich son and so is Kareena Kapoor who is a very successful marketing executive well supported her boss- as shown in the movie. The two meet in a typical Bollywood style and after several outings in Rail museum and restaurants, decide to get married albeit without much fanfare through a registered marriage. The story then follows the swap of roles of husband managing the household while supporting a spouse's career. While Kareena succeeds in her career and is overshadowed by Arjun's out of turn popularity whilst endorsing several brands, giving talk shows etc leading to differences between the two and thus an ego tussle. The tussle is resolved with the matter convinced by two super ladies- Swaroop Sampath and Jaya Bachan and the movie ends on a happy note. Star guest Amitabh Bachan adds glitter to the script too. Arjun is passionate about trains and is off to National Rail Museum with Kareena for datings. He also has an exclusive toy rail set-up in his room and kitchen. His passion for trains is even picturised even in one of the songs. The other passion for him is cooking-both for his family and later develops that as a profession. Cooking is shown extensively whilst endorsing several cooking based brands aligned to Kareena's marketing ventures.",['126'],India,"Hindi, Tamil, Telugu",,5.7,4744086
Khuda Haafiz,2020,"Action, Crime, Drama, Thriller",Faruk Kabir,Faruk Kabir,"Vidyut Jammwal, Shivaleeka Oberoi, Annu Kapoor, Aahana Kumra, Shiv Panditt, Vipin Sharma, Shahnawaz Pradhan, Gargi Patel, Suparna Marwah, Mohit Chauhan",Samir and Nargis get married but soon recession takes place globally.Sameer's IT business shuts and Nargis also looses her job they apply for a job in Noman where both get selected while Nargis has to reach first.Before Sameer could leave he gets call from Nargis that she isn't at safe place and needs help. Sameer takes the help of cops and flies to Noman where he is helped by a Pakistani Taxi driver Usman.Sameer manages to find Nargis but before he could take her he is attacked by goons where he creates havoc and gets imprisonment.,['133'],India,Hindi,,7.1,7363104
Khoj,2017,"Crime, Mystery, Thriller",Arka Ganguly,Nothing from IMDB,"Vikram Chatterjee, Shataf Figar, Poonam Gurung, Arnab Bhattacharya, KateTed, Lalit Malla, Sayan Sinha Roy","A policeman on patrolling duty is asked to investigate a doctor's house nearby, from where a woman's repeated screams have been heard. The doctor does not let him into the house, insisting that it was his wife screaming due to an injection being pushed and that everything is normal. The policeman's suspicions are not allayed, especially when neighbors claim they have often heard the wife's screams but never seen her. The next morning, the policeman finds the doctor in the police station filing a missing report of his wife. The quaint little misty hill town of Rimtik is shaken when the policeman starts to dig deep into the doctor's mysterious life.",['116'],India,"Bangla, Hindi, English, Nepali",,6.7,6095994
Khilona,1970,"Drama, Musical, Romance",Chander Vohra,Nothing from IMDB,"Sanjeev Kumar, Mumtaz Askari, Durga Khote, Bipin Gupta, Ramesh Deo, Chand Usmani, Shabnam, Jayshree Talpade, Malika, Shatrughan Sinha","Thakur Suraj Singh lives a wealthy lifestyle with his wife; three sons - Kishore, his wife Laxmi & two children Pappu and Laali; Vijaykamal, & Mohan; and an unmarried daughter, Radha. Kishore looks after the family business, while Vijaykamal is a renowned poet, and Mohan is studying law in the city. Vijaykamal is in love with lovely Sapna, but she is forced to marry Bihari, and kills herself on the night of the marriage. Vijaykamal witnesses her death and loses his mind. The family decide to keep him under lock and key on the terrace of their house. Unable to admit Vijaykamal to a mental asylum, Suraj brings home a young courtesan, Chand, who he hopes will cure Vijaykamal, and she does succeed considerably, but is traumatized, sexually assaulted by Vijaykamal, and abused by the rest of the family. Mohan finds her very attractive and wants her for himself, so does Bihari. A pregnant Chand is again traumatized when Vijaykamal recovers, but is unable to recognize her. The rest of the family do not believe that the child she is carrying is Vijaykamal's, and want her to leave. The question remains, what can this woman, who has been used as a toy, do under these circumstances?",['160'],India,Hindi,,7.1,148375
Khiladi 786,2012,"Action, Comedy, Romance",Ashish R. Mohan,Nothing from IMDB,"Akshay Kumar, Asin Thottumkal, Mithun Chakraborty, Raj Babbar, Mukesh Rishi, Himesh Reshammiya, Rahul Singh, Rajesh Khattar, Bharti Singh, Manoj Joshi",,['141'],India,Hindi,,4.3,2166214
Khel Mohabbat Ka,1986,Romance,Satish Duggal,Nothing from IMDB,"Farooq Shaikh, Poonam Dhillon, Shakti Kapoor, Madan Puri, Prema Narayan, Ramesh Deo, Seema Deo, Birbal, Tun Tun, Shivraj",,['111'],India,Hindi,,5.9,464995
Khawto,2016,Thriller,Kamaleswar Mukherjee,Kamaleswar Mukherjee,"Prasenjit Chatterjee, Paoli Dam, Raima Sen, Tridha Choudhury, Rahul Banerjee, Ranodeep Bose, Ushasie Chakraborty, Padmanabha Dasgupta, Mishka Halim",,['140'],India,Bangla,,6.4,6158872
Khamoshiyan,2015,"Drama, Horror, Romance, Thriller",Karan Darra,Vikram Bhatt,"Gurmeet Choudhary, Ali Fazal, Sapna Pabbi, Debina Choudhary, Vikram Bhatt, Debina Bonnerjee, Rajiv Khare, Vinod Rawat, Umar Sharif","Kabir a writer shifts to Kashmir for a inspirational story after a failed relationship with Simran he starts living in a hotel where he meets Meera.Meera runs the hotel alone and lives with her bed ridden husband Jaidev on the very first night Kabir notices strange and spooky feelings in the house.Kabir gets attracted to Meera and finds that she hasn't been out of her house since last two years,Kabir forcefully takes Meera out of the house where a evil force comes in between them and they meet with accident.Kabir then takes the help of a exorcist who tells him the there is an evil spirit in the in the house and it belongs to Jaidev.Kabir comforts Meera about the same who tells him that the spirit belongs to Jaidev's first who said that she wont let them live in peace.Meera is hurt as Kabir tries to dig her past and asks him to leave,but Kabir returns back and they reunite on the same night Kabir sees that Jaidev is actually dead and Meera is possessing his body since last two years.",['122'],India,Hindi,,4.0,3886444
Silent Waters,2003,Drama,Sabiha Sumar,Nothing from IMDB,"Kirron Kher, Aamir Ali Malik, Navtej Singh Johar, Salman Shahid, Shilpa Shukla, Sarfaraz Ansari, Adnan Shah, Shazim Ashraf, Arshad Mahmood, Fareeha Jabeen","In 1979 Pakistan, General Zia-ul-Haq has imposed martial law, and within a few months, the country is decreed a Muslim state. Ayesha, a well-adjusted woman in her forties, devotes her life to the education of her 17-year-old son Salim in the little village of Charkhi, in the Pakistani Penjab. Salim is a quiet dreamer, but the fast-moving political situation fills Ayesha with anxiety, since her son is changing out of all recognition.",['99'],"Pakistan, France, Germany","Punjabi, Urdu",,7.5,357283
Khaali Peeli,2020,"Action, Comedy, Romance",Maqbool Khan,Nothing from IMDB,"Ishaan Khattar, Ananya Panday, Sayeem Afran, Jaideep Ahlawat, Illuminati Dance Crew, Cricknowle, Amit Dattatray, Vedant Desai, Deshna Dugad, Alok Gagdekar","Khaali Peeli is an action drama wherein a taxi driver picks up a girl on the run and what follows isa crazy, roller-coaster of a ride. His past and present circumstances have made him fearless. His taxi always moves in top gear and he will go all the way to get what he wants. She is a bag full of surprises and believes that nobody except her, can decide her future. She may look innocent and vulnerable but certainly isn't..",['119'],India,Hindi,,2.5,10885444
