Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Line of Descent,2019,"Crime, Drama",Rohit Karn Batra,Rohit Karn Batra,"Brendan Fraser, Prem Chopra, Abhay Deol, Ronit Roy, Neeraj Kabi, Ali Haji, Anisha Victor, Charlotte Poutrel, Priyanka Setia, Ekavali Khanna",,['108'],United States,"Hindi, English",,4.6,2257284
Leela,2016,Drama,Ranjith,Unni R.,"Biju Menon, Parvathy Nambiar, Vijayaraghavan, Jagadish, Indrans, Sini Abraham, Sudheer Karamana, Suresh Krishna, Malathy G. Menon, Valsala Menon",,['101'],India,Malayalam,,5.4,5508592
Lara Croft: Tomb Raider - The Cradle of Life,2003,"Action, Adventure, Fantasy",Jan de Bont,Nothing from IMDB,"Angelina Jolie, Gerard Butler, Ciarán Hinds, Chris Barrie, Noah Taylor, Djimon Hounsou, Til Schweiger, Simon Yam, Terence Yin, Daniel Caltagirone","Off the coast of the volcanic island of Santorini, the intrepid archaeologist, Lara Croft, makes the unexpected discovery of a throbbing golden orb able to guide its holder to the mythical Pandora's Box. As the legendary artefact contains ancient mysteries of unfathomable power, Lara needs to make sure it doesn't fall into the wrong hands, especially the unscrupulous former Nobel Prize winner and now a bio-weapons dealer, Jonathan Reiss. With the aid of the former agent, Terry Sheridan, the fearless adventurer travels the world in pursuit of the precious item; however, can she retrieve it in time to save the day?",['117'],"United States, Germany, Japan, United Kingdom, Hong Kong","English, Mandarin, Swahili, Greek, Russian",,5.5,325703
Lakshmanrekha,1991,Drama,Sunil Sikand,Karan Razdan,"Naseeruddin Shah, Jackie Shroff, Sangeeta Bijlani, Danny Denzongpa, Masum Ali, Vikas Anand, Suresh Bhagwat, Mangal Dhillon, Avtar Gill, Rajan Haksar","Amar Sharma (Naseeruddin Shah) and Vicky (Jackie Shroff) are two close friends. Amar is a police inspector, but Vicky is a career criminal, who has no respect for the law. But fate has a bitter twist for Amar, when his dad, Kishanlal Sharma (Pran) is killed right in front of his eyes by Birju (Danny Denzongpa) and he is unable to convict and imprison Birju, due to false alibis. Amar attempts to avenge his dad's death by attempting to kill Birju on his yacht, but is severelly beaten, tossed overboard, and left for dead. He survives and returns to finish his job, only to be confronted by Vicky, who is now a police inspector, and will not permit Amar to take the law in his own hands.",['133'],India,Hindi,,4.9,359582
Lakhon Ki Baat,1984,"Comedy, Musical, Romance",Basu Chatterjee,Nothing from IMDB,"Sanjeev Kumar, Farooq Shaikh, Anita Raj, Anjali Vyas, Utpal Dutt, Pinchoo Kapoor, Dinesh Hingoo, Subbiraj, Javed Khan Amrohi, Raj Bharti","Freelance photographer, Alok Prakash, while photographing women hockey players in action, is hit by the puck, loses his senses and his hospitalized. His brother-in-law, a lawyer by the name of Prem Sagar, decides to capitalize on this accident, and to sue Alok's employer for a large sum of money, so that they can live comfortably for the rest of their lives. He explains his plan to Alok, and asks the rest of the family also to go on with this charade - with hilarious results - that will change their lives forever.",['136'],India,Hindi,,6.6,157917
Lajja,2001,"Action, Crime, Drama",Rajkumar Santoshi,Nothing from IMDB,"Manisha Koirala, Jackie Shroff, Madhuri Dixit, Ajay Devgn, Rekha, Anil Kapoor, Mahima Chaudhry, Danny Denzongpa, Suresh Oberoi, Gulshan Grover","Vaidehi (Manisha Koirala) gets married to Raghuvir (Jackie Shroff), an NRI. Suffering the agony of an unhappy marriage, she decides to run away from him when she learns that she is pregnant and he wants to take the child away from her. In her pursuit for freedom, she meets Mythili (Mahima Chaudhury) a bride-to-be, Janaki (Madhuri Dixit) a theatre artist and Ramdulari (Rekha) a village midwife - all of whom are victims of male chauvinism. They however refuse to be put down and fight for their rights.",['202'],India,Hindi,,6.6,293342
Laal Kaptaan,2019,"Action, Adventure, Drama, Western",Navdeep Singh,Nothing from IMDB,"Saif Ali Khan, Zoya Hussain, Manav Vij, Deepak Dobriyal, Aamir Bashir, Simone Singh, Neeraj Kabi, Rudra Soni, Abhishek Madrecha, Vibha Rani","The film will feature Saif in the role of a ""naga sadhu"" out on a journey ridden with drama, revenge and deceit. ""Saif is a gifted actor and this script allows him to showcase his talent like never before. Laal Kaptaan boasts of a larger-than-life landscape, dramatic characters and a gripping story that makes it a first of its kind. NH 10 Director Navdeep Singh has directed the movie.",['155'],India,Hindi,,7.2,9052960
Kudrat,1981,"Drama, Mystery, Romance, Thriller",Chetan Anand,Nothing from IMDB,"Rajesh Khanna, Raaj Kumar, Hema Malini, Vinod Khanna, Priya Rajvansh, Aruna Irani, Deven Verma, A.K. Hangal, Om Shivpuri, Keshto Mukherjee","The setting is in scenic Simla, summer capital of the British Raj in the 1970's. Chandramukhi from Bombay is on holiday with her parents and so is Naresh, a US educated medical professional with his parents. Chandramukhi and Naresh show interest in each other, encouraged by their parents. Choudhary Janak Singh, an important and wealthy man lives with his lawyer daughter Karuna in a lovely colonial period mansion. Their house-guest Mohan, a lawyer from Chandigarh is a protege of Janak Singh. Karuna and Mohan develop a romantic interest. The story of Paro and Madho, who lived in pre-independence India comes to affect the present. Events of thirty years ago in the lives of Paro, Madho,Janak, Saraswathi, the gardener and the disgraced policeman come back to create soulful links between past and present. Themes from the life of Zamindars, British Colonial rulers, parapsychology and law are skilfully twisted, so that most turns in the tale are unexpected. Attention to detail is excellent.",['164'],India,Hindi,,7.1,154749
Kudrat,1998,"Action, Drama, Romance",Raj N. Sippy,Nothing from IMDB,"Akshaye Khanna, Urmila Matondkar, Maya Alagh, Kannu Gill, Aruna Irani, Shalini Kapoor, Kader Khan, Paresh Rawal, Ravi Kishan, Arun Bakshi","Vijay Varma (Akshaye Khanna) learns a few lessons about love and life. Wooing his sweetheart proves an arduous task as poor Vijay faces constant rejection by the woman who has captured his heart as well as by her family. But when both do a startling volte-face, which is followed by further indecision, Vijay's life seems caught in a perpetual state of bewilderment.",['186'],India,Hindi,,4.0,286772
Krrish 3,2013,"Action, Adventure, Sci-Fi",Rakesh Roshan,Nothing from IMDB,"Hrithik Roshan, Vivek Oberoi, Priyanka Chopra Jonas, Kangana Ranaut, Arif Zakaria, Raju Kher, Rajpal Naurang Yadav, Rakhee Tandon, Gowhar Khan, Nazia Shaikh","After defeating the villainous Dr. Siddhant Arya and bringing his father Rohit back from the dead, Krrish continued fighting against evil and saving innocent lives. Now Krishna's living happily with his wife Priya, Rohit is using his scientific brilliance to benefit society, and Krrish is everyone's favorite superhero savior. Unknown to them, a dark force is growing in another part of the world. Kaal, an evil genius, is selfishly misusing his powers to spread fear, death, and destruction, assisted by an army of very dangerous beings created by himself. Not long after Kaal's plans are put into action, both Rohit and Krrish face a crisis of epic proportions that only they can resolve, together. But when they finally cross paths with Kaal and his army, neither is prepared for what lies ahead. Kaal not only brings the world to the brink of disaster, he also puts the strength and love of Krishna and his family to the test.",['152'],India,"Hindi, Telugu, Tamil",,5.3,1029231
