Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Nehle Pe Dehlaa,1976,"Action, Crime, Drama",Raj Khosla,Nothing from IMDB,"Sunil Dutt, Saira Banu, Vinod Khanna, Premnath Malhotra, Om Prakash, Ranjeet Bedi, Anwar Hussain, Bindu Desai, Dev Kumar, Trilok Kapoor",,,India,Hindi,,5.5,74955
Neerja,2016,"Biography, Drama, Thriller",Ram Madhvani,Nothing from IMDB,"Sonam Kapoor, Shabana Azmi, Yogendra Tikku, Abrar Zahoor, Jim Sarbh, Ali Baldiwala, Vikrant Singta, Parthaa Akerkar, Madhu Anand Chandhock, Rahaao",,['122'],India,Hindi,,7.6,5286444
Neel Kamal,1968,"Drama, Fantasy, Musical, Romance",Ram Maheshwari,Nothing from IMDB,"Waheeda Rehman, Raaj Kumar, Manoj Kumar, Lalita Pawar, Balraj Sahni, Ramayan Tiwari, Paidi Jairaj, David Abraham, Murad, Chhaya","Sleepwalker Sita Raichand (Waheeda Rehman) is rescued by Ram (Manoj Kumar) while walking on a railway track. Shortly thereafter Guruji (David) and Mr. Raichand (Balraj Sahni), approach Ram's mom (Lalita Pawar) with a marriage proposal. Finding the proposal suitable both Ram and his mom agree, and as a result Ram and Sita are married. After the marriage, Sita displays very strange behaviour, like walking away during the night for long durations. This increases the suspicions of everyone in Ram's household. Ram subsequently finds out that there is a lot more to Sita's disappearance than sleepwalking, as Sita seems attracted to someone else from a previous birth.",['160'],India,Hindi,,6.8,148523
Naya Zamana,1971,"Drama, Romance",Pramod Chakravorty,Nothing from IMDB,"Dharmendra, Hema Malini, Ashok Kumar, Mehmood, Aruna Irani, Lalita Pawar, Pran Sikand, Indrani Mukherjee, Manmohan, Shabnam","Anoop (Dharmendra) is a struggling writer. One day he meets with wealthy and beautiful Seema (Hema Malini) and both fall in love. When Seema's brother Rajan Choudhury (Pran) finds out, he is angered and forbids Seema to see Anoop again. On the other hand Anoop's sister, Rekha (Aruna Irani), and Rajan's brother-in-law Mahesh (Mehmood) have also fallen in love with each other. This angers Rajan even more and he turns Mahesh out of his house. Rajan finds out that Anoop has authored a book called ""Naya Zamana"", and decides to publish it and sell it under his name. Anoop and Seema find out when the book hits the stalls and is a big hit. Rajan is unapologetic. Rajan then tries to evict the poor people living in small tenements with Anoop and his mother (Lalita Pawar), but Anoop and Seema intervene, and as a result Rajan orders the tenements to be burnt secretly by his henchman Sitaram (Jankidas). Anoop is blamed for the destruction and arrested by the police. Seema's dad, Sachin Choudhury (Ashok Kumar) forbids Seema to see Anoop anymore as well as stay away from the poor people's lives. Seema will now to chose between her lover and her father.",['151'],India,Hindi,,6.6,67478
Naya Kadam,1984,"Drama, Family, Romance",K. Raghavendra Rao,Kader Khan,"Rajesh Khanna, Padmini Kolhapure, Sridevi, Jaya Prada, Kader Khan, Om Shivpuri, Ranjeet Bedi, Satyendra Kapoor, Govardhan Asrani, Jayshree Gadkar","Madhukar and Jaggu are Hitler-like tyrants who rule over a small community with an iron hand. They prefer to keep the inhabitants illiterate, so that they can continue to oppress and abuse them over time. But one young lad, Ramu, educates himself secretly with the help of the local school-master, Srikanth. Years later, Ramu has grown up and is now a formidable force to reckon with. Madhukar and Jaggu see him as a threat and soon spin a web of lies and deceit around him, leaving him with no alternative except to retreat, leaving the poor villagers once again at their mercy of their oppressors.",,India,Hindi,,6.5,187344
Nauker,1979,"Comedy, Drama","Ismail Memon, Jyoti Swaroop",Nothing from IMDB,"Sanjeev Kumar, Jaya Bachchan, Yogeeta Bali, Mehmood, Manmohan Krishna, Lalita Pawar, Madhu Malini, Jalal Agha, Anwar Hussain, Azaad Irani","Widower Amar is well-off financially, and lives in a house with his daughter, and servant Dayal. His sister and brother-in-law want him to marry again, so that his daughter can have the love and care of a woman. Amar reluctantly agrees. Together they set out to check out two sisters, Shobha, and Sheela. Amar goes as Dayal, and Dayal goes as Amar, as Amar is not sure if a step-mother will be able to bestow care and love as a real mother. They arrive at the household of Durga, Shanti Swarup, Renu, Sheela, and their servant Geeta. They begin to settle down, Dayal in a spacious room, and Amar in the servant's quarters, which consists of an untidy room with no electricity. It is not long before Amar finds out that he is attracted to Geeta, and not to the two sisters, but in his present state, he cannot reveal himself, and openly propose marriage. In the meantime, Durga starts getting suspicious about Amar, and starts wondering if Amar is actually a servant or a crook.",['126'],India,Hindi,,6.3,79614
Naughty @ 40,2011,"Comedy, Drama",Jag Mundhra,Nothing from IMDB,"Govinda, Yuvika Chaudhary, Anupam Kher, Smita Jaykar, Lucia Edwards, Sanjay Mishra, Shakti Kapoor, Harish, Ameet Chana, Gurpreet Ghuggi","Laxminarayan Kapoor lives a wealthy lifestyle in London along with his religious wife, Maya; son Ravinder; and two nephews, Sandeep and Randeep. While the nephews have adapted themselves to the country and women, Ravinder is still a virgin at 40, and is a sleep-walker. After getting his leg pulled constantly, he asks his father to get him married, and is introduced to a statuesque beauty - who rejects him after discovering his sleep-walking disorder. His parents then get him married to Gauri, and he hopes to end his celibacy, in vain albeit, as she turns out to be child-like and naive. Frustrated, unable to get intimate he befriends a Caucasian female, Sharon, and decides to marry her. Watch what response he gets, and the impact this has on everyone.",['108'],India,"Hindi, English",,2.7,1363125
Naram Garam,1981,"Comedy, Drama",Hrishikesh Mukherjee,Nothing from IMDB,"Amol Palekar, Swaroop Sampat, Utpal Dutt, A.K. Hangal, Padma Chavan, Kiran Vairale, Suresh Chatwal, Anand, T.P. Jain, Sunder","The story revolves around an old man, chachaji in search of a home after his house is repossesed by the village money-lender, and his young daughter, Kusum. Ramprasad is a poor young man in the employ of Bhavani Shankar a superstitious, middle aged widower. Ramprasad succeeds in securing a victory for Bhavani Shankar in a long running court case, which gives back Bhavani Shankar's family the possession of an ancestral house. When Ramprasad is assigned the responsibility of getting the house back in shape so that it can be re-occupied, chachaji and Kusum arrive there. When this comes to the knowledge of the estate manager, Gajanan Babu, he arrives furious and determined to oust the usurpers. However, he succumbs to the charms of Kusum and instead of ousting the old man and his daughter, presents a proposal of marriage. Horrified, Kusum and Ramprasad turn to Babua for help. He, in turn, is captivated by Kusum's beauty and presses his suit. Then Ramprasad turns to Bhavani Shankar, but he, too, declares he wants to marry Kusum.",['122'],India,Hindi,,7.4,82796
Namak Haraam,1973,Drama,Hrishikesh Mukherjee,Nothing from IMDB,"Rajesh Khanna, Amitabh Bachchan, Simi Garewal, Rekha, Govardhan Asrani, A.K. Hangal, Om Shivpuri, Manmohan, Durga Khote, Raza Murad","Somnath (Somu) lives in a shanty house in a Delhi slum with his widowed mom, and unmarried sister, Sarla. He is friendly with Calcutta-based wealthy Vikram (Vicky) Maharaj. When Vicky's dad, Damodar, has a heart attack and is advised to take bed-rest for two months, Vicky fills in his father's shoes, has a confrontation with a senior employee and union leader, Bipinlal Pandey, which results in a strike. His father intervenes, asks Vicky to apologize to Bipinlal, which Vicky does, and everything returns to normal. Vicky confides about his humiliation with Somu, and both conspire to teach Bipinlal a lesson. As a result, Somu accompanies Vicky to Calcutta, gets a job as a laborer in his mill, befriends his fellow-workers, gets some monetary relief to injured workers, amongst other benefits, is elected as the union leader replacing Bipinlal. With Somu as the union leader and Vicky as the boss there is no stopping these two - until Damodar finds out and decides to put a stop to Vicky being influenced by Somu's middle-class ideas and ideals. Damodar starts a chain of events that get out of control, events that may well see the death of one of the friends at the hands of the other. Will Vicky's and Somu's friendship see them through or will it also be a casualty?",['146'],India,Hindi,,7.2,70434
Nagina,1986,"Fantasy, Romance",Harmesh Malhotra,Nothing from IMDB,"Sridevi, Rishi Kapoor, Amrish Puri, Prem Chopra, Komal Mahuvakar, Sushma Seth, Jagdeep, Pinchoo Kapoor, Viju Khote, Guddi Maruti",Rajiv as a kid is bitten by snake while roaming in the forest but a snake charmer Bhaironath manages to save his life by killing the snake. Years later Rajiv returns from London where his mother wants him to get married to Vijaya.Rajiv comes across a beautiful Rajni an orphan and falls in love with her but his mother objects as she is an orphan later agrees for their marriage .Rajiv and Rajni get married and are living happily until Bhaironath arrives and tells Rajiv's mother that Rajni is actually a snake shifting snake who has come to revenge death of her lover who had bitten Rajiv in childhood.But Bhaironath's true intentions are to capture Rajni as she knows about a hidden pearl which can make him powerful.,['137'],India,Hindi,,6.4,91601
