Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Dasvi,2022,"Comedy, Drama",Tushar Jalota,Nothing from IMDB,"Abhishek Bachchan, Nimrat Kaur, Yami Gautam, Manu Rishi Chadha, Chittaranjan Tripathy, Danish Husain, Arun Kushwah, Shivankit Singh Parihar, Rohit Tiwari, Dhanveer Singh","A corrupt Chief Minister Gangaram Chaudhari who always plays with the law is put behind bars in a scam.He appoints his wife Bimla Devi as they Chief Minister until he gets bail.While Bimla Devi is quick to understand the tricks of politics and established herself as powerful politician,While Gangaram Chaudhary whose between small time crooks in the jail gets a fan following but his life becomes hell when Superintendent Jyoti Jaiswal takes over.Jyoti starts to treat Chaudhari like other prisoners when she embraces him about his qualification Chaudhari decides to complete his tenth grade.Thou Jyoti finds it as a scam but is permitted by law while Chaudhari struggles with his studies until he is influenced by history of freedom fighters.On the other end Bimla Devi makes a strong position in her party and is in no mood to loose the chair to her husband.",['125'],India,Hindi,,7.4,14107554
Darvinte Parinamam,2016,"Action, Comedy, Drama",Jijo Antony,Nothing from IMDB,"Prithviraj Sukumaran, Chemban Vinod Jose, Chandini Sreedharan, Soubin Shahir, Shammi Thilakan, Hannah Reji Koshy, Sudhi Koppa, Sabumon Abdusamad, Binu Adimali, Anjana Appukuttan",,['148'],India,"Malayalam, Telugu",,5.4,5328262
Darna Mana Hai,2003,Horror,Prawaal Raman,Nothing from IMDB,"Saif Ali Khan, Boman Irani, Nana Patekar, Vivek Oberoi, Shilpa Shetty Kundra, Rajpal Naurang Yadav, Sanjay Kapoor, Sohail Khan, Antara Mali, Aftab Shivdasani","Seven friends are traveling through a forest when their car breaks down in the dark and they decide to tell horror stories to pass the time. But after each story one friend gets scared and goes back to the car. 1) Karan and Anjali get stuck in the forest when their car suddenly stops while Anjali sees Karan going into creep but next moment he is standing besides her claiming to be normal. 2) Anil Manchandani , a smoker, checks into a hotel whose owner is weird and hates smoking. 3) Pramila, a little girl who is not a good student, has several complaints from her teacher; suddenly the teacher gets scared of her when her behavior changes. 4) Homemaker Gayatri finds an apple-seller suspicious; the next morning she finds that things around her house have turned into apples--including her husband. 5) John is waiting outside a graveyard for a lift; when Amar lets him in his car, he reveals that he died few days back. 6) Purab, considered a loser by everyone, suddenly gets the power to STOP things around him.",['121'],India,Hindi,,6.3,349333
Darlings,2022,"Comedy, Drama, Thriller",Jasmeet K Reen,Nothing from IMDB,"Alia Bhatt, Shefali Shah, Vijay Varma, Roshan Mathew, Rajesh Sharma, Vijay Maurya, Santosh Juvekar, Kiran Karmarkar, Puja Sarup, Inayah Chowdhry",Badrunissa (Badru) and Hamza are very much in love and decide to get married after Hamza gets a government job as Ticket Collector in Indian Railways but Badru's mother Shamshunissa isn't happy with her choice. Three years later things are not good between Badru and Hamza as he has turned alcoholic and frequently beats Badru and wants her to live according to him. Also opposing the redevelopment plan of his building. Shamshunissa is very much aware of her daughter's daily abuse and wants her to return home but Badru lives with a hope that someday Hamza will change. Zulfi a common friend of Badru and Shamshunissa complaints to police about Hamza being a wife beater but in police station with his sweet talks Hamza convinces Badru to take the complaint back. On their way home Hamza attacks Shamshunissa and Badru is left to make a choice between her mother and husband following which she chooses Hamza forcing the mother and daughter to break ties with each other. A few days later Badru finds about her pregnancy and unites with Shamshunissa around the same time Hamza finds from Inspector Jadhav that Zulfi had complained against him and Badru is very much aware of it. Hamza suspects an affair between them and pushes Badru downstairs leading to her miscarriage but Badru does not stop here she decides to held Hamza captive in their house and torture him the same way he did to her.,['133'],India,Hindi,,6.6,14152140
Dark Waters,2019,"Biography, Drama, History, Mystery",Todd Haynes,Nothing from IMDB,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman, Bill Camp, Victor Garber, Mare Winningham, William Jackson Harper, Louisa Krause, Kevin Crowley","Cincinnati, Ohio 1998: Up-and-coming corporate attorney Robert Bilott, a new partner at a prestigious law firm, is visited by one of his grandmother's neighbors from West Virginia. Angry farmer Wilbur O. Tennant asks him to sue chemical multinational DuPont. His cows, according to the accusation, are being poisoned by a nearby landfill. Such a mandate is actually out of the question for Bilott, because he normally represents corporations. When he drives to remote Parkersburg to see for himself, his mind changes abruptly. The lawyer sees shocking evidence of the poisoning of the cattle with his own eyes: black teeth, huge tumors and terrible deformities. With the backing of his law firm boss Tom Terp, he files a lawsuit and gains access to confidential company files. While DuPont routinely plays for time, Bilott uncovers a scandal that is also endangering the health of many people. Much to his wife's chagrin, the idealistic lawyer gets stuck in the case, putting his career and health at risk. And yet he doesn't give up.",['126'],United States,"English, Korean",,7.6,9071322
Danger Close,2019,"Action, Drama, War",Kriv Stenders,"Stuart Beattie, James Nicholas, Karel Segers, Paul Sullivan, Jack Brislee","Travis Fimmel, Toby Blome, Alexander England, Aaron Glenane, Uli Latukefu, Richard Te Are, Luke Bracey, Sean McCarthy, Mojean Aria, Ryan Hance","South Vietnam, late afternoon on August 18, 1966 - for three and a half hours, in the pouring rain, amid the mud and shattered trees of a rubber plantation called Long Tan, Major Harry Smith and his dispersed company of 108 young and mostly inexperienced Australian and New Zealand soldiers are fighting for their lives, holding off an overwhelming enemy force of 2,500 battle hardened Main Force Viet Cong and North Vietnamese Army soldiers. With their ammunition running out, their casualties mounting and the enemy massing for a final assault each man begins to search for his own answer - and the strength to triumph over an uncertain future with honor, decency and courage. The Battle of Long Tan is one of the most savage and decisive engagements in ANZAC history, earning both the United States and South Vietnamese Presidential Unit Citations for gallantry along with many individual awards. But not before 18 Australians and more than 245 Vietnamese are killed.",['118'],Australia,"English, Vietnamese",,6.8,441881
Damaad,1978,Comedy,Rajat Rakshit,Nothing from IMDB,"Amol Palekar, Ranjeeta Kaur, Ashok Saraf, Shreeram Lagoo, Tarla Mehta, Pinchoo Kapoor, Dina Pathak, Preeti Ganguli, Master Sakka, Mushtaq Merchant","Sharad belongs to a middle-class family and lives with his brother and sister-in-law. Sharad gets a job in Malavli in which he is not interested. He however does go for the job where he meets Mr. Rodrigues and Mr. Choudhury who are initially rude to him, but afterwards mellow down. Both these men are on the look-out for grooms for their daughters. On the first day Sharad's boss takes him to his house for lunch where he is introduced to Heena, the Boss' daughter who falls in love with him. Then he gets introduced to Mr. Rodrigues' daughter too. But Sharad is in love with Renu(Ranjeeta), his neighbour. In the factory his assistant Mr.Kote (Ashok Saraf) wants to help him get out of the trap created by Mr. Chaudhury and Rodrigues. Kote spreads the rumour that Sharad does is not of chaste character. This however creates tensions between Renu and Sharad. Mr. Chaudhury starts believing that Kote is spreading the rumours in order to win the place of his son-in-law. At this juncture Sharad introduces Renu to all of them and all tensions are resolved.",['110'],India,Hindi,,7.1,405856
Daag: The Fire,1999,"Action, Drama, Thriller",Raj Kanwar,Nothing from IMDB,"Sanjay Dutt, Chandrachur Singh, Mahima Chaudhry, Shakti Kapoor, Sushma Seth, Mohan Joshi, Deepak Shirke, Harish Patel, Himani Shivpuri, Sachin Khedekar","Karan is a former soldier. One day when Karan finds out that his father committed suicide in prison after he is falsely charged with a crime, he suspects Ravi Verma, a city attorney who has a wife and a kid. When Karan spots Ravi on the street with his wife Kajal, he abruptly shoots Ravi and Kajal; however, Ravi survives the murder and Kajal ends up dead. After Ravi's release from the hospital, he does not realize that he has a new and different wife who looks exactly like Kajal, later on he does. While Ravi's life continues, Karan's revenge also continues against Ravi. Ravi claims that it wasn't his idea to set Karan's father up, it may be Ravi's father-in-law and his colleagues who may be responsible.",['152'],India,Hindi,,5.0,272062
Curve,2015,"Horror, Thriller",Iain Softley,Nothing from IMDB,"Julianne Hough, Teddy Sears, Penelope Mitchell, Madalyn Horcher, Drew Rausch, Kurt Bryant","Mallory Rutledge is driving her fiancé's truck to Denver to meet him and get married. While driving in the lonely road, she talks to her sister Ella and decides to take a detour to visit the Grand Canyon. Out of the blue, the truck stops and Mallory can get no service in her cell phone. However the gentle drifter Christian Laughton offers to fix the car and Mallory accepts. Then she offers a ride to him and when she is driving, he says pornography to her. She asks him to leave but he shows a knife and tells her to go to a derelict motel. Mallory sees that the psychopath Christian is not wearing the seat bell and decides to throw the truck off the road in a curve. But the leg of Mallory is trapped in the overturned car and Christian leaves her without any help, in the beginning of Mallory's worst nightmare. Will she escape from the vehicle and from the psychopath?",['85'],United States,English,,5.4,3212904
Crazy Rich Asians,2018,"Comedy, Drama, Romance",Jon M. Chu,Nothing from IMDB,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan, Lisa Lu, Awkwafina, Harry Shum Jr., Ken Jeong, Sonoya Mizuno, Chris Pang","Rachel Chu, an American-born Chinese NYU professor, travels with her boyfriend, Nick to his hometown in Singapore for his best friend's wedding. Before long, his secret is out: Nick's family is wealthy, and he's considered the most eligible bachelor in Asia. Every single woman is incredibly jealous of Rachel and wants to bring her down.",['120'],United States,"English, Mandarin, Cantonese, Hokkien, French, Malay",,6.9,3104988
