Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Mere Brother Ki Dulhan,2011,"Comedy, Drama, Family, Romance",Ali Abbas Zafar,Ali Abbas Zafar,"Imran Khan, Katrina Kaif, Ali Zafar, Tara D'Souza, Parikshit Sahni, Kanwaljeet Singh, Suparna Marwah, Arfeen Khan, Mohd. Zeeshan Ayyub, Tariq Vasudeva","""Mere Brother Ki Dulhan"" is a quirky romantic comedy set in the world of the upper middle class in Northern India. Kush Agnihotri (Imran Khan) is looking for the ideal Indian bride for his brother Luv Agnihotri (Ali Zafar) who stays in London. In his quest, Kush goes through an array of wacky encounters with several families until he finally finds that perfect girl in Dimple Dixit (Katrina Kaif), the craziest / wackiest girl he has ever known. Both the families meet. Formalities completed. Preparations proceed in full swing. And just then, our hero Kush falls in love with Dimple, his brother's dulhan. What follows is a comical and unpredictable series of events in this unusual topsy-turvy tale of love.",['139'],India,"Hindi, English",,5.9,1740710
Mere Apne,1971,Drama,Gulzar,Nothing from IMDB,"Meena Kumari, Vinod Khanna, Shatrughan Sinha, Sumita Sanyal, Deven Verma, Ramesh Deo, Abhi Bhattacharya, Asit Kumar Sen, Leela Mishra, Kanwarjeet Paintal","Anandi Devi is an old widow living in her village she is bought to the city by her distant relative Arun. Anandi Devi realizes that Arun and his wife wanted to keep her as a maid following which she leaves the house and befriends a child beggar and start living in a dilapidated house. Due to her kind and good nature she is then called as Naani Maa by youth groups which are led by Shyam and Chhenu. Shyam and Chhenu are rivals of each other and can't see eye to eye, Anandi Devi tries to be peacemaker between them.",['164'],India,Hindi,,7.6,67421
Mera Saaya,1966,"Drama, Musical, Mystery, Romance, Thriller",Raj Khosla,Nothing from IMDB,"Sunil Dutt, Sadhana Shivdasani, Jagdish Sethi, K.N. Singh, Anwar Hussain, Shivraj, Ratnamala, Narbada Shankar, Kumud Bole, Mukri","Rakesh gets married to Geeta and goes to London for further studies for 3 years after a year he comes to know about Geeta's illness and returns back and Geeta dies in his arms,Rakesh goes in depression and lives with her memories.One day inspector Daljit comes to meet Rakesh and tells him about a bandit Raina they caught on other day who claims to be his wife,Rakesh meets her and is shocked that she totally resembles Geeta. Rakesh doesn't agree to this as Geeta died in his arms,but Raina tells such things about Rakesh that only a wife would know but it is impossible for Geeta to be alive as she was Cremenated in front of whole village.",['128'],India,Hindi,,7.6,60689
Memories of Murder,2003,"Crime, Drama, Mystery, Thriller",Bong Joon Ho,Nothing from IMDB,"Song Kang-ho, Kim Sang-kyung, Kim Roe-ha, Song Jae-ho, Byun Hee-Bong, Ko Seo-hie, Ryu Tae-ho, Park No-shik, Park Hae-il, Jeon Mi-seon","1986. In a rural district of South Korea, two women have been recently raped and murdered. Working on the case are detectives Park Doo-man and Cho Yong-koo. Their efforts are impeded by some sloppy crime scene procedure by the police. Their methods of solving cases are also quite basic, essentially amounting to beating confessions out of suspects. All this leads to nothing and the police chief brings in a more sophisticated and intelligent detective from Seoul, Seo Tae-yoon. With his arrival the methods improve but they still don't have the killer. Then another woman is found murdered and a pattern emerges.",['131'],South Korea,"Korean, English",,8.1,353969
Members Only,2017,Drama,Mic-go Ngan,Nothing from IMDB,"Christy Kit-Ling Chan, Mei-Yee Chan, Wing Him Chan, Micro Chow, Cheuk-Fei Chung, Yoyo Fung, Chung-Yan Law, Kyle Li, Bryant Ji-Lok Mak, Ka-Kam Mok",,['93'],Hong Kong,"Cantonese, Mandarin",,3.7,7341610
Mela,1971,"Action, Drama, Family",Prakash Mehra,Kaushal Bharati,"Sanjay Khan, Feroz Khan, Mumtaz Askari, Rajendranath Malhotra, Randhir, Lalita Pawar, Rammohan Sharma, Sachin Pilgaonkar, Master Ratan, Nikita","In rural India a small village is ruled by a Panchayat, a group of right-wing Hindu men who run the lives of the villagers dictatorially. There are three men who challenge their authority, namely Bansilal, who is a low-caste Baniya but wants to marry Billoo, who is a Brahman; New-comer to the village, Kanhaiya, who is in love with Lajjo Choudhry, but is refused permission as no one is aware what is caste is, and to make matters worse, has been brought by a Muslim woman; and finally there is Shakti Singh - a dreaded bandit - who will not permit any daughter of the Panchs to get married as his sweetheart, Santho, was sexually assaulted and killed by Thakur. Shakti will not permit anyone to plow his land as he believes that his evil paternal uncle forged documents to make him the owner, and he blames himself for losing his brother, Kishan, during a Mela 20 years ago. The Panchayat watch in fascination when Kanhaiya buys the land, a move that will put him in direct conflict with Shakti - who has already killed five former owners who had dared to buy and plow this piece of land.",['126'],India,Hindi,,6.7,175904
Meg 2: The Trench,2023,"Action, Adventure, Horror, Sci-Fi, Thriller",Ben Wheatley,Nothing from IMDB,"Jason Statham, Jing Wu, Shuya Sophia Cai, Cliff Curtis, Page Kennedy, Sergio Peris-Mencheta, Skyler Samuels, Melissanthi Mahut, Whoopie Van Raam, Kiran Sonia Sawar","Get ready for the ultimate adrenaline rush this summer in ""Meg 2: The Trench,"" a literally larger-than-life thrill ride that supersizes the 2018 blockbuster and takes the action to higher heights and even greater depths with multiple massive Megs and so much more. Dive into uncharted waters with Jason Statham and global action icon Wu Jing as they lead a daring research team on an exploratory dive into the deepest depths of the ocean. Their voyage spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival. Pitted against colossal Megs and relentless environmental plunderers, our heroes must outrun, outsmart, and outswim their merciless predators in a pulse-pounding race against time. Immerse yourself in the most electrifying cinematic experience of the year with ""Meg 2: The Trench"" - where the depths of the ocean are matched only by the heights of sheer, unstoppable excitement.",['116'],"United States, China",English,,5.0,9224104
Maze Runner: The Death Cure,2018,"Action, Adventure, Sci-Fi, Thriller",Wes Ball,Nothing from IMDB,"Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster, Dexter Darden, Will Poulter, Jacob Lofland, Rosa Salazar, Giancarlo Esposito, Patricia Clarkson","In the epic finale to The Maze Runner Saga, Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary last city, a WCKD controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get the answers to the questions the Gladers have been asking since they first arrived in the maze. Will Thomas and the crew make it out alive? Or will Ava Paige get her way?",['143'],United States,English,,6.2,4500922
Maze Runner: The Scorch Trials,2015,"Action, Adventure, Sci-Fi, Thriller",Wes Ball,Nothing from IMDB,"Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster, Dexter Darden, Alexander Flores, Jacob Lofland, Rosa Salazar, Giancarlo Esposito, Patricia Clarkson","The second chapter of the epic ""Maze Runner"" saga. Thomas (Dylan O'Brien) and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD's vastly superior forces and uncover its shocking plans for them all.",['131'],United States,English,,6.3,4046784
Mastizaade,2016,Comedy,Milap Zaveri,Nothing from IMDB,"Tusshar Kapoor, Vir Das, Sunny Leone, Govardhan Asrani, Shaad Randhawa, Suresh Menon, Sushmita Mukherjee, Riteish Deshmukh, Harshada Kulkarni, Rina Charaniya",,['119'],India,Hindi,,2.4,3726012
