Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Film Istanbul,2014,"Short, Drama",Kino Poet Of Sound And Image,Kino Poet Of Sound And Image,"Jane Birkin, Ilhan Ersahin, Sebnem Dönmez, Mustafa Bilgin, Izzet Uzunhasanoglu, Selen Cambazoglu, Sinem Islamoglu, Uluc Ali Kilic, Nils Petter Molvaer, Kino Poet Of Sound And Image",,['20'],United States,"English, French",,,4192640
Cabin Fever,2016,"Horror, Sci-Fi, Thriller",Travis Zariwny,Nothing from IMDB,"Gage Golightly, Matthew Daddario, Samuel Davis, Nadine Crocker, Dustin Ingram, Randy Sean Schulman, George Griffith, Tim Zajaros, Aaron Trainor, Louise Linton",,['99'],United States,English,,3.7,3832096
Fantastic Beasts: The Crimes of Grindelwald,2018,"Adventure, Family, Fantasy",David Yates,Nothing from IMDB,"Johnny Depp, Kevin Guthrie, Carmen Ejogo, Wolf Roth, Eddie Redmayne, Zoë Kravitz, Callum Turner, Derek Riddell, Cornell John, Ezra Miller","In an effort to thwart Grindelwald's plans of raising pure-blood wizards to rule over all non-magical beings, Albus Dumbledore enlists his former student Newt Scamander, who agrees to help, though he's unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",['134'],"United Kingdom, United States","English, French",,6.5,4123430
Exposed,2016,"Crime, Drama, Mystery, Thriller",Gee Malik Linton,Gee Malik Linton,"Ana de Armas, Gabe Vargas, Sandy Tejada, Venus Ariel, Ariel Pacheco, Ismael Cruz Cordova, Anthony Ruiz, Stephen Thompson, Keanu Reeves, Mira Sorvino","Detective Galban (Keanu Reeves) finds his partner and close friend, Detective Cullen, murdered in a subway. On the hunt for the killer(s), Galban begins to suspect his partner may have been heavily involved in drug dealing and police corruption. As Galban investigates, people who knew Cullen are conveniently found dead. The closer Galban gets to the truth, both Cullen's wife, Janine (Mira Sorvino), and his lieutenant (Christopher McDonald) try to persuade him to back off, fearing his findings may discredit Cullen and expose corruption within the police department. Galban's only remaining lead is Isabel, a young, devout, Latina girl who resides with her in-laws. Galban fears her life could be in jeopardy should he get too close to her. However, Isabel has recently experienced something not from this world, something mystical that she believes is truly a miracle. Not unlike Galban, Isabel is dealing with her own demons from the past, a past that just may lead them to the truth; in turn, bringing both some form of assurance.",['102'],United States,"English, Spanish",,4.3,4019560
Etharkkum Thunindhavan,2022,"Action, Crime, Drama, Thriller",Pandiraj,Nothing from IMDB,"Suriya, Priyanka Arulmohan, Sathyaraj, Saranya Ponvannan, Vinay Rai, Madhusudhan Rao, Ilavarasu, V. Jayaprakash, Devadarshini Chetan, Hareesh Peradi",,['151'],India,Tamil,,6.5,10340562
Equity,2016,Drama,Meera Menon,Nothing from IMDB,"Anna Gunn, James Purefoy, Sarah Megan Thomas, Alysia Reiner, Samuel Roukin, Craig Bierko, Nate Corddry, Nick Gehlfuss, Carrie Preston, Tracie Thoms","Naomi Bishop is an investment banker determined to overcome a previous stain to her professional reputation, which is a challenge in the male dominated financial sector she works in. As Naomi in that spirit makes her move managing a burgeoning new tech IPO, she has to endure not only the condescension of her colleagues, but also her imperious client even as troubling new developments cloud the venture's future. Against that, the probing of a college friend turned Federal investment law prosecutor and the conniving of her double-dealing boyfriend seem to be manageable complications, until a betrayal by a trusted colleague threatens to ruin everything.",['100'],United States,English,,5.6,3958780
El Camino: A Breaking Bad Movie,2019,"Action, Crime, Drama, Thriller",Vince Gilligan,Nothing from IMDB,"Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker, Todd Terry, Julie Pearl, Gregory Steven Soliz, Larry Hankin, Jesse Plemons, Tom Bower","Finally free from torture and slavery at the hands of Todd's uncle Jack, and from Mr. White, Jesse must escape demons from his past. He's on the run from a police manhunt, with his only hope of escape being Saul Goodman's Hoover guy, Ed Galbraith: a man who, for the right price, can provide a new identity and a fresh start. Jesse is racing against the clock, with help from his crew, avoiding capture to get enough money together to buy ""a new dust filter for his Hoover MaxExtract PressurePro"", a new life.",['122'],United States,"English, Spanish",,7.3,9243946
Ek Tha Tiger,2012,"Action, Adventure, Romance, Thriller",Kabir Khan,Nothing from IMDB,"Salman Khan, Katrina Kaif, Girish Karnad, Ranvir Shorey, Roshan Seth, Gavie Chahal, Rajendra Sethi, Avinash Badal, Bhupesh Singh, Sanjay Gurbaxani","In the dark world of intelligence and espionage, all information is guarded in the name of national security. But some stories escape the fiercely-guarded classified files, stories that become legends. This is one such story, a story that shook the very foundation of this dark world. In a government employees' neighbourhood in New Delhi, lived a rugged, handsome and mysterious bachelor about whom his neighbours knew nothing. That was because he was India's top spy, an officer with the Research and Analysis Wing (RAW), India's external intelligence agency. This man was known even in official corridors as TIGER. Tiger is sent on a relatively easy and safe mission to Dublin, Ireland to observe a scientist of Indian origin who is suspected of sharing his research findings with the Pakistan defence establishment. Tiger attempts to meet the scientist but is not successful. He tries to befriend the scientist's part-time home caretaker Zoya. As Tiger gets closer to Zoya, he begins to discover his human side. For the first time in his life, Tiger falls in love. What follows is a tumultuous journey that Tiger and Zoya embark upon, battling the dark world of intelligence and espionage that forbids its soldiers to fall in love.",['132'],India,"Hindi, English",,5.6,2016894
1: Nenokkadine,2014,"Action, Thriller","Sukumar, Sukumar, Zeb Walters",Nothing from IMDB,"Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat, Anuradha Hasan, Kelly Dorji, Sayaji Shinde, Krishna Murali Posani, Srinivasa Reddy, Ravi Varma",Gautham (Mahesh Babu) is in search of the identity of his parents who were killed. He faces a psychological disorder which makes the search even more difficult. taking support of sameera(Kriti ) and figuring out ways to get to know what happened in the past makes the story.,['170'],India,Telugu,,8.0,2375559
Ek Extra Mile,2022,Family,Nothing from IMDB,"Mridul Raj Anand, Anuya Jakatdar, Girish Narayandass","Meghana Kaushik, Gautam Babbar, Neev Ahuja, Anuj Sachdev, Rajni Gupta, Pia Khurana, Palak Anand, Harsh Raj, Akshat Rajput, Mohit Chaudhary",,['80'],India,Hindi,,8.5,18969466
