Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Pyaar Impossible,2010,"Comedy, Romance",Jugal Hansraj,Uday Chopra,"Priyanka Chopra Jonas, Anupam Kher, Jugal Hansraj, Uday Chopra, Dino Morea, Nataliya Kozhenova, Rahul Vohra, Madhura Naik, Arjun Sablok, Saidah Jules","Alisha (Priyanka Chopra) is the most beautiful girl in Ankert University. Abhay(Uday Chopra), a nerdy geek of the college loves her too. But she doesn't know he exists. Years later their paths cross and Abhay is reduced to playing nanny to Alisha's daughter. It's his only chance to realize his dream, he must win over her kid, he must be the man she always wanted, but didn't know it was him.",['140'],India,"Hindi, Urdu",,4.9,1351224
Pushpa: The Rise - Part 1,2021,"Action, Crime, Drama, Thriller",Sukumar,Nothing from IMDB,"Allu Arjun, Fahadh Faasil, Rashmika Mandanna, Jagadeesh Prathap Bandari, Sunil, Rao Ramesh, Dhananjaya, Anasuya Bharadwaj, Ajay, Ajay Ghosh","Pushpa a labor works for small sum but dreams of living a life of king. But he is always let down by his step brothers for being an illegitimate child of their father. He gets chance to work in dense forest of red sanders where red sanders are smuggled to other countries. The labors are always under the scanner of DSP Govindappa but Pushpa dares to go against everyone creating hurdles for DSP. Pushpa manages to save a smuggling consignment worth crores under the eye of DSP and becomes known to Reddy Brothers. (Konda Reddy, Jakka Reddy and Jolly Reddy) known to do smuggling of red sanders. Pushpa manages to smuggle red sanders often with his tricks by bluffing DSP and his team and becomes close side of Konda Reddy. Pushpa changes his lifestyle and decides to marry Srivelli but his step brothers disclose his mother's relationship with their father thus calling of the marriage. Pushpa who now decides not to stop in reaching heights and finds that Mangalam Sinu, a syndicate member is giving Reddy's gang much lesser share than they deserve and asks Konda Reddy to hike profit. Konda Reddy asks Pushpa to take thing sin his hands as his involvement will lead to war between the two gangs.A fearless Pushpa decides to take control of things leading to disagreements between two gangs.",['179'],India,"Hindi, Tamil, Malayalam, Kannada, Telugu",,7.6,9389998
Punjab 1984,2014,"Drama, Family, History",Anurag Singh,Nothing from IMDB,"Diljit Dosanjh, Kirron Kher, Pawan Malhotra, Sonam Bajwa, Arun Bali, Gurcharan Singh Channi, Rana Ranbir, Manav Vij, Vansh Bhardwaj, Daljinder Basran","This is the story of a mother and her missing son set in the backdrop of 1984 Punjab, when the state was going through a terrible time of terrorism. The film depicts the longing of a mother for her son and her search for her son, who is labelled a terrorist because of the bad times in Punjab.",['159'],"India, Canada",Punjabi,,8.3,3607198
Pulimurugan,2016,"Action, Thriller",Vysakh,Udaykrishnan,"Mohanlal, Jagapathi Babu, Kamalinee Mukherjee, Lal, Vinu Mohan, Bala, Suraj Venjaramoodu, Kishore Kumar G., Siddique, Makrand Deshpande","Murugan has a rivalry towards tigers from childhood. From childhood he gets trained to hunt tigers,which are danger to villagers. Now he is Pulimurugan, but he has to face the tigers as well as the dangerous humans, as he is forced to move out of forest. This forms the rest of the story.",['161'],India,"Malayalam, Tamil, Telugu",,6.7,5297256
Professor Pyarelal,1981,"Action, Crime, Thriller",Brij,Nothing from IMDB,"Zeenat Aman, Brahmachari, R.S. Chopra, Daljeet, Jeevan Dhar, Dharmendra, Simi Garewal, Habib, Hercules, Satyendra Kapoor","Kishinchand has taken to a life of crime, namely that of forging passports, and for that is under surveillance by the police. Upon his wife, Shanti's, and son, Pyarelal's insistence, he decides to give up all criminal activity and become honest. Then Shyamlal approaches him to make a fake passport, which he does, for a suitcase full of gold bars. Shyamlal escapes, but Inspector Shinde confronts Kishinchand and in the scuffle that follows, Shinde gets killed. Kishinchand re-locates to London, England, where he is now known as underworld Don, King. He has given up on his wife and son and believes they had been burned alive in a fire during Diwali. Now years later, a young man approaches and informs him that he is Pyarelal, and that Shanti is still alive in India. Kishinchand is overjoyed, and invites his wife to come to London right away, only to find out that the man claiming to be his son, is really Ronnie, a con-man and smuggler. Kishinchand is re-united with his real son and wife and all seems to be going well, until he finds out that the man claiming to be his son is really Ram Shinde, the son of the Police Inspector he had accidentally slain, and is really out to kill him. Not only is Ram after Kishinchand's life, but a woman named Sonia Singh also wants him dead, as due to his slaying Shinde, her innocent father was convicted for this crime and spent 14 years behind bars. The question remains, where is the real Pyarelal, and who will finally succeed in killing Kishinchand?",['133'],India,Hindi,,6.6,158122
Prahaar: The Final Attack,1991,"Drama, Thriller, Action, Crime","Subhankar Ghosh, Nana Patekar",Nothing from IMDB,"Nana Patekar, Dimple Kapadia, Gautam Joglekar, Madhuri Dixit, Habib Tanvir, Makrand Deshpande, Achyut Potdar, Sai Deodhar, Vaishali Dandekar, Jahangir Khan","Prahaar is the story of Major Chauhan, a tough and stern soldier, trained to destroy the enemy. He can see the enemy on our borders but is unaware of the invisible enemy within ourselves. When one of Major's Commandos - Peter D'Souza is killed, he is shown the harsh reality revolving around us, the enemy is within ourselves. The battlefield changes and Major Chavan makes his final attack on the enemy within this crumbling society.",['151'],India,Hindi,,8.0,102701
Ponniyin Selvan: Part Two,2023,"Action, Adventure, Drama",Mani Ratnam,Nothing from IMDB,"Vikram, Karthi, Jayam Ravi, Aishwarya Rai Bachchan, Trisha Krishnan, Sobhita Dhulipala, Aishwarya Lekshmi, Jayaram, R. Sarathkumar, Parthiban Radhakrishnan",,['164'],India,"Malayalam, Telugu, Kannada, Tamil",,7.3,22444570
Pokiri,2006,"Action, Crime, Thriller",Puri Jagannadh,Nothing from IMDB,"Mahesh Babu, Ileana D'Cruz, Prakash Raj, Nassar, Ashish Vidyarthi, Sayaji Shinde, Brahmanandam, Ajay, Sudha, Bharat Kumar","Pandu is a killer for hire, and will accept any contract provided the amount is right. The Police want him for questioning, while the underworld needs him to silence their opponents. No one really knows this assassin's background. It is only Pandu who knows his real identity and he has no intention of sharing it with anyone.",['164'],India,Telugu,,8.0,816258
Poikkal Kuthirai,2022,"Action, Drama",Santhosh P. Jayakumar,Santhosh P. Jayakumar,"Prabhu Deva, Vetri Kiran, Chandrasekar Koneru, Prema Priya, Prakash Raj, Samuthirakani, Varalaxmi Sarathkumar, Shaam, Tsr, Raiza Wilson",,['91'],India,Tamil,,6.1,15056872
PK,2014,"Comedy, Drama, Sci-Fi",Rajkumar Hirani,Nothing from IMDB,"Aamir Khan, Anushka Sharma, Saurabh Shukla, Sushant Singh Rajput, Boman Irani, Parikshit Sahni, Amardeep Jha, Plabita Borthakur, Maanvi Gagroo, Tia Sharma","P. K. is a comedy of ideas about a stranger in the city, who asks questions that no one has asked before. They are innocent, child-like questions, but they bring about catastrophic answers. People who are set in their ways for generations, are forced to reappraise their world when they see it from PK's innocent eyes. In the process PK makes loyal friends and powerful foes. Mends broken lives and angers the establishment. P. K.'s childlike curiosity transforms into a spiritual odyssey for him and millions of others. The film is an ambitious and uniquely original exploration of complex philosophies. It is also a simple and humane tale of love, laughter and letting-go. Finally, it is a moving saga about a friendship between strangers.",['153'],India,Hindi,,8.1,2338151
