Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Majnu Chacha,2023,Drama,Nothing from IMDB,Nothing from IMDB,"Soni Jha, Bharti Jha, Niranjan Nalawade, Arsh Dhir, Monty Rai, Hiral Radadiya",,,India,Hindi,,,29427398
Majnu,2016,"Comedy, Drama, Romance",Virinchi Varma,Nothing from IMDB,"Nani, Riya Suman, Anu Emmanuel, Priya Shri, Keshav Deepak, Vennela Kishore, Naga Mahesh, Krishna Murali Posani, S.S. Rajamouli, Jay Reddy",,['138'],India,Telugu,,6.4,6056644
Main Hoon Na,2004,"Action, Comedy, Drama, Musical, Romance, Thriller",Farah Khan,Nothing from IMDB,"Shah Rukh Khan, Sushmita Sen, Suniel Shetty, Zayed Khan, Amrita Rao, Kabir Bedi, Naseeruddin Shah, Boman Irani, Bindu Desai, Satish Shah","When India and Pakistan decide to end their hostilities, there is one army person in India who is unhappy, because of his son's death in the Indo-Pak war. He decides to launch terror attacks and bring an end to peace, and for this purpose he shoots and gravely injures an Indian army officer, then decides to do away with the man's daughter Sanjana, who is studying at university. Raghavan and his men descend on the campus and hold over 100 students hostage. There is only one student who can save them, and his name is Ram, he claims he is a student, but is here on a mission--a mission that when told will reveal his real identity and two plans which he must carry out simultaneously.",['182'],India,Hindi,,7.0,347473
Maheshinte Prathikaaram,2016,"Comedy, Drama, Thriller",Dileesh Pothan,Syam Pushkaran,"Fahadh Faasil, Aparna Balamurali, Soubin Shahir, Alencier Ley Lopez, Anusree, Antony Kochi, Dileesh Pothan, Achuthanandan, Leena Antony, Rahul CB","Mahesh Bhavana from Idukki runs a photo studio and leads a happy contented life living along with his aging father, his darling pet dog, his friends & his lady love with whom he maintains a long distance relationship. One fine day, his rosy life is turned upside down with what could only be called a manifestation of the often quoted butterfly effect!",['120'],India,Malayalam,,8.3,4851630
Doctor Strange in the Multiverse of Madness,2022,"Action, Adventure, Fantasy, Horror, Sci-Fi",Sam Raimi,Nothing from IMDB,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong, Xochitl Gomez, Rachel McAdams, Jett Klyne, Julian Hilliard, Michael Stuhlbarg, Hayley Atwell","Following the events of Spider-Man No Way Home, Doctor Strange unwittingly casts a forbidden spell that accidentally opens up the multiverse. With help from Wong and Scarlet Witch, Strange confronts various versions of himself as well as teaming up with the young America Chavez while traveling through various realities and working to restore reality as he knows it. Along the way, Strange and his allies realize they must take on a powerful new adversary who seeks to take over the multiverse.",['126'],United States,"English, Spanish, Chinese",,6.9,9419884
Madly,2016,"Drama, Romance","Bat for Lashes, Gael García Bernal, Anurag Kashyap, Sebastián Silva, Sion Sono, Mia Wasikowska",Nothing from IMDB,"Radhika Apte, Kathryn Beck, Justina Bustos, Zoë Castle, Mariana Chaud, Joe Dempsie, Adarsh Gourav, Gerald Kyd, Satyadeep Misra, Yuki Sakurai",,['106'],"United States, United Kingdom, India, Australia, Argentina, Japan","English, Spanish, Japanese, Hindi",,5.5,4874298
Madhu Malti,1978,"Drama, Romance",Basu Bhattacharya,Nothing from IMDB,"Benjamin Gilani, Gulshan Grover, Prema Narayan, Sachin Pilgaonkar, Dinesh Thakur, Sarika Thakur",,,India,Hindi,,,156801
CC2C,2009,"Action, Adventure, Comedy, Drama, Fantasy",Nikkhil Advani,Nothing from IMDB,"Akshay Kumar, Mithun Chakraborty, Deepika Padukone, Ranvir Shorey, Roger Yuan, Chia-Hui Liu, Tang Tang Fei, Conan Stevens, Kevin Wu, Chang En Lu","Based in Delhi's Chandni Chowk, orphaned Sidhu is adopted by the owner of Bajrang Bali Parathas, known simply as Dada. Years later Sidhu has grown up and is an expert at slicing vegetables. When his Chinese friend and Philosopher, Chopstick, cons him into believing that he is the reincarnation of Liu Sheung, a slain Chinese revolutionary, Sidhu takes it upon himself to travel to the Zhange district where he will be forced to confront a deadly female assassin by the name of Suzy; be befriended by a semi-crazed beggar; and must face humiliation and possible death at the hands of the virtually indestructible Hojo.",['154'],"India, United States, Thailand, China","Hindi, Cantonese, English",,4.2,1091229
Maaveeran,2023,"Action, Comedy, Drama, Fantasy, Thriller",Madonne Ashwin,Madonne Ashwin,"Sivakarthikeyan, Aditi Shankar, Mysskin, Sunil, Saritha, Yogi Babu, Monisha Blessy, Madhan Kumar Dhakshinamoorthy, Douglas Kumaramoorthy, Minor Yogi","Satya (Sivakarthikeyan), a timid cartoonist, lives with his mother and sister in a slum until they are asked to relocate to a new 1 BHK apartment constructed by MN Jeyakodi (Mysskin) only to find them faulty. Satya and his family always face bitter experience with Jeyakodi's henchmen. In one instance, one of his henchmen misbehaves with Satya's sister and Satya is berated by his mother for his timid and silent nature. Frustrated over himself, he decides to commit suicide and backs off but falls off from his building causing a severe injury. Post his recovery, he finds a voice talking to him which is none other than the comic Maaveeran he is working on. With the help and support of Maaveeran, how does Satya turn into a courageous man and go against Jeyakodi forms the rest of the story.",['163'],India,"Telugu, Tamil",,7.4,22543326
Maari,2015,"Action, Comedy, Drama",Balaji Mohan,Nothing from IMDB,"Dhanush, Kajal Aggarwal, Vijay Yesudas, Robo Shankar, Kaali Venkat, Shanmugarajan, Mime Gopi, Kalloori Vinoth, Azhagu, Sriranjani","Maari (Dhanush) is a local don. According to popular hearsay-eight years back, Maari had murdered another powerful goon in that area after which he took over as local don. When Arjun (Vijay Yesudas), a cunning cop gets transferred to the area, he tries to collect enough proof to put Maari behind the bars with the help of Sridevi (Kajal) who has her own reasons to hate the don. Now, Maari the goon with a large heart returns from jail, only to realize that his area is now under the control of Arjun. What happens next ?",['138'],India,Tamil,,6.4,4859246
