Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Relentless,2018,Thriller,Lance Tracy,Lance Tracy,"Sydney Sweeney, Elpidia Carrillo, Courtenay Taylor, Lauren Shaw, Dondré T. Whitfield, Jake La Botz, Mariana Novak, Peter Holden, David Castro, Peter Pasco",,['95'],"United States, El Salvador","Spanish, English",,4.6,3486210
Red: The Dark Side,2007,"Drama, Romance, Thriller",Vikram Bhatt,Manoj Tyagi,"Aftab Shivdasani, Celina Jaitly, Amrita Arora, Amin Hajee, Ajay Jadhav, Kishori Shahane, Sushant Singh",,['148'],India,Hindi,,3.6,896968
Real Steel,2011,"Action, Drama, Sci-Fi, Sport",Shawn Levy,Nothing from IMDB,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie, Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda, John Gatins","In the near future when people become uninterested in boxing and similar sports, a new sport is created - Robot boxing wherein robots battle each other while being controlled by someone. Charlie Kenton, a former boxer who's trying to make it in the new sport, not only doesn't do well, he is very deeply in the red. When he learns that his ex, mother of his son Max, dies, he goes to figure out what to do with him. His ex's sister wants to take him in but Charlie has first say in the matter. Charlie asks her husband for money so he can buy a new Robot in exchange for turning Max over to them. He takes Max for the summer. And Max improves his control of his robot. But when the robot is destroyed, they go to a scrap yard to get parts. Max finds an old generation robot named Atom and restores him. Max wants Atom to fight but Charlie tells him he won't last a round. However, Atom wins. And it isn't long before Atom is getting major bouts. Max gets Charlie to teach Atom how to fight, and the father and son bond strenghtens.",['127'],"United States, India","English, Ukrainian",,7.1,433035
Ranveer vs. Wild with Bear Grylls,2022,Documentary,James Turner,Shantanu Srivastava,"Ranveer Singh, Bear Grylls, Karan Kapadia",,['70'],India,"English, Hindi",,6.9,19315924
Rann,2010,"Drama, Mystery, Thriller",Ram Gopal Varma,Nothing from IMDB,"Amitabh Bachchan, Riteish Deshmukh, Gul Panag, Paresh Rawal, Sudeep, Nitu Chandra, Mohnish Behl, Rajat Kapoor, Rajpal Naurang Yadav, Suchitra Krishnamoorthi","As the news of a bomb explosion in the Muzaffarnagar area spreads, two leading news agencies, India 24 & Headlines 24/7, deal with their respective ratings and content to attract more viewers and boost advertising revenue. Purab Shastri is hired by India 24, managed by Vijay H. Malik, while the other agency is run by Amrish Kakkar, Vijay's former subordinate. Purab, an ardent admirer of Vijay, changes his views after the later dramatically exposes Prime Minister Digvijay Hooda's hand behind the explosion, and starts to gather evidence that may end up implicating Vijay and the agency.",['137'],India,"Hindi, Urdu, English",,6.9,1451797
Rambo: Last Blood,2019,"Action, Crime, Thriller",Adrian Grunberg,Nothing from IMDB,"Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adriana Barraza, Yvette Monreal, Genie Kim, Joaquín Cosio, Pascacio López, Óscar Jaenada, Alexander Dimitrov","Almost four decades after they drew first blood, Sylvester Stallone is back as one of the greatest action heroes of all time, John Rambo. Now, Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission. A deadly journey of vengeance, RAMBO: LAST BLOOD marks the last chapter of the legendary series.",['89'],"United States, Hong Kong, France, Bulgaria, Spain, Sweden","English, Spanish",,6.1,1206885
Ramayana: The Epic,2010,"Animation, Action, Adventure, Family, Fantasy, War",Chetan Desai,Nothing from IMDB,"Manoj Bajpayee, Juhi Chawla, Ashutosh Rana, Mukesh Rishi","Lord Rama, son of King Dashrath is sent for exile for 14 years. His wife Sita and brother Laxman accompanies him. But she is deceitfully kidnapped by Ravana, The King of Lanka. Thus a might war takes place between ram & ravana. Hanuman with his monkey warriors, a worshiper of ram also joins him. Will Sita be saved?",['98'],India,Hindi,,5.9,1744641
Ram-Avtar,1988,"Action, Drama, Romance",Sunil Hingorani,Nothing from IMDB,"Sunny Deol, Anil Kapoor, Sridevi, Shakti Kapoor, Manik Irani, Bharat Bhushan, Subbiraj, Yunus Parvez, Dinesh Hingoo, Mushtaq Merchant",Ram and Avtar are both childhood best friends. The difference between the two friends is that Ram would willingly make priceless sacrifice for his friend; the time when both are separated is when Ram goes abroad to further his studies. In the mean while Avtar takes up employment in an organization run by Sangeeta. Avtar is romantically attracted to Sangeeta but Sangeeta falls in love with Ram; when Ram gets to know that Avtar is in love with Sangeeta he decides to sacrifice his love for his friend sake by getting Avtar married to Sangeeta. But one of Sangeeta's enemies Gundappaswami is willing to expose Ram and Sangeeta's relationship to Avtar.,['170'],India,Hindi,,4.6,95955
Raksha Bandhan,2022,"Comedy, Drama, Family",Aanand L. Rai,Nothing from IMDB,"Akshay Kumar, Bhumi Pednekar, Seema Pahwa, Sadia Khateeb, Manu Rishi Chadha, Deepak Arora, Sahil Mehta, Abhinav Gautam, Salim Siddiqui, Anshu Srivastava","Lala Kedarnath, the eldest and only brother of 4 sisters, runs a chaat shop that was started by his father. Lala promises his frail mother on her deathbed that he will get married only after he fulfills the responsibility of marrying his sisters into suitable homes first. What follows is Lala's relentless efforts of getting his sisters married while upholding his family values. At the same time, Lala also faces hiccups on the personal front, his romantic life with his childhood love Sapna. However, Lala's commitment to his sisters stands as a huge roadblock for his and Sapna's love story to take off. Understanding the importance of Lala's vow, Sapna decides to wait till his goal is achieved.",['108'],India,Hindi,,5.3,12834962
Raju Ban Gaya Gentleman,1992,"Comedy, Musical, Romance",Aziz Mirza,Nothing from IMDB,"Shah Rukh Khan, Juhi Chawla, Nana Patekar, Amrita Singh, Navin Nischol, Ajit Vachani, Anjan Srivastav, Amrit Patel, Sameer Chitre, Lalit Tiwari","Holding a degree in engineering; Raj Mathur alias Raju finds that his talent is wasted in the village so he decides to re-locate to Bombay. In Bombay he faces challenges in finding the right job until he meets and befriend the Receptionist of Chhabria Builders, Renu, who with her recommendation he manages to hold the post as Chief Engineer within that company. After this there is no turning back for Raju as he continues to climb the ladder of success. But Raju faces a draw-back when a bridge that is being built under his supervision came down crushing to death some people - this negligence not only cost Raju his job but can incarcerate him as well.",['152'],India,Hindi,,6.7,173102
