Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Children Who Chase Lost Voices,2011,"Animation, Adventure, Drama, Family, Fantasy",Makoto Shinkai,Nothing from IMDB,"Hisako Kanemoto, Miyu Irino, Kazuhiko Inoue, Junko Takeuchi, Fumiko Orikasa, Sumi Shimamoto, Tamio Ôki, Aki Kaneda, Ai Horanai, Saya Horigome",,['116'],Japan,Japanese,,7.1,1839494
Chhalaang,2020,"Comedy, Drama, Sport",Hansal Mehta,Nothing from IMDB,"Rajkummar Rao, Nushrratt Bharuccha, Mohd. Zeeshan Ayyub, Saurabh Shukla, Satish Kaushik, Ila Arun, Jatin Sarna, Baljinder Kaur, Naman Jain, Garima Shevi","Chhalaang is a hilarious, yet inspirational journey of Montu, a PT Master from a semi govt. funded school for whom teaching PT is just a job. When circumstances put everything he cares for at stake, including Neelu who he loves, Montu is forced to do what he's never done- TEACH. Through his journey, the film humorously addresses the value of Sports Education in school curriculum.",['136'],India,Hindi,,6.7,8983164
Chehre,2021,"Drama, Mystery, Thriller",Rumi Jaffery,Nothing from IMDB,"Amitabh Bachchan, Emraan Hashmi, Krystle D'Souza, Annu Kapoor, Rhea Chakraborty, Raghubir Yadav, Dhritiman Chatterjee, Siddhant Kapoor, Samir Soni, Alexx O'Nell","CHEHRE is the story of a man who faces a tough time when faced with retired law professionals. Sameer Mehra (Emraan Hashmi) is the chief of an ad agency called Paradoy. He goes to a hill station somewhere in the North for an ad shoot. But due to a work commitment in Delhi, he leaves from the hill town despite heavy snow. On the way, he takes a shortcut to Delhi but due to a tree fall, he gets stuck. On top of it, his car suddenly breaks down. He then meets Paramjeet Singh Bhullar (Annu Kapoor) who advises him to join him to a friend's place till it's safe to go. Paramjeet takes him to the house of Jagdish Acharya (Dhritiman Chatterjee) where Hariya Jatav (Raghubir Yadav) is already present. Soon, Lateef Zaidi (Amitabh Bachchan) also joins them. The quartet then informs Sameer that they meet every day and play a unique game. As part of this game, they conduct a mock trial since all of them are retired law professionals. While Jagdish Acharya was a retired judge in a nearby court, Paramjeet was defense counsel and Lateef was chief prosecutor. They invite Sameer to play this game. Sameer agrees. The quartet tells him that he'll be the accused in their court of law. Paramjeet would defend him while Lateef would try to prove that he's guilty. Jagdish, meanwhile, would be the judge. Lateef gives Sameer a chance to confess if he has ever done any crime and got away with it. Then they'll try him for that charge. Sameer, however, confidently tells that he has never committed any crime. Lateef then gets a chance to try him for any crime he desires. In the course of their conversation, Sameer blurts out that he used to detest his ex-boss, G S Oswal (Samir Soni) as he was a tyrant. Sameer also reveals that Oswal died recently and that he took over his position. At this, Lateef decides to try him in their court for the 'murder' of Oswal. Sameer is aghast and makes it clear that he hasn't killed him. But Lateef tells the court that he's willing to put his legal reputation at stake and that he'll never play this game ever again if he fails to prove that Sameer hasn't been a part of Oswal's 'murder'. Sameer is a bit apprehensive but then he realizes he need not worry as it's just a game. But his worries vanish instantly when he finds out that Hariya Jatav was not a lawyer or judge. He was actually a hangman and that he has kept the noose ready, should the accused is proven guilty in their court. What happens next forms the rest of the film.",['139'],India,Hindi,,6.2,10309902
Chehre Pe Chehra,1981,"Drama, Horror, Romance, Sci-Fi, Thriller",Raj Tilak,Robert Louis Stevenson,"Sanjeev Kumar, Rekha, Vinod Mehra, Sulakshana Pandit, Amol Palekar, Rajni Sharma, Amjad Khan, Shreeram Lagoo, Iftekhar, Shammi","Dr. Wilson (Sanjeev Kumaer) is a humanitarian, and likes to believe that the worse part of a human can be separated and eliminated altogether, to this extent he experiments in various ways in his laboratory. One day he tries out a chemical solution on himself and lets his evil self, Blackstone, lose in bars, dark alleys, and with prostitutes. He is always able to control Blackstone, and comes home late at night to turn himself back to Dr. Wilson. Then things start to get out of control when Blackstone starts getting violent and killing people he dislikes, including Dr. Wilson; and Dr. Wilson finds Blackstone getting stronger, and out of his control, with a motive of taking over Dr. Wilson's life completely.",['140'],India,Hindi,,6.4,367595
Chalti Ka Naam Gaadi,1958,"Comedy, Musical, Romance",Satyen Bose,Nothing from IMDB,"Ashok Kumar, Madhubala, Anoop Kumar, Kishore Kumar, K.N. Singh, Sajjan, S.N. Banerjee, Mohan Choti, Sahira, Kamal","The Sharma brothers consist of former boxer, Brijmohan; Jagmohan, an Electrical Engineer; and Manmohan, a Mechanic. The brothers operate a garage under the name of 'Mohan Brothers' in Bombay. Brijmohan hates all women and does not permit even a poster to be hung on the walls of either the garage or their residence as well as instructs his brothers not to get involved with them. While working the late shift, Manmohan assists a customer, Renu, and both rather dramatically fall in love. Subsequently, Jagmohan meets with Renu's friend, Sheila, and both are attracted to each other. Unable to face the wrath of their brother, both conceal this information from him. Then the duo find out that their brother hides a woman's photograph under his pillow, but when confronted, refuses to divulge any information to them. Things will change rapidly when Manmohan finds out Renu's father, Kishinchand, has made arrangements for his daughter's to wed Prakashchand, the son of Raja Hardayal Singh.",['173'],India,Hindi,,7.9,128985
Chak De! India,2007,"Drama, Family, Sport",Shimit Amin,Nothing from IMDB,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla, Chitrashi Rawat, Tanya Abrol, Arya Menon, Seema Azmi, Nisha Nair, Sandia Furtado","Kabir Khan (Shahrukh Khan) knows what it's like to come back from the dead. The ex Indian Captain has now come back in the avatar of the Coach of the Indian Women's National Hockey team. A team that exists more on paper and less in reality. The team is a rag-tag bunch of girls with their own agenda. A bunch of girls who have forgotten what it is like to play for the love of the game. Of playing because you want glory for your country. Not because you want a pensioned job or a government flat. They have all forgotten the sharp thrill of just holding the hockey stick, keeping their eyes on the ball and playing for all they are worth. They have played every game but hockey to make sure they get selected every year in the Indian National team. But what does it really mean to play for the Indian National team? To play for India? The girls have never known the thrilling energy of being Team India. Of giving their all to see their country's name on a trophy. But Kabir Khan, once a captain, now forgotten, does. He knows what it takes to get there. And what it means to return empty handed. This time, he wants to make sure that it's different. He knows there are no second chances. Despite his past, he believes that if only the girls played as one, anything would be possible. Because Kabir Khan believes that it is not that we can't win. It's just that we have never believed we can. CHAK DE INDIA is the story of a coach's fight of making his team, Team India by overcoming their diverse backgrounds, by learning to use everything that life hurls on them as a secret weapon. It's a story about honesty, sincerity and integrity. The Film became a cult classic and won its leading man the National Award and put the Indian National Sport ""Hockey"", back on the map.",['153'],"India, United States, United Kingdom, Australia","Hindi, English",,8.1,871510
Chaitali,1975,Drama,Hrishikesh Mukherjee,Nothing from IMDB,"Dharmendra, Saira Banu, Bindu Desai, Pradeep Kumar, Govardhan Asrani, Durga Khote, Shyama, Abhi Bhattacharya, Asit Kumar Sen, Ranjan","Manish, a college professor, takes in Chaitali, a thief, and offers to support her in living an honest life. Chaitali lies that she is a widow when she isn't even married since she is the daughter of a fugitive and is brought up as a courtesan by her protective stepmother. She lies to hide her background, which leads to more lies. Manish's brother Avinash is a lawyer practicing from home, and his bedridden wife Prabha accuses Chaitali of stealing a valuable necklace to which Chaitali quickly confesses. Before that, Chaitali, Manish, and his mother had visited their family Guru for his guidance where Chaitali had revealed her life story to Manish. Out on the streets, she takes up dancing, which Manish misinterprets as her slap on his generosity. She decides to return money for the stolen necklace with earnings from her dancing but this is interpreted as arrogance and she is thrown out of the house. Soon, Avinash tells the truth to Manish as to why Chaitali confessed to stealing the jewelry.",,India,Hindi,,6.3,244457
Chaamp,2017,Sport,Raj Chakraborty,Dev,"Animesh Bhaduri, Raj Chakraborty, Biplab Chatterjee, Chiranjit, Arjun Dasgupta, Padmanabha Dasgupta, Dev, Supriyo Dutta, Arafat Hossain, Joydip Kundu",,['120'],India,Bangla,,6.5,6531872
Casino Royale,2006,"Action, Adventure, Thriller",Martin Campbell,Nothing from IMDB,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Jeffrey Wright, Giancarlo Giannini, Caterina Murino, Simon Abkarian, Isaach De Bankolé, Jesper Christensen","James Bond (Daniel Craig) goes on his first mission as a 00. Le Chiffre (Mads Mikkelsen) is a banker to the world's terrorists. He is participating in a poker game at Montenegro, where he must win back his money, in order to stay safe amongst the terrorist market. The boss of MI6, known simply as ""M"" (Dame Judi Dench) sends Bond, along with Vesper Lynd (Eva Green) to attend this game and prevent Le Chiffre from winning. Bond, using help from Felix Leiter (Jeffrey Wright), Rene Mathis (Giancarlo Giannini), and having Vesper pose as his partner, enters the most important poker game in his already dangerous career. But if Bond defeats Le Chiffre, will he and Vesper Lynd remain safe?",['144'],"United Kingdom, Czechia, United States, Germany, Bahamas","English, Serbian, German, Italian, French",,8.0,381061
Brothers,2009,"Drama, Thriller, War",Jim Sheridan,Nothing from IMDB,"Tobey Maguire, Jake Gyllenhaal, Natalie Portman, Sam Shepard, Mare Winningham, Bailee Madison, Taylor Geare, Patrick John Flueger, Clifton Collins Jr., Carey Mulligan","Before leaving on his second tour in Afghanistan, Marine Captain Sam Cahill, a leader, an athlete, a good husband and father, welcomes his screw-up brother Tommy home from prison. He'd robbed a bank. In country, Sam's helicopter is shot down and all are presumed dead. Back home, while Sam wastes away as a prisoner in a remote encampment, Tommy tries to take care of the widow and her two children. While imprisoned, Sam experiences horrors unbearable, so when he's rescued and returns home, he's silent, detached, without affect, and he's convinced his wife and brother have slept together. Demons of war possess him; what will silence them?",['105'],United States,English,,7.1,765010
