Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
The Amazing Spiderman (2012) Movie Review Part 1 (Minor Spoilers),2012,Talk-Show,Jesse Jaeger,Jesse Jaeger,Jesse Jaeger,,,Nothing from IMDB,Nothing from IMDB,,,6480664
That Awkward Moment,2014,"Comedy, Romance",Tom Gormican,Tom Gormican,"Zac Efron, Miles Teller, Michael B. Jordan, Imogen Poots, Mackenzie Davis, Jessica Lucas, Addison Timlin, Josh Pais, Evelina Turen, Karen Ludwig","Jason has just been dumped, but he didn't even realize they were going out. Meanwhile, Mikey's wife has just asked him for a divorce, and perpetually single Daniel is still single. The three best friends are determined to stay single together and just have fun. But then Jason meets Ellie who just might be perfect for him, Daniel starts to realize that his gal pal Chelsea might be perfect for him, and Mikey has always thought that his wife was perfect for him. The boys are going to have to juggle their single life with their romantic entanglements and it's going to get awkward.",['94'],United States,English,,6.1,1800246
Thank You for Smoking,2005,"Comedy, Drama",Jason Reitman,Nothing from IMDB,"Joan Lunden, Eric Haberman, Aaron Eckhart, Mary Jo Smith, Todd Louiso, Jeff Witzke, J.K. Simmons, Marianne Muellerleile, Cameron Bright, Alex Diaz","The chief spokesperson and lobbyist Nick Naylor is the Vice President of the Academy of Tobacco Studies. He is talented in speaking and spins arguments to defend the cigarette industry in the most difficult situations. His best friends are Polly Bailey that works in the Moderation Council in alcohol business, and Bobby Jay Bliss of the gun business own advisory group SAFETY. They frequently meet each other in a bar and they self-title the M.O.D. Squad, a.k.a. Merchants of Death, disputing which industry has killed more people. Nick's greatest enemy is Vermont's Senator Ortolan Finistirre, who defends in the Senate the use of a skull and crossbones on cigarette packs. Nick's son Joey Naylor lives with his mother, and has the chance to know his father in a business trip. When the ambitious reporter Heather Holloway betrays Nick disclosing confidences he had in bed with her, his life turns upside-down. But Nick is good in what he does for the mortgage.",['92'],United States,English,,7.5,427944
Thank God,2022,"Comedy, Fantasy",Indra Kumar,Nothing from IMDB,"Sidharth Malhotra, Ajay Devgn, Rakul Preet Singh, Mahesh Balraj, Kanwaljeet Singh, Seema Pahwa, Urmilla Kanetkar Kothare, Vishal Bhavsar, Pratik Dixit, Kiara Khanna","An egoistic real estate broker in huge debts, meets with an accident. As he gains consciousness, he realizes that he is in heaven. God appears in front of him and informs him that he will have to play a ""GAME OF LIFE"". If he manages to win, he will be sent back to earth and if he loses, he will be sent to hell.",['121'],India,Hindi,,5.6,13795296
Thakka Thakka,2015,"Action, Drama, Thriller",Sanjeev,Sanjeev,"Abhinaya, Aruldoss, Leema Babu, Parvathi Nirban, Uma Pathmanabhan, Sarithiran, Aravinnd Singh, Rahul Venkat, Vikranth",,['134'],India,Tamil,,5.8,4987572
Teraa Surroor,2016,"Action, Drama, Romance",Shawn Arranha,Nothing from IMDB,"Himesh Reshammiya, Farah Karimaee, Naseeruddin Shah, Shekhar Kapur, Shernaz Patel, Monica Dogra, Kabir Bedi, Suneel Dutt, Tereza Fiserova, Myles Molloy","Tara Wadia (Farah Karimaee), a singer and girlfriend of a gangster Raghu (Himesh Reshammiya) lives with her mother (Shernaz Patel). She goes to Dublin where she gets detained after being caught with drugs. Tara calls Raghua for help now Raghu must help her and find Anirudh Brahman, the stranger who met Tara on Facebook and invited her to Ireland.",['106'],India,"English, Hindi",,2.7,5056470
Seal Team Six: The Raid on Osama Bin Laden,2012,"Action, Crime, Drama, Thriller","John Stockwell, Paulette Victor Lifton",Kendall Lampkin,"Cam Gigandet, Anson Mount, Freddy Rodríguez, Xzibit, Kathleen Robertson, Robert Knepper, Eddie Kaye Thomas, Kenneth Miller, William Fichtner, Jenny Gabrielle","When the rumored whereabouts of Osama bin Laden is revealed, the CIA readies a team of seasoned U.S. Navy SEALs for the mission of a lifetime. Despite inconclusive evidence that bin Laden is inside the compound, and ignoring the possible ramifications of an unannounced attack on Pakistani soil, the Pentagon orders the attack. The SEAL Team bands together to complete their mission of justice in a riveting final showdown.",['90'],United States,"English, Arabic, Pashto",,5.7,2095605
Tamasha,2015,"Comedy, Drama, Romance",Imtiaz Ali,Imtiaz Ali,"Deepika Padukone, Ranbir Kapoor, Arushi Sharma, Piyush Mishra, Ishwak Singh, Jawed Sheikh, Vivek Mushran, Sushma Seth, Naila Grewal, Ishtiyak Khan",Tamasha is about the journey of someone who has lost his edge in trying to follow acceptable conventions of society. The film is based on the central theme of abrasion and loss of self that happens in an attempt to find oneself.,['139'],India,Hindi,,7.3,3148502
Tamasha,2015,"Comedy, Drama, Romance",Imtiaz Ali,Imtiaz Ali,"Deepika Padukone, Ranbir Kapoor, Arushi Sharma, Piyush Mishra, Ishwak Singh, Jawed Sheikh, Vivek Mushran, Sushma Seth, Naila Grewal, Ishtiyak Khan",Tamasha is about the journey of someone who has lost his edge in trying to follow acceptable conventions of society. The film is based on the central theme of abrasion and loss of self that happens in an attempt to find oneself.,['139'],India,Hindi,,7.3,3148502
Tamasha,2015,"Comedy, Drama, Romance",Imtiaz Ali,Imtiaz Ali,"Deepika Padukone, Ranbir Kapoor, Arushi Sharma, Piyush Mishra, Ishwak Singh, Jawed Sheikh, Vivek Mushran, Sushma Seth, Naila Grewal, Ishtiyak Khan",Tamasha is about the journey of someone who has lost his edge in trying to follow acceptable conventions of society. The film is based on the central theme of abrasion and loss of self that happens in an attempt to find oneself.,['139'],India,Hindi,,7.3,3148502
