Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Duplicate,1998,"Action, Comedy, Crime, Romance, Thriller",Mahesh Bhatt,Nothing from IMDB,"Shah Rukh Khan, Juhi Chawla, Sonali Bendre, Kajol, Mohnish Behl, Farida Jalal, Tiku Talsania, Sharat Saxena, Rana Jung Bahadur, Gulshan Grover","Bablu (Shah Rukh Khan), an aspiring chef, works in a hotel where Sonia Kapoor,(Juhi) works with him as banquet manager at the restaurant. His look-alike Manu (Shah Rukh Khan), a gangster, robs a bank along with his friend (Gulshan Grover) but gets caught. He comes out of prison and discovers that his cohort has double-crossed him. He murders his partner and escapes from the scene of the crime...without the money. Bablu stumbles on the money and keeps it. Manu's lover Lily (Sonali Bendre) mistakes Bablu to be Manu and spirits him away. Manu takes shelter in Bablu's house and realizes that he can use their resemblance to his advantage.Then starts the fun-ride with Babloo constantly being mistaken for Manu. With both Sonia and Lily after him, Manu furious and the Law taking him to be Manu, Babloo faces a tough time. And then, Manu kidnaps Bibi (Farida Jalal) Babloo's mother and holds her hostage.",['164'],India,Hindi,,5.5,164550
Formula 1: Drive to Survive,2019,"Documentary, Sport",Nothing from IMDB,Nothing from IMDB,"Will Buxton, Jack Nicholls, Daniel Ricciardo, Lewis Hamilton, Max Verstappen, Sergio Pérez, Carlos Sainz, Charles Leclerc, Pierre Gasly, Sebastian Vettel",,['40'],United Kingdom,"Arabic, English",,8.5,8289930
Drishyam 2,2022,"Crime, Drama, Mystery, Thriller",Abhishek Pathak,Nothing from IMDB,"Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran, Ishita Dutta, Mrunal Jadhav, Rajat Kapoor, Kamlesh Sawant, Yogesh Soman, Saurabh Shukla","A drug deal goes wrong between two peddlers where one named David accidentally shoots other while trying to escape he notices Vijay Salgaonkar coming out of under construction police station after hiding something.Seven years later Vijay lives happily with his family, along with his cable business he also owns a cinema hall and plans to produce his own film.Mahesh Deshmukh comes to meet Vijay asking him for final remains of his son but goes distressed on the other hand IG Meera Deshmukh has still not forgiven Vijay and waits for evidence.IG Tarun Alhawat colleague of Meera is posted sometime back in Goa and tries to re investigate Sam's case by getting suspended officer Gaitonde back on duty.Tarun and Meera lay a trap on Vijay and his family but very much far away from getting any clue.",['140'],India,"Hindi, English",,8.2,15501640
Drishyam,2013,"Crime, Drama, Thriller",Jeethu Joseph,Jeethu Joseph,"Mohanlal, Meena, Asha Sharath, Ansiba, Esther Anil, Baiju V.K., Kalabhavan Shajohn, Siddique, Roshan Basheer, Neeraj Madhav","Georgekutty (Mohanlal) is a cable-TV network owner in a remote hilly village in Kerala. He lives a happy life with his wife and two daughters. The first half revolves around the depiction of their happy family. Anju (Ansiba), Georgekutty's daughter, goes on a school trip between the proceedings. After a few days, a guy who had been at the school trip with her meets Anju. He blackmails her with a video of her that he had captured during the school trip. In the course of events he is accidentally killed by Rani (Meena) and Anju. Georgekutty on returning home is appraised of the events and thus begins a cat and mouse game as the murdered person is the son of IG Geeta Prabhakar (Asha Sharath) and Prabhakar (Siddique). How the family weathers the storm that ensues during the murder investigation forms the rest of the story leading to a deeply satisfying and unexpected climax.",['160'],India,Malayalam,,8.3,3417422
Dream Girl,2019,"Comedy, Romance",Raaj Shaandilyaa,Nothing from IMDB,"Ayushmann Khurrana, Nushrratt Bharuccha, Annu Kapoor, Manjot Singh, Abhishek Banerjee, Vijay Raaz, Krrish Saini, Raj Bhansali, Nidhi Bisht, Rajesh Sharma","Karam always plays female character in plays as he has good ability of removing a female voice.He is looking for job and finds an ad offering 70,000 per month.His interviewer Mauji rejects him and shows him his call center where only ladies work as fantasy entertainers.Karam receives one of the call in name of Pooja and shocks everyone by using his ability.Mauji employee's him and business soon picks up and Karam has admirers in Toto,A cop Rajpal,Roma and his brother in law Mahinder.At one point Karam feels what will his lover Mahi feel when she finds about his job and the biggest tragedy he comes across is his father Jagjit Singh is also one of his admirers.",['132'],India,Hindi,,7.0,9248940
Double Impact,1991,"Action, Crime",Sheldon Lettich,Nothing from IMDB,"Jean-Claude Van Damme, Geoffrey Lewis, Alonna Shaw, Corinna Everson, Philip Chan, Alan Scarfe, Bolo Yeung, Andy Armstrong, Wu Fong Lung, Peter Malota","Jean Claude Van Damme plays a dual role as Alex and Chad, twins separated at the death of their parents. Chad is raised by a family retainer in Paris, Alex becomes a petty crook in Hong Kong. Seeing a picture of Alex, Chad rejoins him and convinces him that his rival in Hong Kong is also the man who killed their parents. Alex is suspicious of Chad, especially when it comes to his girlfriend.",['110'],United States,"English, Cantonese, French",,5.6,101764
Double Date,2017,"Comedy, Horror",Benjamin Barfoot,Danny Morgan,"Danny Morgan, Georgia Groome, Michael Socha, Kelly Wenham, Dougie Poynter, Tom Sturridge, Brooke Norbury, Maria Barr, Tanika Beckford, Benny Bereal",,['89'],United Kingdom,English,,5.9,6136778
Double Barrel,2015,"Action, Comedy, Thriller",Lijo Jose Pellissery,Lijo Jose Pellissery,"Prithviraj Sukumaran, Indrajith Sukumaran, Arya, Chemban Vinod Jose, Sunny Wayne, Vijay Babu, Isha Sharvani, Anil Murali, Swathi Reddy, Sabumon Abdusamad",,['158'],India,"Malayalam, Telugu",,5.7,4930814
Friendship,2008,"Comedy, Drama, Romance","Tarun Mansukhani, Punit Malhotra",Nothing from IMDB,"Abhishek Bachchan, John Abraham, Priyanka Chopra Jonas, Kirron Kher, Bobby Deol, Boman Irani, Sushmita Mukherjee, Eduardo M. Freyre, Liannette Altuve, Steven Baker","After her parents' deaths, Neha Melwani lives in Miami with her aunt and rents out a room in her apartment to two seemingly-gay Indian men, photographer Kunal Chauhan and nurse Sameer Acharya. She introduces them to her departing gay boss Murli and falls in love with her new boss, Abhimanyu Singh. She will soon realize that she has two rivals for her new love--none other than Kunal and Sameer.",['145'],"India, United States","Hindi, English",,6.4,1185420
Don,1978,"Action, Crime, Thriller",Chandra Barot,Nothing from IMDB,"Amitabh Bachchan, Zeenat Aman, Pran Sikand, Iftekhar, Om Shivpuri, Satyendra Kapoor, Paidi Jairaj, Kamal Kapoor, Arpana Choudhary, Helen","A ruthless gangster named Don is killed during a scuffle with the police. Since only DSP Desilva knows of this incident, he recruits another person named Vijay who is a spitting image of Don. Vijay is planted in Don's place in Don's gang and DeSilva has a plan to nab the entire gang in this way. But when Desilva dies during a raid, the secret that Vijay is not Don is also buried with him. Now Vijay is on the run - from the police and the criminal gang - and has to find the last piece of evidence to prove his real identity before it is too late.",['175'],India,Hindi,,7.7,77451
